time,Philadelphia,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Okafor vs. J. Valanciunas (K. Lowry gains possession),,,,Jump ball: J. Okafor vs. J. Valanciunas (K. Lowry gains possession)
11:35.0,,,0-2,2,K. Lowry makes 2-pt shot from 15 ft
11:10.0,E. Ilyasova misses 2-pt shot from 5 ft,,0-2,,
11:09.0,,,0-2,,Defensive rebound by D. Carroll
11:04.0,,,0-4,2,P. Siakam makes 2-pt shot from 2 ft (assist by K. Lowry)
10:51.0,J. Okafor misses 2-pt shot from 6 ft,,0-4,,
10:50.0,,,0-4,,Defensive rebound by J. Valanciunas
10:36.0,Violation by J. Okafor (kicked ball),,0-4,,
10:29.0,,,0-4,,J. Valanciunas misses 2-pt shot from 15 ft
10:29.0,Defensive rebound by E. Ilyasova,,0-4,,
10:19.0,Shooting foul by J. Valanciunas (drawn by J. Okafor),,0-4,,
10:19.0,J. Okafor makes free throw 1 of 2,1,1-4,,
10:19.0,J. Okafor misses free throw 2 of 2,,1-4,,
10:18.0,,,1-4,,Defensive rebound by J. Valanciunas
10:03.0,,,1-4,,Turnover by D. DeRozan (lost ball; steal by R. Covington)
9:57.0,R. Covington misses 2-pt shot from 2 ft,,1-4,,
9:56.0,Offensive rebound by R. Covington,,1-4,,
9:54.0,Turnover by R. Covington (bad pass),,1-4,,
9:49.0,,,1-4,,D. Carroll misses 3-pt shot from 24 ft
9:48.0,,,1-4,,Offensive rebound by J. Valanciunas
9:41.0,,,1-6,2,J. Valanciunas makes 2-pt shot from 4 ft
9:20.0,E. Ilyasova makes 2-pt shot from 14 ft (assist by S. Rodriguez),2,3-6,,
9:03.0,,,3-6,,J. Valanciunas misses 2-pt shot from 10 ft
9:02.0,Defensive rebound by E. Ilyasova,,3-6,,
8:46.0,J. Okafor misses 2-pt shot from 13 ft,,3-6,,
8:46.0,,,3-6,,Defensive rebound by D. DeRozan
8:40.0,,,3-9,3,D. Carroll makes 3-pt shot from 26 ft (assist by K. Lowry)
8:19.0,S. Rodriguez makes 3-pt shot from 26 ft (assist by R. Covington),3,6-9,,
7:54.0,,,6-9,,D. DeRozan misses 2-pt shot from 17 ft
7:53.0,,,6-9,,Offensive rebound by J. Valanciunas
7:52.0,,,6-9,,J. Valanciunas misses 2-pt shot from 1 ft
7:51.0,,,6-9,,Offensive rebound by D. Carroll
7:50.0,,,6-11,2,D. Carroll makes 2-pt shot from 2 ft
7:39.0,R. Covington makes 3-pt shot from 26 ft (assist by G. Henderson),3,9-11,,
7:18.0,,,9-11,,D. DeRozan misses 2-pt shot from 12 ft
7:17.0,Defensive rebound by R. Covington,,9-11,,
7:09.0,G. Henderson misses 2-pt shot from 18 ft,,9-11,,
7:08.0,,,9-11,,Defensive rebound by D. Carroll
6:53.0,,,9-14,3,K. Lowry makes 3-pt shot from 25 ft (assist by D. Carroll)
6:24.0,G. Henderson misses 3-pt shot from 26 ft,,9-14,,
6:24.0,,,9-14,,Defensive rebound by Team
6:14.0,,,9-14,,Turnover by J. Valanciunas (bad pass; steal by S. Rodriguez)
6:08.0,J. Okafor makes 2-pt shot at rim (assist by S. Rodriguez),2,11-14,,
6:00.0,,,11-14,,Toronto full timeout
5:41.0,,,11-14,,D. DeRozan misses 2-pt shot from 20 ft
5:41.0,Defensive rebound by E. Ilyasova,,11-14,,
