time,San Antonio,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. D. Dedmon (L. Aldridge gains possession),,,,Jump ball: S. Adams vs. D. Dedmon (L. Aldridge gains possession)
11:34.0,L. Aldridge misses 3-pt shot from 24 ft,,0-0,,
11:33.0,,,0-0,,Defensive rebound by A. Roberson
11:15.0,,,0-0,,D. Sabonis misses 3-pt shot from 25 ft
11:15.0,,,0-0,,Offensive rebound by R. Westbrook
11:12.0,,,0-0,,Turnover by R. Westbrook (bad pass; steal by D. Green)
10:56.0,L. Aldridge misses 2-pt shot from 18 ft,,0-0,,
10:56.0,,,0-0,,Defensive rebound by R. Westbrook
10:53.0,,,0-0,,Turnover by R. Westbrook (bad pass)
10:32.0,K. Leonard misses 2-pt shot from 11 ft,,0-0,,
10:31.0,Offensive rebound by L. Aldridge,,0-0,,
10:31.0,L. Aldridge misses 2-pt shot from 1 ft,,0-0,,
10:30.0,,,0-0,,Defensive rebound by D. Sabonis
10:17.0,,,0-0,,V. Oladipo misses 2-pt shot from 15 ft
10:16.0,Defensive rebound by L. Aldridge,,0-0,,
10:05.0,,,0-0,,Violation by S. Adams (kicked ball)
10:03.0,Turnover by D. Green (traveling),,0-0,,
9:53.0,,,0-2,2,R. Westbrook makes 2-pt shot from 14 ft
9:29.0,K. Leonard misses 2-pt shot from 15 ft (block by A. Roberson),,0-2,,
9:28.0,,,0-2,,Defensive rebound by A. Roberson
9:20.0,,,0-2,,Shooting foul by L. Aldridge (drawn by D. Sabonis)
9:20.0,,,0-3,1,D. Sabonis makes free throw 1 of 2
9:20.0,,,0-4,1,D. Sabonis makes free throw 2 of 2
9:10.0,,,0-4,,Violation by A. Roberson (kicked ball)
9:03.0,Shooting foul by D. Sabonis (drawn by L. Aldridge),,0-4,,
9:03.0,L. Aldridge misses free throw 1 of 2,,0-4,,
9:03.0,Offensive rebound by Team,,0-4,,
9:03.0,L. Aldridge makes free throw 2 of 2,1,1-4,,
8:42.0,,,1-4,,S. Adams misses 2-pt shot from 7 ft
8:41.0,Defensive rebound by L. Aldridge,,1-4,,
8:32.0,L. Aldridge makes 2-pt shot from 21 ft (assist by T. Parker),2,3-4,,
8:22.0,Personal foul by K. Leonard (drawn by V. Oladipo),,3-4,,
8:14.0,,,3-4,,V. Oladipo misses 2-pt shot from 11 ft (block by K. Leonard)
8:13.0,,,3-4,,Offensive rebound by A. Roberson
8:13.0,,,3-4,,A. Roberson misses 2-pt shot from 2 ft (block by D. Green)
8:11.0,,,3-4,,Offensive rebound by A. Roberson
8:09.0,,,3-4,,A. Roberson misses 2-pt shot from 3 ft (block by L. Aldridge)
8:07.0,,,3-4,,Offensive rebound by S. Adams
8:07.0,,,3-6,2,S. Adams makes 2-pt shot from 2 ft
7:54.0,Turnover by T. Parker (bad pass; steal by S. Adams),,3-6,,
7:50.0,,,3-8,2,V. Oladipo makes 2-pt shot at rim (assist by R. Westbrook)
7:36.0,T. Parker misses 2-pt shot from 2 ft,,3-8,,
7:36.0,,,3-8,,Defensive rebound by D. Sabonis
7:31.0,,,3-10,2,V. Oladipo makes 2-pt shot from 2 ft (assist by R. Westbrook)
7:31.0,San Antonio full timeout,,3-10,,
7:31.0,Violation by Team (jump ball),,3-10,,
7:05.0,D. Green misses 3-pt shot from 24 ft,,3-10,,
7:04.0,,,3-10,,Defensive rebound by A. Roberson
6:52.0,,,3-12,2,R. Westbrook makes 2-pt shot from 18 ft
6:30.0,Turnover by D. Dedmon (3 sec),,3-12,,
6:30.0,P. Gasol enters the game for D. Dedmon,,3-12,,
6:19.0,,,3-14,2,A. Roberson makes 2-pt shot from 1 ft (assist by R. Westbrook)
5:59.0,T. Parker makes 2-pt shot from 18 ft,2,5-14,,
5:42.0,,,5-14,,A. Abrines enters the game for V. Oladipo
5:38.0,,,5-14,,R. Westbrook misses 2-pt shot from 2 ft (block by P. Gasol)
5:37.0,Defensive rebound by L. Aldridge,,5-14,,
5:23.0,K. Leonard misses 3-pt shot from 25 ft,,5-14,,
5:22.0,,,5-14,,Defensive rebound by R. Westbrook
5:18.0,,,5-14,,Turnover by A. Abrines (step out of bounds)
5:18.0,,,5-14,,E. Kanter enters the game for D. Sabonis
5:18.0,M. Ginobili enters the game for T. Parker,,5-14,,
5:18.0,P. Mills enters the game for D. Green,,5-14,,
5:06.0,P. Gasol misses 2-pt shot from 16 ft,,5-14,,
5:05.0,,,5-14,,Defensive rebound by R. Westbrook
4:58.0,,,5-14,,Turnover by R. Westbrook (traveling)
4:37.0,P. Gasol makes 2-pt shot at rim (assist by M. Ginobili),2,7-14,,
4:16.0,,,7-14,,R. Westbrook misses 3-pt shot from 25 ft
4:16.0,,,7-14,,Offensive rebound by S. Adams
4:09.0,,,7-14,,Offensive foul by S. Adams
4:09.0,,,7-14,,Turnover by S. Adams (offensive foul)
3:52.0,L. Aldridge misses 2-pt shot from 5 ft,,7-14,,
3:52.0,,,7-14,,Defensive rebound by R. Westbrook
3:41.0,,,7-14,,A. Roberson misses 2-pt shot from 2 ft (block by P. Gasol)
3:40.0,,,7-14,,Offensive rebound by A. Roberson
3:36.0,,,7-14,,E. Kanter misses 2-pt shot from 16 ft
3:36.0,,,7-14,,Offensive rebound by S. Adams
3:34.0,,,7-14,,Shooting foul by L. Aldridge (drawn by R. Westbrook)
3:34.0,,,7-15,1,R. Westbrook makes free throw 1 of 2
3:34.0,,,7-16,1,R. Westbrook makes free throw 2 of 2
3:34.0,D. Lee enters the game for L. Aldridge,,7-15,,
3:23.0,K. Leonard makes 2-pt shot from 16 ft (assist by P. Mills),2,9-16,,
3:07.0,,,9-18,2,A. Abrines makes 2-pt shot from 4 ft (assist by R. Westbrook)
