time,Washington,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. M. Gortat (G. Hayward gains possession),,,,Jump ball: R. Gobert vs. M. Gortat (G. Hayward gains possession)
11:44.0,,,0-3,3,R. Hood makes 3-pt shot from 26 ft (assist by B. Diaw)
11:24.0,M. Gortat misses 2-pt shot from 5 ft,,0-3,,
11:24.0,,,0-3,,Defensive rebound by G. Hayward
11:15.0,,,0-5,2,R. Gobert makes 2-pt shot at rim (assist by B. Diaw)
10:54.0,O. Porter misses 3-pt shot from 25 ft,,0-5,,
10:54.0,,,0-5,,Defensive rebound by D. Exum
10:34.0,,,0-8,3,R. Hood makes 3-pt shot from 23 ft
10:10.0,M. Morris makes 2-pt shot from 21 ft,2,2-8,,
9:53.0,Personal foul by O. Porter (drawn by G. Hayward),,2-8,,
9:46.0,,,2-8,,D. Exum misses 2-pt shot at rim
9:46.0,Defensive rebound by M. Gortat,,2-8,,
9:39.0,M. Morris misses 3-pt shot from 25 ft,,2-8,,
9:38.0,Offensive rebound by O. Porter,,2-8,,
9:36.0,O. Porter misses 2-pt shot from 1 ft,,2-8,,
9:35.0,,,2-8,,Defensive rebound by B. Diaw
9:29.0,,,2-10,2,R. Gobert makes 2-pt shot at rim (assist by B. Diaw)
9:17.0,B. Beal makes 3-pt shot from 25 ft,3,5-10,,
8:53.0,,,5-10,,G. Hayward misses 2-pt shot from 13 ft
8:53.0,Defensive rebound by M. Gortat,,5-10,,
8:46.0,J. Wall misses 2-pt shot from 18 ft,,5-10,,
8:46.0,,,5-10,,Defensive rebound by R. Gobert
8:31.0,Personal foul by O. Porter (drawn by D. Exum),,5-10,,
8:31.0,K. Oubre enters the game for O. Porter,,5-10,,
8:16.0,,,5-10,,Turnover by Team (shot clock)
8:06.0,B. Beal misses 2-pt shot from 20 ft,,5-10,,
8:05.0,,,5-10,,Defensive rebound by R. Gobert
7:57.0,,,5-13,3,R. Hood makes 3-pt shot from 23 ft (assist by D. Exum)
7:32.0,M. Morris misses 2-pt shot from 9 ft,,5-13,,
7:31.0,,,5-13,,Defensive rebound by R. Gobert
7:14.0,,,5-13,,B. Diaw misses 3-pt shot from 24 ft
7:13.0,Defensive rebound by M. Morris,,5-13,,
7:11.0,,,5-13,,Personal foul by D. Exum (drawn by J. Wall)
7:11.0,,,5-13,,J. Ingles enters the game for R. Hood
6:58.0,Turnover by K. Oubre (lost ball),,5-13,,
6:44.0,,,5-15,2,R. Gobert makes 2-pt shot from 1 ft (assist by J. Ingles)
6:26.0,,,5-15,,Personal foul by D. Exum (drawn by K. Oubre)
6:26.0,,,5-15,,J. Johnson enters the game for B. Diaw
6:26.0,,,5-15,,S. Mack enters the game for D. Exum
6:20.0,J. Wall makes 2-pt shot from 2 ft,2,7-15,,
6:09.0,,,7-15,,Turnover by J. Ingles (lost ball)
5:51.0,J. Wall misses 2-pt shot from 9 ft,,7-15,,
5:50.0,,,7-15,,Defensive rebound by J. Johnson
5:35.0,,,7-15,,Shooting foul by K. Oubre (drawn by J. Ingles)
5:35.0,,,7-15,,Utah full timeout
5:35.0,,,7-15,,J. Ingles misses free throw 1 of 2
5:35.0,,,7-15,,Offensive rebound by Team
5:35.0,,,7-16,1,J. Ingles makes free throw 2 of 2
5:16.0,M. Morris misses 2-pt shot at rim (block by J. Johnson),,7-16,,
5:15.0,Offensive rebound by M. Gortat,,7-16,,
5:14.0,M. Gortat misses 2-pt shot from 16 ft,,7-16,,
5:14.0,Offensive rebound by Team,,7-16,,
5:14.0,,,7-16,,Loose ball foul by J. Johnson (drawn by M. Morris)
5:06.0,J. Wall makes 2-pt shot from 2 ft,2,9-16,,
4:42.0,,,9-16,,Turnover by G. Hayward (bad pass; steal by K. Oubre)
4:36.0,B. Beal makes 2-pt shot from 2 ft,2,11-16,,
4:07.0,,,11-16,,S. Mack misses 2-pt shot from 14 ft
4:07.0,Defensive rebound by K. Oubre,,11-16,,
3:59.0,J. Wall misses 2-pt shot from 2 ft,,11-16,,
3:58.0,Offensive rebound by M. Gortat,,11-16,,
3:58.0,M. Gortat makes 2-pt shot from 2 ft,2,13-16,,
3:38.0,,,13-19,3,J. Johnson makes 3-pt shot from 23 ft (assist by J. Ingles)
3:19.0,K. Oubre makes 2-pt shot from 19 ft (assist by J. Wall),2,15-19,,
2:59.0,,,15-19,,R. Gobert misses 2-pt shot from 5 ft
2:58.0,Defensive rebound by B. Beal,,15-19,,
2:42.0,B. Beal misses 3-pt shot from 23 ft,,15-19,,
2:41.0,Offensive rebound by B. Beal,,15-19,,
2:31.0,B. Beal makes 2-pt shot from 1 ft,2,17-19,,
2:09.0,,,17-19,,J. Johnson misses 2-pt shot from 19 ft
2:08.0,Defensive rebound by K. Oubre,,17-19,,
1:54.0,J. Wall misses 2-pt shot from 2 ft,,17-19,,
1:54.0,Offensive rebound by M. Morris,,17-19,,
1:54.0,M. Morris makes 2-pt shot at rim,2,19-19,,
1:54.0,,,19-19,,Utah full timeout
1:54.0,Washington full timeout,,19-19,,
1:54.0,I. Mahinmi enters the game for M. Gortat,,19-19,,
1:54.0,,,19-19,,J. Withey enters the game for R. Gobert
1:54.0,B. Bogdanovic enters the game for M. Morris,,19-19,,
1:54.0,B. Jennings enters the game for B. Beal,,19-19,,
1:33.0,,,19-19,,G. Hayward misses 3-pt shot from 25 ft
1:33.0,Defensive rebound by K. Oubre,,19-19,,
1:17.0,J. Wall misses 2-pt shot from 1 ft,,19-19,,
1:17.0,,,19-19,,Defensive rebound by G. Hayward
0:54.0,,,19-19,,J. Johnson misses 2-pt shot from 18 ft
0:54.0,,,19-19,,Offensive rebound by J. Withey
0:52.0,,,19-21,2,J. Withey makes 2-pt shot from 2 ft
0:35.0,K. Oubre misses 3-pt shot from 24 ft,,19-21,,
0:35.0,,,19-21,,Defensive rebound by J. Johnson
0:22.0,,,19-23,2,S. Mack makes 2-pt shot from 2 ft (assist by J. Johnson)
0:22.0,,,19-23,,Shooting foul by I. Mahinmi (drawn by S. Mack)
0:22.0,,,19-24,1,S. Mack makes free throw 1 of 1
0:22.0,,,19-23,,R. Hood enters the game for G. Hayward
0:02.0,I. Mahinmi misses 2-pt shot from 2 ft,,19-24,,
0:01.0,,,19-24,,Defensive rebound by J. Ingles
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,Shooting foul by J. Ingles (drawn by B. Bogdanovic),,19-24,,
11:47.0,B. Bogdanovic makes free throw 1 of 2,1,20-24,,
11:47.0,B. Bogdanovic makes free throw 2 of 2,1,21-24,,
11:32.0,,,21-24,,R. Hood misses 2-pt shot from 19 ft
11:31.0,Defensive rebound by J. Smith,,21-24,,
11:22.0,B. Bogdanovic makes 2-pt shot from 2 ft,2,23-24,,
11:08.0,,,23-24,,Shooting foul by B. Bogdanovic (drawn by J. Withey)
11:08.0,,,23-24,,J. Withey misses free throw 1 of 2
11:08.0,,,23-24,,Offensive rebound by Team
11:08.0,,,23-25,1,J. Withey makes free throw 2 of 2
10:52.0,I. Mahinmi makes 2-pt shot from 2 ft (assist by B. Jennings),2,25-25,,
10:52.0,Shooting foul by J. Withey (drawn by I. Mahinmi),,25-25,,
10:52.0,I. Mahinmi misses free throw 1 of 1,,25-25,,
10:52.0,,,25-25,,Defensive rebound by J. Ingles
10:52.0,,,25-25,,D. Exum enters the game for S. Mack
10:30.0,,,25-25,,J. Ingles misses 2-pt shot from 12 ft
10:30.0,Defensive rebound by J. Smith,,25-25,,
10:09.0,J. Smith misses 3-pt shot from 25 ft,,25-25,,
10:09.0,,,25-25,,Defensive rebound by J. Johnson
9:48.0,,,25-25,,J. Withey misses 2-pt shot from 4 ft (block by J. Smith)
9:47.0,Defensive rebound by B. Jennings,,25-25,,
9:43.0,B. Bogdanovic misses 2-pt shot from 2 ft (block by J. Johnson),,25-25,,
9:40.0,Offensive rebound by K. Oubre,,25-25,,
9:39.0,K. Oubre makes 2-pt shot from 2 ft,2,27-25,,
9:23.0,,,27-25,,J. Johnson misses 3-pt shot from 25 ft
9:23.0,Defensive rebound by I. Mahinmi,,27-25,,
9:20.0,Offensive foul by J. Smith,,27-25,,
9:20.0,Turnover by J. Smith (offensive foul),,27-25,,
9:20.0,,,27-25,,R. Gobert enters the game for J. Withey
9:00.0,,,27-28,3,J. Ingles makes 3-pt shot from 25 ft (assist by R. Gobert)
8:42.0,B. Bogdanovic makes 2-pt shot from 17 ft,2,29-28,,
8:20.0,,,29-28,,Turnover by J. Johnson (lost ball; steal by K. Oubre)
8:16.0,K. Oubre makes 2-pt shot at rim (assist by B. Bogdanovic),2,31-28,,
8:16.0,,,31-28,,Utah full timeout
8:16.0,,,31-28,,B. Diaw enters the game for J. Johnson
8:16.0,M. Morris enters the game for J. Smith,,31-28,,
8:16.0,,,31-28,,G. Hayward enters the game for R. Hood
8:13.0,Personal foul by B. Jennings (drawn by D. Exum),,31-28,,
7:58.0,,,31-28,,Shooting foul by I. Mahinmi (drawn by R. Gobert)
7:58.0,,,31-28,,R. Gobert misses free throw 1 of 2
7:58.0,,,31-28,,Offensive rebound by Team
7:58.0,,,31-28,,R. Gobert misses free throw 2 of 2
7:58.0,Defensive rebound by I. Mahinmi,,31-28,,
7:43.0,M. Morris misses 2-pt shot from 7 ft,,31-28,,
7:42.0,,,31-28,,Defensive rebound by R. Gobert
7:35.0,,,31-28,,Turnover by J. Ingles (bad pass)
7:35.0,B. Beal enters the game for K. Oubre,,31-28,,
7:20.0,B. Bogdanovic misses 2-pt shot from 8 ft,,31-28,,
7:20.0,Offensive rebound by Team,,31-28,,
7:20.0,,,31-28,,Loose ball foul by B. Diaw (drawn by M. Morris)
7:20.0,,,31-28,,S. Mack enters the game for J. Ingles
7:07.0,Turnover by I. Mahinmi (traveling),,31-28,,
6:44.0,,,31-31,3,D. Exum makes 3-pt shot from 23 ft (assist by G. Hayward)
6:16.0,I. Mahinmi misses 2-pt shot from 4 ft,,31-31,,
6:16.0,Offensive rebound by Team,,31-31,,
6:16.0,,,31-31,,Loose ball foul by S. Mack (drawn by M. Morris)
6:16.0,J. Wall enters the game for B. Jennings,,31-31,,
6:16.0,O. Porter enters the game for B. Bogdanovic,,31-31,,
6:04.0,B. Beal misses 2-pt shot from 22 ft,,31-31,,
6:02.0,Offensive rebound by M. Morris,,31-31,,
6:02.0,M. Morris misses 2-pt shot from 1 ft,,31-31,,
6:01.0,,,31-31,,Defensive rebound by D. Exum
5:55.0,,,31-33,2,R. Gobert makes 2-pt shot from 1 ft (assist by D. Exum)
5:38.0,M. Morris misses 2-pt shot at rim (block by R. Gobert),,31-33,,
5:36.0,Offensive rebound by I. Mahinmi,,31-33,,
5:28.0,Turnover by Team (shot clock),,31-33,,
