time,Sacramento,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. K. Koufos (D. Cousins gains possession),,,,Jump ball: T. Chandler vs. K. Koufos (D. Cousins gains possession)
11:37.0,T. Lawson makes 2-pt shot from 16 ft (assist by K. Koufos),2,2-0,,
11:09.0,,,2-2,2,J. Dudley makes 2-pt shot from 6 ft
10:57.0,T. Lawson misses 3-pt shot from 23 ft,,2-2,,
10:54.0,,,2-2,,Defensive rebound by T. Warren
10:46.0,,,2-2,,D. Booker misses 3-pt shot from 28 ft
10:44.0,Defensive rebound by T. Lawson,,2-2,,
10:40.0,D. Cousins makes 2-pt shot from 2 ft (assist by T. Lawson),2,4-2,,
10:16.0,,,4-4,2,T. Chandler makes 2-pt shot at rim (assist by J. Dudley)
9:50.0,K. Koufos misses 2-pt shot from 8 ft,,4-4,,
9:47.0,,,4-4,,Defensive rebound by T. Chandler
9:44.0,,,4-4,,E. Bledsoe misses 2-pt shot from 22 ft
9:40.0,Defensive rebound by A. Afflalo,,4-4,,
9:29.0,K. Koufos misses 2-pt shot from 2 ft (block by J. Dudley),,4-4,,
9:29.0,Offensive rebound by Team,,4-4,,
9:27.0,D. Cousins misses 3-pt shot from 23 ft,,4-4,,
9:24.0,,,4-4,,Defensive rebound by J. Dudley
9:20.0,,,4-4,,D. Booker misses 3-pt shot from 26 ft
9:17.0,Defensive rebound by D. Cousins,,4-4,,
9:07.0,,,4-4,,Shooting block foul by D. Booker (drawn by T. Lawson)
9:07.0,T. Lawson makes free throw 1 of 2,1,5-4,,
9:07.0,T. Lawson makes free throw 2 of 2,1,6-4,,
8:51.0,Personal foul by D. Cousins (drawn by J. Dudley),,6-4,,
8:38.0,,,6-4,,J. Dudley misses 2-pt shot from 19 ft
8:36.0,Defensive rebound by A. Afflalo,,6-4,,
8:18.0,A. Afflalo makes 3-pt shot from 26 ft (assist by D. Cousins),3,9-4,,
8:04.0,,,9-6,2,E. Bledsoe makes 2-pt shot from 2 ft (assist by D. Booker)
7:52.0,K. Koufos misses 2-pt shot from 8 ft,,9-6,,
7:50.0,,,9-6,,Defensive rebound by T. Warren
7:42.0,,,9-8,2,D. Booker makes 2-pt shot from 8 ft
7:28.0,Shooting foul by T. Chandler (drawn by D. Cousins),,9-8,,
7:28.0,D. Cousins makes free throw 1 of 2,1,10-8,,
7:28.0,D. Cousins makes free throw 2 of 2,1,11-8,,
7:28.0,M. Barnes enters the game for K. Koufos,,10-8,,
7:14.0,,,11-10,2,E. Bledsoe makes 2-pt shot from 18 ft
6:58.0,M. Barnes misses 3-pt shot from 26 ft,,11-10,,
6:56.0,,,11-10,,Defensive rebound by E. Bledsoe
6:52.0,,,11-12,2,E. Bledsoe makes 2-pt shot from 3 ft
6:47.0,Offensive charge foul by D. Cousins,,11-12,,
6:47.0,Turnover by D. Cousins (offensive foul),,11-12,,
6:47.0,W. Cauley-Stein enters the game for D. Cousins,,11-12,,
6:24.0,,,11-12,,T. Warren misses 2-pt shot from 18 ft
6:20.0,Defensive rebound by T. Lawson,,11-12,,
6:19.0,T. Lawson misses 2-pt shot from 7 ft,,11-12,,
6:19.0,Offensive rebound by Team,,11-12,,
6:04.0,R. Gay misses 2-pt shot from 16 ft,,11-12,,
6:01.0,,,11-12,,Defensive rebound by E. Bledsoe
5:48.0,,,11-12,,T. Warren misses 3-pt shot from 22 ft
5:46.0,Defensive rebound by M. Barnes,,11-12,,
5:44.0,,,11-12,,Violation by J. Dudley (kicked ball)
5:44.0,,,11-12,,Phoenix full timeout
5:44.0,,,11-12,,B. Knight enters the game for T. Chandler
5:44.0,,,11-12,,A. Len enters the game for E. Bledsoe
5:33.0,A. Afflalo misses 2-pt shot from 16 ft,,11-12,,
5:32.0,Offensive rebound by T. Lawson,,11-12,,
5:28.0,Turnover by M. Barnes (bad pass; steal by A. Len),,11-12,,
5:17.0,,,11-14,2,J. Dudley makes 2-pt shot from 16 ft (assist by A. Len)
5:05.0,,,11-14,,Def 3 sec tech foul by A. Len
5:05.0,R. Gay makes technical free throw,1,12-14,,
5:00.0,R. Gay misses 3-pt shot from 26 ft,,12-14,,
4:58.0,,,12-14,,Defensive rebound by A. Len
4:49.0,,,12-14,,Turnover by B. Knight (bad pass; steal by T. Lawson)
4:45.0,M. Barnes makes 2-pt shot from 1 ft (assist by T. Lawson),2,14-14,,
4:21.0,,,14-14,,A. Len misses 2-pt shot from 9 ft
4:19.0,Defensive rebound by M. Barnes,,14-14,,
4:17.0,,,14-14,,Personal foul by D. Booker (drawn by A. Afflalo)
4:17.0,A. Tolliver enters the game for R. Gay,,14-14,,
4:17.0,,,14-14,,E. Bledsoe enters the game for D. Booker
4:02.0,A. Afflalo misses 2-pt shot from 15 ft,,14-14,,
3:59.0,,,14-14,,Defensive rebound by T. Warren
3:49.0,,,14-14,,Shooting foul by M. Barnes (drawn by T. Warren)
3:49.0,,,14-15,1,T. Warren makes free throw 1 of 2
3:49.0,,,14-16,1,T. Warren makes free throw 2 of 2
3:49.0,G. Temple enters the game for T. Lawson,,14-15,,
3:49.0,,,14-15,,M. Chriss enters the game for J. Dudley
3:35.0,Turnover by G. Temple (bad pass; steal by T. Warren),,14-16,,
3:30.0,,,14-18,2,T. Warren makes 2-pt shot from 1 ft
3:24.0,Sacramento full timeout,,14-18,,
3:24.0,,,14-18,,P. Tucker enters the game for T. Warren
3:24.0,,,14-18,,L. Barbosa enters the game for E. Bledsoe
3:24.0,B. McLemore enters the game for A. Afflalo,,14-18,,
3:09.0,A. Tolliver misses 3-pt shot from 26 ft,,14-18,,
3:07.0,,,14-18,,Defensive rebound by L. Barbosa
3:03.0,,,14-18,,B. Knight misses 3-pt shot from 24 ft
3:00.0,Defensive rebound by A. Tolliver,,14-18,,
2:54.0,G. Temple makes 2-pt shot from 18 ft,2,16-18,,
2:39.0,,,16-18,,Turnover by P. Tucker (3 sec)
2:27.0,,,16-18,,Personal foul by L. Barbosa (drawn by A. Tolliver)
2:20.0,B. McLemore makes 2-pt shot from 19 ft (assist by G. Temple),2,18-18,,
2:07.0,,,18-18,,L. Barbosa misses 2-pt shot from 7 ft
2:07.0,Defensive rebound by Team,,18-18,,
1:52.0,W. Cauley-Stein makes 2-pt shot from 14 ft (assist by G. Temple),2,20-18,,
1:46.0,,,20-18,,L. Barbosa misses 2-pt shot from 3 ft
1:43.0,Defensive rebound by M. Barnes,,20-18,,
