time,Memphis,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. N. Noel (Y. Ferrell gains possession),,,,Jump ball: M. Gasol vs. N. Noel (Y. Ferrell gains possession)
11:44.0,,,0-0,,H. Barnes misses 2-pt shot from 19 ft
11:43.0,Defensive rebound by M. Gasol,,0-0,,
11:18.0,T. Allen misses 3-pt shot from 24 ft,,0-0,,
11:17.0,,,0-0,,Defensive rebound by S. Curry
11:08.0,,,0-2,2,S. Curry makes 2-pt shot from 19 ft
10:48.0,C. Parsons misses 2-pt shot from 11 ft,,0-2,,
10:47.0,,,0-2,,Defensive rebound by N. Noel
10:40.0,,,0-2,,Y. Ferrell misses 2-pt shot from 23 ft
10:39.0,Defensive rebound by Team,,0-2,,
10:28.0,Turnover by T. Allen (bad pass),,0-2,,
10:13.0,,,0-2,,S. Curry misses 2-pt shot from 9 ft
10:12.0,Defensive rebound by M. Conley,,0-2,,
10:01.0,M. Gasol makes 2-pt shot from 2 ft,2,2-2,,
9:45.0,,,2-4,2,N. Noel makes 2-pt shot from 2 ft (assist by D. Nowitzki)
9:45.0,,,2-4,,Shooting foul by J. Green (drawn by N. Noel)
9:45.0,,,2-4,,N. Noel misses free throw 1 of 1
9:45.0,Defensive rebound by M. Gasol,,2-4,,
9:27.0,M. Gasol misses 2-pt shot from 5 ft,,2-4,,
9:26.0,,,2-4,,Defensive rebound by D. Nowitzki
9:13.0,Personal foul by M. Conley (drawn by N. Noel),,2-4,,
9:02.0,Personal foul by C. Parsons (drawn by D. Nowitzki),,2-4,,
8:53.0,,,2-6,2,D. Nowitzki makes 2-pt shot from 16 ft (assist by Y. Ferrell)
8:39.0,C. Parsons makes 2-pt shot from 13 ft,2,4-6,,
8:13.0,,,4-6,,H. Barnes misses 2-pt shot from 19 ft
8:12.0,Defensive rebound by J. Green,,4-6,,
8:04.0,C. Parsons misses 3-pt shot from 24 ft,,4-6,,
8:03.0,,,4-6,,Defensive rebound by N. Noel
7:49.0,,,4-6,,H. Barnes misses 2-pt shot from 9 ft
7:48.0,Defensive rebound by J. Green,,4-6,,
7:37.0,Shooting foul by D. Nowitzki (drawn by M. Gasol),,4-6,,
7:37.0,M. Gasol misses free throw 1 of 2,,4-6,,
7:37.0,Offensive rebound by Team,,4-6,,
7:37.0,M. Gasol makes free throw 2 of 2,1,5-6,,
7:20.0,,,5-6,,D. Nowitzki misses 2-pt shot from 15 ft
7:19.0,,,5-6,,Offensive rebound by N. Noel
7:19.0,,,5-6,,N. Noel misses 2-pt shot from 1 ft
7:18.0,Defensive rebound by J. Green,,5-6,,
7:13.0,,,5-6,,Personal foul by N. Noel (drawn by M. Conley)
7:08.0,Turnover by M. Gasol (bad pass; steal by N. Noel),,5-6,,
6:58.0,,,5-6,,D. Nowitzki misses 2-pt shot from 16 ft
6:56.0,Defensive rebound by T. Allen,,5-6,,
6:45.0,C. Parsons misses 2-pt shot from 8 ft,,5-6,,
6:44.0,,,5-6,,Defensive rebound by D. Nowitzki
6:34.0,,,5-6,,Y. Ferrell misses 2-pt shot from 17 ft
6:33.0,Defensive rebound by M. Gasol,,5-6,,
6:19.0,M. Gasol misses 2-pt shot from 6 ft,,5-6,,
6:18.0,,,5-6,,Defensive rebound by N. Noel
6:15.0,,,5-6,,Dallas full timeout
6:15.0,,,5-6,,Q. Cook enters the game for D. Nowitzki
6:15.0,,,5-6,,D. Finney-Smith enters the game for Y. Ferrell
6:15.0,V. Carter enters the game for M. Gasol,,5-6,,
6:15.0,Z. Randolph enters the game for T. Allen,,5-6,,
6:03.0,,,5-6,,D. Finney-Smith misses 3-pt shot from 24 ft
6:02.0,Defensive rebound by V. Carter,,5-6,,
5:46.0,M. Conley makes 2-pt shot from 17 ft,2,7-6,,
5:26.0,,,7-6,,Q. Cook misses 3-pt shot from 25 ft
5:25.0,Defensive rebound by Z. Randolph,,7-6,,
5:15.0,M. Conley makes 2-pt shot from 18 ft,2,9-6,,
4:59.0,,,9-6,,H. Barnes misses 3-pt shot from 24 ft
4:58.0,Defensive rebound by C. Parsons,,9-6,,
4:37.0,M. Conley misses 3-pt shot from 23 ft,,9-6,,
4:36.0,,,9-6,,Defensive rebound by S. Curry
4:28.0,,,9-8,2,S. Curry makes 2-pt shot from 21 ft
4:07.0,C. Parsons makes 3-pt shot from 23 ft (assist by J. Green),3,12-8,,
3:50.0,,,12-11,3,Q. Cook makes 3-pt shot from 25 ft
3:40.0,,,12-11,,Personal foul by S. Curry (drawn by V. Carter)
3:40.0,M. Gasol enters the game for J. Green,,12-11,,
3:26.0,Z. Randolph makes 2-pt shot from 3 ft (assist by M. Conley),2,14-11,,
3:13.0,,,14-13,2,S. Curry makes 2-pt shot from 4 ft
3:13.0,,,14-13,,Shooting foul by V. Carter (drawn by S. Curry)
3:13.0,,,14-14,1,S. Curry makes free throw 1 of 1
3:13.0,T. Douglas enters the game for M. Conley,,14-13,,
3:13.0,T. Daniels enters the game for C. Parsons,,14-13,,
2:59.0,T. Daniels misses 2-pt shot from 16 ft,,14-14,,
2:57.0,Offensive rebound by Z. Randolph,,14-14,,
2:57.0,Z. Randolph makes 2-pt shot from 1 ft,2,16-14,,
2:34.0,,,16-16,2,D. Finney-Smith makes 2-pt shot at rim (assist by N. Noel)
2:12.0,Turnover by M. Gasol (bad pass; steal by H. Barnes),,16-16,,
2:09.0,,,16-16,,Shooting foul by T. Douglas (drawn by N. Noel)
2:09.0,Memphis full timeout,,16-16,,
2:09.0,,,16-17,1,N. Noel makes free throw 1 of 2
2:09.0,,,16-18,1,N. Noel makes free throw 2 of 2
2:09.0,,,16-16,,D. Harris enters the game for H. Barnes
2:09.0,,,16-16,,Y. Ferrell enters the game for S. Curry
2:09.0,,,16-16,,D. Nowitzki enters the game for Q. Cook
1:50.0,T. Daniels misses 3-pt shot from 24 ft,,16-18,,
1:49.0,Offensive rebound by Z. Randolph,,16-18,,
1:43.0,T. Daniels misses 3-pt shot from 24 ft,,16-18,,
1:42.0,,,16-18,,Defensive rebound by N. Noel
1:28.0,,,16-20,2,N. Noel makes 2-pt shot from 4 ft (assist by Y. Ferrell)
1:28.0,,,16-20,,Shooting foul by Z. Randolph (drawn by N. Noel)
1:28.0,,,16-20,,N. Noel misses free throw 1 of 1
1:27.0,Defensive rebound by Z. Randolph,,16-20,,
1:09.0,Z. Randolph makes 2-pt shot from 2 ft (assist by M. Gasol),2,18-20,,
1:07.0,Violation by Team (jump ball),,18-20,,
0:50.0,,,18-20,,D. Nowitzki misses 2-pt shot from 19 ft
0:49.0,Defensive rebound by M. Gasol,,18-20,,
0:34.0,Shooting foul by N. Noel (drawn by Z. Randolph),,18-20,,
