time,Chicago,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. R. Lopez (T. Gibson gains possession),,,,Jump ball: A. Johnson vs. R. Lopez (T. Gibson gains possession)
11:35.0,T. Gibson makes 2-pt shot from 8 ft (assist by D. Wade),2,2-0,,
11:17.0,,,2-2,2,A. Bradley makes 2-pt shot from 7 ft
11:05.0,R. Rondo misses 2-pt shot from 2 ft,,2-2,,
11:03.0,Offensive rebound by R. Lopez,,2-2,,
11:03.0,R. Lopez makes 2-pt shot at rim,2,4-2,,
10:51.0,,,4-2,,T. Zeller misses 2-pt shot from 3 ft (block by R. Lopez)
10:50.0,Defensive rebound by T. Gibson,,4-2,,
10:42.0,R. Rondo makes 2-pt shot from 1 ft,2,6-2,,
10:32.0,,,6-5,3,I. Thomas makes 3-pt shot from 24 ft (assist by A. Johnson)
10:16.0,R. Lopez makes 2-pt shot from 5 ft (assist by R. Rondo),2,8-5,,
10:03.0,,,8-5,,A. Bradley misses 2-pt shot from 17 ft
10:02.0,Defensive rebound by R. Rondo,,8-5,,
9:57.0,J. Butler misses 3-pt shot from 25 ft,,8-5,,
9:56.0,,,8-5,,Defensive rebound by J. Crowder
9:43.0,,,8-5,,J. Crowder misses 2-pt shot from 1 ft
9:42.0,Defensive rebound by R. Lopez,,8-5,,
9:38.0,J. Butler misses 2-pt shot from 1 ft,,8-5,,
9:37.0,Offensive rebound by T. Gibson,,8-5,,
9:37.0,T. Gibson misses 2-pt shot at rim,,8-5,,
9:36.0,Offensive rebound by J. Butler,,8-5,,
9:35.0,J. Butler makes 2-pt shot at rim,2,10-5,,
9:33.0,,,10-5,,Boston full timeout
9:20.0,,,10-5,,A. Bradley misses 2-pt shot from 21 ft
9:19.0,,,10-5,,Offensive rebound by T. Zeller
9:18.0,,,10-7,2,T. Zeller makes 2-pt shot from 1 ft
8:53.0,J. Butler misses 2-pt shot from 21 ft,,10-7,,
8:52.0,,,10-7,,Defensive rebound by J. Crowder
8:45.0,,,10-10,3,A. Bradley makes 3-pt shot from 25 ft
8:27.0,Shooting foul by T. Zeller (drawn by R. Lopez),,10-10,,
8:27.0,R. Lopez makes free throw 1 of 2,1,11-10,,
8:27.0,R. Lopez misses free throw 2 of 2,,11-10,,
8:27.0,,,11-10,,Defensive rebound by J. Crowder
8:09.0,,,11-12,2,I. Thomas makes 2-pt shot from 13 ft
7:51.0,T. Gibson misses 2-pt shot from 16 ft,,11-12,,
7:50.0,Offensive rebound by Team,,11-12,,
7:38.0,,,11-12,,Personal foul by A. Bradley (drawn by D. Wade)
7:26.0,T. Gibson misses 2-pt shot from 1 ft,,11-12,,
7:25.0,Offensive rebound by T. Gibson,,11-12,,
7:24.0,T. Gibson misses 2-pt shot at rim,,11-12,,
7:22.0,,,11-12,,Defensive rebound by J. Crowder
7:18.0,,,11-12,,I. Thomas misses 2-pt shot from 2 ft (block by R. Rondo)
7:17.0,,,11-12,,Offensive rebound by A. Bradley
7:12.0,,,11-12,,I. Thomas misses 3-pt shot from 23 ft
7:11.0,Defensive rebound by R. Rondo,,11-12,,
7:05.0,Turnover by R. Rondo (bad pass; steal by A. Johnson),,11-12,,
7:02.0,Personal foul by J. Butler (drawn by I. Thomas),,11-12,,
6:52.0,,,11-15,3,J. Crowder makes 3-pt shot from 24 ft (assist by A. Johnson)
6:43.0,,,11-15,,Personal foul by A. Bradley (drawn by J. Butler)
6:29.0,D. Wade makes 2-pt shot from 18 ft,2,13-15,,
6:16.0,Personal foul by R. Rondo (drawn by I. Thomas),,13-15,,
6:12.0,,,13-15,,I. Thomas misses 2-pt shot from 3 ft (block by T. Gibson)
6:11.0,,,13-15,,Offensive rebound by Team
6:08.0,,,13-17,2,J. Crowder makes 2-pt shot at rim (assist by A. Bradley)
5:52.0,J. Butler misses 2-pt shot from 1 ft,,13-17,,
5:51.0,,,13-17,,Defensive rebound by A. Johnson
5:46.0,,,13-20,3,J. Crowder makes 3-pt shot from 26 ft (assist by I. Thomas)
5:46.0,Chicago full timeout,,13-20,,
5:46.0,,,13-20,,M. Smart enters the game for A. Johnson
5:28.0,D. Wade misses 2-pt shot from 16 ft,,13-20,,
5:27.0,,,13-20,,Defensive rebound by M. Smart
5:13.0,,,13-20,,I. Thomas misses 2-pt shot from 15 ft
