time,Sacramento,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Jokic vs. K. Koufos (E. Mudiay gains possession),,,,Jump ball: N. Jokic vs. K. Koufos (E. Mudiay gains possession)
11:42.0,,,0-0,,G. Harris misses 2-pt shot from 19 ft
11:41.0,Defensive rebound by D. Collison,,0-0,,
11:27.0,Shooting foul by W. Chandler (drawn by D. Cousins),,0-0,,
11:27.0,D. Cousins makes free throw 1 of 2,1,1-0,,
11:27.0,D. Cousins makes free throw 2 of 2,1,2-0,,
11:14.0,,,2-3,3,W. Chandler makes 3-pt shot from 26 ft (assist by D. Gallinari)
10:52.0,D. Collison misses 2-pt shot from 3 ft (block by D. Gallinari),,2-3,,
10:52.0,Offensive rebound by Team,,2-3,,
10:46.0,D. Cousins misses 3-pt shot from 26 ft,,2-3,,
10:45.0,,,2-3,,Defensive rebound by D. Gallinari
10:28.0,,,2-5,2,N. Jokic makes 2-pt shot from 5 ft
10:17.0,M. Barnes misses 3-pt shot from 25 ft,,2-5,,
10:16.0,,,2-5,,Defensive rebound by D. Gallinari
10:09.0,,,2-5,,D. Gallinari misses 3-pt shot from 26 ft
10:08.0,Defensive rebound by B. McLemore,,2-5,,
10:01.0,Turnover by D. Collison (bad pass; steal by N. Jokic),,2-5,,
9:49.0,,,2-5,,G. Harris misses 3-pt shot from 26 ft
9:48.0,Defensive rebound by D. Cousins,,2-5,,
9:33.0,D. Cousins makes 2-pt shot from 2 ft,2,4-5,,
9:15.0,,,4-8,3,D. Gallinari makes 3-pt shot from 25 ft (assist by G. Harris)
8:56.0,B. McLemore misses 2-pt shot from 21 ft,,4-8,,
8:55.0,,,4-8,,Defensive rebound by W. Chandler
8:47.0,,,4-8,,N. Jokic misses 2-pt shot from 4 ft
8:46.0,Defensive rebound by D. Cousins,,4-8,,
8:34.0,Sacramento full timeout,,4-8,,
8:25.0,D. Cousins makes 2-pt shot from 17 ft (assist by D. Collison),2,6-8,,
8:06.0,,,6-11,3,D. Gallinari makes 3-pt shot from 27 ft (assist by E. Mudiay)
7:51.0,K. Koufos makes 2-pt shot from 3 ft (assist by D. Cousins),2,8-11,,
7:37.0,,,8-11,,N. Jokic misses 3-pt shot from 25 ft
7:37.0,Defensive rebound by D. Cousins,,8-11,,
7:28.0,D. Cousins misses 2-pt shot from 11 ft,,8-11,,
7:27.0,,,8-11,,Defensive rebound by N. Jokic
7:19.0,,,8-14,3,W. Chandler makes 3-pt shot from 24 ft (assist by N. Jokic)
7:06.0,D. Collison makes 3-pt shot from 25 ft,3,11-14,,
6:47.0,,,11-14,,W. Chandler misses 3-pt shot from 26 ft
6:47.0,Defensive rebound by B. McLemore,,11-14,,
6:35.0,D. Cousins makes 3-pt shot from 25 ft (assist by D. Collison),3,14-14,,
6:18.0,,,14-16,2,G. Harris makes 2-pt shot from 3 ft (assist by N. Jokic)
5:59.0,D. Collison makes 2-pt shot from 2 ft,2,16-16,,
5:48.0,,,16-16,,E. Mudiay misses 3-pt shot from 26 ft
5:48.0,Defensive rebound by M. Barnes,,16-16,,
5:43.0,D. Collison makes 2-pt shot from 3 ft (assist by M. Barnes),2,18-16,,
5:42.0,,,18-16,,Denver full timeout
5:42.0,,,18-16,,D. Arthur enters the game for W. Chandler
5:26.0,Personal foul by B. McLemore (drawn by G. Harris),,18-16,,
5:13.0,,,18-19,3,D. Gallinari makes 3-pt shot from 23 ft (assist by E. Mudiay)
4:58.0,B. McLemore misses 3-pt shot from 26 ft,,18-19,,
4:57.0,,,18-19,,Defensive rebound by D. Arthur
4:49.0,,,18-19,,Turnover by D. Gallinari (lost ball; steal by M. Barnes)
4:43.0,M. Barnes misses 2-pt shot at rim,,18-19,,
4:42.0,,,18-19,,Defensive rebound by E. Mudiay
4:42.0,,,18-19,,Turnover by D. Arthur (step out of bounds)
4:29.0,,,18-19,,Personal foul by D. Arthur (drawn by D. Cousins)
4:23.0,A. Tolliver enters the game for B. McLemore,,18-19,,
4:23.0,A. Afflalo enters the game for K. Koufos,,18-19,,
4:11.0,D. Collison misses 3-pt shot from 25 ft,,18-19,,
4:11.0,,,18-19,,Defensive rebound by Team
3:57.0,,,18-22,3,D. Arthur makes 3-pt shot from 25 ft (assist by G. Harris)
3:44.0,D. Cousins misses 2-pt shot from 3 ft (block by D. Arthur),,18-22,,
3:44.0,Offensive rebound by Team,,18-22,,
3:44.0,,,18-22,,J. Nelson enters the game for E. Mudiay
3:40.0,A. Afflalo makes 2-pt shot from 5 ft (assist by D. Collison),2,20-22,,
3:19.0,,,20-22,,N. Jokic misses 2-pt shot from 16 ft
3:19.0,Defensive rebound by Team,,20-22,,
3:19.0,,,20-22,,J. Nurkic enters the game for N. Jokic
3:07.0,A. Afflalo makes 2-pt shot from 7 ft (assist by A. Tolliver),2,22-22,,
2:57.0,G. Temple enters the game for M. Barnes,,22-22,,
2:43.0,,,22-24,2,J. Nurkic makes 2-pt shot from 2 ft
2:26.0,D. Cousins makes 3-pt shot from 25 ft (assist by G. Temple),3,25-24,,
2:06.0,,,25-26,2,D. Gallinari makes 2-pt shot from 2 ft
1:49.0,A. Tolliver misses 3-pt shot from 26 ft,,25-26,,
1:48.0,,,25-26,,Defensive rebound by J. Nelson
1:40.0,,,25-26,,Offensive foul by J. Nurkic
1:40.0,,,25-26,,Turnover by J. Nurkic (offensive foul)
1:35.0,,,25-26,,W. Barton enters the game for G. Harris
1:27.0,D. Collison misses 2-pt shot from 17 ft,,25-26,,
1:26.0,,,25-26,,Defensive rebound by J. Nurkic
1:18.0,,,25-28,2,J. Nurkic makes 2-pt shot at rim (assist by J. Nelson)
1:00.0,D. Cousins misses 2-pt shot from 19 ft,,25-28,,
0:59.0,Offensive rebound by G. Temple,,25-28,,
0:52.0,A. Afflalo misses 3-pt shot from 27 ft,,25-28,,
0:51.0,,,25-28,,Defensive rebound by J. Nurkic
0:49.0,Personal foul by A. Afflalo (drawn by D. Arthur),,25-28,,
0:49.0,,,25-28,,W. Chandler enters the game for D. Gallinari
0:49.0,K. Koufos enters the game for D. Cousins,,25-28,,
0:39.0,,,25-28,,Turnover by D. Arthur (lost ball; steal by D. Collison)
0:25.0,D. Collison makes 2-pt shot from 16 ft,2,27-28,,
0:08.0,,,27-28,,Turnover by J. Nelson (bad pass)
0:08.0,D. Cousins enters the game for K. Koufos,,27-28,,
0:05.0,Shooting foul by J. Nelson (drawn by D. Collison),,27-28,,
0:05.0,D. Collison makes free throw 1 of 2,1,28-28,,
0:05.0,D. Collison makes free throw 2 of 2,1,29-28,,
0:05.0,K. Koufos enters the game for D. Cousins,,28-28,,
0:01.0,,,29-28,,J. Nelson misses 3-pt shot from 29 ft
0:00.0,,,29-28,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
12:00.0,G. Temple misses 2-pt shot from 2 ft,,29-28,,
12:00.0,Offensive rebound by Team,,29-28,,
11:49.0,,,29-28,,Loose ball foul by J. Murray (drawn by O. Casspi)
11:37.0,A. Afflalo makes 2-pt shot from 5 ft,2,31-28,,
11:31.0,,,31-28,,Turnover by W. Barton (bad pass; steal by G. Temple)
11:27.0,Turnover by G. Temple (bad pass; steal by W. Chandler),,31-28,,
11:15.0,,,31-28,,J. Murray misses 3-pt shot from 27 ft
11:14.0,Defensive rebound by K. Koufos,,31-28,,
11:02.0,K. Koufos misses 2-pt shot from 3 ft,,31-28,,
11:01.0,,,31-28,,Defensive rebound by W. Barton
10:55.0,,,31-31,3,J. Nelson makes 3-pt shot from 27 ft (assist by W. Chandler)
10:34.0,K. Koufos makes 2-pt shot from 5 ft,2,33-31,,
10:21.0,,,33-34,3,W. Barton makes 3-pt shot from 25 ft (assist by J. Nelson)
10:06.0,A. Tolliver misses 3-pt shot from 26 ft,,33-34,,
10:05.0,,,33-34,,Defensive rebound by J. Nurkic
9:54.0,,,33-34,,W. Chandler misses 3-pt shot from 24 ft
9:54.0,Defensive rebound by O. Casspi,,33-34,,
9:33.0,K. Koufos makes 2-pt shot from 9 ft (assist by G. Temple),2,35-34,,
9:20.0,,,35-36,2,W. Chandler makes 2-pt shot at rim (assist by J. Nelson)
9:01.0,O. Casspi misses 2-pt shot from 3 ft,,35-36,,
8:59.0,Offensive rebound by O. Casspi,,35-36,,
8:58.0,O. Casspi misses 2-pt shot from 1 ft,,35-36,,
8:56.0,Offensive rebound by K. Koufos,,35-36,,
8:56.0,K. Koufos makes 2-pt shot from 1 ft,2,37-36,,
8:39.0,,,37-36,,J. Nurkic misses 2-pt shot from 19 ft
8:38.0,Defensive rebound by A. Afflalo,,37-36,,
8:31.0,G. Temple misses 2-pt shot from 15 ft,,37-36,,
8:31.0,,,37-36,,Defensive rebound by W. Barton
8:29.0,,,37-36,,Turnover by W. Barton (bad pass)
8:29.0,Official timeout,,37-36,,
8:29.0,,,37-36,,N. Jokic enters the game for J. Nurkic
8:29.0,W. Cauley-Stein enters the game for K. Koufos,,37-36,,
8:20.0,Turnover by W. Cauley-Stein (bad pass),,37-36,,
8:04.0,,,37-36,,W. Chandler misses 2-pt shot from 8 ft (block by G. Temple)
8:02.0,Defensive rebound by A. Tolliver,,37-36,,
7:44.0,W. Cauley-Stein misses 2-pt shot from 3 ft,,37-36,,
7:43.0,,,37-36,,Defensive rebound by N. Jokic
7:37.0,,,37-36,,J. Nelson misses 3-pt shot from 26 ft
7:35.0,Defensive rebound by A. Afflalo,,37-36,,
7:20.0,A. Afflalo makes 2-pt shot from 16 ft,2,39-36,,
7:20.0,Shooting foul by J. Murray (drawn by A. Afflalo),,39-36,,
7:20.0,A. Afflalo makes free throw 1 of 1,1,40-36,,
7:20.0,D. Cousins enters the game for W. Cauley-Stein,,39-36,,
7:20.0,M. Barnes enters the game for A. Tolliver,,39-36,,
7:16.0,Personal foul by D. Cousins (drawn by N. Jokic),,40-36,,
7:04.0,,,40-36,,Turnover by N. Jokic (3 sec)
6:56.0,Shooting foul by N. Jokic (drawn by D. Cousins),,40-36,,
6:56.0,D. Cousins makes free throw 1 of 2,1,41-36,,
6:56.0,D. Cousins makes free throw 2 of 2,1,42-36,,
6:56.0,D. Collison enters the game for A. Afflalo,,41-36,,
6:41.0,,,42-36,,J. Murray misses 3-pt shot from 24 ft
6:41.0,Defensive rebound by G. Temple,,42-36,,
6:41.0,,,42-36,,Personal foul by W. Chandler (drawn by G. Temple)
