time,New Orleans,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. C. Zeller (D. Cousins gains possession),,,,Jump ball: A. Davis vs. C. Zeller (D. Cousins gains possession)
11:48.0,A. Davis misses 2-pt shot from 17 ft,,0-0,,
11:46.0,,,0-0,,Defensive rebound by N. Batum
11:28.0,,,0-0,,Turnover by K. Walker (lost ball; steal by S. Hill)
11:13.0,D. Cousins makes 2-pt shot from 1 ft,2,2-0,,
10:58.0,,,2-3,3,K. Walker makes 3-pt shot from 25 ft (assist by N. Batum)
10:36.0,S. Hill makes 3-pt shot from 25 ft (assist by D. Cousins),3,5-3,,
10:20.0,,,5-5,2,C. Zeller makes 2-pt shot at rim (assist by K. Walker)
10:06.0,A. Davis makes 2-pt shot from 16 ft (assist by H. Thompson),2,7-5,,
9:36.0,,,7-7,2,M. Williams makes 2-pt shot from 4 ft
9:26.0,D. Cousins misses 2-pt shot from 19 ft,,7-7,,
9:25.0,,,7-7,,Defensive rebound by K. Walker
9:18.0,,,7-7,,N. Batum misses 3-pt shot from 25 ft
9:17.0,Defensive rebound by H. Thompson,,7-7,,
8:56.0,Turnover by D. Cousins (lost ball; steal by C. Zeller),,7-7,,
8:51.0,Personal foul by D. Cousins (drawn by C. Zeller),,7-7,,
8:45.0,Def 3 sec tech foul by H. Thompson,,7-7,,
8:45.0,,,7-8,1,N. Batum makes technical free throw
8:35.0,,,7-10,2,M. Williams makes 2-pt shot from 8 ft (assist by K. Walker)
8:20.0,D. Cousins makes 3-pt shot from 24 ft (assist by J. Holiday),3,10-10,,
8:07.0,,,10-10,,N. Batum misses 3-pt shot from 25 ft
8:05.0,,,10-10,,Offensive rebound by M. Williams
7:58.0,,,10-10,,Turnover by M. Williams (bad pass)
7:50.0,D. Cousins misses 2-pt shot at rim,,10-10,,
7:49.0,,,10-10,,Defensive rebound by C. Zeller
7:45.0,,,10-10,,M. Williams misses 3-pt shot from 25 ft
7:45.0,Defensive rebound by Team,,10-10,,
7:29.0,D. Cousins misses 3-pt shot from 25 ft,,10-10,,
7:27.0,Offensive rebound by H. Thompson,,10-10,,
7:24.0,Shooting foul by K. Walker (drawn by A. Davis),,10-10,,
7:24.0,A. Davis makes free throw 1 of 2,1,11-10,,
7:24.0,A. Davis makes free throw 2 of 2,1,12-10,,
7:04.0,,,12-10,,K. Walker misses 3-pt shot from 25 ft
7:03.0,Defensive rebound by A. Davis,,12-10,,
6:53.0,D. Cousins misses 2-pt shot from 1 ft,,12-10,,
6:52.0,Offensive rebound by A. Davis,,12-10,,
6:52.0,A. Davis makes 2-pt shot at rim,2,14-10,,
6:41.0,,,14-10,,M. Williams misses 3-pt shot from 24 ft
6:40.0,Defensive rebound by A. Davis,,14-10,,
6:40.0,,,14-10,,Personal foul by C. Zeller (drawn by D. Cousins)
6:40.0,,,14-10,,M. Belinelli enters the game for M. Kidd-Gilchrist
6:35.0,Turnover by J. Holiday (bad pass; steal by M. Williams),,14-10,,
6:29.0,,,14-12,2,M. Williams makes 2-pt shot from 1 ft (assist by K. Walker)
6:08.0,S. Hill makes 2-pt shot from 1 ft (assist by D. Cousins),2,16-12,,
5:50.0,,,16-15,3,M. Belinelli makes 3-pt shot from 25 ft (assist by K. Walker)
5:30.0,H. Thompson misses 3-pt shot from 24 ft,,16-15,,
5:28.0,,,16-15,,Defensive rebound by C. Zeller
5:22.0,Personal foul by D. Cousins (drawn by K. Walker),,16-15,,
5:22.0,,,16-15,,Charlotte full timeout
5:22.0,E. Moore enters the game for D. Cousins,,16-15,,
5:22.0,D. Cunningham enters the game for H. Thompson,,16-15,,
5:22.0,,,16-15,,C. Wood enters the game for C. Zeller
5:12.0,,,16-15,,K. Walker misses 2-pt shot from 18 ft
5:11.0,Defensive rebound by A. Davis,,16-15,,
4:54.0,S. Hill misses 3-pt shot from 25 ft,,16-15,,
4:53.0,,,16-15,,Defensive rebound by K. Walker
4:39.0,,,16-17,2,N. Batum makes 2-pt shot from 13 ft
4:21.0,D. Cunningham makes 2-pt shot from 17 ft (assist by A. Davis),2,18-17,,
4:02.0,,,18-19,2,C. Wood makes 2-pt shot from 1 ft (assist by N. Batum)
3:49.0,,,18-19,,Shooting block foul by C. Wood (drawn by A. Davis)
3:49.0,A. Davis misses free throw 1 of 2,,18-19,,
3:49.0,Offensive rebound by Team,,18-19,,
3:49.0,A. Davis misses free throw 2 of 2,,18-19,,
3:49.0,,,18-19,,M. Kidd-Gilchrist enters the game for M. Williams
3:49.0,,,18-19,,B. Roberts enters the game for K. Walker
3:47.0,,,18-19,,Defensive rebound by N. Batum
3:26.0,,,18-19,,C. Wood misses 2-pt shot from 3 ft (block by D. Cunningham)
3:24.0,Defensive rebound by D. Cunningham,,18-19,,
3:18.0,A. Davis misses 2-pt shot from 6 ft,,18-19,,
3:17.0,,,18-19,,Defensive rebound by B. Roberts
3:04.0,,,18-19,,M. Belinelli misses 3-pt shot from 24 ft
3:03.0,Defensive rebound by A. Davis,,18-19,,
2:54.0,J. Holiday makes 2-pt shot from 6 ft,2,20-19,,
2:33.0,,,20-22,3,N. Batum makes 3-pt shot from 25 ft (assist by M. Kidd-Gilchrist)
2:18.0,A. Davis makes 2-pt shot at rim (assist by E. Moore),2,22-22,,
1:52.0,,,22-22,,Turnover by Team (shot clock)
1:52.0,New Orleans full timeout,,22-22,,
1:52.0,J. Crawford enters the game for J. Holiday,,22-22,,
1:48.0,,,22-22,,C. Zeller enters the game for N. Batum
1:48.0,,,22-22,,J. Lamb enters the game for C. Wood
1:37.0,J. Crawford makes 3-pt shot from 25 ft (assist by E. Moore),3,25-22,,
1:12.0,,,25-22,,J. Lamb misses 2-pt shot from 17 ft
1:11.0,Defensive rebound by A. Davis,,25-22,,
0:54.0,S. Hill makes 2-pt shot from 2 ft (assist by J. Crawford),2,27-22,,
0:45.0,,,27-25,3,B. Roberts makes 3-pt shot from 25 ft
0:34.0,A. Davis makes 2-pt shot from 8 ft (assist by J. Crawford),2,29-25,,
0:18.0,,,29-25,,Shooting foul by S. Hill (drawn by J. Lamb)
0:18.0,,,29-26,1,J. Lamb makes free throw 1 of 2
0:18.0,,,29-27,1,J. Lamb makes free throw 2 of 2
0:18.0,T. Frazier enters the game for S. Hill,,29-26,,
0:01.0,A. Davis makes 3-pt shot from 25 ft (assist by J. Crawford),3,32-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,32-29,2,J. Lamb makes 2-pt shot from 1 ft
11:27.0,,,32-29,,Def 3 sec tech foul by M. Kidd-Gilchrist
11:27.0,D. Cousins makes technical free throw,1,33-29,,
11:17.0,J. Crawford makes 3-pt shot from 27 ft (assist by T. Frazier),3,36-29,,
11:02.0,,,36-29,,C. Zeller misses 2-pt shot from 1 ft
11:01.0,Defensive rebound by D. Cousins,,36-29,,
10:44.0,Turnover by T. Frazier (bad pass; steal by M. Kidd-Gilchrist),,36-29,,
10:28.0,,,36-29,,C. Zeller misses 2-pt shot from 2 ft (block by E. Moore)
10:28.0,,,36-29,,Offensive rebound by Team
10:25.0,,,36-29,,B. Roberts misses 2-pt shot from 20 ft
10:24.0,Defensive rebound by D. Cunningham,,36-29,,
10:04.0,D. Cunningham makes 2-pt shot at rim (assist by J. Crawford),2,38-29,,
9:57.0,,,38-29,,Charlotte full timeout
9:44.0,,,38-31,2,M. Belinelli makes 2-pt shot from 2 ft (assist by C. Zeller)
9:31.0,J. Crawford makes 3-pt shot from 26 ft (assist by D. Cousins),3,41-31,,
9:16.0,,,41-31,,Shooting foul by E. Moore (drawn by M. Belinelli)
9:16.0,,,41-32,1,M. Belinelli makes free throw 1 of 3
9:16.0,,,41-33,1,M. Belinelli makes free throw 2 of 3
9:16.0,,,41-34,1,M. Belinelli makes free throw 3 of 3
9:16.0,,,41-33,,M. Williams enters the game for M. Kidd-Gilchrist
9:16.0,,,41-33,,K. Walker enters the game for C. Zeller
9:16.0,,,41-33,,C. Wood enters the game for B. Roberts
9:01.0,E. Moore misses 3-pt shot from 27 ft,,41-34,,
8:59.0,,,41-34,,Defensive rebound by J. Lamb
8:47.0,,,41-34,,K. Walker misses 3-pt shot from 25 ft
8:46.0,,,41-34,,Offensive rebound by C. Wood
8:35.0,,,41-37,3,M. Williams makes 3-pt shot from 26 ft (assist by K. Walker)
8:29.0,Turnover by D. Cousins (palming),,41-37,,
8:03.0,,,41-37,,M. Belinelli misses 3-pt shot from 24 ft
8:02.0,Defensive rebound by T. Frazier,,41-37,,
7:56.0,T. Frazier misses 2-pt shot from 2 ft (block by J. Lamb),,41-37,,
7:55.0,,,41-37,,Defensive rebound by K. Walker
7:53.0,,,41-37,,Shooting foul by T. Frazier (drawn by K. Walker)
7:53.0,,,41-38,1,K. Walker makes free throw 1 of 2
7:53.0,,,41-39,1,K. Walker makes free throw 2 of 2
