time,Detroit,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. D. Howard (T. Sefolosha gains possession),,,,Jump ball: A. Drummond vs. D. Howard (T. Sefolosha gains possession)
11:46.0,,,0-0,,D. Schroder misses 2-pt shot from 12 ft
11:45.0,Defensive rebound by I. Smith,,0-0,,
11:37.0,A. Drummond makes 2-pt shot from 6 ft (assist by I. Smith),2,2-0,,
11:20.0,,,2-0,,K. Bazemore misses 3-pt shot from 22 ft
11:19.0,Defensive rebound by T. Harris,,2-0,,
11:01.0,T. Harris misses 2-pt shot from 11 ft,,2-0,,
11:00.0,,,2-0,,Defensive rebound by T. Sefolosha
10:47.0,,,2-0,,K. Bazemore misses 2-pt shot from 9 ft
10:46.0,Defensive rebound by Team,,2-0,,
10:33.0,M. Morris misses 2-pt shot from 16 ft,,2-0,,
10:32.0,,,2-0,,Defensive rebound by K. Bazemore
10:25.0,,,2-0,,D. Schroder misses 3-pt shot from 25 ft
10:19.0,Defensive rebound by K. Caldwell-Pope,,2-0,,
10:16.0,K. Caldwell-Pope makes 3-pt shot from 24 ft,3,5-0,,
9:57.0,,,5-0,,T. Sefolosha misses 2-pt shot from 6 ft (block by T. Harris)
9:56.0,Defensive rebound by A. Drummond,,5-0,,
9:50.0,K. Caldwell-Pope makes 3-pt shot from 23 ft (assist by I. Smith),3,8-0,,
9:38.0,,,8-2,2,D. Schroder makes 2-pt shot from 1 ft
9:16.0,A. Drummond misses 2-pt shot from 9 ft,,8-2,,
9:14.0,,,8-2,,Defensive rebound by T. Sefolosha
9:10.0,,,8-2,,K. Bazemore misses 3-pt shot from 23 ft
9:08.0,Defensive rebound by I. Smith,,8-2,,
9:01.0,T. Harris makes 3-pt shot from 25 ft (assist by I. Smith),3,11-2,,
8:44.0,,,11-2,,T. Sefolosha misses 2-pt shot from 16 ft
8:43.0,Defensive rebound by M. Morris,,11-2,,
8:36.0,T. Harris misses 2-pt shot from 2 ft (block by D. Howard),,11-2,,
8:34.0,,,11-2,,Defensive rebound by K. Korver
