time,LA Lakers,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. T. Mozgov (M. Huertas gains possession),,,,Jump ball: C. Capela vs. T. Mozgov (M. Huertas gains possession)
11:44.0,L. Deng misses 2-pt shot from 22 ft,,0-0,,
11:43.0,Offensive rebound by T. Mozgov,,0-0,,
11:40.0,Turnover by T. Mozgov (bad pass; steal by T. Ariza),,0-0,,
11:33.0,,,0-0,,T. Ariza misses 3-pt shot from 25 ft
11:31.0,Defensive rebound by J. Randle,,0-0,,
11:18.0,,,0-0,,Violation by C. Capela (def goaltending)
11:18.0,T. Mozgov makes 2-pt shot from 3 ft,2,2-0,,
11:01.0,,,2-2,2,C. Capela makes 2-pt shot from 2 ft (assist by J. Harden)
10:51.0,Turnover by M. Huertas (bad pass),,2-2,,
10:49.0,,,2-2,,Turnover by P. Beverley (bad pass; steal by M. Huertas)
10:44.0,M. Huertas makes 2-pt shot from 3 ft,2,4-2,,
10:28.0,,,4-4,2,R. Anderson makes 2-pt shot from 6 ft
10:12.0,Shooting foul by R. Anderson (drawn by J. Randle),,4-4,,
10:12.0,J. Randle makes free throw 1 of 2,1,5-4,,
10:12.0,J. Randle misses free throw 2 of 2,,5-4,,
10:10.0,,,5-4,,Defensive rebound by J. Harden
10:04.0,,,5-6,2,C. Capela makes 2-pt shot at rim (assist by P. Beverley)
9:45.0,J. Clarkson misses 2-pt shot from 4 ft (block by C. Capela),,5-6,,
9:43.0,,,5-6,,Defensive rebound by C. Capela
9:30.0,,,5-6,,P. Beverley misses 2-pt shot from 10 ft
9:28.0,Defensive rebound by T. Mozgov,,5-6,,
9:15.0,J. Randle misses 3-pt shot from 24 ft,,5-6,,
9:14.0,,,5-6,,Defensive rebound by R. Anderson
9:09.0,,,5-8,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
8:54.0,T. Mozgov makes 2-pt shot from 19 ft (assist by M. Huertas),2,7-8,,
8:40.0,,,7-8,,R. Anderson misses 3-pt shot from 25 ft
8:39.0,Defensive rebound by M. Huertas,,7-8,,
8:29.0,Turnover by L. Deng (bad pass; steal by J. Harden),,7-8,,
8:28.0,Personal foul by M. Huertas (drawn by P. Beverley),,7-8,,
8:20.0,,,7-11,3,J. Harden makes 3-pt shot from 25 ft
8:09.0,Offensive foul by J. Randle,,7-11,,
8:09.0,Turnover by J. Randle (offensive foul),,7-11,,
7:57.0,,,7-14,3,J. Harden makes 3-pt shot from 25 ft
7:40.0,T. Mozgov makes 2-pt shot at rim (assist by M. Huertas),2,9-14,,
7:28.0,,,9-14,,P. Beverley misses 3-pt shot from 24 ft
7:26.0,Defensive rebound by T. Mozgov,,9-14,,
7:12.0,J. Randle misses 2-pt shot from 6 ft,,9-14,,
7:11.0,Offensive rebound by J. Randle,,9-14,,
7:09.0,J. Randle makes 2-pt shot from 3 ft,2,11-14,,
6:51.0,,,11-14,,Shooting foul by M. Huertas (drawn by J. Harden)
6:51.0,,,11-15,1,J. Harden makes free throw 1 of 2
6:51.0,,,11-16,1,J. Harden makes free throw 2 of 2
6:51.0,,,11-15,,E. Gordon enters the game for P. Beverley
6:51.0,B. Ingram enters the game for J. Clarkson,,11-15,,
6:51.0,L. Williams enters the game for M. Huertas,,11-15,,
6:40.0,Turnover by J. Randle (bad pass; steal by T. Ariza),,11-16,,
6:34.0,,,11-18,2,T. Ariza makes 2-pt shot from 1 ft
6:23.0,Turnover by J. Randle (traveling),,11-18,,
6:15.0,,,11-18,,Turnover by T. Ariza (bad pass)
5:59.0,Turnover by L. Williams (bad pass; steal by J. Harden),,11-18,,
5:53.0,,,11-21,3,E. Gordon makes 3-pt shot from 26 ft (assist by J. Harden)
5:52.0,LA Lakers full timeout,,11-21,,
5:52.0,,,11-21,,N. Hilario enters the game for C. Capela
5:30.0,J. Randle misses 2-pt shot from 9 ft,,11-21,,
5:30.0,,,11-21,,Defensive rebound by Team
