time,Memphis,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. M. Turner (M. Conley gains possession),,,,Jump ball: M. Gasol vs. M. Turner (M. Conley gains possession)
11:37.0,M. Gasol misses 2-pt shot from 11 ft,,0-0,,
11:36.0,,,0-0,,Defensive rebound by P. George
11:27.0,,,0-0,,Turnover by M. Turner (bad pass; steal by T. Allen)
11:10.0,M. Conley makes 2-pt shot from 3 ft,2,2-0,,
10:50.0,,,2-2,2,M. Turner makes 2-pt shot from 17 ft (assist by J. Teague)
10:29.0,M. Gasol misses 2-pt shot from 21 ft,,2-2,,
10:29.0,,,2-2,,Defensive rebound by T. Young
10:13.0,Jump ball: T. Allen vs. J. Teague,,,,Jump ball: T. Allen vs. J. Teague
10:05.0,,,2-5,3,P. George makes 3-pt shot from 26 ft (assist by T. Young)
9:49.0,T. Allen misses 2-pt shot from 12 ft,,2-5,,
9:48.0,Offensive rebound by T. Allen,,2-5,,
9:47.0,T. Allen makes 2-pt shot from 3 ft,2,4-5,,
9:37.0,,,4-5,,Turnover by C. Miles (lost ball; steal by T. Allen)
9:31.0,C. Parsons makes 2-pt shot from 2 ft (assist by T. Allen),2,6-5,,
9:22.0,Violation by M. Gasol (kicked ball),,6-5,,
9:15.0,,,6-7,2,T. Young makes 2-pt shot from 3 ft (assist by M. Turner)
8:56.0,J. Green makes 3-pt shot from 23 ft (assist by M. Gasol),3,9-7,,
8:42.0,,,9-10,3,C. Miles makes 3-pt shot from 26 ft (assist by P. George)
8:20.0,C. Parsons misses 2-pt shot from 3 ft,,9-10,,
8:17.0,,,9-10,,Defensive rebound by M. Turner
8:14.0,Personal foul by C. Parsons (drawn by J. Teague),,9-10,,
8:00.0,,,9-10,,J. Teague misses 2-pt shot from 5 ft
7:59.0,Defensive rebound by M. Conley,,9-10,,
7:44.0,J. Green makes 2-pt shot from 3 ft (assist by M. Gasol),2,11-10,,
7:33.0,,,11-10,,Offensive charge foul by P. George
7:33.0,,,11-10,,Turnover by P. George (offensive foul)
7:17.0,T. Allen makes 3-pt shot from 24 ft (assist by M. Conley),3,14-10,,
7:04.0,,,14-10,,T. Young misses 2-pt shot from 6 ft
7:04.0,Defensive rebound by C. Parsons,,14-10,,
6:59.0,T. Allen makes 2-pt shot from 2 ft (assist by C. Parsons),2,16-10,,
6:41.0,,,16-12,2,P. George makes 2-pt shot from 20 ft (assist by C. Miles)
6:26.0,T. Allen makes 2-pt shot from 1 ft (assist by M. Conley),2,18-12,,
6:05.0,,,18-12,,C. Miles misses 3-pt shot from 27 ft
6:03.0,Defensive rebound by T. Allen,,18-12,,
5:48.0,M. Gasol misses 3-pt shot from 26 ft,,18-12,,
5:47.0,,,18-12,,Defensive rebound by C. Miles
5:41.0,,,18-14,2,T. Young makes 2-pt shot from 5 ft (assist by J. Teague)
5:35.0,Memphis full timeout,,18-14,,
5:35.0,V. Carter enters the game for C. Parsons,,18-14,,
5:35.0,Z. Randolph enters the game for J. Green,,18-14,,
5:35.0,,,18-14,,M. Ellis enters the game for T. Young
5:35.0,,,18-14,,L. Allen enters the game for C. Miles
5:21.0,M. Conley misses 3-pt shot from 25 ft,,18-14,,
