time,Orlando,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. N. Vucevic (R. Westbrook gains possession),,,,Jump ball: S. Adams vs. N. Vucevic (R. Westbrook gains possession)
11:41.0,,,0-0,,A. Roberson misses 3-pt shot from 25 ft
11:41.0,Defensive rebound by E. Payton,,0-0,,
11:24.0,S. Ibaka makes 2-pt shot from 5 ft (assist by J. Green),2,2-0,,
11:00.0,,,2-0,,S. Adams misses 2-pt shot at rim
11:00.0,Defensive rebound by S. Ibaka,,2-0,,
10:52.0,E. Payton makes 2-pt shot from 1 ft,2,4-0,,
10:30.0,,,4-2,2,S. Adams makes 2-pt shot from 11 ft (assist by R. Westbrook)
10:11.0,Shooting foul by D. Sabonis (drawn by E. Fournier),,4-2,,
10:11.0,E. Fournier makes free throw 1 of 2,1,5-2,,
10:11.0,E. Fournier makes free throw 2 of 2,1,6-2,,
10:00.0,,,6-2,,Turnover by S. Adams (bad pass)
9:49.0,E. Payton makes 2-pt shot from 2 ft,2,8-2,,
9:33.0,,,8-2,,V. Oladipo misses 2-pt shot from 18 ft
9:31.0,Defensive rebound by S. Ibaka,,8-2,,
9:16.0,E. Payton misses 3-pt shot from 26 ft,,8-2,,
9:15.0,Offensive rebound by N. Vucevic,,8-2,,
9:08.0,N. Vucevic makes 2-pt shot from 14 ft,2,10-2,,
8:52.0,,,10-2,,A. Roberson misses 3-pt shot from 23 ft
8:51.0,,,10-2,,Offensive rebound by A. Roberson
8:41.0,,,10-4,2,A. Roberson makes 2-pt shot at rim (assist by R. Westbrook)
8:27.0,E. Fournier misses 2-pt shot from 18 ft,,10-4,,
8:26.0,,,10-4,,Defensive rebound by S. Adams
8:18.0,Personal foul by E. Payton (drawn by R. Westbrook),,10-4,,
8:04.0,,,10-4,,D. Sabonis misses 2-pt shot from 5 ft (block by J. Green)
8:04.0,,,10-4,,Offensive rebound by Team
8:04.0,Loose ball foul by N. Vucevic (drawn by S. Adams),,10-4,,
7:50.0,,,10-4,,Turnover by Team (shot clock)
7:26.0,E. Fournier misses 2-pt shot from 2 ft (block by S. Adams),,10-4,,
7:25.0,,,10-4,,Defensive rebound by D. Sabonis
7:22.0,,,10-4,,Turnover by R. Westbrook (bad pass; steal by E. Payton)
7:14.0,,,10-4,,Personal foul by A. Roberson (drawn by S. Ibaka)
7:07.0,N. Vucevic misses 2-pt shot from 1 ft,,10-4,,
7:07.0,Offensive rebound by S. Ibaka,,10-4,,
7:06.0,S. Ibaka makes 2-pt shot from 2 ft,2,12-4,,
7:00.0,,,12-4,,Oklahoma City full timeout
6:52.0,,,12-4,,S. Adams misses 2-pt shot at rim (block by S. Ibaka)
6:51.0,,,12-4,,Offensive rebound by S. Adams
6:50.0,,,12-4,,S. Adams misses 2-pt shot at rim (block by S. Ibaka)
6:47.0,Defensive rebound by N. Vucevic,,12-4,,
6:28.0,N. Vucevic misses 2-pt shot from 4 ft,,12-4,,
6:27.0,Offensive rebound by S. Ibaka,,12-4,,
6:27.0,Turnover by Team (shot clock),,12-4,,
6:10.0,,,12-4,,D. Sabonis misses 2-pt shot from 3 ft
6:08.0,,,12-4,,Offensive rebound by Team
6:06.0,,,12-4,,D. Sabonis misses 3-pt shot from 23 ft
6:05.0,,,12-4,,Offensive rebound by R. Westbrook
6:03.0,,,12-6,2,R. Westbrook makes 2-pt shot from 1 ft
5:37.0,S. Ibaka makes 2-pt shot from 1 ft (assist by E. Fournier),2,14-6,,
5:16.0,,,14-6,,A. Roberson misses 3-pt shot from 24 ft
5:16.0,Defensive rebound by E. Payton,,14-6,,
5:10.0,S. Ibaka misses 2-pt shot from 11 ft,,14-6,,
5:09.0,,,14-6,,Defensive rebound by R. Westbrook
4:59.0,,,14-6,,D. Sabonis misses 3-pt shot from 25 ft
4:59.0,Defensive rebound by E. Payton,,14-6,,
4:54.0,S. Ibaka makes 2-pt shot at rim (assist by E. Payton),2,16-6,,
4:32.0,,,16-6,,S. Adams misses 2-pt shot from 5 ft
4:31.0,Defensive rebound by N. Vucevic,,16-6,,
4:27.0,,,16-6,,Personal foul by A. Roberson (drawn by J. Green)
4:27.0,,,16-6,,J. Grant enters the game for A. Roberson
4:15.0,E. Payton makes 2-pt shot from 3 ft,2,18-6,,
