time,Denver,pts.away,score,pts.home,Phoenix
6:31.0,,,100-93,2,D. Booker makes 2-pt shot from 16 ft
6:12.0,W. Chandler makes 3-pt shot from 25 ft (assist by N. Jokic),3,103-93,,
5:52.0,,,103-93,,D. Booker misses 2-pt shot from 5 ft
5:48.0,Defensive rebound by N. Jokic,,103-93,,
5:44.0,K. Faried makes 2-pt shot from 1 ft (assist by E. Mudiay),2,105-93,,
5:38.0,,,105-93,,Phoenix full timeout
5:38.0,Official timeout,,105-93,,
5:38.0,D. Arthur enters the game for K. Faried,,105-93,,
5:34.0,,,105-93,,E. Bledsoe misses 2-pt shot from 15 ft
5:31.0,,,105-93,,Offensive rebound by T. Chandler
5:28.0,,,105-93,,E. Bledsoe misses 3-pt shot from 26 ft
5:26.0,Defensive rebound by W. Chandler,,105-93,,
5:12.0,J. Murray misses 3-pt shot from 26 ft,,105-93,,
5:10.0,,,105-93,,Defensive rebound by T. Chandler
4:57.0,,,105-93,,Shooting foul by J. Murray (drawn by A. Len)
4:57.0,,,105-94,1,A. Len makes free throw 1 of 2
4:57.0,,,105-95,1,A. Len makes free throw 2 of 2
4:46.0,N. Jokic misses 2-pt shot from 3 ft (block by A. Len),,105-95,,
4:45.0,Offensive rebound by N. Jokic,,105-95,,
4:45.0,Shooting foul by A. Len (drawn by N. Jokic),,105-95,,
4:45.0,,,105-95,,Technical foul by A. Len (drawn by N. Jokic)
4:45.0,E. Mudiay misses technical free throw,,105-95,,
4:45.0,Offensive rebound by Team,,105-95,,
4:45.0,N. Jokic makes free throw 1 of 2,1,106-95,,
4:45.0,N. Jokic makes free throw 2 of 2,1,107-95,,
4:27.0,,,107-97,2,D. Booker makes 2-pt shot from 19 ft
4:09.0,Turnover by N. Jokic (traveling),,107-97,,
4:00.0,Personal block foul by D. Arthur (drawn by D. Booker),,107-97,,
4:00.0,,,107-98,1,D. Booker makes free throw 1 of 2
4:00.0,,,107-99,1,D. Booker makes free throw 2 of 2
3:38.0,W. Chandler makes 3-pt shot from 28 ft (assist by D. Arthur),3,110-99,,
3:13.0,,,110-99,,D. Booker misses 2-pt shot from 2 ft
3:10.0,Defensive rebound by J. Murray,,110-99,,
3:07.0,Shooting foul by P. Tucker (drawn by E. Mudiay),,110-99,,
3:07.0,E. Mudiay misses free throw 1 of 2,,110-99,,
3:07.0,Offensive rebound by Team,,110-99,,
3:07.0,E. Mudiay makes free throw 2 of 2,1,111-99,,
3:07.0,J. Nelson enters the game for J. Murray,,110-99,,
2:54.0,,,111-99,,E. Bledsoe misses 2-pt shot from 15 ft
2:51.0,Defensive rebound by N. Jokic,,111-99,,
2:35.0,Turnover by E. Mudiay (bad pass; steal by E. Bledsoe),,111-99,,
2:32.0,,,111-99,,Shooting foul by N. Jokic (drawn by E. Bledsoe)
2:32.0,Denver full timeout,,111-99,,
2:32.0,,,111-100,1,E. Bledsoe makes free throw 1 of 2
2:32.0,,,111-101,1,E. Bledsoe makes free throw 2 of 2
2:19.0,D. Arthur misses 2-pt shot from 17 ft,,111-101,,
2:18.0,,,111-101,,Defensive rebound by E. Bledsoe
2:05.0,,,111-103,2,D. Booker makes 2-pt shot from 15 ft
1:46.0,D. Arthur makes 3-pt shot from 26 ft (assist by E. Mudiay),3,114-103,,
1:40.0,,,114-106,3,P. Tucker makes 3-pt shot from 24 ft (assist by E. Bledsoe)
1:18.0,J. Nelson misses 3-pt shot from 23 ft,,114-106,,
1:16.0,,,114-106,,Defensive rebound by P. Tucker
1:13.0,,,114-108,2,E. Bledsoe makes 2-pt shot from 1 ft
0:52.0,Turnover by W. Chandler (bad pass; steal by E. Bledsoe),,114-108,,
0:48.0,,,114-110,2,D. Booker makes 2-pt shot at rim (assist by E. Bledsoe)
0:37.0,,,114-110,,Personal foul by A. Len (drawn by N. Jokic)
0:37.0,N. Jokic makes free throw 1 of 2,1,115-110,,
0:37.0,N. Jokic makes free throw 2 of 2,1,116-110,,
0:37.0,,,116-110,,Phoenix full timeout
0:37.0,A. Gee enters the game for E. Mudiay,,115-110,,
0:37.0,K. Faried enters the game for N. Jokic,,116-110,,
0:24.0,,,116-110,,D. Booker misses 3-pt shot from 26 ft
0:22.0,,,116-110,,Offensive rebound by A. Len
0:17.0,,,116-110,,D. Booker misses 3-pt shot from 26 ft
0:16.0,,,116-110,,Offensive rebound by Team
0:12.0,,,116-110,,D. Booker misses 3-pt shot from 24 ft
0:12.0,,,116-110,,Offensive rebound by Team
0:12.0,Loose ball foul by J. Nelson (drawn by P. Tucker),,116-110,,
0:12.0,,,116-111,1,P. Tucker makes free throw 1 of 2
0:12.0,,,116-112,1,P. Tucker makes free throw 2 of 2
0:12.0,Denver full timeout,,116-112,,
0:12.0,,,116-112,,Personal take foul by D. Booker (drawn by J. Murray)
0:12.0,J. Murray makes free throw 1 of 2,1,117-112,,
0:12.0,J. Murray makes free throw 2 of 2,1,118-112,,
0:12.0,,,118-112,,Phoenix full timeout
0:12.0,J. Nurkic enters the game for D. Arthur,,116-111,,
0:12.0,J. Murray enters the game for A. Gee,,116-111,,
0:12.0,E. Mudiay enters the game for K. Faried,,116-112,,
0:12.0,N. Jokic enters the game for J. Nurkic,,116-112,,
0:12.0,K. Faried enters the game for N. Jokic,,117-112,,
0:12.0,A. Gee enters the game for E. Mudiay,,117-112,,
0:12.0,,,118-112,,B. Knight enters the game for A. Len
0:12.0,D. Arthur enters the game for J. Murray,,118-112,,
0:08.0,Personal foul by A. Gee (drawn by E. Bledsoe),,118-112,,
0:08.0,,,118-113,1,E. Bledsoe makes free throw 1 of 2
0:08.0,,,118-114,1,E. Bledsoe makes free throw 2 of 2
0:08.0,J. Murray enters the game for A. Gee,,118-113,,
0:08.0,,,118-113,,A. Len enters the game for B. Knight
0:07.0,,,118-114,,Personal take foul by A. Len (drawn by K. Faried)
0:07.0,K. Faried makes free throw 1 of 2,1,119-114,,
0:07.0,K. Faried makes free throw 2 of 2,1,120-114,,
0:00.0,,,120-114,,E. Bledsoe misses 3-pt shot from 27 ft
0:00.0,,,120-114,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
