time,Denver,pts.away,score,pts.home,Phoenix
2:14.0,,,24-22,,E. Bledsoe enters the game for D. Booker
2:06.0,Turnover by J. Nelson (traveling),,24-23,,
1:53.0,,,24-25,2,E. Bledsoe makes 2-pt shot from 9 ft
1:34.0,J. Murray misses 2-pt shot from 16 ft,,24-25,,
1:32.0,,,24-25,,Defensive rebound by P. Tucker
1:17.0,Personal foul by J. Nelson (drawn by P. Tucker),,24-25,,
1:17.0,,,24-26,1,P. Tucker makes free throw 1 of 2
1:17.0,,,24-26,,P. Tucker misses free throw 2 of 2
1:17.0,M. Beasley enters the game for J. Murray,,24-26,,
1:16.0,Defensive rebound by A. Gee,,24-26,,
0:59.0,J. Nelson makes 3-pt shot from 25 ft (assist by N. Jokic),3,27-26,,
0:52.0,Personal foul by A. Gee (drawn by B. Knight),,27-26,,
0:52.0,,,27-27,1,B. Knight makes free throw 1 of 2
0:52.0,,,27-28,1,B. Knight makes free throw 2 of 2
0:40.0,M. Beasley misses 2-pt shot from 7 ft,,27-28,,
0:38.0,Offensive rebound by N. Jokic,,27-28,,
0:38.0,N. Jokic makes 2-pt shot from 2 ft,2,29-28,,
0:28.0,,,29-28,,P. Tucker misses 3-pt shot from 24 ft
0:25.0,Defensive rebound by D. Arthur,,29-28,,
0:04.0,,,29-28,,Violation by P. Tucker (kicked ball)
0:01.0,J. Nelson misses 2-pt shot from 15 ft (block by E. Bledsoe),,29-28,,
0:00.0,,,29-28,,Defensive rebound by D. Bender
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,D. Arthur misses 2-pt shot from 17 ft,,29-28,,
11:41.0,,,29-28,,Defensive rebound by A. Len
11:25.0,,,29-28,,B. Knight misses 2-pt shot from 18 ft
11:23.0,Defensive rebound by N. Jokic,,29-28,,
11:12.0,D. Arthur misses 2-pt shot from 17 ft,,29-28,,
11:10.0,,,29-28,,Defensive rebound by L. Barbosa
11:04.0,,,29-28,,Turnover by A. Len (lost ball)
10:52.0,J. Nelson makes 2-pt shot from 16 ft,2,31-28,,
10:35.0,,,31-28,,L. Barbosa misses 2-pt shot from 16 ft
10:33.0,Defensive rebound by M. Beasley,,31-28,,
10:17.0,,,31-28,,Shooting block foul by A. Len (drawn by N. Jokic)
10:17.0,N. Jokic makes free throw 1 of 2,1,32-28,,
10:17.0,N. Jokic makes free throw 2 of 2,1,33-28,,
10:17.0,K. Faried enters the game for D. Arthur,,32-28,,
10:01.0,,,33-28,,D. Bender misses 2-pt shot from 23 ft
9:59.0,Defensive rebound by A. Gee,,33-28,,
9:54.0,K. Faried makes 2-pt shot from 2 ft (assist by J. Nelson),2,35-28,,
9:30.0,,,35-28,,A. Len misses 2-pt shot from 3 ft
9:27.0,Defensive rebound by J. Nelson,,35-28,,
9:17.0,N. Jokic makes 3-pt shot from 24 ft (assist by J. Nelson),3,38-28,,
9:16.0,,,38-28,,Phoenix full timeout
9:07.0,,,38-28,,L. Barbosa misses 2-pt shot from 17 ft
9:05.0,Defensive rebound by A. Gee,,38-28,,
8:53.0,J. Nelson makes 2-pt shot from 22 ft,2,40-28,,
8:46.0,,,40-28,,Turnover by D. Bender (step out of bounds)
8:29.0,M. Beasley misses 2-pt shot from 18 ft,,40-28,,
8:27.0,,,40-28,,Defensive rebound by A. Len
8:18.0,,,40-28,,A. Len misses 2-pt shot from 2 ft
8:16.0,Defensive rebound by K. Faried,,40-28,,
8:10.0,M. Beasley makes 3-pt shot from 25 ft (assist by K. Faried),3,43-28,,
8:03.0,,,43-28,,Phoenix full timeout
8:03.0,,,43-28,,T. Chandler enters the game for D. Bender
