time,Brooklyn,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. B. Lopez (I. Whitehead gains possession),,,,Jump ball: C. Capela vs. B. Lopez (I. Whitehead gains possession)
11:40.0,B. Bogdanovic makes 2-pt shot from 2 ft,2,2-0,,
11:20.0,,,2-2,2,J. Harden makes 2-pt shot from 2 ft
11:05.0,Shooting foul by R. Anderson (drawn by B. Lopez),,2-2,,
11:05.0,B. Lopez makes free throw 1 of 2,1,3-2,,
11:05.0,B. Lopez makes free throw 2 of 2,1,4-2,,
10:54.0,,,4-2,,J. Harden misses 3-pt shot from 29 ft
10:52.0,,,4-2,,Offensive rebound by P. Beverley
10:45.0,,,4-2,,R. Anderson misses 3-pt shot from 26 ft
10:43.0,Defensive rebound by Team,,4-2,,
10:22.0,S. Kilpatrick makes 2-pt shot from 2 ft (assist by B. Lopez),2,6-2,,
10:10.0,,,6-2,,Turnover by P. Beverley (bad pass; steal by B. Lopez)
9:56.0,T. Booker misses 2-pt shot from 20 ft,,6-2,,
9:54.0,,,6-2,,Defensive rebound by J. Harden
9:46.0,,,6-4,2,C. Capela makes 2-pt shot from 3 ft (assist by J. Harden)
9:31.0,B. Bogdanovic misses 2-pt shot from 6 ft,,6-4,,
9:29.0,,,6-4,,Defensive rebound by J. Harden
9:25.0,,,6-4,,Turnover by J. Harden (bad pass; steal by T. Booker)
9:19.0,T. Booker misses 2-pt shot from 1 ft,,6-4,,
9:18.0,,,6-4,,Defensive rebound by C. Capela
9:10.0,,,6-4,,T. Ariza misses 3-pt shot from 25 ft
9:08.0,Defensive rebound by T. Booker,,6-4,,
8:49.0,B. Lopez misses 2-pt shot from 9 ft,,6-4,,
8:47.0,Offensive rebound by Team,,6-4,,
8:36.0,B. Bogdanovic makes 3-pt shot from 24 ft (assist by I. Whitehead),3,9-4,,
8:24.0,,,9-4,,R. Anderson misses 3-pt shot from 27 ft
8:23.0,Defensive rebound by B. Bogdanovic,,9-4,,
8:12.0,I. Whitehead misses 3-pt shot from 24 ft,,9-4,,
8:10.0,,,9-4,,Defensive rebound by R. Anderson
8:00.0,,,9-6,2,C. Capela makes 2-pt shot from 2 ft (assist by R. Anderson)
7:49.0,Turnover by S. Kilpatrick (bad pass; steal by T. Ariza),,9-6,,
7:46.0,,,9-8,2,T. Ariza makes 2-pt shot at rim (assist by J. Harden)
7:46.0,Brooklyn full timeout,,9-8,,
7:35.0,I. Whitehead makes 2-pt shot from 2 ft,2,11-8,,
7:16.0,,,11-11,3,R. Anderson makes 3-pt shot from 25 ft (assist by J. Harden)
7:03.0,Turnover by S. Kilpatrick (traveling),,11-11,,
7:03.0,A. Bennett enters the game for B. Lopez,,11-11,,
6:44.0,,,11-14,3,P. Beverley makes 3-pt shot from 26 ft (assist by J. Harden)
6:31.0,Turnover by S. Kilpatrick (bad pass),,11-14,,
6:15.0,,,11-16,2,R. Anderson makes 2-pt shot from 7 ft
6:15.0,,,11-16,,Shooting foul by T. Booker (drawn by R. Anderson)
6:15.0,,,11-16,,R. Anderson misses free throw 1 of 1
6:15.0,J. Harris enters the game for S. Kilpatrick,,11-16,,
6:15.0,,,11-16,,E. Gordon enters the game for P. Beverley
6:14.0,Defensive rebound by J. Harris,,11-16,,
5:58.0,I. Whitehead makes 2-pt shot from 7 ft (assist by J. Harris),2,13-16,,
5:51.0,Personal foul by T. Booker (drawn by R. Anderson),,13-16,,
5:51.0,,,13-17,1,R. Anderson makes free throw 1 of 2
5:51.0,,,13-18,1,R. Anderson makes free throw 2 of 2
5:51.0,,,13-17,,N. Hilario enters the game for C. Capela
5:51.0,R. Hollis-Jefferson enters the game for T. Booker,,13-17,,
5:42.0,B. Bogdanovic misses 2-pt shot from 10 ft,,13-18,,
5:42.0,,,13-18,,Defensive rebound by Team
5:42.0,Loose ball foul by B. Bogdanovic (drawn by R. Anderson),,13-18,,
5:34.0,,,13-20,2,N. Hilario makes 2-pt shot at rim (assist by J. Harden)
5:21.0,Shooting foul by N. Hilario (drawn by J. Harris),,13-20,,
5:21.0,J. Harris makes free throw 1 of 2,1,14-20,,
5:21.0,J. Harris makes free throw 2 of 2,1,15-20,,
5:04.0,,,15-22,2,J. Harden makes 2-pt shot from 12 ft
4:53.0,Turnover by I. Whitehead (lost ball; steal by J. Harden),,15-22,,
4:48.0,,,15-25,3,J. Harden makes 3-pt shot from 25 ft
4:26.0,B. Bogdanovic misses 2-pt shot from 6 ft (block by T. Ariza),,15-25,,
4:24.0,,,15-25,,Defensive rebound by T. Ariza
4:14.0,,,15-25,,Shooting foul by J. Harris (drawn by J. Harden)
4:14.0,,,15-25,,J. Harden misses free throw 1 of 2
4:14.0,,,15-25,,Offensive rebound by Team
4:14.0,,,15-26,1,J. Harden makes free throw 2 of 2
4:14.0,,,15-25,,S. Dekker enters the game for R. Anderson
4:14.0,J. Lin enters the game for I. Whitehead,,15-25,,
4:01.0,J. Harris misses 3-pt shot from 25 ft,,15-26,,
4:00.0,,,15-26,,Defensive rebound by J. Harden
