time,Orlando,pts.away,score,pts.home,New Orleans
8:17.0,,,10-11,,S. Hill misses 2-pt shot at rim (block by S. Ibaka)
8:14.0,Defensive rebound by N. Vucevic,,10-11,,
8:10.0,Turnover by J. Meeks (bad pass; steal by J. Holiday),,10-11,,
8:03.0,,,10-11,,Turnover by J. Holiday (bad pass; steal by E. Payton)
7:58.0,S. Ibaka makes 2-pt shot from 2 ft (assist by E. Payton),2,12-11,,
7:50.0,,,12-11,,B. Hield misses 3-pt shot from 26 ft
7:49.0,Defensive rebound by N. Vucevic,,12-11,,
7:36.0,Turnover by N. Vucevic (bad pass; steal by J. Holiday),,12-11,,
7:36.0,Personal foul by J. Meeks (drawn by S. Hill),,12-11,,
7:23.0,,,12-11,,Shooting foul by A. Gordon (drawn by A. Davis)
7:23.0,,,12-12,1,A. Davis makes free throw 1 of 2
7:23.0,,,12-13,1,A. Davis makes free throw 2 of 2
7:15.0,N. Vucevic makes 2-pt shot from 1 ft (assist by A. Gordon),2,14-13,,
7:04.0,,,14-15,2,D. Cunningham makes 2-pt shot from 3 ft (assist by A. Davis)
6:41.0,A. Gordon misses 2-pt shot from 9 ft,,14-15,,
6:41.0,,,14-15,,Defensive rebound by A. Davis
6:33.0,,,14-18,3,S. Hill makes 3-pt shot from 26 ft (assist by B. Hield)
6:18.0,A. Gordon makes 2-pt shot at rim (assist by S. Ibaka),2,16-18,,
6:11.0,,,16-18,,B. Hield misses 3-pt shot from 25 ft
6:09.0,Defensive rebound by J. Meeks,,16-18,,
5:48.0,E. Payton makes 3-pt shot from 28 ft (assist by N. Vucevic),3,19-18,,
5:37.0,,,19-18,,J. Holiday misses 3-pt shot from 24 ft
5:36.0,Defensive rebound by S. Ibaka,,19-18,,
5:24.0,S. Ibaka makes 2-pt shot from 12 ft,2,21-18,,
5:17.0,,,21-18,,New Orleans full timeout
5:06.0,,,21-18,,Turnover by J. Holiday (bad pass; steal by J. Meeks)
5:02.0,N. Vucevic makes 2-pt shot from 2 ft (assist by E. Payton),2,23-18,,
4:51.0,,,23-20,2,A. Davis makes 2-pt shot at rim (assist by J. Holiday)
4:33.0,Turnover by E. Payton (lost ball),,23-20,,
4:33.0,D. Augustin enters the game for E. Payton,,23-20,,
4:33.0,M. Hezonja enters the game for A. Gordon,,23-20,,
4:33.0,,,23-20,,E. Moore enters the game for S. Hill
4:21.0,,,23-20,,D. Cunningham misses 2-pt shot from 4 ft
4:20.0,Defensive rebound by N. Vucevic,,23-20,,
4:11.0,S. Ibaka makes 2-pt shot from 2 ft (assist by N. Vucevic),2,25-20,,
4:01.0,,,25-20,,A. Davis misses 2-pt shot from 4 ft (block by S. Ibaka)
3:56.0,,,25-20,,Offensive rebound by D. Cunningham
3:56.0,,,25-20,,D. Cunningham misses 3-pt shot from 27 ft
3:56.0,Defensive rebound by J. Meeks,,25-20,,
3:48.0,Turnover by J. Meeks (lost ball; steal by J. Holiday),,25-20,,
3:42.0,,,25-23,3,B. Hield makes 3-pt shot from 23 ft (assist by J. Holiday)
3:27.0,J. Meeks misses 3-pt shot from 25 ft,,25-23,,
3:26.0,,,25-23,,Defensive rebound by B. Hield
3:13.0,,,25-25,2,D. Cunningham makes 2-pt shot from 2 ft (assist by B. Hield)
2:56.0,S. Ibaka misses 3-pt shot from 24 ft,,25-25,,
2:56.0,,,25-25,,Defensive rebound by A. Davis
2:50.0,,,25-27,2,D. Cunningham makes 2-pt shot at rim (assist by J. Holiday)
2:49.0,Orlando full timeout,,25-27,,
2:49.0,J. Green enters the game for S. Ibaka,,25-27,,
2:49.0,B. Biyombo enters the game for N. Vucevic,,25-27,,
2:49.0,C. Watson enters the game for J. Meeks,,25-27,,
2:49.0,,,25-27,,T. Jones enters the game for D. Cunningham
2:31.0,D. Augustin makes 2-pt shot from 21 ft,2,27-27,,
2:10.0,,,27-27,,J. Holiday misses 2-pt shot from 17 ft
2:09.0,,,27-27,,Offensive rebound by A. Davis
2:09.0,,,27-29,2,A. Davis makes 2-pt shot at rim
1:52.0,,,27-29,,Personal foul by E. Moore (drawn by D. Augustin)
1:52.0,,,27-29,,T. Evans enters the game for J. Holiday
1:52.0,,,27-29,,L. Galloway enters the game for B. Hield
1:40.0,J. Green makes 2-pt shot from 4 ft,2,29-29,,
1:26.0,Personal foul by B. Biyombo (drawn by A. Davis),,29-29,,
1:26.0,,,29-30,1,A. Davis makes free throw 1 of 2
1:26.0,,,29-30,,A. Davis misses free throw 2 of 2
1:24.0,Defensive rebound by B. Biyombo,,29-30,,
1:12.0,D. Augustin misses 2-pt shot from 18 ft,,29-30,,
1:12.0,,,29-30,,Defensive rebound by T. Evans
1:00.0,,,29-30,,L. Galloway misses 3-pt shot from 26 ft
1:00.0,Defensive rebound by J. Green,,29-30,,
0:49.0,Turnover by C. Watson (bad pass; steal by T. Jones),,29-30,,
0:46.0,,,29-32,2,A. Davis makes 2-pt shot from 2 ft
0:32.0,J. Green misses 3-pt shot from 26 ft,,29-32,,
0:30.0,,,29-32,,Defensive rebound by A. Davis
0:05.0,,,29-32,,Turnover by Team (shot clock)
0:00.0,B. Biyombo misses 2-pt shot from 13 ft,,29-32,,
0:00.0,Offensive rebound by Team,,29-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:52.0,C. Watson misses 2-pt shot from 2 ft (block by E. Moore),,29-32,,
11:52.0,Offensive rebound by Team,,29-32,,
11:44.0,,,29-32,,Personal foul by S. Hill (drawn by J. Green)
11:31.0,D. Augustin misses 2-pt shot from 14 ft,,29-32,,
11:28.0,Offensive rebound by M. Hezonja,,29-32,,
11:19.0,M. Hezonja misses 2-pt shot from 20 ft,,29-32,,
11:19.0,,,29-32,,Defensive rebound by S. Hill
11:02.0,,,29-35,3,E. Moore makes 3-pt shot from 25 ft (assist by T. Evans)
10:36.0,J. Green misses 2-pt shot from 13 ft,,29-35,,
10:36.0,,,29-35,,Defensive rebound by T. Jones
10:25.0,,,29-37,2,L. Galloway makes 2-pt shot from 22 ft (assist by T. Jones)
10:09.0,,,29-37,,Personal foul by L. Galloway (drawn by D. Augustin)
9:57.0,M. Hezonja misses 2-pt shot from 8 ft,,29-37,,
9:56.0,,,29-37,,Defensive rebound by L. Galloway
9:50.0,Violation by B. Biyombo (def goaltending),,29-37,,
9:50.0,,,29-39,2,T. Evans makes 2-pt shot from 2 ft
9:37.0,C. Watson makes 2-pt shot from 4 ft,2,31-39,,
9:37.0,Shooting foul by E. Moore (drawn by C. Watson),,31-39,,
9:37.0,C. Watson makes free throw 1 of 1,1,32-39,,
9:37.0,A. Gordon enters the game for M. Hezonja,,31-39,,
9:20.0,,,32-39,,T. Evans misses 2-pt shot from 17 ft
9:20.0,Defensive rebound by D. Augustin,,32-39,,
9:11.0,D. Augustin misses 2-pt shot from 19 ft,,32-39,,
9:06.0,,,32-39,,Offensive rebound by Team
9:06.0,Jump ball: B. Biyombo vs. T. Jones (L. Galloway gains possession),,,,Jump ball: B. Biyombo vs. T. Jones (L. Galloway gains possession)
8:57.0,,,32-39,,E. Moore misses 3-pt shot from 25 ft
8:57.0,Defensive rebound by J. Green,,32-39,,
8:53.0,J. Green makes 2-pt shot from 1 ft,2,34-39,,
8:36.0,,,34-39,,E. Moore misses 2-pt shot from 2 ft
8:34.0,Defensive rebound by B. Biyombo,,34-39,,
8:25.0,D. Augustin makes 3-pt shot from 25 ft,3,37-39,,
8:15.0,,,37-39,,New Orleans full timeout
8:15.0,,,37-39,,B. Hield enters the game for E. Moore
8:05.0,,,37-39,,Shooting foul by B. Biyombo (drawn by T. Evans)
8:05.0,,,37-40,1,T. Evans makes free throw 1 of 2
8:05.0,,,37-41,1,T. Evans makes free throw 2 of 2
7:53.0,Turnover by C. Watson (bad pass),,37-41,,
7:46.0,,,37-43,2,T. Evans makes 2-pt shot at rim
7:27.0,J. Green makes 2-pt shot from 3 ft (assist by A. Gordon),2,39-43,,
7:15.0,,,39-43,,T. Evans misses 2-pt shot from 1 ft
7:13.0,Defensive rebound by D. Augustin,,39-43,,
7:07.0,Shooting foul by S. Hill (drawn by J. Green),,39-43,,
7:07.0,J. Green makes free throw 1 of 2,1,40-43,,
7:07.0,J. Green makes free throw 2 of 2,1,41-43,,
7:07.0,,,40-43,,D. Cunningham enters the game for S. Hill
6:54.0,,,41-46,3,B. Hield makes 3-pt shot from 25 ft (assist by T. Jones)
6:30.0,D. Augustin misses 3-pt shot from 25 ft,,41-46,,
6:29.0,,,41-46,,Defensive rebound by T. Evans
6:25.0,Violation by C. Watson (def goaltending),,41-46,,
6:25.0,,,41-48,2,B. Hield makes 2-pt shot from 2 ft
6:25.0,,,41-48,,Shooting foul by C. Watson (drawn by B. Hield)
6:25.0,,,41-48,,B. Hield misses free throw 1 of 1
6:24.0,Defensive rebound by B. Biyombo,,41-48,,
6:14.0,A. Gordon misses 2-pt shot from 21 ft,,41-48,,
6:13.0,,,41-48,,Defensive rebound by B. Hield
6:04.0,,,41-51,3,T. Evans makes 3-pt shot from 25 ft
6:03.0,Orlando full timeout,,41-51,,
6:03.0,N. Vucevic enters the game for D. Augustin,,41-51,,
6:03.0,E. Payton enters the game for B. Biyombo,,41-51,,
6:03.0,S. Ibaka enters the game for J. Green,,41-51,,
6:03.0,J. Meeks enters the game for C. Watson,,41-51,,
5:56.0,J. Meeks misses 2-pt shot from 2 ft,,41-51,,
5:55.0,,,41-51,,Defensive rebound by T. Jones
5:49.0,,,41-54,3,L. Galloway makes 3-pt shot from 24 ft (assist by T. Evans)
5:29.0,E. Payton misses 2-pt shot from 1 ft (block by T. Jones),,41-54,,
5:28.0,,,41-54,,Defensive rebound by T. Jones
5:06.0,,,41-54,,T. Jones misses 2-pt shot from 6 ft
5:05.0,Defensive rebound by S. Ibaka,,41-54,,
4:55.0,S. Ibaka misses 3-pt shot from 25 ft,,41-54,,
4:55.0,Offensive rebound by Team,,41-54,,
4:55.0,,,41-54,,Loose ball foul by T. Jones (drawn by N. Vucevic)
4:55.0,N. Vucevic makes free throw 1 of 2,1,42-54,,
4:55.0,N. Vucevic makes free throw 2 of 2,1,43-54,,
4:55.0,,,42-54,,A. Davis enters the game for T. Jones
4:55.0,,,42-54,,J. Holiday enters the game for T. Evans
4:42.0,,,43-54,,Turnover by B. Hield (bad pass; steal by J. Meeks)
4:37.0,J. Meeks misses 2-pt shot from 2 ft,,43-54,,
4:35.0,Offensive rebound by S. Ibaka,,43-54,,
4:32.0,J. Meeks makes 2-pt shot from 1 ft (assist by S. Ibaka),2,45-54,,
4:23.0,,,45-54,,B. Hield misses 3-pt shot from 25 ft
4:21.0,Defensive rebound by J. Meeks,,45-54,,
4:09.0,A. Gordon makes 2-pt shot from 2 ft,2,47-54,,
3:58.0,,,47-54,,J. Holiday misses 2-pt shot from 15 ft
3:56.0,Defensive rebound by A. Gordon,,47-54,,
3:51.0,A. Gordon makes 3-pt shot from 26 ft,3,50-54,,
3:33.0,,,50-54,,A. Davis misses 2-pt shot from 20 ft
3:32.0,Defensive rebound by J. Meeks,,50-54,,
3:23.0,N. Vucevic misses 2-pt shot from 13 ft,,50-54,,
3:22.0,,,50-54,,Defensive rebound by J. Holiday
3:16.0,,,50-57,3,L. Galloway makes 3-pt shot from 26 ft (assist by J. Holiday)
3:14.0,Orlando full timeout,,50-57,,
3:14.0,,,50-57,,S. Hill enters the game for B. Hield
2:59.0,E. Payton makes 2-pt shot from 2 ft,2,52-57,,
2:51.0,,,52-57,,Shooting foul by J. Meeks (drawn by L. Galloway)
2:51.0,Official timeout,,52-57,,
2:51.0,,,52-58,1,L. Galloway makes free throw 1 of 3
2:51.0,,,52-59,1,L. Galloway makes free throw 2 of 3
2:51.0,,,52-59,,L. Galloway misses free throw 3 of 3
2:51.0,D. Augustin enters the game for J. Meeks,,52-57,,
2:49.0,Defensive rebound by N. Vucevic,,52-59,,
2:31.0,E. Payton misses 2-pt shot from 17 ft,,52-59,,
2:31.0,,,52-59,,Defensive rebound by A. Davis
2:15.0,,,52-59,,D. Cunningham misses 3-pt shot from 26 ft
2:14.0,,,52-59,,Offensive rebound by Team
2:13.0,Loose ball foul by D. Augustin (drawn by A. Davis),,52-59,,
2:01.0,,,52-61,2,J. Holiday makes 2-pt shot from 3 ft (assist by L. Galloway)
1:35.0,E. Payton misses 3-pt shot from 27 ft,,52-61,,
1:35.0,,,52-61,,Defensive rebound by S. Hill
1:28.0,,,52-63,2,S. Hill makes 2-pt shot at rim (assist by A. Davis)
1:18.0,Turnover by N. Vucevic (bad pass; steal by S. Hill),,52-63,,
1:15.0,,,52-63,,S. Hill misses 2-pt shot from 3 ft
1:14.0,,,52-63,,Offensive rebound by D. Cunningham
1:12.0,,,52-65,2,D. Cunningham makes 2-pt shot at rim
1:12.0,Orlando full timeout,,52-65,,
1:12.0,,,52-65,,T. Evans enters the game for S. Hill
1:12.0,J. Green enters the game for S. Ibaka,,52-65,,
0:53.0,Turnover by E. Payton (bad pass; steal by T. Evans),,52-65,,
0:51.0,,,52-65,,Turnover by T. Evans (bad pass; steal by J. Green)
0:38.0,J. Green misses 3-pt shot from 25 ft,,52-65,,
0:37.0,,,52-65,,Defensive rebound by A. Davis
0:26.0,,,52-65,,L. Galloway misses 3-pt shot from 23 ft
0:24.0,Defensive rebound by A. Gordon,,52-65,,
0:00.0,D. Augustin misses 3-pt shot from 28 ft (block by J. Holiday),,52-65,,
0:00.0,Offensive rebound by Team,,52-65,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,J. Meeks misses 3-pt shot from 27 ft,,52-65,,
11:43.0,,,52-65,,Defensive rebound by D. Cunningham
11:23.0,,,52-67,2,A. Davis makes 2-pt shot from 9 ft
11:06.0,A. Gordon makes 2-pt shot from 3 ft,2,54-67,,
10:53.0,,,54-67,,A. Davis misses 2-pt shot from 21 ft
10:52.0,Defensive rebound by S. Ibaka,,54-67,,
10:42.0,N. Vucevic misses 2-pt shot from 21 ft,,54-67,,
10:41.0,,,54-67,,Defensive rebound by S. Hill
10:36.0,,,54-70,3,J. Holiday makes 3-pt shot from 23 ft (assist by S. Hill)
10:18.0,S. Ibaka misses 3-pt shot from 26 ft,,54-70,,
10:17.0,,,54-70,,Defensive rebound by B. Hield
10:04.0,,,54-70,,Turnover by A. Davis (bad pass; steal by A. Gordon)
9:58.0,E. Payton makes 2-pt shot from 2 ft,2,56-70,,
9:36.0,,,56-72,2,A. Davis makes 2-pt shot at rim (assist by B. Hield)
9:20.0,J. Meeks makes 2-pt shot from 11 ft,2,58-72,,
9:20.0,Shooting foul by B. Hield (drawn by J. Meeks),,58-72,,
9:20.0,J. Meeks makes free throw 1 of 1,1,59-72,,
9:09.0,,,59-72,,B. Hield misses 3-pt shot from 26 ft
9:08.0,Defensive rebound by S. Ibaka,,59-72,,
8:56.0,A. Gordon misses 3-pt shot from 25 ft,,59-72,,
8:55.0,,,59-72,,Defensive rebound by A. Davis
8:42.0,,,59-72,,J. Holiday misses 2-pt shot from 2 ft (block by S. Ibaka)
8:41.0,Defensive rebound by A. Gordon,,59-72,,
8:37.0,A. Gordon makes 2-pt shot from 2 ft,2,61-72,,
8:37.0,Shooting foul by A. Davis (drawn by A. Gordon),,61-72,,
8:37.0,A. Gordon misses free throw 1 of 1,,61-72,,
8:37.0,D. Augustin enters the game for J. Meeks,,61-72,,
8:36.0,,,61-72,,Defensive rebound by A. Davis
8:20.0,,,61-72,,A. Davis misses 2-pt shot from 13 ft
8:19.0,Defensive rebound by A. Gordon,,61-72,,
8:06.0,N. Vucevic misses 2-pt shot from 5 ft,,61-72,,
8:05.0,,,61-72,,Defensive rebound by S. Hill
8:00.0,,,61-72,,New Orleans full timeout
7:45.0,,,61-72,,Turnover by A. Davis (traveling)
7:20.0,D. Augustin misses 2-pt shot from 16 ft,,61-72,,
7:20.0,,,61-72,,Defensive rebound by Team
7:20.0,Loose ball foul by N. Vucevic (drawn by A. Davis),,61-72,,
7:03.0,,,61-72,,J. Holiday misses 2-pt shot from 2 ft
7:03.0,Defensive rebound by E. Payton,,61-72,,
6:58.0,A. Gordon misses 3-pt shot from 24 ft,,61-72,,
6:57.0,,,61-72,,Defensive rebound by A. Davis
6:49.0,,,61-72,,S. Hill misses 2-pt shot from 16 ft
6:47.0,Defensive rebound by N. Vucevic,,61-72,,
6:30.0,D. Augustin makes 3-pt shot from 26 ft (assist by N. Vucevic),3,64-72,,
6:27.0,,,64-72,,New Orleans full timeout
6:10.0,,,64-72,,S. Hill misses 3-pt shot from 25 ft
6:09.0,Defensive rebound by A. Gordon,,64-72,,
5:56.0,Turnover by D. Augustin (bad pass; steal by J. Holiday),,64-72,,
5:47.0,,,64-72,,D. Cunningham misses 3-pt shot from 24 ft
5:46.0,Defensive rebound by N. Vucevic,,64-72,,
5:38.0,D. Augustin misses 3-pt shot from 25 ft,,64-72,,
5:37.0,,,64-72,,Defensive rebound by A. Davis
5:19.0,,,64-72,,J. Holiday misses 2-pt shot from 2 ft
5:19.0,,,64-72,,Offensive rebound by Team
5:19.0,,,64-72,,E. Moore enters the game for S. Hill
5:19.0,,,64-72,,L. Galloway enters the game for B. Hield
5:16.0,,,64-72,,A. Davis misses 2-pt shot from 2 ft (block by S. Ibaka)
5:16.0,Defensive rebound by N. Vucevic,,64-72,,
5:11.0,,,64-72,,Violation by D. Cunningham (kicked ball)
5:07.0,D. Augustin misses 3-pt shot from 26 ft,,64-72,,
5:06.0,,,64-72,,Defensive rebound by D. Cunningham
5:00.0,,,64-74,2,E. Moore makes 2-pt shot from 1 ft (assist by A. Davis)
4:46.0,E. Payton misses 2-pt shot from 2 ft,,64-74,,
4:44.0,Jump ball: A. Davis vs. N. Vucevic (D. Cunningham gains possession),,,,Jump ball: A. Davis vs. N. Vucevic (D. Cunningham gains possession)
4:44.0,,,64-74,,Offensive rebound by Team
4:32.0,,,64-74,,A. Davis misses 2-pt shot from 9 ft
4:31.0,Defensive rebound by S. Ibaka,,64-74,,
4:18.0,A. Gordon misses 2-pt shot from 14 ft (block by J. Holiday),,64-74,,
4:15.0,Offensive rebound by A. Gordon,,64-74,,
4:13.0,Turnover by A. Gordon (bad pass),,64-74,,
4:02.0,,,64-76,2,A. Davis makes 2-pt shot from 4 ft (assist by E. Moore)
3:47.0,S. Ibaka misses 2-pt shot from 7 ft (block by A. Davis),,64-76,,
3:46.0,,,64-76,,Defensive rebound by E. Moore
3:30.0,,,64-78,2,J. Holiday makes 2-pt shot from 19 ft (assist by E. Moore)
3:29.0,Orlando full timeout,,64-78,,
3:29.0,J. Green enters the game for A. Gordon,,64-78,,
3:18.0,S. Ibaka makes 2-pt shot at rim (assist by N. Vucevic),2,66-78,,
3:04.0,,,66-80,2,D. Cunningham makes 2-pt shot at rim (assist by A. Davis)
2:47.0,N. Vucevic misses 2-pt shot from 5 ft,,66-80,,
2:46.0,,,66-80,,Defensive rebound by D. Cunningham
2:40.0,,,66-82,2,E. Moore makes 2-pt shot from 1 ft (assist by L. Galloway)
2:31.0,N. Vucevic makes 2-pt shot at rim (assist by E. Payton),2,68-82,,
2:16.0,,,68-84,2,J. Holiday makes 2-pt shot from 19 ft
2:05.0,N. Vucevic misses 2-pt shot from 21 ft,,68-84,,
2:04.0,,,68-84,,Defensive rebound by L. Galloway
1:53.0,,,68-84,,J. Holiday misses 3-pt shot from 27 ft
1:51.0,Defensive rebound by E. Payton,,68-84,,
1:42.0,E. Payton makes 3-pt shot from 25 ft,3,71-84,,
1:27.0,,,71-86,2,A. Davis makes 2-pt shot from 5 ft (assist by J. Holiday)
1:18.0,Turnover by E. Payton (lost ball; steal by J. Holiday),,71-86,,
1:15.0,Personal foul by N. Vucevic (drawn by J. Holiday),,71-86,,
1:15.0,M. Hezonja enters the game for S. Ibaka,,71-86,,
1:15.0,C. Watson enters the game for N. Vucevic,,71-86,,
1:15.0,B. Biyombo enters the game for E. Payton,,71-86,,
1:13.0,,,71-86,,T. Evans enters the game for J. Holiday
1:00.0,,,71-88,2,D. Cunningham makes 2-pt shot at rim (assist by T. Evans)
0:52.0,,,71-88,,Personal foul by D. Cunningham (drawn by C. Watson)
0:52.0,,,71-88,,S. Hill enters the game for D. Cunningham
0:48.0,Turnover by M. Hezonja (lost ball; steal by T. Evans),,71-88,,
0:47.0,Personal foul by M. Hezonja (drawn by L. Galloway),,71-88,,
0:47.0,,,71-89,1,L. Galloway makes free throw 1 of 2
0:47.0,,,71-90,1,L. Galloway makes free throw 2 of 2
0:32.0,D. Augustin misses 3-pt shot from 25 ft,,71-90,,
0:32.0,,,71-90,,Defensive rebound by T. Evans
0:17.0,,,71-92,2,A. Davis makes 2-pt shot from 18 ft (assist by T. Evans)
0:00.0,J. Green makes 2-pt shot from 16 ft,2,73-92,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,,,73-92,,T. Evans misses 3-pt shot from 27 ft
11:37.0,Defensive rebound by M. Hezonja,,73-92,,
11:25.0,M. Hezonja makes 2-pt shot from 18 ft,2,75-92,,
11:11.0,,,75-95,3,T. Jones makes 3-pt shot from 25 ft (assist by L. Galloway)
10:58.0,Turnover by M. Hezonja (lost ball),,75-95,,
10:34.0,,,75-95,,T. Evans misses 2-pt shot from 21 ft
10:34.0,Defensive rebound by B. Biyombo,,75-95,,
10:19.0,C. Watson misses 3-pt shot from 25 ft,,75-95,,
10:18.0,,,75-95,,Defensive rebound by S. Hill
10:08.0,,,75-95,,T. Jones misses 3-pt shot from 25 ft
10:08.0,Defensive rebound by M. Hezonja,,75-95,,
10:02.0,Turnover by D. Augustin (bad pass),,75-95,,
9:50.0,,,75-95,,New Orleans full timeout
9:44.0,Personal foul by C. Watson (drawn by T. Evans),,75-95,,
9:30.0,,,75-97,2,T. Jones makes 2-pt shot from 7 ft
9:12.0,J. Green misses 2-pt shot from 12 ft,,75-97,,
9:11.0,,,75-97,,Defensive rebound by T. Jones
8:48.0,,,75-100,3,L. Galloway makes 3-pt shot from 27 ft (assist by T. Evans)
8:42.0,Turnover by D. Augustin (lost ball),,75-100,,
8:42.0,Official timeout,,75-100,,
8:42.0,A. Gordon enters the game for C. Watson,,75-100,,
8:26.0,,,75-103,3,L. Galloway makes 3-pt shot from 27 ft
8:06.0,J. Green misses 3-pt shot from 26 ft,,75-103,,
8:05.0,,,75-103,,Defensive rebound by T. Evans
7:45.0,,,75-103,,T. Jones misses 2-pt shot from 2 ft
7:44.0,Defensive rebound by Team,,75-103,,
7:26.0,B. Biyombo makes 2-pt shot from 3 ft (assist by A. Gordon),2,77-103,,
7:11.0,,,77-103,,T. Evans misses 2-pt shot from 2 ft
7:10.0,Defensive rebound by A. Gordon,,77-103,,
7:02.0,J. Green makes 3-pt shot from 25 ft (assist by D. Augustin),3,80-103,,
6:32.0,,,80-106,3,T. Evans makes 3-pt shot from 27 ft (assist by T. Jones)
6:12.0,Turnover by D. Augustin (lost ball; steal by S. Hill),,80-106,,
6:07.0,,,80-106,,Turnover by S. Hill (bad pass; steal by J. Green)
6:02.0,A. Gordon makes 2-pt shot from 3 ft (assist by M. Hezonja),2,82-106,,
5:40.0,,,82-109,3,T. Evans makes 3-pt shot from 28 ft
5:38.0,Orlando full timeout,,82-109,,
5:38.0,C. Watson enters the game for M. Hezonja,,82-109,,
5:38.0,D. Rudez enters the game for J. Green,,82-109,,
5:25.0,Turnover by C. Watson (bad pass; steal by T. Evans),,82-109,,
5:04.0,,,82-109,,E. Moore misses 2-pt shot from 12 ft
5:03.0,Defensive rebound by B. Biyombo,,82-109,,
4:54.0,D. Augustin makes 2-pt shot from 7 ft,2,84-109,,
4:44.0,,,84-112,3,T. Evans makes 3-pt shot from 26 ft
4:24.0,B. Biyombo misses 2-pt shot from 7 ft,,84-112,,
4:23.0,,,84-112,,Defensive rebound by T. Jones
4:14.0,,,84-112,,T. Evans misses 3-pt shot from 30 ft
4:12.0,Defensive rebound by B. Biyombo,,84-112,,
4:03.0,B. Biyombo makes 2-pt shot from 2 ft (assist by D. Augustin),2,86-112,,
3:45.0,,,86-114,2,T. Jones makes 2-pt shot from 2 ft
3:27.0,A. Gordon misses 2-pt shot from 17 ft,,86-114,,
3:26.0,Offensive rebound by B. Biyombo,,86-114,,
3:26.0,,,86-114,,Loose ball foul by T. Evans (drawn by B. Biyombo)
3:26.0,,,86-114,,T. Frazier enters the game for T. Jones
3:26.0,,,86-114,,D. Motiejunas enters the game for T. Evans
3:26.0,J. Green enters the game for A. Gordon,,86-114,,
3:26.0,M. Hezonja enters the game for B. Biyombo,,86-114,,
3:24.0,,,86-114,,Personal foul by L. Galloway (drawn by C. Watson)
3:16.0,M. Hezonja makes 3-pt shot from 25 ft (assist by D. Rudez),3,89-114,,
3:04.0,,,89-114,,S. Hill misses 3-pt shot from 25 ft
3:02.0,Defensive rebound by C. Watson,,89-114,,
2:45.0,D. Rudez misses 3-pt shot from 26 ft,,89-114,,
2:45.0,,,89-114,,Defensive rebound by D. Motiejunas
2:40.0,,,89-116,2,E. Moore makes 2-pt shot from 2 ft (assist by T. Frazier)
2:26.0,M. Hezonja makes 3-pt shot from 24 ft,3,92-116,,
2:17.0,,,92-116,,Turnover by T. Frazier (traveling)
2:17.0,,,92-116,,New Orleans full timeout
