time,LA Lakers,pts.away,score,pts.home,New Orleans
4:53.0,,,14-17,,O. Asik misses 2-pt shot from 2 ft (block by T. Mozgov)
4:51.0,Defensive rebound by J. Randle,,14-17,,
4:43.0,J. Randle misses 2-pt shot from 6 ft,,14-17,,
4:42.0,,,14-17,,Defensive rebound by A. Davis
4:33.0,,,14-20,3,D. Cunningham makes 3-pt shot from 23 ft (assist by T. Frazier)
4:19.0,T. Black enters the game for T. Mozgov,,14-20,,
4:19.0,J. Clarkson enters the game for N. Young,,14-20,,
4:19.0,,,14-20,,A. Ajinca enters the game for O. Asik
4:19.0,Jump ball: E. Moore vs. D. Russell,,,,Jump ball: E. Moore vs. D. Russell
4:19.0,Turnover by D. Russell (lost ball; steal by E. Moore),,14-20,,
4:16.0,L. Williams enters the game for D. Russell,,14-20,,
4:06.0,,,14-20,,A. Davis misses 3-pt shot from 25 ft
4:06.0,Defensive rebound by Team,,14-20,,
3:58.0,,,14-20,,Personal foul by T. Frazier (drawn by B. Ingram)
3:41.0,T. Black makes 2-pt shot from 9 ft (assist by B. Ingram),2,16-20,,
3:33.0,,,16-20,,Turnover by T. Frazier (bad pass; steal by B. Ingram)
3:27.0,J. Randle misses 2-pt shot from 2 ft (block by A. Davis),,16-20,,
3:25.0,,,16-20,,Defensive rebound by A. Ajinca
3:17.0,,,16-20,,E. Moore misses 2-pt shot from 19 ft
3:16.0,,,16-20,,Offensive rebound by A. Ajinca
3:15.0,,,16-20,,Shooting foul by J. Randle (drawn by A. Davis)
3:15.0,,,16-21,1,A. Davis makes free throw 1 of 2
3:15.0,,,16-22,1,A. Davis makes free throw 2 of 2
3:15.0,,,16-21,,B. Hield enters the game for E. Moore
3:15.0,L. Nance enters the game for J. Randle,,16-21,,
2:56.0,B. Ingram makes 2-pt shot from 9 ft,2,18-22,,
2:47.0,,,18-22,,T. Frazier misses 2-pt shot from 2 ft (block by T. Black)
2:45.0,Defensive rebound by T. Black,,18-22,,
2:39.0,L. Nance makes 2-pt shot from 3 ft (assist by L. Williams),2,20-22,,
2:28.0,,,20-22,,New Orleans full timeout
2:28.0,,,20-22,,L. Galloway enters the game for D. Cunningham
2:28.0,,,20-22,,S. Hill enters the game for T. Frazier
2:23.0,,,20-22,,A. Davis misses 2-pt shot from 10 ft
2:21.0,Defensive rebound by T. Black,,20-22,,
2:00.0,J. Clarkson makes 2-pt shot from 15 ft,2,22-22,,
1:45.0,,,22-22,,L. Galloway misses 2-pt shot from 15 ft
1:44.0,Defensive rebound by L. Nance,,22-22,,
1:31.0,J. Clarkson makes 3-pt shot from 27 ft (assist by T. Black),3,25-22,,
1:19.0,,,25-22,,L. Galloway misses 3-pt shot from 22 ft
1:18.0,Defensive rebound by J. Clarkson,,25-22,,
1:11.0,J. Clarkson makes 2-pt shot from 5 ft,2,27-22,,
0:55.0,,,27-24,2,A. Ajinca makes 2-pt shot from 19 ft (assist by L. Galloway)
0:46.0,L. Williams misses 2-pt shot from 16 ft,,27-24,,
0:45.0,,,27-24,,Defensive rebound by A. Davis
0:34.0,,,27-26,2,B. Hield makes 2-pt shot from 15 ft
0:16.0,B. Ingram misses 2-pt shot from 13 ft,,27-26,,
0:15.0,,,27-26,,Defensive rebound by A. Ajinca
0:08.0,,,27-26,,Turnover by S. Hill (bad pass; steal by L. Williams)
0:04.0,B. Ingram makes 2-pt shot from 1 ft (assist by L. Williams),2,29-26,,
0:04.0,Shooting foul by A. Ajinca (drawn by B. Ingram),,29-26,,
0:04.0,B. Ingram makes free throw 1 of 1,1,30-26,,
0:04.0,,,29-26,,T. Jones enters the game for A. Davis
0:04.0,,,29-26,,A. Goodwin enters the game for B. Hield
0:00.0,,,30-26,,S. Hill misses 2-pt shot from 21 ft
0:00.0,,,30-26,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,J. Clarkson misses 2-pt shot from 10 ft (block by A. Ajinca),,30-26,,
11:44.0,,,30-26,,Defensive rebound by A. Ajinca
11:30.0,,,30-26,,L. Galloway misses 3-pt shot from 24 ft
11:30.0,Defensive rebound by T. Black,,30-26,,
11:17.0,B. Ingram misses 2-pt shot from 3 ft (block by S. Hill),,30-26,,
11:16.0,Jump ball: S. Hill vs. B. Ingram,,,,Jump ball: S. Hill vs. B. Ingram
11:16.0,,,30-26,,Offensive rebound by L. Galloway
11:00.0,,,30-28,2,A. Ajinca makes 2-pt shot from 11 ft
10:40.0,Turnover by J. Clarkson (bad pass),,30-28,,
10:26.0,,,30-28,,Shooting foul by L. Nance (drawn by A. Goodwin)
10:26.0,,,30-29,1,A. Goodwin makes free throw 1 of 2
10:26.0,,,30-30,1,A. Goodwin makes free throw 2 of 2
10:09.0,L. Williams misses 3-pt shot from 26 ft,,30-30,,
10:07.0,Offensive rebound by T. Black,,30-30,,
10:03.0,T. Black misses 2-pt shot from 2 ft,,30-30,,
10:03.0,,,30-30,,Defensive rebound by T. Jones
9:52.0,,,30-30,,T. Jones misses 2-pt shot from 13 ft
9:52.0,Defensive rebound by L. Williams,,30-30,,
9:43.0,L. Williams makes 2-pt shot from 9 ft,2,32-30,,
9:33.0,,,32-30,,S. Hill misses 2-pt shot from 1 ft
9:32.0,,,32-30,,Offensive rebound by A. Ajinca
9:27.0,,,32-30,,Turnover by T. Jones (lost ball; steal by L. Nance)
