time,Oklahoma City,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. R. Gobert (D. Exum gains possession),,,,Jump ball: S. Adams vs. R. Gobert (D. Exum gains possession)
11:40.0,,,0-3,3,R. Hood makes 3-pt shot from 24 ft (assist by D. Exum)
11:29.0,A. Roberson misses 3-pt shot from 23 ft,,0-3,,
11:29.0,,,0-3,,Defensive rebound by R. Gobert
11:11.0,,,0-5,2,B. Diaw makes 2-pt shot from 1 ft
10:57.0,Turnover by R. Westbrook (bad pass; steal by R. Gobert),,0-5,,
10:48.0,,,0-7,2,R. Gobert makes 2-pt shot at rim (assist by D. Exum)
10:27.0,R. Westbrook misses 2-pt shot from 15 ft,,0-7,,
10:27.0,,,0-7,,Defensive rebound by G. Hayward
10:17.0,,,0-7,,G. Hayward misses 2-pt shot from 1 ft
10:17.0,,,0-7,,Offensive rebound by B. Diaw
10:00.0,,,0-7,,B. Diaw misses 2-pt shot from 3 ft
9:59.0,Defensive rebound by D. Sabonis,,0-7,,
9:45.0,D. Sabonis makes 2-pt shot from 18 ft (assist by J. Grant),2,2-7,,
9:21.0,,,2-7,,B. Diaw misses 2-pt shot from 22 ft
9:21.0,Defensive rebound by S. Adams,,2-7,,
9:06.0,A. Roberson misses 3-pt shot from 25 ft,,2-7,,
9:05.0,,,2-7,,Defensive rebound by Team
8:46.0,,,2-7,,B. Diaw misses 2-pt shot from 1 ft
8:46.0,Defensive rebound by D. Sabonis,,2-7,,
8:42.0,Turnover by R. Westbrook (bad pass),,2-7,,
8:27.0,,,2-7,,G. Hayward misses 3-pt shot from 25 ft
8:27.0,Defensive rebound by R. Westbrook,,2-7,,
8:12.0,R. Westbrook misses 2-pt shot from 20 ft,,2-7,,
8:12.0,,,2-7,,Defensive rebound by R. Gobert
7:55.0,,,2-10,3,R. Hood makes 3-pt shot from 24 ft (assist by B. Diaw)
7:41.0,R. Westbrook makes 2-pt shot from 2 ft,2,4-10,,
7:31.0,,,4-10,,D. Exum misses 2-pt shot from 1 ft (block by S. Adams)
7:31.0,,,4-10,,Offensive rebound by Team
7:17.0,,,4-10,,R. Hood misses 3-pt shot from 27 ft
7:17.0,Defensive rebound by D. Sabonis,,4-10,,
7:08.0,D. Sabonis makes 3-pt shot from 24 ft (assist by R. Westbrook),3,7-10,,
6:48.0,,,7-13,3,D. Exum makes 3-pt shot from 24 ft (assist by B. Diaw)
6:29.0,J. Grant makes 3-pt shot from 24 ft (assist by D. Sabonis),3,10-13,,
6:11.0,,,10-13,,Shooting foul by J. Grant (drawn by R. Gobert)
6:11.0,,,10-14,1,R. Gobert makes free throw 1 of 2
6:11.0,,,10-15,1,R. Gobert makes free throw 2 of 2
6:11.0,A. Morrow enters the game for J. Grant,,10-14,,
6:11.0,,,10-14,,J. Johnson enters the game for G. Hayward
5:58.0,Shooting foul by D. Exum (drawn by R. Westbrook),,10-15,,
5:58.0,,,10-15,,Utah full timeout
5:58.0,R. Westbrook makes free throw 1 of 2,1,11-15,,
5:58.0,R. Westbrook makes free throw 2 of 2,1,12-15,,
5:58.0,,,10-15,,S. Mack enters the game for D. Exum
5:47.0,,,12-15,,Turnover by B. Diaw (bad pass)
5:47.0,,,12-15,,J. Ingles enters the game for R. Hood
5:47.0,,,12-15,,T. Lyles enters the game for B. Diaw
5:35.0,R. Westbrook misses 2-pt shot from 15 ft,,12-15,,
5:33.0,,,12-15,,Defensive rebound by T. Lyles
5:12.0,,,12-17,2,S. Mack makes 2-pt shot from 20 ft (assist by J. Ingles)
4:57.0,Turnover by R. Westbrook (bad pass; steal by R. Gobert),,12-17,,
4:38.0,,,12-19,2,J. Ingles makes 2-pt shot from 3 ft
4:22.0,S. Adams misses 2-pt shot from 2 ft,,12-19,,
4:22.0,,,12-19,,Defensive rebound by R. Gobert
4:04.0,,,12-19,,T. Lyles misses 2-pt shot from 11 ft
4:03.0,Defensive rebound by D. Sabonis,,12-19,,
