time,Milwaukee,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Maker vs. T. Thompson (L. James gains possession),,,,Jump ball: T. Maker vs. T. Thompson (L. James gains possession)
11:46.0,,,0-0,,R. Jefferson misses 2-pt shot from 2 ft (block by T. Maker)
11:43.0,,,0-0,,Offensive rebound by R. Jefferson
11:32.0,,,0-0,,K. Irving misses 2-pt shot from 13 ft
11:31.0,Defensive rebound by M. Beasley,,0-0,,
11:19.0,M. Beasley makes 2-pt shot from 7 ft (assist by G. Antetokounmpo),2,2-0,,
10:56.0,,,2-0,,Shooting foul by T. Maker (drawn by R. Jefferson)
10:56.0,,,2-1,1,R. Jefferson makes free throw 1 of 2
10:56.0,,,2-2,1,R. Jefferson makes free throw 2 of 2
10:47.0,Turnover by T. Maker (bad pass; steal by R. Jefferson),,2-2,,
10:41.0,,,2-4,2,L. James makes 2-pt shot at rim (assist by R. Jefferson)
10:30.0,M. Beasley misses 2-pt shot from 8 ft,,2-4,,
10:29.0,,,2-4,,Defensive rebound by L. James
10:23.0,,,2-6,2,L. James makes 2-pt shot from 2 ft
10:06.0,M. Beasley misses 2-pt shot from 8 ft,,2-6,,
10:03.0,,,2-6,,Defensive rebound by T. Thompson
9:47.0,Personal foul by M. Beasley (drawn by K. Irving),,2-6,,
9:39.0,,,2-6,,Shooting foul by T. Maker (drawn by R. Jefferson)
9:39.0,,,2-7,1,R. Jefferson makes free throw 1 of 2
9:39.0,,,2-8,1,R. Jefferson makes free throw 2 of 2
9:39.0,G. Monroe enters the game for T. Maker,,2-7,,
9:27.0,G. Antetokounmpo misses 2-pt shot from 18 ft,,2-8,,
9:26.0,Offensive rebound by Team,,2-8,,
9:17.0,M. Beasley makes 2-pt shot from 12 ft (assist by G. Monroe),2,4-8,,
9:01.0,,,4-8,,Turnover by R. Jefferson (traveling)
8:37.0,M. Dellavedova misses 3-pt shot from 25 ft,,4-8,,
8:37.0,,,4-8,,Defensive rebound by I. Shumpert
8:24.0,,,4-11,3,R. Jefferson makes 3-pt shot from 26 ft (assist by K. Irving)
8:04.0,M. Beasley misses 2-pt shot from 9 ft,,4-11,,
8:02.0,,,4-11,,Defensive rebound by L. James
7:59.0,,,4-11,,Turnover by L. James (lost ball)
7:46.0,G. Antetokounmpo misses 2-pt shot at rim,,4-11,,
7:44.0,,,4-11,,Defensive rebound by L. James
7:42.0,,,4-11,,K. Irving misses 2-pt shot from 1 ft (block by G. Antetokounmpo)
7:42.0,,,4-11,,Offensive rebound by Team
7:38.0,,,4-11,,R. Jefferson misses 3-pt shot from 25 ft
7:38.0,Defensive rebound by M. Beasley,,4-11,,
7:26.0,G. Monroe misses 2-pt shot from 6 ft,,4-11,,
7:25.0,Offensive rebound by G. Monroe,,4-11,,
7:23.0,G. Monroe makes 2-pt shot from 2 ft,2,6-11,,
7:06.0,,,6-13,2,L. James makes 2-pt shot from 5 ft
7:06.0,,,6-13,,Shooting foul by G. Monroe (drawn by L. James)
7:06.0,,,6-13,,L. James misses free throw 1 of 1
7:05.0,Defensive rebound by T. Snell,,6-13,,
6:52.0,G. Monroe misses 2-pt shot from 18 ft,,6-13,,
6:52.0,,,6-13,,Defensive rebound by I. Shumpert
6:42.0,,,6-15,2,R. Jefferson makes 2-pt shot at rim (assist by K. Irving)
6:42.0,Milwaukee full timeout,,6-15,,
6:42.0,J. Terry enters the game for M. Beasley,,6-15,,
6:26.0,T. Snell misses 3-pt shot from 26 ft,,6-15,,
6:26.0,,,6-15,,Defensive rebound by K. Irving
6:16.0,,,6-15,,Offensive charge foul by R. Jefferson
6:16.0,,,6-15,,Turnover by R. Jefferson (offensive foul)
5:56.0,G. Antetokounmpo misses 2-pt shot from 12 ft,,6-15,,
5:53.0,,,6-15,,Defensive rebound by L. James
5:48.0,,,6-15,,I. Shumpert misses 3-pt shot from 24 ft
5:47.0,Defensive rebound by J. Terry,,6-15,,
5:34.0,M. Dellavedova misses 3-pt shot from 24 ft,,6-15,,
5:31.0,,,6-15,,Defensive rebound by R. Jefferson
5:22.0,,,6-17,2,K. Irving makes 2-pt shot from 7 ft
5:02.0,M. Dellavedova misses 2-pt shot from 8 ft,,6-17,,
4:59.0,Offensive rebound by G. Monroe,,6-17,,
4:56.0,G. Monroe makes 2-pt shot from 1 ft,2,8-17,,
4:45.0,,,8-17,,Turnover by T. Thompson (traveling)
4:18.0,J. Terry makes 2-pt shot from 19 ft (assist by G. Antetokounmpo),2,10-17,,
4:05.0,Shooting block foul by J. Terry (drawn by T. Thompson),,10-17,,
4:05.0,,,10-18,1,T. Thompson makes free throw 1 of 2
4:05.0,,,10-18,,T. Thompson misses free throw 2 of 2
4:05.0,M. Brogdon enters the game for M. Dellavedova,,10-18,,
4:04.0,Defensive rebound by G. Antetokounmpo,,10-18,,
3:49.0,G. Monroe makes 2-pt shot from 2 ft (assist by G. Antetokounmpo),2,12-18,,
3:45.0,,,12-18,,Turnover by R. Jefferson (lost ball)
3:32.0,G. Antetokounmpo makes 2-pt shot from 4 ft,2,14-18,,
3:21.0,,,14-20,2,K. Irving makes 2-pt shot from 7 ft
3:12.0,T. Snell makes 3-pt shot from 26 ft (assist by G. Antetokounmpo),3,17-20,,
3:12.0,,,17-20,,Cleveland full timeout
3:12.0,,,17-20,,D. Williams enters the game for L. James
3:12.0,,,17-20,,K. Korver enters the game for R. Jefferson
2:56.0,,,17-20,,K. Korver misses 3-pt shot from 23 ft
2:56.0,Defensive rebound by G. Antetokounmpo,,17-20,,
2:45.0,G. Antetokounmpo makes 2-pt shot at rim,2,19-20,,
2:27.0,,,19-20,,Turnover by K. Irving (bad pass; steal by T. Snell)
2:11.0,M. Brogdon makes 2-pt shot from 2 ft (assist by G. Monroe),2,21-20,,
1:51.0,Def 3 sec tech foul by G. Antetokounmpo,,21-20,,
1:51.0,,,21-21,1,K. Irving makes technical free throw
1:44.0,,,21-23,2,K. Irving makes 2-pt shot from 12 ft
1:26.0,G. Antetokounmpo misses 2-pt shot from 11 ft,,21-23,,
1:25.0,,,21-23,,Defensive rebound by I. Shumpert
1:20.0,,,21-23,,K. Irving misses 3-pt shot from 27 ft (block by T. Snell)
1:19.0,Defensive rebound by G. Antetokounmpo,,21-23,,
1:11.0,T. Snell misses 3-pt shot from 25 ft,,21-23,,
1:10.0,,,21-23,,Defensive rebound by T. Thompson
