time,Charlotte,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Turner vs. C. Zeller,,,,Jump ball: M. Turner vs. C. Zeller
11:42.0,M. Williams misses 3-pt shot from 27 ft,,0-0,,
11:42.0,,,0-0,,Defensive rebound by J. Teague
11:27.0,,,0-2,2,M. Turner makes 2-pt shot from 20 ft (assist by J. Teague)
11:00.0,M. Kidd-Gilchrist makes 2-pt shot from 21 ft (assist by C. Zeller),2,2-2,,
10:42.0,,,2-2,,C. Miles misses 3-pt shot from 27 ft
10:41.0,Defensive rebound by M. Williams,,2-2,,
10:25.0,M. Kidd-Gilchrist misses 2-pt shot from 18 ft,,2-2,,
10:23.0,Offensive rebound by Team,,2-2,,
10:18.0,C. Zeller misses 2-pt shot from 2 ft (block by M. Turner),,2-2,,
10:17.0,,,2-2,,Defensive rebound by M. Turner
9:55.0,,,2-2,,P. George misses 3-pt shot from 25 ft
9:54.0,,,2-2,,Offensive rebound by Team
9:43.0,,,2-4,2,P. George makes 2-pt shot from 20 ft (assist by J. Teague)
9:29.0,J. Lamb misses 2-pt shot from 14 ft,,2-4,,
9:28.0,,,2-4,,Defensive rebound by T. Young
9:08.0,,,2-6,2,M. Turner makes 2-pt shot from 3 ft (assist by J. Teague)
8:49.0,J. Lamb makes 2-pt shot from 4 ft,2,4-6,,
8:35.0,,,4-6,,C. Miles misses 3-pt shot from 29 ft
8:34.0,Defensive rebound by M. Williams,,4-6,,
8:22.0,M. Williams misses 2-pt shot from 3 ft,,4-6,,
8:21.0,,,4-6,,Defensive rebound by M. Turner
8:15.0,,,4-6,,J. Teague misses 2-pt shot from 5 ft (block by M. Williams)
8:14.0,Defensive rebound by M. Kidd-Gilchrist,,4-6,,
8:06.0,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by K. Walker),2,6-6,,
7:54.0,Personal block foul by J. Lamb (drawn by J. Teague),,6-6,,
7:45.0,,,6-6,,P. George misses 2-pt shot from 18 ft
7:45.0,Defensive rebound by C. Zeller,,6-6,,
7:26.0,J. Lamb makes 2-pt shot from 1 ft,2,8-6,,
7:02.0,,,8-6,,T. Young misses 3-pt shot from 23 ft
7:01.0,Defensive rebound by M. Williams,,8-6,,
6:49.0,,,8-6,,Personal foul by P. George (drawn by J. Lamb)
6:49.0,M. Belinelli enters the game for J. Lamb,,8-6,,
6:37.0,M. Kidd-Gilchrist misses 2-pt shot from 20 ft,,8-6,,
6:36.0,,,8-6,,Defensive rebound by T. Young
6:23.0,,,8-6,,Turnover by T. Young (bad pass; steal by M. Belinelli)
6:15.0,M. Belinelli makes 2-pt shot from 11 ft (assist by M. Williams),2,10-6,,
5:54.0,,,10-9,3,P. George makes 3-pt shot from 24 ft (assist by J. Teague)
5:36.0,M. Williams makes 2-pt shot from 16 ft (assist by K. Walker),2,12-9,,
5:26.0,,,12-11,2,C. Miles makes 2-pt shot from 1 ft
5:00.0,K. Walker misses 2-pt shot from 10 ft,,12-11,,
4:59.0,,,12-11,,Defensive rebound by J. Teague
4:50.0,,,12-11,,J. Teague misses 3-pt shot from 26 ft
4:49.0,Defensive rebound by C. Zeller,,12-11,,
4:42.0,K. Walker misses 3-pt shot from 27 ft,,12-11,,
4:42.0,,,12-11,,Defensive rebound by J. Teague
4:38.0,,,12-11,,Indiana full timeout
4:38.0,F. Kaminsky enters the game for M. Williams,,12-11,,
4:38.0,,,12-11,,M. Ellis enters the game for T. Young
4:38.0,,,12-11,,K. Seraphin enters the game for C. Miles
4:21.0,,,12-13,2,M. Ellis makes 2-pt shot from 16 ft
4:03.0,M. Belinelli misses 2-pt shot from 20 ft,,12-13,,
4:02.0,,,12-13,,Defensive rebound by P. George
3:53.0,,,12-13,,Turnover by P. George (bad pass)
3:53.0,B. Weber enters the game for K. Walker,,12-13,,
3:38.0,Shooting foul by M. Ellis (drawn by M. Belinelli),,12-13,,
3:38.0,M. Belinelli misses free throw 1 of 2,,12-13,,
3:38.0,Offensive rebound by Team,,12-13,,
3:38.0,M. Belinelli makes free throw 2 of 2,1,13-13,,
3:38.0,,,12-13,,R. Stuckey enters the game for J. Teague
3:16.0,,,13-13,,Shooting foul by M. Kidd-Gilchrist (drawn by P. George)
3:16.0,,,13-15,2,P. George makes 2-pt shot from 1 ft
3:16.0,,,13-16,1,P. George makes free throw 1 of 1
3:16.0,M. Williams enters the game for C. Zeller,,13-15,,
3:16.0,T. Graham enters the game for M. Kidd-Gilchrist,,13-15,,
3:00.0,M. Belinelli makes 3-pt shot from 25 ft (assist by B. Weber),3,16-16,,
2:48.0,Personal foul by T. Graham (drawn by P. George),,16-16,,
2:48.0,Charlotte full timeout,,16-16,,
2:48.0,,,16-16,,G. Robinson enters the game for P. George
2:37.0,,,16-18,2,M. Turner makes 2-pt shot from 19 ft (assist by R. Stuckey)
2:19.0,B. Weber makes 2-pt shot from 14 ft,2,18-18,,
1:56.0,,,18-20,2,G. Robinson makes 2-pt shot from 16 ft (assist by K. Seraphin)
1:40.0,B. Weber makes 2-pt shot from 15 ft,2,20-20,,
1:21.0,,,20-22,2,K. Seraphin makes 2-pt shot at rim (assist by M. Turner)
1:06.0,Turnover by B. Weber (lost ball; steal by M. Ellis),,20-22,,
1:02.0,,,20-24,2,G. Robinson makes 2-pt shot at rim
0:44.0,Turnover by F. Kaminsky (lost ball; steal by M. Turner),,20-24,,
0:27.0,,,20-24,,M. Turner misses 2-pt shot from 7 ft
0:26.0,Defensive rebound by F. Kaminsky,,20-24,,
0:02.0,Shooting foul by M. Turner (drawn by F. Kaminsky),,20-24,,
0:02.0,F. Kaminsky makes free throw 1 of 3,1,21-24,,
0:02.0,F. Kaminsky misses free throw 2 of 3,,21-24,,
0:02.0,Offensive rebound by Team,,21-24,,
0:02.0,F. Kaminsky makes free throw 3 of 3,1,22-24,,
0:02.0,,,21-24,,R. Christmas enters the game for M. Turner
0:00.0,,,22-24,,G. Robinson misses 3-pt shot from 33 ft (block by T. Graham)
0:00.0,,,22-24,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,Personal foul by F. Kaminsky (drawn by G. Robinson),,22-24,,
11:35.0,,,22-24,,M. Ellis misses 2-pt shot from 21 ft
11:35.0,Defensive rebound by M. Williams,,22-24,,
11:16.0,Shooting foul by R. Christmas (drawn by F. Kaminsky),,22-24,,
11:16.0,F. Kaminsky misses free throw 1 of 2,,22-24,,
11:16.0,Offensive rebound by Team,,22-24,,
11:16.0,F. Kaminsky makes free throw 2 of 2,1,23-24,,
10:55.0,,,23-24,,M. Ellis misses 3-pt shot from 27 ft
10:55.0,Defensive rebound by B. Weber,,23-24,,
10:45.0,F. Kaminsky misses 3-pt shot from 26 ft,,23-24,,
10:44.0,,,23-24,,Defensive rebound by G. Robinson
10:28.0,,,23-24,,Turnover by R. Stuckey (bad pass; steal by M. Williams)
10:26.0,,,23-24,,Personal foul by R. Stuckey (drawn by T. Graham)
10:26.0,J. Lamb enters the game for T. Graham,,23-24,,
10:26.0,,,23-24,,M. Turner enters the game for R. Christmas
10:12.0,B. Weber misses 2-pt shot from 3 ft,,23-24,,
10:11.0,,,23-24,,Defensive rebound by M. Ellis
10:05.0,,,23-26,2,M. Ellis makes 2-pt shot from 6 ft
9:46.0,F. Kaminsky misses 3-pt shot from 23 ft,,23-26,,
9:45.0,,,23-26,,Defensive rebound by G. Robinson
9:31.0,,,23-26,,R. Stuckey misses 2-pt shot from 20 ft
9:31.0,Defensive rebound by J. Lamb,,23-26,,
9:20.0,F. Kaminsky makes 2-pt shot from 2 ft (assist by J. Lamb),2,25-26,,
9:07.0,,,25-28,2,T. Young makes 2-pt shot at rim (assist by M. Ellis)
8:43.0,M. Belinelli misses 3-pt shot from 26 ft,,25-28,,
8:43.0,,,25-28,,Defensive rebound by R. Stuckey
8:35.0,,,25-31,3,G. Robinson makes 3-pt shot from 27 ft (assist by R. Stuckey)
8:27.0,Charlotte full timeout,,25-31,,
8:27.0,M. Kidd-Gilchrist enters the game for M. Williams,,25-31,,
8:27.0,C. Zeller enters the game for M. Belinelli,,25-31,,
8:27.0,K. Walker enters the game for B. Weber,,25-31,,
8:27.0,,,25-31,,P. George enters the game for G. Robinson
8:20.0,C. Zeller misses 2-pt shot from 2 ft,,25-31,,
8:19.0,,,25-31,,Defensive rebound by M. Turner
8:01.0,,,25-31,,M. Turner misses 2-pt shot from 16 ft
8:00.0,Defensive rebound by J. Lamb,,25-31,,
7:43.0,C. Zeller makes 2-pt shot from 1 ft (assist by F. Kaminsky),2,27-31,,
7:23.0,,,27-34,3,M. Ellis makes 3-pt shot from 23 ft (assist by P. George)
7:04.0,C. Zeller makes 2-pt shot from 6 ft,2,29-34,,
6:52.0,,,29-34,,P. George misses 3-pt shot from 26 ft
6:51.0,Defensive rebound by J. Lamb,,29-34,,
6:41.0,J. Lamb makes 2-pt shot from 3 ft,2,31-34,,
6:26.0,,,31-36,2,M. Ellis makes 2-pt shot from 17 ft
6:09.0,F. Kaminsky misses 3-pt shot from 27 ft,,31-36,,
6:09.0,,,31-36,,Defensive rebound by R. Stuckey
5:50.0,,,31-36,,T. Young misses 2-pt shot from 4 ft
5:49.0,Defensive rebound by J. Lamb,,31-36,,
5:39.0,J. Lamb misses 2-pt shot from 10 ft,,31-36,,
5:39.0,Offensive rebound by Team,,31-36,,
5:39.0,,,31-36,,Loose ball foul by P. George (drawn by C. Zeller)
5:39.0,Official timeout,,31-36,,
5:39.0,,,31-36,,J. Teague enters the game for R. Stuckey
