time,Golden State,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: Z. Pachulia vs. J. Valanciunas (D. Green gains possession),,,,Jump ball: Z. Pachulia vs. J. Valanciunas (D. Green gains possession)
11:45.0,Z. Pachulia misses 2-pt shot from 2 ft,,0-0,,
11:45.0,,,0-0,,Defensive rebound by J. Valanciunas
11:40.0,,,0-2,2,J. Valanciunas makes 2-pt shot from 5 ft (assist by K. Lowry)
11:22.0,K. Thompson misses 3-pt shot from 25 ft,,0-2,,
11:22.0,,,0-2,,Defensive rebound by P. Siakam
11:12.0,,,0-2,,D. DeRozan misses 2-pt shot from 18 ft
11:12.0,Defensive rebound by K. Durant,,0-2,,
11:03.0,K. Durant makes 2-pt shot from 19 ft,2,2-2,,
10:41.0,,,2-4,2,J. Valanciunas makes 2-pt shot from 18 ft (assist by K. Lowry)
10:29.0,S. Curry misses 3-pt shot from 26 ft,,2-4,,
10:29.0,,,2-4,,Defensive rebound by K. Lowry
10:21.0,,,2-4,,Shooting foul by S. Curry (drawn by K. Lowry)
10:21.0,,,2-4,,K. Lowry misses free throw 1 of 2
10:21.0,,,2-4,,Offensive rebound by Team
10:21.0,,,2-5,1,K. Lowry makes free throw 2 of 2
10:11.0,D. Green makes 2-pt shot from 5 ft (assist by S. Curry),2,4-5,,
9:47.0,,,4-5,,K. Lowry misses 2-pt shot from 3 ft (block by D. Green)
9:45.0,Defensive rebound by D. Green,,4-5,,
9:39.0,K. Durant misses 2-pt shot from 5 ft,,4-5,,
9:39.0,,,4-5,,Defensive rebound by D. DeRozan
9:24.0,,,4-7,2,P. Siakam makes 2-pt shot from 18 ft (assist by D. DeRozan)
9:08.0,K. Durant makes 2-pt shot at rim (assist by Z. Pachulia),2,6-7,,
8:37.0,,,6-7,,K. Lowry misses 2-pt shot from 5 ft
8:37.0,,,6-7,,Offensive rebound by P. Siakam
8:36.0,,,6-7,,P. Siakam misses 2-pt shot from 1 ft
8:35.0,,,6-7,,Offensive rebound by J. Valanciunas
8:34.0,,,6-9,2,J. Valanciunas makes 2-pt shot from 2 ft
8:15.0,,,6-9,,Personal foul by D. DeRozan (drawn by Z. Pachulia)
8:11.0,Shooting foul by P. Siakam (drawn by Z. Pachulia),,6-9,,
8:11.0,Z. Pachulia makes free throw 1 of 2,1,7-9,,
8:11.0,Z. Pachulia makes free throw 2 of 2,1,8-9,,
7:48.0,,,8-12,3,D. DeRozan makes 3-pt shot from 24 ft
7:43.0,Turnover by S. Curry (bad pass; steal by D. Carroll),,8-12,,
7:32.0,,,8-12,,P. Siakam misses 2-pt shot from 2 ft
7:32.0,Defensive rebound by D. Green,,8-12,,
7:22.0,S. Curry makes 2-pt shot from 3 ft (assist by K. Durant),2,10-12,,
7:04.0,,,10-15,3,K. Lowry makes 3-pt shot from 26 ft
6:56.0,Golden State full timeout,,10-15,,
6:45.0,K. Thompson misses 3-pt shot from 23 ft,,10-15,,
6:44.0,,,10-15,,Defensive rebound by K. Lowry
6:33.0,,,10-18,3,D. Carroll makes 3-pt shot from 24 ft (assist by D. DeRozan)
6:17.0,Shooting foul by P. Siakam (drawn by Z. Pachulia),,10-18,,
6:17.0,Z. Pachulia makes free throw 1 of 2,1,11-18,,
6:17.0,Z. Pachulia makes free throw 2 of 2,1,12-18,,
6:17.0,A. Iguodala enters the game for K. Durant,,11-18,,
6:17.0,,,11-18,,P. Patterson enters the game for P. Siakam
6:02.0,,,12-20,2,J. Valanciunas makes 2-pt shot from 3 ft (assist by D. Carroll)
5:40.0,A. Iguodala makes 3-pt shot from 26 ft (assist by Z. Pachulia),3,15-20,,
5:27.0,,,15-20,,P. Patterson misses 3-pt shot from 23 ft
5:27.0,,,15-20,,Offensive rebound by Team
5:27.0,Loose ball foul by Z. Pachulia (drawn by J. Valanciunas),,15-20,,
5:27.0,J. McGee enters the game for Z. Pachulia,,15-20,,
5:23.0,Violation by J. McGee (def goaltending),,15-20,,
5:23.0,,,15-22,2,P. Patterson makes 2-pt shot from 3 ft (assist by D. Carroll)
5:11.0,S. Curry makes 2-pt shot from 3 ft,2,17-22,,
4:50.0,,,17-22,,D. DeRozan misses 3-pt shot from 24 ft
4:49.0,,,17-22,,Offensive rebound by Team
4:43.0,,,17-25,3,K. Lowry makes 3-pt shot from 26 ft (assist by P. Patterson)
4:30.0,J. McGee makes 2-pt shot at rim (assist by S. Curry),2,19-25,,
4:23.0,Personal foul by J. McGee (drawn by K. Lowry),,19-25,,
4:23.0,,,19-25,,L. Nogueira enters the game for J. Valanciunas
4:18.0,,,19-25,,Shooting foul by J. McGee (drawn by D. DeRozan)
4:18.0,,,19-26,1,D. DeRozan makes free throw 1 of 2
4:18.0,,,19-27,1,D. DeRozan makes free throw 2 of 2
4:03.0,K. Thompson misses 3-pt shot from 23 ft,,19-27,,
4:02.0,,,19-27,,Defensive rebound by D. Carroll
3:59.0,Personal foul by J. McGee (drawn by K. Lowry),,19-27,,
3:59.0,,,19-28,1,K. Lowry makes free throw 1 of 2
3:59.0,,,19-29,1,K. Lowry makes free throw 2 of 2
3:46.0,D. Green makes 3-pt shot from 26 ft (assist by S. Curry),3,22-29,,
3:37.0,,,22-29,,Turnover by K. Lowry (bad pass; steal by A. Iguodala)
3:32.0,Turnover by A. Iguodala (bad pass; steal by D. DeRozan),,22-29,,
3:28.0,,,22-32,3,D. Carroll makes 3-pt shot from 25 ft (assist by K. Lowry)
3:15.0,Shooting foul by K. Lowry (drawn by S. Curry),,22-32,,
3:15.0,S. Curry makes 2-pt shot from 23 ft,2,24-32,,
3:15.0,S. Curry makes free throw 1 of 1,1,25-32,,
3:15.0,P. McCaw enters the game for K. Thompson,,24-32,,
3:15.0,K. Durant enters the game for J. McGee,,24-32,,
3:12.0,,,25-32,,Toronto full timeout
3:12.0,,,25-32,,C. Joseph enters the game for K. Lowry
3:12.0,,,25-32,,T. Ross enters the game for L. Nogueira
2:56.0,,,25-34,2,D. DeRozan makes 2-pt shot from 12 ft
2:36.0,D. Green misses 3-pt shot from 28 ft,,25-34,,
2:35.0,,,25-34,,Defensive rebound by D. Carroll
2:23.0,,,25-34,,D. Carroll misses 3-pt shot from 26 ft
2:22.0,Defensive rebound by D. Green,,25-34,,
2:13.0,P. McCaw makes 2-pt shot from 5 ft (assist by A. Iguodala),2,27-34,,
1:54.0,,,27-36,2,D. DeRozan makes 2-pt shot from 20 ft
1:41.0,D. Green makes 2-pt shot from 2 ft (assist by S. Curry),2,29-36,,
1:23.0,,,29-36,,P. Patterson misses 2-pt shot from 17 ft
1:23.0,Defensive rebound by A. Iguodala,,29-36,,
1:19.0,,,29-36,,Shooting block foul by C. Joseph (drawn by K. Durant)
1:19.0,K. Durant makes free throw 1 of 2,1,30-36,,
1:19.0,K. Durant makes free throw 2 of 2,1,31-36,,
1:19.0,K. Thompson enters the game for D. Green,,30-36,,
1:19.0,D. West enters the game for S. Curry,,30-36,,
1:19.0,,,30-36,,L. Nogueira enters the game for D. Carroll
1:03.0,,,31-36,,C. Joseph misses 3-pt shot from 23 ft
1:03.0,Defensive rebound by A. Iguodala,,31-36,,
0:55.0,P. McCaw misses 3-pt shot from 27 ft,,31-36,,
0:54.0,,,31-36,,Defensive rebound by T. Ross
0:36.0,,,31-38,2,C. Joseph makes 2-pt shot from 5 ft
0:29.0,K. Durant misses 3-pt shot from 24 ft,,31-38,,
0:28.0,,,31-38,,Defensive rebound by L. Nogueira
0:05.0,,,31-38,,Turnover by D. DeRozan (bad pass)
0:05.0,S. Curry enters the game for D. West,,31-38,,
0:05.0,,,31-38,,N. Powell enters the game for L. Nogueira
0:00.0,K. Durant makes 3-pt shot from 26 ft,3,34-38,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,,,34-38,,K. Lowry misses 2-pt shot from 8 ft
11:38.0,Defensive rebound by K. Durant,,34-38,,
11:19.0,K. Durant makes 2-pt shot from 3 ft,2,36-38,,
11:03.0,,,36-40,2,P. Siakam makes 2-pt shot from 5 ft (assist by C. Joseph)
10:46.0,Turnover by K. Durant (bad pass; steal by K. Lowry),,36-40,,
10:27.0,,,36-40,,C. Joseph misses 2-pt shot from 2 ft
10:26.0,,,36-40,,Offensive rebound by P. Siakam
10:25.0,,,36-40,,P. Siakam misses 2-pt shot from 1 ft
10:25.0,Defensive rebound by D. West,,36-40,,
10:16.0,K. Thompson makes 2-pt shot from 2 ft (assist by A. Iguodala),2,38-40,,
9:48.0,,,38-40,,T. Ross misses 2-pt shot from 12 ft (block by A. Iguodala)
9:47.0,,,38-40,,Offensive rebound by T. Ross
9:46.0,,,38-40,,T. Ross misses 2-pt shot from 11 ft
9:46.0,Defensive rebound by S. Livingston,,38-40,,
9:43.0,Turnover by K. Durant (lost ball),,38-40,,
9:25.0,,,38-40,,T. Ross misses 2-pt shot from 9 ft (block by K. Thompson)
9:24.0,,,38-40,,Offensive rebound by P. Patterson
9:20.0,,,38-40,,P. Patterson misses 2-pt shot from 17 ft
9:20.0,Defensive rebound by K. Durant,,38-40,,
9:11.0,K. Thompson misses 3-pt shot from 26 ft,,38-40,,
9:11.0,,,38-40,,Defensive rebound by T. Ross
9:03.0,,,38-40,,P. Patterson misses 3-pt shot from 23 ft
9:02.0,Defensive rebound by K. Thompson,,38-40,,
8:51.0,K. Durant makes 3-pt shot from 24 ft (assist by A. Iguodala),3,41-40,,
8:33.0,,,41-40,,Shooting foul by D. West (drawn by K. Lowry)
8:33.0,Official timeout,,41-40,,
8:33.0,,,41-40,,K. Lowry misses free throw 1 of 2
8:33.0,,,41-40,,Offensive rebound by Team
8:33.0,,,41-41,1,K. Lowry makes free throw 2 of 2
8:33.0,,,41-40,,J. Valanciunas enters the game for P. Patterson
8:33.0,P. McCaw enters the game for A. Iguodala,,41-40,,
8:22.0,K. Durant makes 2-pt shot from 10 ft,2,43-41,,
8:09.0,Shooting block foul by P. McCaw (drawn by C. Joseph),,43-41,,
8:09.0,,,43-42,1,C. Joseph makes free throw 1 of 2
8:09.0,,,43-43,1,C. Joseph makes free throw 2 of 2
7:58.0,D. West misses 2-pt shot from 17 ft,,43-43,,
7:58.0,,,43-43,,Defensive rebound by J. Valanciunas
7:45.0,,,43-43,,T. Ross misses 2-pt shot from 12 ft
7:45.0,,,43-43,,Offensive rebound by P. Siakam
7:42.0,,,43-45,2,P. Siakam makes 2-pt shot from 2 ft
7:26.0,K. Durant misses 3-pt shot from 24 ft,,43-45,,
7:26.0,Offensive rebound by S. Livingston,,43-45,,
7:22.0,K. Thompson misses 2-pt shot from 9 ft,,43-45,,
7:21.0,,,43-45,,Defensive rebound by J. Valanciunas
7:07.0,,,43-47,2,J. Valanciunas makes 2-pt shot from 11 ft
7:01.0,Golden State full timeout,,43-47,,
7:01.0,D. Green enters the game for K. Durant,,43-47,,
7:01.0,Z. Pachulia enters the game for K. Thompson,,43-47,,
7:01.0,S. Curry enters the game for D. West,,43-47,,
6:55.0,Shooting foul by P. Siakam (drawn by S. Curry),,43-47,,
6:55.0,S. Curry makes free throw 1 of 3,1,44-47,,
6:55.0,S. Curry misses free throw 2 of 3,,44-47,,
6:55.0,Offensive rebound by Team,,44-47,,
6:55.0,S. Curry makes free throw 3 of 3,1,45-47,,
6:55.0,,,44-47,,D. Carroll enters the game for P. Siakam
6:33.0,,,45-47,,C. Joseph misses 3-pt shot from 22 ft
6:33.0,,,45-47,,Offensive rebound by J. Valanciunas
6:28.0,,,45-47,,D. Carroll misses 3-pt shot from 26 ft
6:28.0,,,45-47,,Offensive rebound by K. Lowry
6:25.0,,,45-47,,Turnover by Team (back court)
6:08.0,D. Green misses 3-pt shot from 26 ft,,45-47,,
6:07.0,Offensive rebound by Team,,45-47,,
6:06.0,,,45-47,,D. DeRozan enters the game for C. Joseph
5:58.0,S. Curry misses 3-pt shot from 26 ft,,45-47,,
5:58.0,,,45-47,,Defensive rebound by J. Valanciunas
5:46.0,,,45-49,2,J. Valanciunas makes 2-pt shot from 13 ft (assist by D. DeRozan)
5:33.0,Turnover by Z. Pachulia (bad pass; steal by K. Lowry),,45-49,,
5:26.0,,,45-49,,T. Ross misses 3-pt shot from 27 ft
5:25.0,,,45-49,,Offensive rebound by J. Valanciunas
5:16.0,,,45-49,,Turnover by K. Lowry (lost ball; steal by P. McCaw)
5:10.0,Z. Pachulia makes 2-pt shot from 1 ft (assist by S. Curry),2,47-49,,
4:49.0,,,47-49,,D. DeRozan misses 2-pt shot from 16 ft
4:49.0,Defensive rebound by P. McCaw,,47-49,,
4:39.0,S. Curry makes 3-pt shot from 25 ft (assist by D. Green),3,50-49,,
4:30.0,,,50-49,,Toronto full timeout
4:30.0,,,50-49,,N. Powell enters the game for T. Ross
4:30.0,A. Iguodala enters the game for P. McCaw,,50-49,,
4:23.0,,,50-49,,D. DeRozan misses 2-pt shot from 5 ft
4:23.0,Defensive rebound by Z. Pachulia,,50-49,,
4:12.0,Z. Pachulia makes 2-pt shot from 4 ft (assist by S. Curry),2,52-49,,
3:55.0,,,52-49,,Shooting foul by Z. Pachulia (drawn by D. DeRozan)
3:55.0,,,52-50,1,D. DeRozan makes free throw 1 of 2
3:55.0,,,52-51,1,D. DeRozan makes free throw 2 of 2
3:43.0,D. Green makes 2-pt shot at rim (assist by A. Iguodala),2,54-51,,
3:23.0,,,54-51,,Turnover by D. DeRozan (lost ball; steal by A. Iguodala)
3:20.0,S. Curry makes 2-pt shot at rim (assist by A. Iguodala),2,56-51,,
3:20.0,Shooting foul by N. Powell (drawn by S. Curry),,56-51,,
3:20.0,S. Curry makes free throw 1 of 1,1,57-51,,
3:14.0,Personal foul by S. Livingston (drawn by J. Valanciunas),,57-51,,
3:14.0,K. Durant enters the game for Z. Pachulia,,57-51,,
