time,Milwaukee,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Maker vs. J. Valanciunas (K. Lowry gains possession),,,,Jump ball: T. Maker vs. J. Valanciunas (K. Lowry gains possession)
11:42.0,,,0-0,,K. Lowry misses 2-pt shot from 4 ft
11:42.0,Defensive rebound by M. Brogdon,,0-0,,
11:26.0,K. Middleton misses 3-pt shot from 26 ft,,0-0,,
11:26.0,,,0-0,,Defensive rebound by D. DeRozan
11:10.0,,,0-2,2,D. DeRozan makes 2-pt shot from 10 ft
10:58.0,M. Brogdon misses 3-pt shot from 22 ft,,0-2,,
10:57.0,,,0-2,,Defensive rebound by J. Valanciunas
10:44.0,,,0-4,2,D. DeRozan makes 2-pt shot from 2 ft
10:34.0,G. Antetokounmpo makes 2-pt shot at rim,2,2-4,,
10:14.0,,,2-4,,D. DeRozan misses 2-pt shot from 3 ft
10:14.0,Defensive rebound by G. Antetokounmpo,,2-4,,
10:11.0,Shooting foul by D. Carroll (drawn by G. Antetokounmpo),,2-4,,
10:11.0,G. Antetokounmpo makes free throw 1 of 2,1,3-4,,
10:11.0,G. Antetokounmpo misses free throw 2 of 2,,3-4,,
10:10.0,Offensive rebound by T. Snell,,3-4,,
10:05.0,T. Snell misses 2-pt shot from 19 ft,,3-4,,
10:05.0,,,3-4,,Defensive rebound by D. DeRozan
9:56.0,,,3-4,,D. DeRozan misses 2-pt shot from 3 ft
9:56.0,,,3-4,,Offensive rebound by S. Ibaka
9:54.0,,,3-6,2,S. Ibaka makes 2-pt shot from 2 ft
9:29.0,M. Brogdon makes 3-pt shot from 27 ft (assist by T. Snell),3,6-6,,
9:19.0,,,6-8,2,S. Ibaka makes 2-pt shot at rim (assist by K. Lowry)
9:05.0,G. Antetokounmpo misses 2-pt shot from 2 ft (block by S. Ibaka),,6-8,,
9:03.0,Offensive rebound by T. Maker,,6-8,,
8:59.0,T. Maker makes 2-pt shot from 2 ft,2,8-8,,
8:57.0,,,8-10,2,K. Lowry makes 2-pt shot from 11 ft
8:57.0,Shooting block foul by M. Brogdon (drawn by K. Lowry),,8-10,,
8:57.0,,,8-10,,K. Lowry misses free throw 1 of 1
8:55.0,Defensive rebound by G. Antetokounmpo,,8-10,,
8:32.0,T. Snell misses 2-pt shot from 15 ft,,8-10,,
8:32.0,,,8-10,,Defensive rebound by D. DeRozan
8:21.0,,,8-10,,D. Carroll misses 3-pt shot from 25 ft
8:21.0,Defensive rebound by G. Antetokounmpo,,8-10,,
8:12.0,,,8-10,,Personal foul by K. Lowry (drawn by G. Antetokounmpo)
7:59.0,G. Antetokounmpo misses 3-pt shot from 26 ft,,8-10,,
7:58.0,,,8-10,,Defensive rebound by S. Ibaka
7:40.0,,,8-10,,Shooting foul by K. Middleton (drawn by S. Ibaka)
7:40.0,,,8-11,1,S. Ibaka makes free throw 1 of 2
7:40.0,,,8-11,,S. Ibaka misses free throw 2 of 2
