time,San Antonio,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. N. Jokic (T. Parker gains possession),,,,Jump ball: P. Gasol vs. N. Jokic (T. Parker gains possession)
11:38.0,L. Aldridge makes 2-pt shot from 14 ft (assist by D. Green),2,2-0,,
11:17.0,,,2-2,2,N. Jokic makes 2-pt shot from 2 ft (assist by G. Harris)
10:55.0,L. Aldridge misses 2-pt shot from 14 ft,,2-2,,
10:53.0,,,2-2,,Defensive rebound by N. Jokic
10:42.0,,,2-4,2,E. Mudiay makes 2-pt shot from 15 ft
10:19.0,L. Aldridge makes 2-pt shot at rim (assist by T. Parker),2,4-4,,
10:05.0,,,4-6,2,N. Jokic makes 2-pt shot from 20 ft
9:43.0,L. Aldridge makes 2-pt shot from 16 ft (assist by T. Parker),2,6-6,,
9:28.0,,,6-8,2,G. Harris makes 2-pt shot from 1 ft (assist by N. Jokic)
9:15.0,T. Parker makes 2-pt shot from 20 ft,2,8-8,,
8:50.0,,,8-10,2,N. Jokic makes 2-pt shot from 4 ft (assist by G. Harris)
8:26.0,T. Parker makes 3-pt shot from 25 ft (assist by P. Gasol),3,11-10,,
8:07.0,,,11-12,2,N. Jokic makes 2-pt shot from 4 ft
7:48.0,P. Gasol makes 2-pt shot from 20 ft (assist by T. Parker),2,13-12,,
7:48.0,,,13-12,,Denver full timeout
7:30.0,,,13-15,3,D. Arthur makes 3-pt shot from 24 ft (assist by G. Harris)
7:08.0,K. Leonard misses 3-pt shot from 26 ft,,13-15,,
7:06.0,Offensive rebound by P. Gasol,,13-15,,
6:51.0,L. Aldridge misses 2-pt shot from 22 ft,,13-15,,
6:49.0,,,13-15,,Defensive rebound by D. Arthur
6:40.0,,,13-17,2,D. Arthur makes 2-pt shot from 22 ft (assist by E. Mudiay)
6:26.0,K. Leonard makes 3-pt shot from 27 ft (assist by T. Parker),3,16-17,,
6:13.0,,,16-19,2,D. Gallinari makes 2-pt shot from 1 ft
6:01.0,T. Parker makes 2-pt shot from 8 ft (assist by K. Leonard),2,18-19,,
5:42.0,,,18-21,2,D. Arthur makes 2-pt shot from 1 ft (assist by E. Mudiay)
5:42.0,,,18-21,,Shooting foul by K. Leonard (drawn by D. Arthur)
5:42.0,,,18-22,1,D. Arthur makes free throw 1 of 1
5:42.0,D. Dedmon enters the game for P. Gasol,,18-21,,
5:29.0,D. Green makes 3-pt shot from 24 ft (assist by T. Parker),3,21-22,,
5:15.0,M. Ginobili enters the game for D. Green,,21-22,,
5:01.0,,,21-22,,Shooting foul by L. Aldridge (drawn by N. Jokic)
5:01.0,,,21-23,1,N. Jokic makes free throw 1 of 2
5:01.0,,,21-23,,Violation by Team (jump ball)
5:01.0,,,21-24,1,N. Jokic makes free throw 2 of 2
5:01.0,,,21-23,,W. Chandler enters the game for D. Arthur
4:40.0,T. Parker makes 2-pt shot from 15 ft (assist by D. Dedmon),2,23-24,,
4:31.0,,,23-24,,E. Mudiay misses 2-pt shot from 14 ft
4:30.0,,,23-24,,Offensive rebound by N. Jokic
4:29.0,,,23-24,,Shooting foul by D. Dedmon (drawn by N. Jokic)
4:29.0,,,23-25,1,N. Jokic makes free throw 1 of 2
4:29.0,,,23-25,,N. Jokic misses free throw 2 of 2
4:29.0,P. Mills enters the game for T. Parker,,23-25,,
4:28.0,Defensive rebound by D. Dedmon,,23-25,,
4:17.0,,,23-25,,Personal foul by D. Gallinari (drawn by K. Leonard)
4:04.0,K. Leonard misses 3-pt shot from 25 ft,,23-25,,
4:03.0,,,23-25,,Defensive rebound by N. Jokic
3:55.0,,,23-25,,Shooting foul by P. Mills (drawn by D. Gallinari)
3:55.0,,,23-26,1,D. Gallinari makes free throw 1 of 2
3:55.0,,,23-27,1,D. Gallinari makes free throw 2 of 2
3:55.0,,,23-26,,J. Nelson enters the game for E. Mudiay
3:55.0,J. Simmons enters the game for K. Leonard,,23-26,,
3:37.0,M. Ginobili makes 2-pt shot from 2 ft (assist by P. Mills),2,25-27,,
3:28.0,,,25-27,,N. Jokic misses 2-pt shot from 5 ft
3:27.0,Defensive rebound by Team,,25-27,,
3:06.0,M. Ginobili misses 3-pt shot from 26 ft,,25-27,,
3:05.0,,,25-27,,Defensive rebound by D. Gallinari
2:56.0,,,25-27,,D. Gallinari misses 2-pt shot from 3 ft
