time,Chicago,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. R. Lopez (P. Millsap gains possession),,,,Jump ball: D. Howard vs. R. Lopez (P. Millsap gains possession)
11:48.0,,,0-0,,Turnover by P. Millsap (bad pass)
11:33.0,J. Butler makes 3-pt shot from 25 ft (assist by R. Rondo),3,3-0,,
11:15.0,,,3-0,,D. Schroder misses 2-pt shot from 8 ft
11:14.0,,,3-0,,Offensive rebound by D. Schroder
11:12.0,,,3-2,2,D. Schroder makes 2-pt shot from 2 ft
10:53.0,T. Gibson misses 2-pt shot from 9 ft,,3-2,,
10:52.0,,,3-2,,Defensive rebound by D. Howard
10:34.0,,,3-2,,P. Millsap misses 2-pt shot from 6 ft
10:33.0,Defensive rebound by T. Gibson,,3-2,,
10:25.0,R. Rondo misses 2-pt shot from 19 ft,,3-2,,
10:23.0,,,3-2,,Defensive rebound by P. Millsap
10:06.0,,,3-2,,K. Bazemore misses 2-pt shot from 19 ft
10:04.0,Defensive rebound by R. Lopez,,3-2,,
9:52.0,J. Butler makes 3-pt shot from 25 ft (assist by D. Wade),3,6-2,,
9:19.0,,,6-5,3,D. Schroder makes 3-pt shot from 23 ft (assist by K. Bazemore)
9:11.0,,,6-5,,Shooting block foul by D. Schroder (drawn by R. Rondo)
9:11.0,R. Rondo misses free throw 1 of 2,,6-5,,
9:11.0,Offensive rebound by Team,,6-5,,
9:11.0,R. Rondo makes free throw 2 of 2,1,7-5,,
9:05.0,Personal foul by R. Lopez (drawn by D. Howard),,7-5,,
8:50.0,,,7-5,,P. Millsap misses 2-pt shot from 8 ft
8:48.0,Defensive rebound by T. Gibson,,7-5,,
8:33.0,R. Rondo misses 3-pt shot from 25 ft,,7-5,,
8:27.0,,,7-5,,Defensive rebound by D. Howard
8:18.0,,,7-5,,D. Schroder misses 3-pt shot from 22 ft
8:16.0,,,7-5,,Offensive rebound by D. Howard
8:11.0,,,7-5,,Shooting foul by T. Gibson (drawn by P. Millsap)
8:11.0,,,7-6,1,P. Millsap makes free throw 1 of 2
8:11.0,,,7-7,1,P. Millsap makes free throw 2 of 2
7:50.0,R. Lopez makes 2-pt shot from 5 ft (assist by D. Wade),2,9-7,,
7:38.0,,,9-10,3,P. Millsap makes 3-pt shot from 25 ft (assist by D. Schroder)
7:28.0,D. Wade makes 3-pt shot from 25 ft (assist by J. Butler),3,12-10,,
7:14.0,Personal foul by R. Rondo (drawn by D. Schroder),,12-10,,
7:09.0,,,12-12,2,D. Schroder makes 2-pt shot from 17 ft
6:54.0,J. Butler misses 2-pt shot from 19 ft,,12-12,,
6:53.0,,,12-12,,Defensive rebound by P. Millsap
6:43.0,,,12-15,3,K. Korver makes 3-pt shot from 24 ft (assist by P. Millsap)
6:31.0,D. Wade makes 2-pt shot from 19 ft,2,14-15,,
6:25.0,,,14-15,,Shooting foul by D. Wade (drawn by K. Bazemore)
6:25.0,,,14-15,,K. Bazemore misses free throw 1 of 2
6:25.0,,,14-15,,Offensive rebound by Team
6:25.0,,,14-16,1,K. Bazemore makes free throw 2 of 2
6:25.0,,,14-15,,M. Muscala enters the game for P. Millsap
6:10.0,T. Gibson makes 2-pt shot from 7 ft,2,16-16,,
5:57.0,,,16-16,,M. Muscala misses 2-pt shot from 18 ft
5:55.0,,,16-16,,Offensive rebound by D. Howard
5:52.0,,,16-16,,Turnover by K. Korver (lost ball; steal by D. Wade)
5:52.0,,,16-16,,Personal foul by K. Korver (drawn by D. Wade)
5:52.0,,,16-16,,Atlanta full timeout
5:52.0,I. Canaan enters the game for R. Rondo,,16-16,,
5:38.0,T. Gibson makes 2-pt shot from 1 ft (assist by R. Lopez),2,18-16,,
5:19.0,,,18-18,2,D. Howard makes 2-pt shot from 4 ft
5:02.0,J. Butler misses 3-pt shot from 25 ft,,18-18,,
