time,Oklahoma City,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. M. Gasol (V. Oladipo gains possession),,,,Jump ball: S. Adams vs. M. Gasol (V. Oladipo gains possession)
11:39.0,T. Gibson makes 2-pt shot from 1 ft (assist by R. Westbrook),2,2-0,,
11:23.0,,,2-0,,Turnover by M. Gasol (bad pass; steal by R. Westbrook)
11:11.0,A. Roberson makes 2-pt shot from 1 ft (assist by V. Oladipo),2,4-0,,
11:05.0,,,4-0,,Turnover by M. Gasol (bad pass)
10:52.0,V. Oladipo misses 2-pt shot from 1 ft (block by M. Gasol),,4-0,,
10:50.0,Offensive rebound by T. Gibson,,4-0,,
10:49.0,T. Gibson makes 2-pt shot from 7 ft,2,6-0,,
10:32.0,,,6-0,,V. Carter misses 3-pt shot from 26 ft
10:31.0,Defensive rebound by V. Oladipo,,6-0,,
10:22.0,Turnover by R. Westbrook (bad pass; steal by T. Allen),,6-0,,
10:13.0,,,6-2,2,T. Allen makes 2-pt shot from 2 ft (assist by A. Harrison)
9:55.0,S. Adams misses 2-pt shot from 12 ft,,6-2,,
9:54.0,,,6-2,,Defensive rebound by T. Allen
9:46.0,,,6-4,2,T. Allen makes 2-pt shot from 4 ft
9:31.0,S. Adams misses 2-pt shot from 7 ft,,6-4,,
9:28.0,,,6-4,,Defensive rebound by M. Gasol
9:20.0,,,6-7,3,M. Gasol makes 3-pt shot from 25 ft (assist by T. Allen)
9:00.0,T. Gibson misses 2-pt shot from 6 ft,,6-7,,
8:59.0,,,6-7,,Defensive rebound by V. Carter
8:51.0,,,6-7,,T. Allen misses 2-pt shot from 5 ft (block by V. Oladipo)
8:50.0,Defensive rebound by S. Adams,,6-7,,
8:45.0,R. Westbrook makes 3-pt shot from 25 ft (assist by V. Oladipo),3,9-7,,
8:29.0,,,9-7,,T. Allen misses 2-pt shot from 1 ft
8:27.0,Defensive rebound by S. Adams,,9-7,,
8:20.0,R. Westbrook makes 2-pt shot from 19 ft,2,11-7,,
8:08.0,,,11-7,,Shooting foul by A. Roberson (drawn by M. Gasol)
8:08.0,,,11-8,1,M. Gasol makes free throw 1 of 2
8:08.0,,,11-9,1,M. Gasol makes free throw 2 of 2
7:56.0,R. Westbrook misses 3-pt shot from 26 ft,,11-9,,
7:55.0,,,11-9,,Defensive rebound by T. Allen
7:43.0,,,11-9,,M. Gasol misses 2-pt shot from 9 ft
7:40.0,Defensive rebound by T. Gibson,,11-9,,
7:26.0,Turnover by R. Westbrook (bad pass; steal by M. Gasol),,11-9,,
7:18.0,,,11-9,,A. Harrison misses 2-pt shot at rim (block by A. Roberson)
7:14.0,Defensive rebound by S. Adams,,11-9,,
7:12.0,T. Gibson makes 2-pt shot at rim (assist by R. Westbrook),2,13-9,,
6:47.0,,,13-11,2,M. Gasol makes 2-pt shot from 2 ft (assist by V. Carter)
6:32.0,V. Oladipo misses 3-pt shot from 25 ft,,13-11,,
6:31.0,,,13-11,,Defensive rebound by J. Green
6:23.0,Personal foul by A. Roberson (drawn by V. Carter),,13-11,,
6:10.0,,,13-14,3,V. Carter makes 3-pt shot from 25 ft (assist by M. Gasol)
5:58.0,Shooting foul by T. Allen (drawn by A. Roberson),,13-14,,
5:58.0,,,13-14,,Memphis full timeout
5:58.0,A. Roberson misses free throw 1 of 2,,13-14,,
5:58.0,Offensive rebound by Team,,13-14,,
5:58.0,A. Roberson misses free throw 2 of 2,,13-14,,
5:58.0,,,13-14,,Defensive rebound by Team
5:57.0,D. McDermott enters the game for A. Roberson,,13-14,,
5:45.0,,,13-17,3,M. Gasol makes 3-pt shot from 26 ft (assist by T. Allen)
5:27.0,R. Westbrook misses 3-pt shot from 25 ft,,13-17,,
5:26.0,Offensive rebound by S. Adams,,13-17,,
5:26.0,S. Adams misses 2-pt shot from 2 ft,,13-17,,
5:23.0,,,13-17,,Defensive rebound by J. Green
5:18.0,,,13-17,,M. Gasol misses 3-pt shot from 29 ft
5:16.0,Defensive rebound by R. Westbrook,,13-17,,
5:16.0,,,13-17,,Personal take foul by T. Allen (drawn by R. Westbrook)
5:16.0,,,13-17,,Z. Randolph enters the game for J. Green
5:16.0,,,13-17,,W. Selden enters the game for T. Allen
5:09.0,V. Oladipo makes 2-pt shot from 1 ft (assist by R. Westbrook),2,15-17,,
4:46.0,,,15-19,2,V. Carter makes 2-pt shot from 8 ft
4:36.0,R. Westbrook makes 2-pt shot from 9 ft,2,17-19,,
4:20.0,,,17-21,2,W. Selden makes 2-pt shot from 2 ft
4:15.0,Oklahoma City full timeout,,17-21,,
4:15.0,E. Kanter enters the game for T. Gibson,,17-21,,
4:15.0,S. Christon enters the game for V. Oladipo,,17-21,,
4:10.0,Shooting foul by V. Carter (drawn by D. McDermott),,17-21,,
4:10.0,D. McDermott misses free throw 1 of 3,,17-21,,
4:10.0,Offensive rebound by Team,,17-21,,
4:10.0,D. McDermott misses free throw 2 of 3,,17-21,,
4:10.0,Offensive rebound by Team,,17-21,,
4:10.0,D. McDermott makes free throw 3 of 3,1,18-21,,
3:55.0,,,18-21,,B. Wright enters the game for M. Gasol
3:55.0,,,18-21,,T. Daniels enters the game for V. Carter
3:47.0,,,18-21,,Z. Randolph misses 2-pt shot from 18 ft
3:47.0,Defensive rebound by D. McDermott,,18-21,,
3:38.0,Shooting foul by B. Wright (drawn by E. Kanter),,18-21,,
3:38.0,E. Kanter makes free throw 1 of 2,1,19-21,,
3:38.0,E. Kanter makes free throw 2 of 2,1,20-21,,
3:38.0,D. Sabonis enters the game for S. Adams,,19-21,,
3:22.0,,,20-21,,Shooting foul by E. Kanter (drawn by A. Harrison)
3:22.0,,,20-22,1,A. Harrison makes free throw 1 of 2
3:22.0,,,20-23,1,A. Harrison makes free throw 2 of 2
3:11.0,R. Westbrook makes 2-pt shot from 1 ft,2,22-23,,
2:53.0,,,22-23,,Turnover by T. Daniels (bad pass; steal by R. Westbrook)
2:48.0,D. Sabonis makes 2-pt shot from 1 ft (assist by R. Westbrook),2,24-23,,
2:40.0,,,24-23,,Memphis full timeout
2:40.0,V. Oladipo enters the game for R. Westbrook,,24-23,,
2:23.0,,,24-25,2,Z. Randolph makes 2-pt shot from 11 ft
2:06.0,V. Oladipo makes 3-pt shot from 25 ft (assist by S. Christon),3,27-25,,
1:47.0,,,27-27,2,B. Wright makes 2-pt shot at rim (assist by W. Selden)
1:22.0,S. Christon misses 2-pt shot from 19 ft,,27-27,,
1:22.0,,,27-27,,Defensive rebound by W. Selden
1:00.0,,,27-27,,A. Harrison misses 2-pt shot from 19 ft
0:59.0,Defensive rebound by V. Oladipo,,27-27,,
0:51.0,Shooting foul by W. Selden (drawn by V. Oladipo),,27-27,,
0:51.0,V. Oladipo makes free throw 1 of 2,1,28-27,,
0:51.0,V. Oladipo makes free throw 2 of 2,1,29-27,,
0:51.0,,,28-27,,W. Baldwin enters the game for A. Harrison
0:34.0,,,29-27,,W. Baldwin misses 3-pt shot from 26 ft
0:33.0,Defensive rebound by D. McDermott,,29-27,,
0:28.0,E. Kanter makes 2-pt shot from 1 ft (assist by V. Oladipo),2,31-27,,
0:18.0,Personal foul by V. Oladipo (drawn by T. Daniels),,31-27,,
0:04.0,,,31-27,,Z. Randolph misses 2-pt shot from 20 ft (block by D. Sabonis)
0:04.0,,,31-27,,Offensive rebound by Team
0:04.0,,,31-27,,Turnover by Team (shot clock)
0:01.0,S. Christon makes 3-pt shot from 27 ft,3,34-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,34-30,3,T. Daniels makes 3-pt shot from 23 ft (assist by W. Baldwin)
11:24.0,E. Kanter misses 2-pt shot from 6 ft,,34-30,,
11:23.0,,,34-30,,Defensive rebound by Z. Randolph
11:07.0,,,34-30,,Turnover by Z. Randolph (lost ball; steal by S. Christon)
10:57.0,D. Sabonis makes 3-pt shot from 24 ft (assist by V. Oladipo),3,37-30,,
10:36.0,,,37-30,,W. Baldwin misses 2-pt shot from 2 ft
10:34.0,Defensive rebound by E. Kanter,,37-30,,
10:30.0,V. Oladipo makes 2-pt shot from 21 ft (assist by S. Christon),2,39-30,,
10:21.0,,,39-30,,Memphis full timeout
10:21.0,,,39-30,,M. Gasol enters the game for B. Wright
10:05.0,,,39-32,2,W. Selden makes 2-pt shot from 16 ft
9:48.0,D. McDermott misses 3-pt shot from 23 ft,,39-32,,
9:47.0,Offensive rebound by E. Kanter,,39-32,,
9:43.0,Turnover by E. Kanter (bad pass; steal by W. Baldwin),,39-32,,
9:38.0,,,39-34,2,W. Baldwin makes 2-pt shot from 3 ft
