time,Brooklyn,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Faried vs. B. Lopez (J. Lin gains possession),,,,Jump ball: K. Faried vs. B. Lopez (J. Lin gains possession)
11:40.0,B. Lopez makes 2-pt shot from 2 ft (assist by R. Hollis-Jefferson),2,2-0,,
11:22.0,,,2-0,,D. Gallinari misses 2-pt shot from 22 ft
11:21.0,Defensive rebound by J. Lin,,2-0,,
11:13.0,Offensive charge foul by R. Hollis-Jefferson,,2-0,,
11:13.0,Turnover by R. Hollis-Jefferson (offensive foul),,2-0,,
10:52.0,,,2-2,2,K. Faried makes 2-pt shot from 9 ft (assist by N. Jokic)
10:45.0,,,2-2,,Personal foul by J. Nelson (drawn by B. Lopez)
10:34.0,B. Lopez misses 2-pt shot from 6 ft,,2-2,,
10:33.0,,,2-2,,Defensive rebound by D. Gallinari
10:24.0,,,2-2,,Turnover by N. Jokic (bad pass; steal by C. LeVert)
10:24.0,,,2-2,,Personal foul by N. Jokic (drawn by C. LeVert)
10:12.0,R. Hollis-Jefferson makes 3-pt shot from 24 ft (assist by J. Lin),3,5-2,,
9:47.0,,,5-2,,J. Nelson misses 3-pt shot from 51 ft
9:46.0,,,5-2,,Offensive rebound by Team
9:46.0,,,5-2,,Turnover by Team (shot clock)
9:39.0,B. Lopez makes 2-pt shot from 15 ft,2,7-2,,
9:39.0,Shooting foul by N. Jokic (drawn by B. Lopez),,7-2,,
9:39.0,B. Lopez misses free throw 1 of 1,,7-2,,
9:39.0,,,7-2,,M. Plumlee enters the game for N. Jokic
9:38.0,,,7-2,,Defensive rebound by K. Faried
9:24.0,,,7-2,,G. Harris misses 3-pt shot from 24 ft
9:23.0,,,7-2,,Offensive rebound by M. Plumlee
9:19.0,,,7-4,2,M. Plumlee makes 2-pt shot from 2 ft
8:59.0,Shooting foul by K. Faried (drawn by B. Lopez),,7-4,,
8:59.0,B. Lopez makes free throw 1 of 2,1,8-4,,
8:59.0,B. Lopez makes free throw 2 of 2,1,9-4,,
8:45.0,Personal foul by J. Lin (drawn by D. Gallinari),,9-4,,
8:33.0,,,9-7,3,G. Harris makes 3-pt shot from 26 ft (assist by M. Plumlee)
8:25.0,Turnover by J. Lin (lost ball; steal by G. Harris),,9-7,,
8:22.0,,,9-7,,Shooting foul by R. Foye (drawn by K. Faried)
8:22.0,,,9-8,1,K. Faried makes free throw 1 of 2
8:22.0,,,9-9,1,K. Faried makes free throw 2 of 2
8:16.0,Turnover by R. Hollis-Jefferson (bad pass),,9-9,,
8:08.0,,,9-12,3,J. Nelson makes 3-pt shot from 24 ft
7:55.0,B. Lopez misses 3-pt shot from 24 ft,,9-12,,
7:54.0,,,9-12,,Defensive rebound by M. Plumlee
7:44.0,,,9-14,2,G. Harris makes 2-pt shot from 3 ft (assist by M. Plumlee)
7:44.0,Brooklyn full timeout,,9-14,,
7:31.0,J. Lin makes 3-pt shot from 24 ft (assist by R. Hollis-Jefferson),3,12-14,,
7:07.0,,,12-17,3,G. Harris makes 3-pt shot from 24 ft (assist by J. Nelson)
6:44.0,R. Hollis-Jefferson misses 2-pt shot from 20 ft,,12-17,,
6:43.0,,,12-17,,Defensive rebound by M. Plumlee
6:37.0,,,12-17,,D. Gallinari misses 3-pt shot from 26 ft
6:35.0,Defensive rebound by R. Hollis-Jefferson,,12-17,,
6:29.0,Shooting foul by M. Plumlee (drawn by R. Hollis-Jefferson),,12-17,,
6:29.0,R. Hollis-Jefferson misses free throw 1 of 2,,12-17,,
6:29.0,Offensive rebound by Team,,12-17,,
6:29.0,R. Hollis-Jefferson misses free throw 2 of 2,,12-17,,
6:29.0,S. Kilpatrick enters the game for R. Foye,,12-17,,
6:29.0,S. Dinwiddie enters the game for J. Lin,,12-17,,
6:29.0,,,12-17,,W. Chandler enters the game for K. Faried
6:27.0,,,12-17,,Defensive rebound by M. Plumlee
6:17.0,,,12-17,,D. Gallinari misses 2-pt shot from 3 ft
6:16.0,,,12-17,,Offensive rebound by D. Gallinari
6:15.0,,,12-19,2,D. Gallinari makes 2-pt shot from 2 ft
6:06.0,C. LeVert misses 3-pt shot from 25 ft,,12-19,,
6:05.0,,,12-19,,Defensive rebound by M. Plumlee
6:01.0,T. Booker enters the game for C. LeVert,,12-19,,
6:01.0,J. Harris enters the game for R. Hollis-Jefferson,,12-19,,
6:01.0,,,12-19,,W. Barton enters the game for G. Harris
5:47.0,,,12-19,,D. Gallinari misses 3-pt shot from 25 ft
5:46.0,Defensive rebound by S. Dinwiddie,,12-19,,
5:29.0,J. Harris misses 3-pt shot from 27 ft,,12-19,,
5:28.0,Offensive rebound by B. Lopez,,12-19,,
5:12.0,S. Dinwiddie misses 2-pt shot from 4 ft,,12-19,,
5:11.0,,,12-19,,Defensive rebound by D. Gallinari
5:01.0,,,12-22,3,W. Chandler makes 3-pt shot from 26 ft (assist by M. Plumlee)
4:53.0,B. Lopez misses 3-pt shot from 25 ft,,12-22,,
4:52.0,,,12-22,,Defensive rebound by W. Barton
4:43.0,Personal foul by S. Dinwiddie (drawn by J. Nelson),,12-22,,
4:36.0,,,12-22,,J. Nelson misses 3-pt shot from 24 ft
4:35.0,Defensive rebound by T. Booker,,12-22,,
4:22.0,T. Booker makes 2-pt shot from 3 ft (assist by B. Lopez),2,14-22,,
4:00.0,,,14-22,,W. Barton misses 2-pt shot from 5 ft
3:59.0,,,14-22,,Offensive rebound by M. Plumlee
3:55.0,,,14-24,2,M. Plumlee makes 2-pt shot from 1 ft
3:38.0,T. Booker makes 2-pt shot from 1 ft (assist by S. Dinwiddie),2,16-24,,
3:32.0,J. Hamilton enters the game for B. Lopez,,16-24,,
3:32.0,,,16-24,,J. Murray enters the game for J. Nelson
3:20.0,,,16-24,,M. Plumlee misses 2-pt shot from 3 ft
3:20.0,Defensive rebound by T. Booker,,16-24,,
3:06.0,J. Hamilton makes 3-pt shot from 24 ft (assist by T. Booker),3,19-24,,
2:47.0,,,19-26,2,W. Barton makes 2-pt shot from 1 ft (assist by M. Plumlee)
2:28.0,J. Harris makes 3-pt shot from 24 ft (assist by S. Dinwiddie),3,22-26,,
2:09.0,,,22-26,,Denver full timeout
2:09.0,,,22-26,,G. Harris enters the game for D. Gallinari
2:08.0,Violation by J. Harris (def goaltending),,22-26,,
2:08.0,,,22-28,2,G. Harris makes 2-pt shot from 1 ft (assist by W. Barton)
1:57.0,S. Kilpatrick misses 2-pt shot from 20 ft,,22-28,,
1:55.0,,,22-28,,Defensive rebound by W. Chandler
1:37.0,,,22-28,,M. Plumlee misses 2-pt shot from 7 ft
1:37.0,Defensive rebound by T. Booker,,22-28,,
1:37.0,,,22-28,,Personal foul by M. Plumlee (drawn by T. Booker)
1:37.0,T. Booker misses free throw 1 of 2,,22-28,,
1:37.0,Offensive rebound by Team,,22-28,,
1:37.0,T. Booker makes free throw 2 of 2,1,23-28,,
