time,LA Clippers,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. F. Kaminsky (A. Rivers gains possession),,,,Jump ball: D. Jordan vs. F. Kaminsky (A. Rivers gains possession)
11:42.0,A. Rivers misses 3-pt shot from 25 ft,,0-0,,
11:42.0,Offensive rebound by Team,,0-0,,
11:42.0,,,0-0,,Loose ball foul by F. Kaminsky (drawn by D. Jordan)
11:32.0,L. Mbah a Moute misses 2-pt shot from 20 ft,,0-0,,
11:31.0,Offensive rebound by Team,,0-0,,
11:31.0,,,0-0,,Loose ball foul by M. Kidd-Gilchrist (drawn by B. Griffin)
11:18.0,J. Redick misses 3-pt shot from 28 ft,,0-0,,
11:16.0,,,0-0,,Defensive rebound by M. Williams
11:06.0,,,0-3,3,F. Kaminsky makes 3-pt shot from 26 ft (assist by N. Batum)
10:50.0,B. Griffin misses 3-pt shot from 26 ft,,0-3,,
10:49.0,,,0-3,,Defensive rebound by M. Kidd-Gilchrist
10:34.0,,,0-5,2,M. Williams makes 2-pt shot from 21 ft (assist by F. Kaminsky)
10:06.0,B. Griffin misses 3-pt shot from 31 ft,,0-5,,
10:06.0,Offensive rebound by Team,,0-5,,
10:06.0,Turnover by Team (shot clock),,0-5,,
9:53.0,,,0-5,,F. Kaminsky misses 3-pt shot from 25 ft
9:51.0,,,0-5,,Offensive rebound by M. Williams
9:45.0,,,0-5,,K. Walker misses 3-pt shot from 23 ft
9:44.0,Defensive rebound by D. Jordan,,0-5,,
9:37.0,J. Redick misses 3-pt shot from 25 ft,,0-5,,
9:36.0,,,0-5,,Defensive rebound by Team
9:22.0,,,0-7,2,N. Batum makes 2-pt shot at rim
9:06.0,D. Jordan makes 2-pt shot at rim (assist by B. Griffin),2,2-7,,
8:40.0,,,2-7,,M. Kidd-Gilchrist misses 2-pt shot from 2 ft (block by J. Redick)
8:38.0,,,2-7,,Offensive rebound by M. Kidd-Gilchrist
8:33.0,,,2-9,2,M. Kidd-Gilchrist makes 2-pt shot from 11 ft
8:27.0,L. Mbah a Moute misses 3-pt shot from 23 ft,,2-9,,
8:25.0,,,2-9,,Defensive rebound by N. Batum
8:13.0,,,2-11,2,M. Kidd-Gilchrist makes 2-pt shot from 9 ft
8:07.0,LA Clippers full timeout,,2-11,,
