time,Golden State,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Jefferson vs. Z. Pachulia (S. Curry gains possession),,,,Jump ball: A. Jefferson vs. Z. Pachulia (S. Curry gains possession)
11:46.0,Offensive foul by K. Thompson,,0-0,,
11:46.0,Turnover by K. Thompson (offensive foul),,0-0,,
11:24.0,,,0-0,,T. Young misses 2-pt shot from 20 ft
11:23.0,Defensive rebound by Z. Pachulia,,0-0,,
11:11.0,S. Curry misses 2-pt shot from 20 ft,,0-0,,
11:11.0,,,0-0,,Defensive rebound by J. Teague
11:02.0,,,0-2,2,J. Teague makes 2-pt shot from 14 ft
10:49.0,K. Thompson misses 3-pt shot from 26 ft,,0-2,,
10:49.0,,,0-2,,Defensive rebound by A. Jefferson
10:31.0,,,0-2,,T. Young misses 2-pt shot from 9 ft
10:31.0,Defensive rebound by D. Green,,0-2,,
10:22.0,K. Thompson makes 3-pt shot from 26 ft (assist by D. Green),3,3-2,,
10:04.0,,,3-2,,M. Ellis misses 2-pt shot from 20 ft
10:04.0,Defensive rebound by Z. Pachulia,,3-2,,
9:58.0,,,3-2,,Personal foul by M. Ellis (drawn by D. Green)
9:55.0,K. Thompson makes 3-pt shot from 26 ft (assist by K. Durant),3,6-2,,
9:28.0,,,6-2,,M. Ellis misses 2-pt shot from 5 ft
9:27.0,,,6-2,,Offensive rebound by T. Young
9:18.0,,,6-5,3,G. Robinson makes 3-pt shot from 24 ft (assist by M. Ellis)
9:04.0,S. Curry misses 3-pt shot from 26 ft,,6-5,,
9:03.0,,,6-5,,Defensive rebound by G. Robinson
8:54.0,,,6-5,,A. Jefferson misses 2-pt shot from 17 ft
8:53.0,Defensive rebound by K. Durant,,6-5,,
8:46.0,K. Thompson misses 3-pt shot from 25 ft,,6-5,,
8:45.0,,,6-5,,Defensive rebound by T. Young
8:26.0,Personal foul by S. Curry (drawn by M. Ellis),,6-5,,
8:19.0,,,6-5,,G. Robinson misses 2-pt shot from 22 ft
8:18.0,Defensive rebound by S. Curry,,6-5,,
8:13.0,D. Green makes 2-pt shot at rim (assist by S. Curry),2,8-5,,
7:51.0,,,8-5,,J. Teague misses 3-pt shot from 28 ft
7:51.0,Defensive rebound by D. Green,,8-5,,
7:42.0,Shooting foul by A. Jefferson (drawn by K. Durant),,8-5,,
7:42.0,K. Durant makes 2-pt shot from 1 ft,2,10-5,,
7:42.0,K. Durant makes free throw 1 of 1,1,11-5,,
7:28.0,,,11-5,,G. Robinson misses 3-pt shot from 25 ft
7:27.0,Defensive rebound by Z. Pachulia,,11-5,,
7:19.0,S. Curry misses 3-pt shot from 24 ft,,11-5,,
7:19.0,,,11-5,,Defensive rebound by J. Teague
7:06.0,,,11-5,,J. Teague misses 2-pt shot from 3 ft (block by D. Green)
