time,New York,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Porzingis vs. H. Whiteside (W. Hernangomez gains possession),,,,Jump ball: K. Porzingis vs. H. Whiteside (W. Hernangomez gains possession)
11:41.0,K. Porzingis makes 2-pt shot from 11 ft (assist by W. Hernangomez),2,2-0,,
11:20.0,,,2-0,,L. Babbitt misses 3-pt shot from 26 ft
11:19.0,Defensive rebound by W. Hernangomez,,2-0,,
11:09.0,S. Vujacic misses 2-pt shot from 19 ft,,2-0,,
11:08.0,,,2-0,,Defensive rebound by R. McGruder
11:04.0,,,2-0,,R. McGruder misses 2-pt shot from 1 ft
11:03.0,Defensive rebound by W. Hernangomez,,2-0,,
10:49.0,S. Vujacic misses 3-pt shot from 25 ft,,2-0,,
10:48.0,Offensive rebound by K. Porzingis,,2-0,,
10:44.0,K. Porzingis misses 3-pt shot from 25 ft,,2-0,,
10:43.0,,,2-0,,Defensive rebound by Team
10:24.0,,,2-0,,J. Richardson misses 2-pt shot from 16 ft
10:23.0,Defensive rebound by K. Porzingis,,2-0,,
10:13.0,W. Hernangomez makes 2-pt shot from 1 ft (assist by C. Lee),2,4-0,,
9:50.0,,,4-2,2,L. Babbitt makes 2-pt shot from 16 ft
9:36.0,W. Hernangomez makes 2-pt shot from 2 ft (assist by R. Baker),2,6-2,,
9:36.0,Shooting foul by H. Whiteside (drawn by W. Hernangomez),,6-2,,
9:36.0,W. Hernangomez makes free throw 1 of 1,1,7-2,,
9:24.0,,,7-2,,G. Dragic misses 2-pt shot from 15 ft
9:23.0,Defensive rebound by W. Hernangomez,,7-2,,
9:15.0,K. Porzingis misses 2-pt shot from 11 ft,,7-2,,
9:14.0,Offensive rebound by W. Hernangomez,,7-2,,
9:13.0,W. Hernangomez makes 2-pt shot from 1 ft,2,9-2,,
9:03.0,,,9-4,2,G. Dragic makes 2-pt shot from 1 ft
8:36.0,K. Porzingis makes 3-pt shot from 24 ft (assist by S. Vujacic),3,12-4,,
8:27.0,,,12-4,,G. Dragic misses 2-pt shot from 3 ft (block by R. Baker)
8:26.0,Defensive rebound by W. Hernangomez,,12-4,,
8:14.0,R. Baker makes 3-pt shot from 25 ft (assist by S. Vujacic),3,15-4,,
8:08.0,,,15-4,,Miami full timeout
7:59.0,,,15-6,2,H. Whiteside makes 2-pt shot from 2 ft (assist by J. Richardson)
7:40.0,C. Lee misses 2-pt shot from 12 ft,,15-6,,
7:39.0,,,15-6,,Defensive rebound by H. Whiteside
7:28.0,,,15-6,,Turnover by H. Whiteside (lost ball; steal by S. Vujacic)
7:11.0,K. Porzingis misses 2-pt shot from 17 ft,,15-6,,
7:10.0,,,15-6,,Defensive rebound by R. McGruder
7:02.0,,,15-9,3,G. Dragic makes 3-pt shot from 25 ft
6:45.0,C. Lee makes 3-pt shot from 24 ft (assist by R. Baker),3,18-9,,
6:28.0,,,18-11,2,H. Whiteside makes 2-pt shot from 1 ft (assist by R. McGruder)
6:19.0,W. Hernangomez misses 2-pt shot from 12 ft,,18-11,,
6:18.0,Offensive rebound by W. Hernangomez,,18-11,,
6:14.0,W. Hernangomez misses 2-pt shot from 5 ft,,18-11,,
6:13.0,,,18-11,,Defensive rebound by R. McGruder
6:06.0,,,18-11,,L. Babbitt misses 3-pt shot from 24 ft
6:05.0,Defensive rebound by W. Hernangomez,,18-11,,
5:56.0,K. Porzingis misses 3-pt shot from 24 ft,,18-11,,
5:55.0,,,18-11,,Defensive rebound by G. Dragic
5:49.0,,,18-13,2,G. Dragic makes 2-pt shot from 5 ft
5:24.0,S. Vujacic makes 2-pt shot from 1 ft,2,20-13,,
5:02.0,,,20-15,2,R. McGruder makes 2-pt shot from 1 ft
4:54.0,C. Lee makes 3-pt shot from 24 ft (assist by R. Baker),3,23-15,,
4:42.0,,,23-18,3,R. McGruder makes 3-pt shot from 22 ft (assist by G. Dragic)
4:20.0,K. Porzingis makes 2-pt shot at rim (assist by R. Baker),2,25-18,,
4:07.0,,,25-20,2,G. Dragic makes 2-pt shot from 2 ft
4:01.0,Shooting foul by R. McGruder (drawn by C. Lee),,25-20,,
4:01.0,C. Lee makes free throw 1 of 2,1,26-20,,
4:01.0,C. Lee makes free throw 2 of 2,1,27-20,,
4:01.0,,,26-20,,J. Johnson enters the game for L. Babbitt
4:01.0,,,26-20,,T. Johnson enters the game for J. Richardson
4:01.0,M. Ndour enters the game for S. Vujacic,,26-20,,
4:01.0,J. Holiday enters the game for K. Porzingis,,26-20,,
3:40.0,,,27-22,2,J. Johnson makes 2-pt shot from 4 ft
3:21.0,J. Holiday misses 2-pt shot from 17 ft,,27-22,,
3:20.0,,,27-22,,Defensive rebound by H. Whiteside
3:18.0,,,27-22,,Turnover by H. Whiteside (bad pass; steal by C. Lee)
3:12.0,J. Holiday makes 2-pt shot at rim (assist by M. Ndour),2,29-22,,
2:55.0,,,29-22,,Shooting foul by M. Ndour (drawn by J. Johnson)
2:55.0,New York full timeout,,29-22,,
2:55.0,,,29-23,1,J. Johnson makes free throw 1 of 2
2:55.0,,,29-24,1,J. Johnson makes free throw 2 of 2
2:55.0,,,29-22,,W. Ellington enters the game for R. McGruder
2:37.0,C. Lee misses 2-pt shot from 14 ft,,29-24,,
2:36.0,,,29-24,,Defensive rebound by H. Whiteside
2:13.0,,,29-24,,J. Johnson misses 2-pt shot from 20 ft
2:12.0,Defensive rebound by C. Lee,,29-24,,
1:53.0,Turnover by R. Baker (bad pass; steal by J. Johnson),,29-24,,
