time,Portland,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Mozgov vs. M. Plumlee (C. McCollum gains possession),,,,Jump ball: T. Mozgov vs. M. Plumlee (C. McCollum gains possession)
11:39.0,Shooting foul by J. Randle (drawn by A. Aminu),,0-0,,
11:39.0,A. Aminu misses free throw 1 of 2,,0-0,,
11:39.0,Offensive rebound by Team,,0-0,,
11:39.0,A. Aminu makes free throw 2 of 2,1,1-0,,
11:22.0,,,1-2,2,T. Mozgov makes 2-pt shot from 5 ft (assist by N. Young)
11:04.0,C. McCollum makes 3-pt shot from 25 ft (assist by M. Harkless),3,4-2,,
10:51.0,,,4-2,,J. Randle misses 2-pt shot from 7 ft
10:49.0,Defensive rebound by M. Harkless,,4-2,,
10:44.0,C. McCollum makes 2-pt shot from 19 ft,2,6-2,,
10:32.0,,,6-4,2,L. Deng makes 2-pt shot from 3 ft
10:17.0,C. McCollum misses 3-pt shot from 26 ft,,6-4,,
10:16.0,,,6-4,,Defensive rebound by J. Randle
10:07.0,,,6-4,,Turnover by D. Russell (bad pass; steal by M. Harkless)
10:01.0,M. Harkless makes 2-pt shot from 3 ft,2,8-4,,
9:38.0,,,8-4,,D. Russell misses 3-pt shot from 24 ft
9:37.0,Defensive rebound by A. Aminu,,8-4,,
9:26.0,D. Lillard misses 3-pt shot from 28 ft,,8-4,,
9:25.0,Offensive rebound by A. Aminu,,8-4,,
9:22.0,M. Plumlee makes 2-pt shot from 1 ft (assist by A. Aminu),2,10-4,,
9:00.0,,,10-4,,L. Deng misses 2-pt shot from 14 ft
8:58.0,Defensive rebound by A. Aminu,,10-4,,
8:39.0,D. Lillard misses 3-pt shot from 27 ft,,10-4,,
8:38.0,,,10-4,,Defensive rebound by D. Russell
8:28.0,,,10-4,,T. Mozgov misses 2-pt shot from 1 ft
8:25.0,,,10-4,,Offensive rebound by L. Deng
8:24.0,,,10-4,,L. Deng misses 2-pt shot from 1 ft
8:23.0,,,10-4,,Offensive rebound by L. Deng
8:21.0,,,10-6,2,L. Deng makes 2-pt shot from 1 ft
8:11.0,M. Plumlee misses 2-pt shot from 3 ft,,10-6,,
8:10.0,,,10-6,,Defensive rebound by J. Randle
8:01.0,,,10-6,,Turnover by J. Randle (bad pass; steal by M. Plumlee)
7:57.0,Turnover by D. Lillard (bad pass; steal by D. Russell),,10-6,,
7:42.0,,,10-8,2,D. Russell makes 2-pt shot from 9 ft
7:29.0,M. Plumlee makes 2-pt shot at rim (assist by D. Lillard),2,12-8,,
7:29.0,,,12-8,,LA Lakers full timeout
7:11.0,,,12-8,,N. Young misses 2-pt shot from 13 ft
7:06.0,Defensive rebound by A. Aminu,,12-8,,
6:56.0,A. Aminu misses 3-pt shot from 25 ft,,12-8,,
6:55.0,,,12-8,,Defensive rebound by D. Russell
6:39.0,,,12-8,,Shooting foul by D. Lillard (drawn by L. Deng)
6:39.0,,,12-9,1,L. Deng makes free throw 1 of 2
6:39.0,,,12-10,1,L. Deng makes free throw 2 of 2
6:27.0,,,12-10,,Personal foul by T. Mozgov (drawn by M. Plumlee)
6:20.0,Shooting foul by N. Young (drawn by C. McCollum),,12-10,,
6:20.0,C. McCollum misses free throw 1 of 2,,12-10,,
6:20.0,Offensive rebound by Team,,12-10,,
6:20.0,C. McCollum makes free throw 2 of 2,1,13-10,,
6:02.0,,,13-10,,D. Russell misses 2-pt shot from 3 ft
6:01.0,,,13-10,,Offensive rebound by T. Mozgov
6:00.0,,,13-10,,Shooting foul by C. McCollum (drawn by N. Young)
6:00.0,,,13-10,,N. Young misses free throw 1 of 3
6:00.0,,,13-10,,Offensive rebound by Team
6:00.0,,,13-11,1,N. Young makes free throw 2 of 3
6:00.0,,,13-12,1,N. Young makes free throw 3 of 3
6:00.0,,,13-11,,B. Ingram enters the game for J. Randle
5:45.0,D. Lillard misses 2-pt shot from 10 ft,,13-12,,
5:45.0,,,13-12,,Defensive rebound by Team
5:37.0,,,13-12,,D. Russell misses 3-pt shot from 26 ft
5:35.0,Defensive rebound by C. McCollum,,13-12,,
5:30.0,C. McCollum makes 2-pt shot from 1 ft,2,15-12,,
5:24.0,,,15-12,,L. Deng misses 2-pt shot from 2 ft
5:23.0,,,15-12,,Offensive rebound by L. Deng
5:08.0,A. Crabbe enters the game for M. Harkless,,15-12,,
5:08.0,E. Turner enters the game for C. McCollum,,15-12,,
5:04.0,,,15-12,,Turnover by T. Mozgov (bad pass)
4:52.0,D. Lillard misses 3-pt shot from 25 ft,,15-12,,
4:48.0,,,15-12,,Defensive rebound by B. Ingram
4:43.0,,,15-12,,B. Ingram misses 2-pt shot from 7 ft (block by A. Aminu)
4:41.0,Defensive rebound by D. Lillard,,15-12,,
4:39.0,E. Turner makes 2-pt shot from 2 ft (assist by D. Lillard),2,17-12,,
4:19.0,,,17-15,3,N. Young makes 3-pt shot from 24 ft (assist by D. Russell)
4:03.0,D. Lillard misses 2-pt shot from 21 ft,,17-15,,
