time,Utah,pts.away,score,pts.home,LA Clippers
1:34.0,,,15-27,,J. Redick enters the game for L. Mbah a Moute
1:19.0,Turnover by J. Johnson (lost ball; steal by R. Felton),,15-27,,
1:13.0,,,15-27,,Turnover by R. Felton (bad pass; steal by J. Withey)
1:07.0,S. Mack makes 3-pt shot from 27 ft (assist by J. Johnson),3,18-27,,
0:48.0,,,18-27,,J. Crawford misses 2-pt shot from 13 ft
0:46.0,Defensive rebound by R. Hood,,18-27,,
0:38.0,R. Hood misses 3-pt shot from 26 ft,,18-27,,
0:34.0,,,18-27,,Defensive rebound by D. Jordan
0:29.0,,,18-29,2,D. Jordan makes 2-pt shot at rim (assist by R. Felton)
0:05.0,J. Johnson misses 2-pt shot from 15 ft,,18-29,,
0:03.0,,,18-29,,Defensive rebound by J. Crawford
0:01.0,,,18-29,,J. Crawford misses 3-pt shot from 49 ft
0:00.0,,,18-29,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,R. Hood misses 2-pt shot from 14 ft,,18-29,,
11:42.0,,,18-29,,Defensive rebound by J. Redick
11:36.0,,,18-31,2,B. Griffin makes 2-pt shot from 2 ft (assist by R. Felton)
11:09.0,J. Johnson makes 2-pt shot from 6 ft,2,20-31,,
10:56.0,,,20-31,,B. Griffin misses 2-pt shot from 4 ft
10:55.0,Defensive rebound by G. Hill,,20-31,,
10:48.0,G. Hill misses 3-pt shot from 26 ft,,20-31,,
10:47.0,,,20-31,,Defensive rebound by M. Speights
10:33.0,,,20-31,,B. Griffin misses 3-pt shot from 27 ft
10:32.0,Defensive rebound by G. Hill,,20-31,,
10:21.0,R. Hood makes 2-pt shot from 5 ft,2,22-31,,
10:01.0,,,22-33,2,M. Speights makes 2-pt shot from 1 ft (assist by R. Felton)
9:37.0,J. Ingles makes 3-pt shot from 27 ft,3,25-33,,
9:19.0,,,25-33,,J. Crawford misses 2-pt shot from 17 ft
9:17.0,Defensive rebound by R. Hood,,25-33,,
9:04.0,J. Johnson makes 2-pt shot from 7 ft,2,27-33,,
8:58.0,,,27-33,,LA Clippers full timeout
8:58.0,,,27-33,,C. Paul enters the game for J. Crawford
8:49.0,,,27-35,2,B. Griffin makes 2-pt shot at rim (assist by C. Paul)
8:32.0,J. Johnson misses 2-pt shot from 15 ft,,27-35,,
8:30.0,,,27-35,,Defensive rebound by B. Griffin
8:21.0,,,27-35,,R. Felton misses 3-pt shot from 24 ft
8:20.0,Defensive rebound by D. Favors,,27-35,,
8:03.0,J. Ingles misses 3-pt shot from 27 ft,,27-35,,
8:01.0,,,27-35,,Defensive rebound by R. Felton
7:48.0,,,27-35,,B. Griffin misses 2-pt shot from 20 ft
7:47.0,Defensive rebound by J. Ingles,,27-35,,
7:40.0,D. Favors makes 2-pt shot at rim (assist by J. Ingles),2,29-35,,
7:40.0,Shooting foul by J. Redick (drawn by D. Favors),,29-35,,
7:40.0,D. Favors makes free throw 1 of 1,1,30-35,,
7:40.0,,,29-35,,L. Mbah a Moute enters the game for R. Felton
7:40.0,G. Hayward enters the game for R. Hood,,29-35,,
7:40.0,B. Diaw enters the game for J. Johnson,,29-35,,
7:16.0,,,30-35,,Turnover by C. Paul (bad pass; steal by J. Ingles)
7:00.0,G. Hayward misses 2-pt shot from 12 ft (block by L. Mbah a Moute),,30-35,,
6:57.0,,,30-35,,Defensive rebound by L. Mbah a Moute
6:46.0,,,30-38,3,M. Speights makes 3-pt shot from 29 ft (assist by B. Griffin)
6:32.0,Offensive foul by J. Ingles,,30-38,,
6:32.0,Turnover by J. Ingles (offensive foul),,30-38,,
6:32.0,,,30-38,,D. Jordan enters the game for M. Speights
6:21.0,,,30-38,,D. Jordan misses 2-pt shot at rim
6:19.0,Defensive rebound by D. Favors,,30-38,,
6:15.0,G. Hill makes 2-pt shot from 3 ft,2,32-38,,
6:03.0,,,32-40,2,B. Griffin makes 2-pt shot from 3 ft (assist by J. Redick)
6:03.0,,,32-40,,Shooting foul by D. Favors (drawn by B. Griffin)
6:03.0,Utah full timeout,,32-40,,
6:03.0,,,32-41,1,B. Griffin makes free throw 1 of 1
6:03.0,S. Mack enters the game for G. Hill,,32-40,,
5:52.0,Shooting foul by D. Jordan (drawn by D. Favors),,32-41,,
5:52.0,D. Favors makes 2-pt shot from 1 ft (assist by J. Ingles),2,34-41,,
5:52.0,D. Favors makes free throw 1 of 1,1,35-41,,
5:45.0,,,35-41,,L. Mbah a Moute misses 2-pt shot from 20 ft
5:43.0,Defensive rebound by G. Hayward,,35-41,,
5:26.0,Turnover by J. Ingles (bad pass; steal by D. Jordan),,35-41,,
5:20.0,,,35-43,2,B. Griffin makes 2-pt shot at rim (assist by C. Paul)
4:53.0,Turnover by B. Diaw (bad pass),,35-43,,
4:53.0,J. Withey enters the game for D. Favors,,35-43,,
4:53.0,R. Hood enters the game for J. Ingles,,35-43,,
4:36.0,,,35-43,,Turnover by J. Redick (bad pass; steal by R. Hood)
4:26.0,S. Mack misses 2-pt shot from 16 ft,,35-43,,
4:24.0,,,35-43,,Defensive rebound by D. Jordan
4:15.0,,,35-45,2,J. Redick makes 2-pt shot from 21 ft (assist by C. Paul)
4:01.0,S. Mack misses 2-pt shot from 2 ft,,35-45,,
4:00.0,Offensive rebound by J. Withey,,35-45,,
3:59.0,J. Withey makes 2-pt shot from 3 ft,2,37-45,,
3:38.0,,,37-45,,J. Redick misses 2-pt shot from 18 ft
3:36.0,Defensive rebound by S. Mack,,37-45,,
3:33.0,,,37-45,,Personal foul by C. Paul (drawn by G. Hayward)
3:33.0,,,37-45,,R. Felton enters the game for C. Paul
3:33.0,J. Johnson enters the game for B. Diaw,,37-45,,
3:33.0,G. Hill enters the game for S. Mack,,37-45,,
3:21.0,,,37-45,,J. Crawford enters the game for J. Redick
3:15.0,,,37-45,,Personal foul by J. Crawford (drawn by G. Hill)
3:10.0,G. Hayward makes 3-pt shot from 24 ft (assist by J. Withey),3,40-45,,
2:39.0,,,40-45,,B. Griffin misses 2-pt shot from 20 ft
2:38.0,,,40-45,,Offensive rebound by D. Jordan
2:37.0,,,40-47,2,D. Jordan makes 2-pt shot from 2 ft
2:18.0,J. Johnson makes 2-pt shot from 3 ft,2,42-47,,
2:07.0,,,42-49,2,J. Crawford makes 2-pt shot from 5 ft
1:42.0,J. Johnson misses 3-pt shot from 28 ft,,42-49,,
1:40.0,,,42-49,,Defensive rebound by D. Jordan
1:21.0,Personal foul by G. Hill (drawn by J. Crawford),,42-49,,
1:21.0,Official timeout,,42-49,,
1:21.0,J. Ingles enters the game for R. Hood,,42-49,,
1:21.0,D. Favors enters the game for J. Withey,,42-49,,
1:10.0,,,42-49,,B. Griffin misses 2-pt shot from 3 ft
1:08.0,Defensive rebound by G. Hayward,,42-49,,
0:48.0,G. Hayward misses 2-pt shot from 17 ft,,42-49,,
0:46.0,,,42-49,,Defensive rebound by D. Jordan
0:35.0,,,42-49,,R. Felton misses 2-pt shot from 19 ft
0:33.0,Defensive rebound by G. Hill,,42-49,,
0:28.0,G. Hill misses 3-pt shot from 25 ft,,42-49,,
0:23.0,,,42-49,,Defensive rebound by D. Jordan
0:06.0,,,42-51,2,D. Jordan makes 2-pt shot at rim (assist by J. Crawford)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:34.0,G. Hayward misses 2-pt shot from 8 ft,,42-51,,
11:30.0,,,42-51,,Defensive rebound by L. Mbah a Moute
11:20.0,,,42-53,2,B. Griffin makes 2-pt shot from 1 ft (assist by C. Paul)
10:58.0,G. Hill makes 3-pt shot from 24 ft (assist by B. Diaw),3,45-53,,
10:43.0,Personal foul by B. Diaw (drawn by B. Griffin),,45-53,,
10:31.0,,,45-53,,J. Redick misses 2-pt shot from 8 ft
10:28.0,Defensive rebound by D. Favors,,45-53,,
10:15.0,Turnover by G. Hill (bad pass; steal by J. Redick),,45-53,,
10:10.0,,,45-53,,J. Redick misses 3-pt shot from 26 ft
10:07.0,Defensive rebound by J. Ingles,,45-53,,
9:51.0,G. Hill misses 3-pt shot from 25 ft,,45-53,,
9:50.0,,,45-53,,Defensive rebound by D. Jordan
9:37.0,Personal foul by D. Favors (drawn by C. Paul),,45-53,,
9:28.0,,,45-53,,B. Griffin misses 2-pt shot from 5 ft
9:27.0,,,45-53,,Offensive rebound by B. Griffin
9:27.0,,,45-53,,B. Griffin misses 2-pt shot from 1 ft (block by D. Favors)
9:25.0,Defensive rebound by J. Ingles,,45-53,,
9:10.0,J. Ingles misses 2-pt shot from 4 ft,,45-53,,
9:09.0,Offensive rebound by D. Favors,,45-53,,
9:09.0,D. Favors makes 2-pt shot from 1 ft,2,47-53,,
8:51.0,,,47-55,2,B. Griffin makes 2-pt shot from 3 ft
8:38.0,G. Hill misses 2-pt shot from 18 ft,,47-55,,
8:35.0,,,47-55,,Defensive rebound by L. Mbah a Moute
8:28.0,,,47-55,,C. Paul misses 2-pt shot from 14 ft
8:26.0,Defensive rebound by G. Hill,,47-55,,
8:17.0,B. Diaw makes 3-pt shot from 27 ft (assist by G. Hayward),3,50-55,,
8:11.0,,,50-55,,Turnover by C. Paul (bad pass; steal by B. Diaw)
8:00.0,Turnover by B. Diaw (bad pass),,50-55,,
7:47.0,,,50-55,,B. Griffin misses 2-pt shot from 17 ft
7:46.0,Defensive rebound by G. Hill,,50-55,,
7:31.0,D. Favors makes 2-pt shot from 2 ft (assist by B. Diaw),2,52-55,,
7:31.0,Shooting foul by L. Mbah a Moute (drawn by D. Favors),,52-55,,
7:31.0,D. Favors misses free throw 1 of 1,,52-55,,
7:30.0,,,52-55,,Defensive rebound by B. Griffin
7:16.0,,,52-58,3,C. Paul makes 3-pt shot from 28 ft
7:01.0,G. Hill misses 2-pt shot from 6 ft (block by C. Paul),,52-58,,
7:01.0,Offensive rebound by Team,,52-58,,
6:55.0,Turnover by G. Hill (lost ball; steal by C. Paul),,52-58,,
6:50.0,,,52-60,2,C. Paul makes 2-pt shot from 2 ft
6:49.0,Utah full timeout,,52-60,,
6:49.0,J. Johnson enters the game for J. Ingles,,52-60,,
6:49.0,R. Hood enters the game for B. Diaw,,52-60,,
6:25.0,Turnover by Team (shot clock),,52-60,,
6:04.0,,,52-62,2,J. Redick makes 2-pt shot from 3 ft (assist by B. Griffin)
5:51.0,Shooting foul by J. Redick (drawn by R. Hood),,52-62,,
5:51.0,R. Hood makes free throw 1 of 2,1,53-62,,
5:51.0,R. Hood makes free throw 2 of 2,1,54-62,,
5:39.0,,,54-62,,C. Paul misses 2-pt shot from 11 ft
5:39.0,,,54-62,,Offensive rebound by D. Jordan
5:39.0,,,54-62,,D. Jordan misses 2-pt shot from 2 ft
5:39.0,Defensive rebound by G. Hayward,,54-62,,
5:39.0,,,54-62,,Loose ball foul by D. Jordan (drawn by G. Hayward)
5:24.0,G. Hayward misses 3-pt shot from 27 ft,,54-62,,
5:22.0,,,54-62,,Defensive rebound by C. Paul
5:10.0,,,54-62,,J. Redick misses 2-pt shot from 3 ft
5:08.0,,,54-62,,Offensive rebound by D. Jordan
5:08.0,,,54-64,2,D. Jordan makes 2-pt shot at rim
4:43.0,J. Johnson makes 2-pt shot from 3 ft (assist by G. Hill),2,56-64,,
4:28.0,,,56-66,2,B. Griffin makes 2-pt shot from 3 ft (assist by C. Paul)
4:02.0,J. Johnson misses 2-pt shot from 10 ft,,56-66,,
3:58.0,,,56-66,,Defensive rebound by D. Jordan
3:46.0,,,56-68,2,L. Mbah a Moute makes 2-pt shot from 3 ft (assist by J. Redick)
3:29.0,G. Hayward makes 2-pt shot from 12 ft (assist by G. Hill),2,58-68,,
3:12.0,,,58-70,2,D. Jordan makes 2-pt shot at rim (assist by L. Mbah a Moute)
2:51.0,Shooting foul by J. Redick (drawn by R. Hood),,58-70,,
2:51.0,,,58-70,,LA Clippers full timeout
2:51.0,R. Hood misses free throw 1 of 2,,58-70,,
2:51.0,Offensive rebound by Team,,58-70,,
2:51.0,R. Hood makes free throw 2 of 2,1,59-70,,
2:51.0,,,58-70,,J. Crawford enters the game for J. Redick
2:51.0,,,58-70,,P. Pierce enters the game for B. Griffin
2:51.0,B. Diaw enters the game for D. Favors,,58-70,,
2:34.0,,,59-70,,P. Pierce misses 2-pt shot from 11 ft
2:34.0,Defensive rebound by Team,,59-70,,
2:34.0,,,59-70,,Loose ball foul by D. Jordan (drawn by B. Diaw)
2:34.0,B. Diaw makes free throw 1 of 2,1,60-70,,
2:34.0,B. Diaw makes free throw 2 of 2,1,61-70,,
2:34.0,,,60-70,,M. Speights enters the game for D. Jordan
2:13.0,,,61-72,2,C. Paul makes 2-pt shot from 15 ft
2:01.0,G. Hill makes 3-pt shot from 29 ft,3,64-72,,
1:47.0,,,64-72,,Turnover by C. Paul (lost ball; steal by J. Johnson)
1:44.0,Shooting foul by P. Pierce (drawn by G. Hayward),,64-72,,
1:44.0,G. Hayward makes free throw 1 of 2,1,65-72,,
