time,New Orleans,pts.away,score,pts.home,Memphis
0:30.0,,,26-22,,Offensive charge foul by Z. Randolph
0:30.0,,,26-22,,Turnover by Z. Randolph (offensive foul)
0:06.0,E. Moore misses 3-pt shot from 25 ft,,26-22,,
0:06.0,Offensive rebound by A. Ajinca,,26-22,,
0:03.0,A. Ajinca makes 2-pt shot from 1 ft,2,28-22,,
0:01.0,,,28-22,,J. Ennis misses 3-pt shot from 41 ft
0:00.0,,,28-22,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,28-22,,M. Conley misses 2-pt shot from 20 ft
11:43.0,Defensive rebound by D. Motiejunas,,28-22,,
11:28.0,L. Galloway misses 2-pt shot from 10 ft,,28-22,,
11:26.0,,,28-22,,Defensive rebound by Z. Randolph
11:25.0,,,28-22,,Turnover by M. Conley (bad pass; steal by T. Evans)
11:20.0,T. Evans makes 2-pt shot at rim,2,30-22,,
11:03.0,,,30-22,,Z. Randolph misses 2-pt shot from 5 ft
11:02.0,Defensive rebound by A. Ajinca,,30-22,,
10:53.0,L. Galloway makes 3-pt shot from 24 ft (assist by T. Evans),3,33-22,,
10:31.0,,,33-24,2,B. Wright makes 2-pt shot at rim (assist by V. Carter)
10:16.0,T. Evans misses 2-pt shot from 8 ft,,33-24,,
10:15.0,,,33-24,,Defensive rebound by B. Wright
10:11.0,Personal foul by E. Moore (drawn by Z. Randolph),,33-24,,
10:03.0,,,33-24,,Shooting foul by T. Evans (drawn by V. Carter)
10:03.0,,,33-24,,V. Carter misses free throw 1 of 2
10:03.0,,,33-24,,Offensive rebound by Team
10:03.0,,,33-24,,V. Carter misses free throw 2 of 2
10:02.0,Defensive rebound by T. Evans,,33-24,,
9:54.0,Turnover by T. Evans (bad pass; steal by J. Ennis),,33-24,,
9:46.0,,,33-24,,Shooting foul by D. Motiejunas (drawn by Z. Randolph)
9:46.0,,,33-25,1,Z. Randolph makes free throw 1 of 2
9:46.0,,,33-26,1,Z. Randolph makes free throw 2 of 2
9:35.0,Shooting foul by V. Carter (drawn by D. Motiejunas),,33-26,,
9:35.0,D. Motiejunas misses free throw 1 of 2,,33-26,,
9:35.0,Offensive rebound by Team,,33-26,,
9:35.0,D. Motiejunas misses free throw 2 of 2,,33-26,,
9:35.0,,,33-26,,T. Allen enters the game for V. Carter
9:34.0,,,33-26,,Defensive rebound by Z. Randolph
9:18.0,Personal foul by L. Galloway (drawn by Z. Randolph),,33-26,,
9:12.0,,,33-26,,Turnover by M. Conley (bad pass; steal by A. Ajinca)
9:09.0,Turnover by E. Moore (bad pass),,33-26,,
8:57.0,,,33-28,2,B. Wright makes 2-pt shot from 12 ft (assist by M. Conley)
8:40.0,D. Motiejunas makes 2-pt shot from 9 ft (assist by E. Moore),2,35-28,,
8:18.0,,,35-28,,M. Conley misses 3-pt shot from 26 ft
8:18.0,Defensive rebound by T. Evans,,35-28,,
8:05.0,E. Moore misses 3-pt shot from 24 ft,,35-28,,
8:05.0,,,35-28,,Defensive rebound by Z. Randolph
7:55.0,,,35-28,,T. Allen misses 2-pt shot from 1 ft
7:54.0,Defensive rebound by T. Evans,,35-28,,
7:50.0,E. Moore makes 2-pt shot from 2 ft (assist by T. Evans),2,37-28,,
7:42.0,,,37-28,,Memphis full timeout
7:42.0,,,37-28,,M. Gasol enters the game for Z. Randolph
7:42.0,A. Davis enters the game for D. Motiejunas,,37-28,,
7:34.0,,,37-28,,Shooting foul by E. Moore (drawn by M. Conley)
7:34.0,,,37-29,1,M. Conley makes free throw 1 of 3
7:34.0,,,37-29,,M. Conley misses free throw 2 of 3
7:34.0,,,37-29,,Offensive rebound by Team
7:34.0,,,37-29,,M. Conley misses free throw 3 of 3
7:32.0,Defensive rebound by A. Davis,,37-29,,
7:16.0,E. Moore makes 2-pt shot from 10 ft,2,39-29,,
6:55.0,,,39-29,,T. Allen misses 2-pt shot from 2 ft (block by T. Evans)
6:54.0,,,39-29,,Offensive rebound by T. Allen
6:51.0,,,39-31,2,B. Wright makes 2-pt shot from 12 ft (assist by T. Allen)
6:32.0,E. Moore misses 2-pt shot from 17 ft,,39-31,,
6:31.0,,,39-31,,Defensive rebound by T. Allen
6:25.0,,,39-31,,M. Conley misses 3-pt shot from 25 ft
6:23.0,Defensive rebound by A. Davis,,39-31,,
6:14.0,A. Ajinca misses 2-pt shot from 2 ft (block by M. Gasol),,39-31,,
6:12.0,,,39-31,,Defensive rebound by M. Gasol
5:59.0,,,39-34,3,M. Conley makes 3-pt shot from 25 ft
5:46.0,T. Evans makes 2-pt shot from 22 ft,2,41-34,,
5:29.0,,,41-34,,Turnover by M. Conley (bad pass; steal by A. Ajinca)
5:27.0,Turnover by A. Ajinca (bad pass; steal by J. Ennis),,41-34,,
5:25.0,,,41-34,,Turnover by J. Ennis (bad pass)
5:25.0,New Orleans full timeout,,41-34,,
5:25.0,,,41-34,,C. Parsons enters the game for M. Conley
5:25.0,,,41-34,,J. Green enters the game for J. Ennis
5:25.0,,,41-34,,T. Douglas enters the game for B. Wright
5:25.0,S. Hill enters the game for E. Moore,,41-34,,
5:25.0,J. Holiday enters the game for L. Galloway,,41-34,,
5:14.0,J. Holiday makes 2-pt shot from 1 ft,2,43-34,,
4:51.0,,,43-36,2,T. Douglas makes 2-pt shot from 21 ft (assist by M. Gasol)
4:33.0,Shooting foul by T. Allen (drawn by A. Ajinca),,43-36,,
4:33.0,A. Ajinca misses free throw 1 of 2,,43-36,,
4:33.0,Offensive rebound by Team,,43-36,,
4:33.0,A. Ajinca makes free throw 2 of 2,1,44-36,,
4:18.0,,,44-36,,M. Gasol misses 2-pt shot from 11 ft
4:16.0,Defensive rebound by A. Ajinca,,44-36,,
4:15.0,Turnover by A. Ajinca (bad pass; steal by T. Douglas),,44-36,,
4:08.0,,,44-38,2,J. Green makes 2-pt shot from 1 ft (assist by C. Parsons)
4:04.0,Turnover by T. Evans (lost ball; steal by T. Douglas),,44-38,,
3:54.0,,,44-38,,C. Parsons misses 3-pt shot from 25 ft
3:54.0,Defensive rebound by A. Ajinca,,44-38,,
3:51.0,,,44-38,,Personal take foul by T. Allen (drawn by J. Holiday)
3:38.0,,,44-38,,Personal foul by M. Gasol (drawn by J. Holiday)
3:23.0,J. Holiday makes 2-pt shot from 19 ft,2,46-38,,
3:07.0,,,46-38,,M. Gasol misses 2-pt shot from 6 ft (block by A. Ajinca)
3:04.0,Defensive rebound by T. Evans,,46-38,,
2:54.0,A. Davis misses 2-pt shot from 5 ft,,46-38,,
2:54.0,,,46-38,,Defensive rebound by J. Green
2:46.0,,,46-38,,Turnover by T. Allen (bad pass; steal by S. Hill)
2:42.0,S. Hill makes 2-pt shot from 1 ft,2,48-38,,
2:33.0,,,48-38,,Memphis full timeout
2:33.0,New Orleans full timeout,,48-38,,
2:33.0,,,48-38,,M. Conley enters the game for T. Allen
2:33.0,,,48-38,,T. Daniels enters the game for T. Douglas
2:21.0,,,48-38,,M. Gasol misses 2-pt shot from 14 ft
2:21.0,,,48-38,,Offensive rebound by T. Daniels
2:16.0,,,48-38,,T. Daniels misses 3-pt shot from 25 ft
2:16.0,,,48-38,,Offensive rebound by M. Gasol
2:11.0,,,48-38,,M. Gasol misses 2-pt shot from 11 ft
2:08.0,,,48-38,,Offensive rebound by T. Daniels
2:04.0,,,48-40,2,C. Parsons makes 2-pt shot from 1 ft
1:49.0,A. Ajinca makes 2-pt shot from 10 ft (assist by T. Evans),2,50-40,,
1:32.0,,,50-40,,J. Green misses 3-pt shot from 26 ft
1:32.0,Defensive rebound by A. Ajinca,,50-40,,
1:13.0,J. Holiday misses 2-pt shot from 19 ft,,50-40,,
1:13.0,,,50-40,,Defensive rebound by C. Parsons
0:56.0,,,50-40,,M. Conley misses 3-pt shot from 25 ft
0:55.0,Defensive rebound by A. Ajinca,,50-40,,
0:32.0,T. Evans misses 3-pt shot from 25 ft,,50-40,,
0:31.0,,,50-40,,Defensive rebound by T. Daniels
0:12.0,,,50-43,3,T. Daniels makes 3-pt shot from 26 ft (assist by M. Gasol)
