time,Minnesota,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. K. Towns (T. Frazier gains possession),,,,Jump ball: A. Davis vs. K. Towns (T. Frazier gains possession)
11:35.0,,,0-0,,D. Cunningham misses 2-pt shot from 6 ft (block by K. Towns)
11:29.0,Defensive rebound by K. Towns,,0-0,,
11:28.0,Turnover by G. Dieng (traveling),,0-0,,
11:12.0,,,0-2,2,A. Davis makes 2-pt shot from 23 ft (assist by E. Moore)
11:02.0,G. Dieng makes 2-pt shot from 18 ft (assist by K. Towns),2,2-2,,
11:02.0,,,2-2,,A. Davis misses 2-pt shot from 19 ft
11:02.0,Defensive rebound by G. Dieng,,2-2,,
10:33.0,Turnover by R. Rubio (bad pass; steal by A. Davis),,2-2,,
10:06.0,,,2-2,,Turnover by T. Frazier (lost ball; steal by K. Towns)
10:06.0,K. Towns misses 2-pt shot from 3 ft,,2-2,,
10:05.0,,,2-2,,Defensive rebound by O. Asik
9:46.0,,,2-5,3,T. Frazier makes 3-pt shot from 26 ft
9:33.0,Z. LaVine misses 2-pt shot from 3 ft,,2-5,,
9:32.0,,,2-5,,Defensive rebound by A. Davis
9:25.0,,,2-7,2,E. Moore makes 2-pt shot from 18 ft (assist by A. Davis)
8:57.0,K. Towns misses 3-pt shot from 24 ft,,2-7,,
8:57.0,,,2-7,,Defensive rebound by D. Cunningham
8:48.0,,,2-9,2,E. Moore makes 2-pt shot from 4 ft
8:43.0,Minnesota full timeout,,2-9,,
8:30.0,Shooting foul by T. Frazier (drawn by A. Wiggins),,2-9,,
8:30.0,A. Wiggins makes free throw 1 of 2,1,3-9,,
8:30.0,A. Wiggins makes free throw 2 of 2,1,4-9,,
8:11.0,,,4-11,2,D. Cunningham makes 2-pt shot from 3 ft (assist by A. Davis)
7:54.0,K. Towns makes 2-pt shot from 10 ft,2,6-11,,
7:35.0,,,6-13,2,A. Davis makes 2-pt shot from 9 ft
7:13.0,A. Wiggins misses 2-pt shot from 8 ft (block by D. Cunningham),,6-13,,
7:13.0,Offensive rebound by G. Dieng,,6-13,,
7:13.0,Shooting foul by D. Cunningham (drawn by G. Dieng),,6-13,,
7:13.0,G. Dieng misses free throw 1 of 2,,6-13,,
7:13.0,Offensive rebound by Team,,6-13,,
7:13.0,G. Dieng makes free throw 2 of 2,1,7-13,,
6:54.0,,,7-15,2,A. Davis makes 2-pt shot from 3 ft (assist by T. Frazier)
6:43.0,Z. LaVine misses 3-pt shot from 27 ft,,7-15,,
6:42.0,,,7-15,,Defensive rebound by T. Frazier
6:32.0,,,7-15,,E. Moore misses 2-pt shot from 14 ft
6:32.0,,,7-15,,Offensive rebound by A. Davis
6:31.0,,,7-17,2,A. Davis makes 2-pt shot at rim
6:15.0,A. Wiggins misses 2-pt shot from 17 ft,,7-17,,
6:15.0,Offensive rebound by Team,,7-17,,
6:11.0,Z. LaVine makes 2-pt shot from 18 ft (assist by R. Rubio),2,9-17,,
5:58.0,Personal foul by K. Towns (drawn by A. Davis),,9-17,,
5:58.0,,,9-17,,New Orleans full timeout
5:47.0,,,9-19,2,A. Davis makes 2-pt shot from 8 ft
5:28.0,K. Towns misses 2-pt shot from 4 ft (block by A. Davis),,9-19,,
5:25.0,Offensive rebound by K. Towns,,9-19,,
5:23.0,Turnover by K. Towns (bad pass; steal by D. Cunningham),,9-19,,
5:13.0,,,9-21,2,A. Davis makes 2-pt shot from 7 ft
4:54.0,Z. LaVine makes 2-pt shot from 4 ft (assist by G. Dieng),2,11-21,,
4:54.0,Shooting foul by A. Davis (drawn by Z. LaVine),,11-21,,
4:54.0,Z. LaVine makes free throw 1 of 1,1,12-21,,
4:54.0,,,11-21,,J. Holiday enters the game for E. Moore
4:37.0,,,12-21,,Turnover by A. Davis (bad pass; steal by R. Rubio)
4:28.0,A. Wiggins makes 2-pt shot from 20 ft (assist by G. Dieng),2,14-21,,
4:11.0,,,14-21,,A. Davis misses 3-pt shot from 26 ft
4:10.0,Defensive rebound by G. Dieng,,14-21,,
4:05.0,Z. LaVine makes 2-pt shot from 4 ft (assist by G. Dieng),2,16-21,,
3:50.0,B. Rush enters the game for Z. LaVine,,16-21,,
3:47.0,,,16-21,,Shooting foul by K. Towns (drawn by A. Davis)
3:47.0,,,16-22,1,A. Davis makes free throw 1 of 2
3:47.0,,,16-23,1,A. Davis makes free throw 2 of 2
3:47.0,N. Bjelica enters the game for K. Towns,,16-22,,
3:37.0,,,16-23,,Personal foul by T. Frazier (drawn by R. Rubio)
3:37.0,,,16-23,,S. Hill enters the game for D. Cunningham
3:37.0,,,16-23,,L. Galloway enters the game for T. Frazier
3:30.0,G. Dieng makes 2-pt shot from 6 ft (assist by R. Rubio),2,18-23,,
3:30.0,Shooting foul by S. Hill (drawn by G. Dieng),,18-23,,
3:30.0,G. Dieng makes free throw 1 of 1,1,19-23,,
3:18.0,,,19-23,,Turnover by A. Davis (traveling)
3:18.0,K. Dunn enters the game for R. Rubio,,19-23,,
3:05.0,Shooting foul by S. Hill (drawn by A. Wiggins),,19-23,,
