time,LA Lakers,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Black vs. A. Drummond (R. Jackson gains possession),,,,Jump ball: T. Black vs. A. Drummond (R. Jackson gains possession)
12:00.0,Violation by Team (jump ball),,0-0,,
12:00.0,,,0-0,,Violation by Team (jump ball)
11:51.0,Personal foul by T. Black (drawn by K. Caldwell-Pope),,0-0,,
11:42.0,,,0-2,2,A. Drummond makes 2-pt shot from 1 ft (assist by J. Leuer)
11:14.0,J. Randle makes 2-pt shot from 6 ft (assist by B. Ingram),2,2-2,,
11:04.0,,,2-2,,K. Caldwell-Pope misses 2-pt shot from 21 ft
11:03.0,Defensive rebound by B. Ingram,,2-2,,
10:52.0,J. Randle misses 2-pt shot from 7 ft,,2-2,,
10:50.0,Offensive rebound by T. Black,,2-2,,
10:43.0,B. Ingram makes 3-pt shot from 23 ft (assist by T. Black),3,5-2,,
10:22.0,,,5-2,,M. Morris misses 2-pt shot from 12 ft
10:22.0,Defensive rebound by T. Black,,5-2,,
10:12.0,B. Ingram makes 2-pt shot from 19 ft,2,7-2,,
9:53.0,,,7-4,2,J. Leuer makes 2-pt shot at rim (assist by M. Morris)
9:52.0,Turnover by J. Randle (inbound),,7-4,,
9:46.0,,,7-4,,R. Jackson misses 2-pt shot from 9 ft
9:45.0,Defensive rebound by T. Black,,7-4,,
9:37.0,B. Ingram makes 3-pt shot from 25 ft (assist by D. Russell),3,10-4,,
9:31.0,,,10-4,,Detroit full timeout
9:21.0,,,10-6,2,M. Morris makes 2-pt shot from 1 ft
9:01.0,T. Black misses 2-pt shot from 2 ft (block by A. Drummond),,10-6,,
8:59.0,,,10-6,,Defensive rebound by J. Leuer
8:49.0,,,10-8,2,A. Drummond makes 2-pt shot from 7 ft (assist by R. Jackson)
8:30.0,N. Young makes 2-pt shot from 5 ft (assist by T. Black),2,12-8,,
8:11.0,,,12-10,2,A. Drummond makes 2-pt shot at rim (assist by K. Caldwell-Pope)
7:52.0,N. Young makes 2-pt shot from 16 ft,2,14-10,,
7:39.0,,,14-10,,J. Leuer misses 3-pt shot from 27 ft
7:38.0,,,14-10,,Offensive rebound by M. Morris
7:38.0,,,14-10,,Shooting foul by B. Ingram (drawn by M. Morris)
7:38.0,,,14-11,1,M. Morris makes free throw 1 of 2
7:38.0,,,14-11,,M. Morris misses free throw 2 of 2
7:37.0,Defensive rebound by J. Randle,,14-11,,
7:18.0,T. Black makes 2-pt shot from 1 ft,2,16-11,,
7:06.0,,,16-11,,R. Jackson misses 3-pt shot from 27 ft
7:05.0,,,16-11,,Offensive rebound by A. Drummond
7:03.0,,,16-11,,A. Drummond misses 2-pt shot from 1 ft
7:02.0,Defensive rebound by T. Black,,16-11,,
6:58.0,Offensive foul by J. Randle,,16-11,,
6:58.0,Turnover by J. Randle (offensive foul),,16-11,,
6:45.0,,,16-11,,J. Leuer misses 2-pt shot from 4 ft
6:43.0,Defensive rebound by B. Ingram,,16-11,,
6:34.0,J. Randle makes 2-pt shot at rim,2,18-11,,
6:24.0,,,18-11,,Shooting foul by N. Young (drawn by K. Caldwell-Pope)
6:24.0,,,18-11,,K. Caldwell-Pope misses free throw 1 of 3
6:24.0,,,18-11,,Offensive rebound by Team
6:24.0,,,18-12,1,K. Caldwell-Pope makes free throw 2 of 3
6:24.0,,,18-13,1,K. Caldwell-Pope makes free throw 3 of 3
6:15.0,Turnover by D. Russell (palming),,18-13,,
6:01.0,,,18-13,,A. Drummond misses 2-pt shot from 6 ft
5:59.0,Defensive rebound by J. Randle,,18-13,,
5:54.0,N. Young misses 3-pt shot from 27 ft,,18-13,,
5:53.0,,,18-13,,Defensive rebound by A. Drummond
5:42.0,,,18-13,,K. Caldwell-Pope misses 3-pt shot from 25 ft
