time,Toronto,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. J. Valanciunas (M. Morris gains possession),,,,Jump ball: M. Gortat vs. J. Valanciunas (M. Morris gains possession)
11:45.0,,,0-0,,J. Wall misses 2-pt shot from 5 ft
11:44.0,Defensive rebound by J. Valanciunas,,0-0,,
11:30.0,D. DeRozan misses 2-pt shot from 15 ft,,0-0,,
11:30.0,,,0-0,,Defensive rebound by M. Gortat
11:20.0,,,0-2,2,B. Beal makes 2-pt shot from 16 ft
11:02.0,J. Valanciunas makes 2-pt shot from 18 ft (assist by D. DeRozan),2,2-2,,
10:40.0,,,2-5,3,B. Beal makes 3-pt shot from 25 ft (assist by J. Wall)
10:12.0,D. DeRozan misses 2-pt shot from 19 ft,,2-5,,
10:12.0,,,2-5,,Defensive rebound by M. Gortat
10:07.0,,,2-7,2,J. Wall makes 2-pt shot from 2 ft (assist by M. Gortat)
9:45.0,J. Valanciunas misses 2-pt shot from 1 ft (block by J. Wall),,2-7,,
9:43.0,,,2-7,,Defensive rebound by M. Gortat
9:31.0,,,2-7,,M. Gortat misses 2-pt shot from 14 ft
9:30.0,,,2-7,,Offensive rebound by O. Porter
9:29.0,,,2-9,2,O. Porter makes 2-pt shot from 2 ft
9:23.0,Toronto full timeout,,2-9,,
9:10.0,D. Carroll misses 3-pt shot from 26 ft,,2-9,,
9:09.0,,,2-9,,Defensive rebound by O. Porter
9:02.0,,,2-11,2,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall)
8:50.0,,,2-11,,Def 3 sec tech foul by M. Morris
8:50.0,D. DeRozan misses technical free throw,,2-11,,
8:50.0,Offensive rebound by Team,,2-11,,
8:50.0,Turnover by D. Carroll (bad pass; steal by J. Wall),,2-11,,
8:47.0,,,2-11,,Turnover by J. Wall (step out of bounds)
8:28.0,D. Carroll makes 3-pt shot from 26 ft (assist by K. Lowry),3,5-11,,
