time,Philadelphia,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: W. Hernangomez vs. J. Okafor (T. McConnell gains possession),,,,Jump ball: W. Hernangomez vs. J. Okafor (T. McConnell gains possession)
11:48.0,G. Henderson misses 3-pt shot from 25 ft,,0-0,,
11:47.0,,,0-0,,Defensive rebound by C. Anthony
11:27.0,,,0-2,2,W. Hernangomez makes 2-pt shot from 2 ft (assist by D. Rose)
11:11.0,D. Saric misses 3-pt shot from 25 ft,,0-2,,
11:10.0,,,0-2,,Defensive rebound by W. Hernangomez
10:57.0,,,0-2,,D. Rose misses 2-pt shot from 2 ft
10:56.0,,,0-2,,Offensive rebound by W. Hernangomez
10:56.0,,,0-2,,W. Hernangomez misses 2-pt shot at rim
10:55.0,Defensive rebound by R. Covington,,0-2,,
10:48.0,R. Covington misses 3-pt shot from 25 ft,,0-2,,
10:47.0,,,0-2,,Defensive rebound by C. Lee
10:34.0,,,0-2,,D. Rose misses 3-pt shot from 22 ft
10:33.0,Defensive rebound by R. Covington,,0-2,,
10:24.0,G. Henderson misses 2-pt shot from 1 ft (block by C. Anthony),,0-2,,
10:23.0,Offensive rebound by J. Okafor,,0-2,,
10:15.0,T. McConnell makes 2-pt shot from 2 ft (assist by R. Covington),2,2-2,,
10:01.0,,,2-2,,C. Lee misses 2-pt shot from 13 ft
9:59.0,Defensive rebound by J. Okafor,,2-2,,
9:47.0,J. Okafor makes 2-pt shot from 2 ft (assist by T. McConnell),2,4-2,,
9:27.0,,,4-4,2,W. Hernangomez makes 2-pt shot from 2 ft (assist by C. Lee)
9:14.0,J. Okafor misses 2-pt shot from 2 ft,,4-4,,
9:13.0,Offensive rebound by J. Okafor,,4-4,,
9:12.0,J. Okafor makes 2-pt shot at rim,2,6-4,,
8:54.0,,,6-4,,Turnover by W. Hernangomez (lost ball; steal by G. Henderson)
8:48.0,D. Saric makes 2-pt shot from 1 ft (assist by G. Henderson),2,8-4,,
8:29.0,,,8-6,2,C. Anthony makes 2-pt shot from 10 ft
8:20.0,,,8-6,,Shooting block foul by W. Hernangomez (drawn by J. Okafor)
8:20.0,J. Okafor makes free throw 1 of 2,1,9-6,,
8:20.0,J. Okafor makes free throw 2 of 2,1,10-6,,
8:08.0,,,10-6,,Turnover by L. Thomas (bad pass)
7:50.0,,,10-6,,Violation by Team (jump ball)
7:50.0,Jump ball: C. Anthony vs. J. Okafor (T. McConnell gains possession),,,,Jump ball: C. Anthony vs. J. Okafor (T. McConnell gains possession)
7:47.0,T. McConnell misses 2-pt shot from 3 ft,,10-6,,
7:45.0,,,10-6,,Defensive rebound by C. Anthony
7:27.0,,,10-6,,C. Lee misses 3-pt shot from 25 ft
7:26.0,Defensive rebound by D. Saric,,10-6,,
7:19.0,D. Saric misses 2-pt shot from 21 ft,,10-6,,
7:18.0,,,10-6,,Defensive rebound by D. Rose
7:12.0,,,10-6,,C. Anthony misses 3-pt shot from 25 ft
7:11.0,Defensive rebound by J. Okafor,,10-6,,
7:02.0,J. Okafor misses 2-pt shot from 5 ft,,10-6,,
7:01.0,,,10-6,,Defensive rebound by C. Anthony
6:52.0,,,10-8,2,C. Anthony makes 2-pt shot from 7 ft
6:34.0,G. Henderson makes 2-pt shot from 10 ft,2,12-8,,
6:09.0,,,12-10,2,C. Anthony makes 2-pt shot from 15 ft (assist by W. Hernangomez)
6:08.0,Philadelphia full timeout,,12-10,,
6:08.0,N. Stauskas enters the game for R. Covington,,12-10,,
6:08.0,T. Luwawu-Cabarrot enters the game for G. Henderson,,12-10,,
5:55.0,D. Saric misses 2-pt shot from 6 ft (block by W. Hernangomez),,12-10,,
5:53.0,Offensive rebound by J. Okafor,,12-10,,
5:46.0,J. Okafor misses 2-pt shot from 3 ft,,12-10,,
5:45.0,,,12-10,,Defensive rebound by W. Hernangomez
5:38.0,,,12-10,,Turnover by C. Anthony (bad pass; steal by T. McConnell)
5:34.0,D. Saric makes 2-pt shot at rim (assist by T. McConnell),2,14-10,,
5:21.0,Personal foul by T. Luwawu-Cabarrot (drawn by L. Thomas),,14-10,,
5:13.0,,,14-12,2,C. Anthony makes 2-pt shot from 12 ft
5:01.0,Shooting foul by C. Anthony (drawn by D. Saric),,14-12,,
5:01.0,D. Saric makes free throw 1 of 2,1,15-12,,
5:01.0,D. Saric misses free throw 2 of 2,,15-12,,
5:01.0,,,15-12,,K. O'Quinn enters the game for W. Hernangomez
5:01.0,,,15-12,,J. Holiday enters the game for C. Lee
5:00.0,,,15-12,,Defensive rebound by L. Thomas
4:43.0,,,15-14,2,C. Anthony makes 2-pt shot from 13 ft
4:30.0,,,15-14,,Personal foul by K. O'Quinn (drawn by J. Okafor)
4:30.0,S. Rodriguez enters the game for T. McConnell,,15-14,,
4:18.0,J. Okafor misses 2-pt shot from 2 ft (block by J. Holiday),,15-14,,
4:16.0,,,15-14,,Defensive rebound by Team
4:16.0,Jump ball: J. Okafor vs. K. O'Quinn (J. Holiday gains possession),,,,Jump ball: J. Okafor vs. K. O'Quinn (J. Holiday gains possession)
4:06.0,,,15-16,2,D. Rose makes 2-pt shot from 2 ft
3:57.0,J. Okafor makes 2-pt shot from 2 ft,2,17-16,,
3:57.0,Shooting foul by K. O'Quinn (drawn by J. Okafor),,17-16,,
3:57.0,J. Okafor makes free throw 1 of 1,1,18-16,,
3:57.0,,,17-16,,M. Kuzminskas enters the game for L. Thomas
3:42.0,,,18-16,,C. Anthony misses 2-pt shot from 4 ft
3:41.0,,,18-16,,Offensive rebound by C. Anthony
3:40.0,Personal foul by T. Luwawu-Cabarrot (drawn by J. Holiday),,18-16,,
3:34.0,,,18-18,2,C. Anthony makes 2-pt shot from 1 ft (assist by K. O'Quinn)
