time,Phoenix,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Len vs. H. Whiteside (L. Babbitt gains possession),,,,Jump ball: A. Len vs. H. Whiteside (L. Babbitt gains possession)
11:40.0,,,0-0,,H. Whiteside misses 2-pt shot from 3 ft
11:39.0,Defensive rebound by A. Len,,0-0,,
11:23.0,Turnover by A. Len (offensive foul),,0-0,,
11:23.0,Offensive foul by A. Len,,0-0,,
11:02.0,,,0-0,,Offensive foul by G. Dragic
11:02.0,,,0-0,,Turnover by G. Dragic (offensive foul)
10:46.0,Shooting foul by L. Babbitt (drawn by M. Chriss),,0-0,,
10:46.0,M. Chriss makes 2-pt shot from 2 ft,2,2-0,,
10:46.0,M. Chriss makes free throw 1 of 1,1,3-0,,
10:26.0,,,3-0,,R. McGruder misses 3-pt shot from 26 ft
10:25.0,,,3-0,,Offensive rebound by J. Richardson
10:16.0,,,3-0,,G. Dragic misses 3-pt shot from 25 ft
10:15.0,Defensive rebound by D. Booker,,3-0,,
10:07.0,D. Booker misses 3-pt shot from 24 ft,,3-0,,
10:06.0,,,3-0,,Defensive rebound by H. Whiteside
9:57.0,,,3-2,2,J. Richardson makes 2-pt shot from 2 ft
9:46.0,D. Booker misses 2-pt shot from 18 ft,,3-2,,
9:45.0,,,3-2,,Defensive rebound by G. Dragic
9:36.0,,,3-2,,L. Babbitt misses 3-pt shot from 25 ft
9:35.0,Defensive rebound by Team,,3-2,,
9:19.0,Turnover by D. Booker (bad pass),,3-2,,
9:00.0,,,3-2,,H. Whiteside misses 2-pt shot from 21 ft
8:59.0,Defensive rebound by T. Ulis,,3-2,,
8:44.0,Shooting foul by J. Richardson (drawn by M. Chriss),,3-2,,
8:44.0,M. Chriss makes free throw 1 of 2,1,4-2,,
8:44.0,M. Chriss misses free throw 2 of 2,,4-2,,
8:43.0,,,4-2,,Defensive rebound by H. Whiteside
8:37.0,,,4-4,2,H. Whiteside makes 2-pt shot at rim
8:17.0,M. Chriss makes 2-pt shot at rim (assist by D. Booker),2,6-4,,
8:06.0,Personal foul by D. Booker (drawn by L. Babbitt),,6-4,,
7:57.0,,,6-4,,J. Richardson misses 2-pt shot from 18 ft
7:56.0,Defensive rebound by M. Chriss,,6-4,,
7:48.0,D. Booker misses 3-pt shot from 25 ft,,6-4,,
7:47.0,,,6-4,,Defensive rebound by R. McGruder
7:29.0,,,6-4,,L. Babbitt misses 3-pt shot from 25 ft
7:28.0,Defensive rebound by T. Warren,,6-4,,
7:21.0,T. Warren misses 2-pt shot from 13 ft,,6-4,,
7:20.0,Offensive rebound by T. Warren,,6-4,,
7:18.0,T. Warren makes 2-pt shot from 5 ft,2,8-4,,
7:01.0,,,8-7,3,J. Richardson makes 3-pt shot from 24 ft (assist by G. Dragic)
6:51.0,T. Ulis makes 2-pt shot from 13 ft,2,10-7,,
6:41.0,,,10-7,,G. Dragic misses 2-pt shot from 1 ft (block by A. Len)
6:38.0,,,10-7,,Offensive rebound by G. Dragic
6:35.0,,,10-7,,G. Dragic misses 2-pt shot from 1 ft
6:34.0,Defensive rebound by A. Len,,10-7,,
6:30.0,T. Warren makes 2-pt shot from 2 ft (assist by T. Ulis),2,12-7,,
6:10.0,,,12-7,,H. Whiteside misses 2-pt shot from 18 ft
6:09.0,Defensive rebound by D. Booker,,12-7,,
6:07.0,Turnover by D. Booker (bad pass),,12-7,,
5:53.0,,,12-7,,Turnover by G. Dragic (bad pass; steal by D. Booker)
5:46.0,Turnover by D. Booker (bad pass; steal by L. Babbitt),,12-7,,
5:41.0,,,12-9,2,G. Dragic makes 2-pt shot from 12 ft
5:19.0,A. Len makes 2-pt shot at rim (assist by T. Ulis),2,14-9,,
5:19.0,,,14-9,,Miami full timeout
5:19.0,,,14-9,,T. Johnson enters the game for G. Dragic
5:04.0,,,14-9,,T. Johnson misses 2-pt shot from 18 ft
5:02.0,,,14-9,,Offensive rebound by H. Whiteside
4:59.0,,,14-9,,H. Whiteside misses 2-pt shot from 3 ft
4:58.0,,,14-9,,Offensive rebound by R. McGruder
4:56.0,,,14-12,3,T. Johnson makes 3-pt shot from 25 ft (assist by R. McGruder)
4:40.0,M. Chriss makes 3-pt shot from 24 ft (assist by D. Booker),3,17-12,,
4:20.0,,,17-12,,H. Whiteside misses 2-pt shot from 9 ft
4:18.0,Defensive rebound by M. Chriss,,17-12,,
4:09.0,Turnover by T. Ulis (lost ball; steal by H. Whiteside),,17-12,,
4:04.0,,,17-14,2,J. Richardson makes 2-pt shot from 2 ft (assist by R. McGruder)
3:58.0,Shooting foul by J. Richardson (drawn by D. Booker),,17-14,,
3:58.0,D. Booker misses free throw 1 of 2,,17-14,,
3:58.0,Offensive rebound by Team,,17-14,,
3:58.0,D. Booker makes free throw 2 of 2,1,18-14,,
3:58.0,,,17-14,,W. Ellington enters the game for J. Richardson
3:58.0,,,17-14,,J. Johnson enters the game for L. Babbitt
3:49.0,Violation by M. Chriss (kicked ball),,18-14,,
3:40.0,,,18-16,2,T. Johnson makes 2-pt shot from 6 ft
3:21.0,Turnover by M. Chriss (lost ball; steal by J. Johnson),,18-16,,
3:17.0,,,18-18,2,T. Johnson makes 2-pt shot at rim (assist by R. McGruder)
3:15.0,Phoenix full timeout,,18-18,,
3:02.0,A. Len misses 3-pt shot from 25 ft,,18-18,,
3:01.0,,,18-18,,Defensive rebound by R. McGruder
2:56.0,,,18-20,2,T. Johnson makes 2-pt shot from 1 ft
2:43.0,A. Len makes 2-pt shot at rim (assist by T. Ulis),2,20-20,,
2:27.0,,,20-20,,T. Johnson misses 3-pt shot from 25 ft
2:26.0,Defensive rebound by M. Chriss,,20-20,,
2:16.0,A. Len makes 2-pt shot at rim (assist by D. Booker),2,22-20,,
1:59.0,,,22-20,,J. Johnson misses 2-pt shot from 18 ft
1:58.0,Defensive rebound by Team,,22-20,,
1:58.0,,,22-20,,Loose ball foul by H. Whiteside (drawn by A. Len)
1:58.0,D. Jones enters the game for M. Chriss,,22-20,,
1:58.0,J. Dudley enters the game for D. Booker,,22-20,,
1:58.0,,,22-20,,G. Dragic enters the game for R. McGruder
1:58.0,,,22-20,,W. Reed enters the game for H. Whiteside
1:41.0,A. Len misses 2-pt shot from 9 ft,,22-20,,
1:41.0,,,22-20,,Defensive rebound by Team
1:41.0,Loose ball foul by T. Warren,,22-20,,
1:17.0,,,22-20,,T. Johnson misses 2-pt shot from 11 ft
1:16.0,,,22-20,,Offensive rebound by W. Reed
1:05.0,,,22-23,3,T. Johnson makes 3-pt shot from 24 ft (assist by W. Ellington)
0:53.0,A. Len misses 2-pt shot from 3 ft (block by J. Johnson),,22-23,,
0:52.0,Offensive rebound by Team,,22-23,,
0:47.0,T. Warren misses 2-pt shot from 9 ft,,22-23,,
0:46.0,Offensive rebound by A. Len,,22-23,,
0:45.0,A. Len misses 2-pt shot from 5 ft,,22-23,,
0:44.0,Offensive rebound by T. Warren,,22-23,,
0:43.0,T. Warren makes 2-pt shot from 2 ft,2,24-23,,
0:33.0,,,24-23,,J. Johnson misses 2-pt shot from 9 ft (block by A. Len)
0:31.0,Defensive rebound by Team,,24-23,,
0:27.0,T. Warren misses 2-pt shot from 14 ft,,24-23,,
0:26.0,,,24-23,,Defensive rebound by T. Johnson
0:10.0,,,24-23,,Turnover by T. Johnson (lost ball; steal by T. Warren)
0:05.0,T. Warren makes 2-pt shot from 1 ft,2,26-23,,
0:01.0,,,26-23,,W. Reed misses 2-pt shot from 13 ft
0:00.0,Defensive rebound by Team,,26-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,Turnover by J. Dudley (step out of bounds),,26-23,,
11:29.0,,,26-25,2,W. Reed makes 2-pt shot at rim (assist by T. Johnson)
11:19.0,Turnover by D. Booker (bad pass; steal by G. Dragic),,26-25,,
11:16.0,,,26-25,,Shooting foul by M. Chriss (drawn by J. Johnson)
11:16.0,,,26-25,,J. Johnson misses free throw 1 of 2
11:16.0,,,26-25,,Offensive rebound by Team
11:16.0,,,26-25,,J. Johnson misses free throw 2 of 2
11:15.0,Defensive rebound by L. Barbosa,,26-25,,
11:02.0,L. Barbosa makes 2-pt shot from 1 ft,2,28-25,,
10:50.0,Shooting block foul by D. Jones (drawn by G. Dragic),,28-25,,
10:50.0,,,28-26,1,G. Dragic makes free throw 1 of 3
10:50.0,,,28-26,,G. Dragic misses free throw 2 of 3
10:50.0,,,28-26,,Offensive rebound by Team
10:50.0,,,28-27,1,G. Dragic makes free throw 3 of 3
10:33.0,D. Jones misses 2-pt shot from 9 ft,,28-27,,
10:32.0,,,28-27,,Defensive rebound by W. Reed
10:27.0,,,28-27,,Shooting foul by D. Jones (drawn by J. Johnson)
10:27.0,,,28-28,1,J. Johnson makes free throw 1 of 2
10:27.0,,,28-29,1,J. Johnson makes free throw 2 of 2
10:12.0,D. Booker makes 2-pt shot from 17 ft,2,30-29,,
9:55.0,,,30-29,,T. Johnson misses 2-pt shot from 23 ft
9:54.0,Defensive rebound by J. Dudley,,30-29,,
9:47.0,Shooting foul by T. Johnson (drawn by L. Barbosa),,30-29,,
9:47.0,L. Barbosa makes free throw 1 of 2,1,31-29,,
9:47.0,L. Barbosa makes free throw 2 of 2,1,32-29,,
9:30.0,,,32-29,,J. Johnson misses 3-pt shot from 24 ft
9:29.0,,,32-29,,Offensive rebound by W. Reed
