time,Oklahoma City,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. J. Henson (T. Snell gains possession),,,,Jump ball: S. Adams vs. J. Henson (T. Snell gains possession)
11:35.0,,,0-0,,M. Brogdon misses 2-pt shot from 21 ft
11:34.0,Defensive rebound by D. Sabonis,,0-0,,
11:19.0,S. Adams makes 2-pt shot from 6 ft,2,2-0,,
10:55.0,,,2-2,2,J. Henson makes 2-pt shot from 2 ft (assist by M. Brogdon)
10:43.0,Shooting foul by J. Henson (drawn by S. Adams),,2-2,,
10:43.0,S. Adams makes free throw 1 of 2,1,3-2,,
10:43.0,S. Adams makes free throw 2 of 2,1,4-2,,
10:22.0,,,4-4,2,G. Antetokounmpo makes 2-pt shot from 2 ft
10:04.0,R. Westbrook makes 3-pt shot from 27 ft (assist by S. Adams),3,7-4,,
9:55.0,Personal block foul by A. Roberson (drawn by G. Antetokounmpo),,7-4,,
9:43.0,,,7-4,,J. Parker misses 2-pt shot from 18 ft
9:43.0,,,7-4,,Offensive rebound by Team
9:43.0,Loose ball foul by D. Sabonis (drawn by J. Henson),,7-4,,
9:32.0,,,7-4,,G. Antetokounmpo misses 2-pt shot from 13 ft
9:30.0,Defensive rebound by V. Oladipo,,7-4,,
9:21.0,,,7-4,,Personal foul by M. Brogdon (drawn by D. Sabonis)
9:17.0,S. Adams makes 2-pt shot at rim (assist by V. Oladipo),2,9-4,,
8:51.0,,,9-4,,J. Parker misses 3-pt shot from 27 ft
8:50.0,Defensive rebound by Team,,9-4,,
8:37.0,S. Adams makes 2-pt shot at rim (assist by V. Oladipo),2,11-4,,
8:08.0,,,11-4,,G. Antetokounmpo misses 2-pt shot from 8 ft
8:07.0,Defensive rebound by V. Oladipo,,11-4,,
8:01.0,V. Oladipo makes 2-pt shot from 1 ft,2,13-4,,
8:01.0,,,13-4,,Milwaukee full timeout
7:36.0,,,13-4,,J. Parker misses 2-pt shot from 9 ft
7:34.0,,,13-4,,Offensive rebound by J. Henson
7:34.0,,,13-6,2,J. Henson makes 2-pt shot at rim
7:16.0,V. Oladipo makes 3-pt shot from 25 ft,3,16-6,,
6:56.0,,,16-9,3,G. Antetokounmpo makes 3-pt shot from 28 ft (assist by J. Parker)
6:29.0,Turnover by R. Westbrook (bad pass; steal by T. Snell),,16-9,,
6:19.0,,,16-9,,J. Parker misses 3-pt shot from 24 ft
6:18.0,Defensive rebound by A. Roberson,,16-9,,
6:11.0,R. Westbrook makes 2-pt shot from 17 ft,2,18-9,,
5:44.0,,,18-9,,Turnover by Team (shot clock)
5:44.0,,,18-9,,G. Monroe enters the game for J. Parker
5:44.0,,,18-9,,M. Teletovic enters the game for J. Henson
5:31.0,Turnover by V. Oladipo (step out of bounds),,18-9,,
