time,Sacramento,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Koufos vs. J. Okafor (D. Cousins gains possession),,,,Jump ball: K. Koufos vs. J. Okafor (D. Cousins gains possession)
11:43.0,G. Temple makes 2-pt shot from 1 ft (assist by D. Cousins),2,2-0,,
11:29.0,,,2-0,,Turnover by T. McConnell (bad pass; steal by G. Temple)
11:22.0,Shooting foul by E. Ilyasova (drawn by D. Cousins),,2-0,,
11:22.0,D. Cousins makes free throw 1 of 2,1,3-0,,
11:22.0,D. Cousins makes free throw 2 of 2,1,4-0,,
11:09.0,,,4-0,,Turnover by N. Stauskas (lost ball)
10:56.0,A. Afflalo misses 2-pt shot from 20 ft,,4-0,,
10:55.0,Offensive rebound by D. Cousins,,4-0,,
10:54.0,D. Cousins makes 2-pt shot from 1 ft,2,6-0,,
10:41.0,,,6-0,,J. Okafor misses 2-pt shot from 9 ft
10:40.0,Defensive rebound by A. Afflalo,,6-0,,
10:29.0,Turnover by G. Temple (bad pass; steal by E. Ilyasova),,6-0,,
10:23.0,,,6-3,3,E. Ilyasova makes 3-pt shot from 23 ft (assist by T. McConnell)
10:00.0,G. Temple misses 2-pt shot from 14 ft (block by N. Stauskas),,6-3,,
10:00.0,,,6-3,,Defensive rebound by Team
10:00.0,Jump ball: N. Stauskas vs. G. Temple (R. Covington gains possession),,,,Jump ball: N. Stauskas vs. G. Temple (R. Covington gains possession)
9:52.0,,,6-3,,Shooting foul by K. Koufos (drawn by E. Ilyasova)
9:52.0,,,6-4,1,E. Ilyasova makes free throw 1 of 2
9:52.0,,,6-5,1,E. Ilyasova makes free throw 2 of 2
9:43.0,Turnover by D. Cousins (bad pass; steal by R. Covington),,6-5,,
9:39.0,,,6-5,,Turnover by R. Covington (dbl dribble)
9:18.0,D. Cousins makes 2-pt shot from 2 ft,2,8-5,,
9:09.0,,,8-5,,Turnover by R. Covington (bad pass)
8:57.0,K. Koufos makes 2-pt shot from 8 ft (assist by G. Temple),2,10-5,,
8:46.0,,,10-5,,T. McConnell misses 2-pt shot from 12 ft
8:45.0,Defensive rebound by D. Cousins,,10-5,,
8:32.0,Shooting foul by E. Ilyasova (drawn by D. Cousins),,10-5,,
8:32.0,D. Cousins makes free throw 1 of 2,1,11-5,,
8:32.0,D. Cousins makes free throw 2 of 2,1,12-5,,
8:32.0,,,11-5,,D. Saric enters the game for E. Ilyasova
8:21.0,,,12-5,,R. Covington misses 3-pt shot from 23 ft
8:20.0,Defensive rebound by D. Cousins,,12-5,,
8:02.0,D. Cousins makes 2-pt shot from 1 ft (assist by A. Afflalo),2,14-5,,
8:01.0,,,14-5,,Philadelphia full timeout
7:43.0,,,14-5,,R. Covington misses 3-pt shot from 25 ft
7:42.0,Defensive rebound by Team,,14-5,,
7:31.0,D. Collison misses 2-pt shot from 18 ft,,14-5,,
7:30.0,,,14-5,,Defensive rebound by D. Saric
7:16.0,,,14-7,2,J. Okafor makes 2-pt shot from 2 ft
7:03.0,K. Koufos misses 2-pt shot from 7 ft,,14-7,,
7:02.0,Offensive rebound by Team,,14-7,,
7:02.0,,,14-7,,G. Henderson enters the game for R. Covington
6:56.0,D. Collison misses 3-pt shot from 25 ft,,14-7,,
6:55.0,Offensive rebound by D. Cousins,,14-7,,
6:53.0,Turnover by D. Cousins (lost ball; steal by N. Stauskas),,14-7,,
6:43.0,,,14-9,2,J. Okafor makes 2-pt shot from 2 ft (assist by D. Saric)
6:23.0,Turnover by G. Temple (lost ball; steal by T. McConnell),,14-9,,
6:21.0,Personal foul by D. Collison,,14-9,,
6:21.0,,,14-9,,T. Luwawu-Cabarrot enters the game for N. Stauskas
6:13.0,,,14-9,,D. Saric misses 3-pt shot from 25 ft
6:12.0,Defensive rebound by A. Afflalo,,14-9,,
5:48.0,D. Cousins makes 3-pt shot from 26 ft (assist by D. Collison),3,17-9,,
5:39.0,,,17-9,,Turnover by T. McConnell (bad pass)
5:39.0,,,17-9,,N. Noel enters the game for J. Okafor
5:28.0,G. Temple makes 3-pt shot from 23 ft (assist by D. Cousins),3,20-9,,
5:07.0,,,20-11,2,N. Noel makes 2-pt shot at rim (assist by D. Saric)
4:44.0,K. Koufos makes 2-pt shot from 6 ft (assist by D. Cousins),2,22-11,,
4:31.0,,,22-11,,T. Luwawu-Cabarrot misses 3-pt shot from 22 ft
4:30.0,Defensive rebound by D. Cousins,,22-11,,
4:08.0,D. Cousins makes 2-pt shot from 13 ft,2,24-11,,
3:57.0,Personal foul by D. Cousins (drawn by G. Henderson),,24-11,,
3:57.0,,,24-11,,S. Rodriguez enters the game for T. McConnell
3:57.0,W. Cauley-Stein enters the game for K. Koufos,,24-11,,
3:49.0,,,24-11,,Turnover by T. Luwawu-Cabarrot (lost ball; steal by D. Cousins)
3:48.0,Turnover by D. Cousins (lost ball),,24-11,,
3:38.0,,,24-13,2,D. Saric makes 2-pt shot from 19 ft (assist by T. Luwawu-Cabarrot)
3:26.0,D. Cousins misses 2-pt shot from 6 ft,,24-13,,
3:25.0,,,24-13,,Defensive rebound by T. Luwawu-Cabarrot
3:19.0,Personal foul by W. Cauley-Stein (drawn by N. Noel),,24-13,,
3:19.0,T. Lawson enters the game for D. Collison,,24-13,,
3:11.0,,,24-13,,Turnover by S. Rodriguez (bad pass; steal by W. Cauley-Stein)
3:02.0,D. Cousins makes 3-pt shot from 25 ft (assist by G. Temple),3,27-13,,
2:46.0,,,27-15,2,G. Henderson makes 2-pt shot from 16 ft
2:27.0,W. Cauley-Stein makes 2-pt shot from 1 ft (assist by G. Temple),2,29-15,,
2:15.0,,,29-17,2,D. Saric makes 2-pt shot from 3 ft (assist by T. Luwawu-Cabarrot)
2:09.0,Sacramento full timeout,,29-17,,
2:09.0,M. Barnes enters the game for G. Temple,,29-17,,
2:09.0,A. Tolliver enters the game for D. Cousins,,29-17,,
2:05.0,Turnover by A. Tolliver (illegal screen),,29-17,,
1:50.0,,,29-19,2,D. Saric makes 2-pt shot from 2 ft (assist by G. Henderson)
1:39.0,,,29-19,,Personal foul by D. Saric (drawn by A. Tolliver)
1:26.0,W. Cauley-Stein makes 2-pt shot from 7 ft (assist by A. Afflalo),2,31-19,,
1:14.0,,,31-19,,G. Henderson misses 3-pt shot from 25 ft
1:13.0,Defensive rebound by W. Cauley-Stein,,31-19,,
1:03.0,T. Lawson makes 2-pt shot from 1 ft,2,33-19,,
0:58.0,,,33-19,,Turnover by T. Luwawu-Cabarrot (traveling)
0:58.0,M. Richardson enters the game for A. Afflalo,,33-19,,
0:42.0,M. Barnes misses 2-pt shot from 22 ft,,33-19,,
0:41.0,,,33-19,,Defensive rebound by D. Saric
0:32.0,,,33-19,,T. Luwawu-Cabarrot misses 3-pt shot from 25 ft
0:31.0,,,33-19,,Offensive rebound by D. Saric
0:28.0,,,33-21,2,D. Saric makes 2-pt shot from 4 ft
0:07.0,W. Cauley-Stein makes 2-pt shot from 2 ft (assist by T. Lawson),2,35-21,,
0:01.0,,,35-21,,S. Rodriguez misses 3-pt shot from 35 ft
0:00.0,,,35-21,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:53.0,,,35-23,2,N. Noel makes 2-pt shot at rim (assist by D. Saric)
11:31.0,A. Tolliver makes 3-pt shot from 23 ft (assist by M. Richardson),3,38-23,,
11:17.0,,,38-23,,N. Stauskas misses 2-pt shot from 1 ft (block by W. Cauley-Stein)
11:15.0,Defensive rebound by W. Cauley-Stein,,38-23,,
11:13.0,Turnover by W. Cauley-Stein (lost ball; steal by N. Noel),,38-23,,
11:05.0,Loose ball foul by A. Tolliver (drawn by D. Saric),,38-23,,
10:58.0,,,38-23,,Turnover by N. Noel (bad pass; steal by A. Tolliver)
10:37.0,W. Cauley-Stein misses 2-pt shot from 15 ft,,38-23,,
10:36.0,,,38-23,,Defensive rebound by N. Noel
10:21.0,,,38-23,,R. Covington misses 3-pt shot from 25 ft
10:20.0,Defensive rebound by T. Lawson,,38-23,,
10:15.0,M. Barnes misses 2-pt shot from 4 ft,,38-23,,
10:14.0,,,38-23,,Defensive rebound by R. Covington
10:02.0,Personal foul by M. Barnes (drawn by D. Saric),,38-23,,
10:02.0,,,38-23,,E. Ilyasova enters the game for D. Saric
9:49.0,,,38-23,,N. Stauskas misses 3-pt shot from 24 ft
9:48.0,Defensive rebound by M. Barnes,,38-23,,
9:30.0,M. Richardson misses 3-pt shot from 23 ft,,38-23,,
9:29.0,,,38-23,,Defensive rebound by R. Covington
