time,Cleveland,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. T. Thompson (D. Schroder gains possession),,,,Jump ball: D. Howard vs. T. Thompson (D. Schroder gains possession)
11:45.0,,,0-0,,D. Schroder misses 2-pt shot from 8 ft
11:45.0,Defensive rebound by Team,,0-0,,
11:45.0,,,0-0,,Personal foul by D. Howard (drawn by C. Frye)
11:31.0,K. Irving makes 2-pt shot from 19 ft (assist by L. James),2,2-0,,
11:12.0,,,2-0,,D. Howard misses 2-pt shot from 7 ft
11:10.0,Defensive rebound by L. James,,2-0,,
10:57.0,K. Irving misses 3-pt shot from 23 ft,,2-0,,
10:56.0,,,2-0,,Defensive rebound by K. Bazemore
10:49.0,,,2-2,2,K. Bazemore makes 2-pt shot from 2 ft
10:34.0,L. James misses 2-pt shot from 21 ft,,2-2,,
10:33.0,,,2-2,,Defensive rebound by D. Howard
10:26.0,,,2-2,,Shooting foul by L. James (drawn by T. Sefolosha)
10:26.0,,,2-2,,T. Sefolosha misses free throw 1 of 2
10:26.0,,,2-2,,Offensive rebound by Team
10:26.0,,,2-2,,T. Sefolosha misses free throw 2 of 2
10:25.0,Defensive rebound by C. Frye,,2-2,,
10:15.0,I. Shumpert misses 3-pt shot from 23 ft,,2-2,,
10:14.0,,,2-2,,Defensive rebound by P. Millsap
10:04.0,,,2-2,,D. Schroder misses 3-pt shot from 24 ft
10:03.0,Defensive rebound by L. James,,2-2,,
10:00.0,Shooting foul by P. Millsap (drawn by I. Shumpert),,2-2,,
10:00.0,I. Shumpert makes free throw 1 of 2,1,3-2,,
10:00.0,I. Shumpert makes free throw 2 of 2,1,4-2,,
9:46.0,,,4-4,2,D. Howard makes 2-pt shot from 1 ft (assist by D. Schroder)
9:23.0,T. Thompson makes 2-pt shot at rim (assist by L. James),2,6-4,,
9:07.0,,,6-4,,D. Howard misses 2-pt shot from 9 ft
9:04.0,Defensive rebound by T. Thompson,,6-4,,
8:59.0,K. Irving makes 3-pt shot from 25 ft,3,9-4,,
8:45.0,,,9-6,2,T. Sefolosha makes 2-pt shot from 1 ft (assist by D. Howard)
8:36.0,L. James makes 3-pt shot from 24 ft,3,12-6,,
8:20.0,,,12-8,2,P. Millsap makes 2-pt shot from 18 ft
8:01.0,K. Irving misses 2-pt shot from 23 ft,,12-8,,
8:00.0,Offensive rebound by C. Frye,,12-8,,
7:55.0,C. Frye makes 3-pt shot from 26 ft (assist by K. Irving),3,15-8,,
7:39.0,,,15-8,,D. Howard misses 2-pt shot from 9 ft
7:38.0,Defensive rebound by T. Thompson,,15-8,,
7:26.0,C. Frye misses 3-pt shot from 25 ft,,15-8,,
7:26.0,,,15-8,,Defensive rebound by Team
7:13.0,,,15-8,,Shooting foul by T. Thompson (drawn by P. Millsap)
7:13.0,,,15-8,,P. Millsap misses free throw 1 of 2
7:13.0,,,15-8,,Offensive rebound by Team
7:13.0,,,15-9,1,P. Millsap makes free throw 2 of 2
6:56.0,K. Irving makes 2-pt shot from 15 ft,2,17-9,,
6:39.0,,,17-9,,T. Sefolosha misses 2-pt shot from 16 ft
6:37.0,Defensive rebound by L. James,,17-9,,
6:31.0,Turnover by C. Frye (bad pass; steal by D. Howard),,17-9,,
6:27.0,,,17-9,,Turnover by D. Schroder (bad pass)
6:17.0,L. James makes 3-pt shot from 25 ft (assist by K. Irving),3,20-9,,
6:15.0,,,20-9,,Atlanta full timeout
6:15.0,,,20-9,,T. Hardaway enters the game for K. Bazemore
6:00.0,,,20-9,,Shooting foul by C. Frye (drawn by D. Howard)
