time,Denver,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Ibaka vs. J. Nurkic,,,,Jump ball: S. Ibaka vs. J. Nurkic
11:42.0,,,0-0,,S. Ibaka misses 2-pt shot from 20 ft
11:41.0,,,0-0,,Offensive rebound by B. Biyombo
11:32.0,,,0-0,,D. Augustin misses 3-pt shot from 26 ft
11:31.0,Defensive rebound by W. Barton,,0-0,,
11:13.0,W. Barton misses 2-pt shot from 1 ft,,0-0,,
11:09.0,Offensive rebound by J. Nurkic,,0-0,,
11:09.0,J. Nurkic makes 2-pt shot from 2 ft,2,2-0,,
10:45.0,,,2-0,,A. Gordon misses 3-pt shot from 25 ft
10:44.0,Defensive rebound by W. Barton,,2-0,,
10:37.0,Turnover by J. Nurkic (bad pass),,2-0,,
10:29.0,Personal foul by W. Barton (drawn by E. Fournier),,2-0,,
10:22.0,,,2-2,2,E. Fournier makes 2-pt shot from 10 ft
9:59.0,E. Mudiay misses 2-pt shot from 17 ft,,2-2,,
9:57.0,,,2-2,,Defensive rebound by A. Gordon
9:43.0,,,2-2,,B. Biyombo misses 2-pt shot from 3 ft
9:41.0,Defensive rebound by J. Nurkic,,2-2,,
9:36.0,Shooting foul by B. Biyombo (drawn by J. Nurkic),,2-2,,
9:36.0,J. Nurkic misses free throw 1 of 2,,2-2,,
9:36.0,Offensive rebound by Team,,2-2,,
9:36.0,J. Nurkic makes free throw 2 of 2,1,3-2,,
9:21.0,,,3-2,,S. Ibaka misses 3-pt shot from 25 ft
9:19.0,Defensive rebound by Team,,3-2,,
9:10.0,Shooting foul by A. Gordon (drawn by D. Gallinari),,3-2,,
9:10.0,D. Gallinari makes free throw 1 of 2,1,4-2,,
9:10.0,D. Gallinari makes free throw 2 of 2,1,5-2,,
9:01.0,,,5-2,,E. Fournier misses 2-pt shot from 11 ft
9:00.0,Defensive rebound by J. Nurkic,,5-2,,
8:53.0,W. Barton makes 2-pt shot from 2 ft,2,7-2,,
8:37.0,,,7-5,3,A. Gordon makes 3-pt shot from 25 ft (assist by B. Biyombo)
8:22.0,Turnover by J. Nurkic (lost ball; steal by B. Biyombo),,7-5,,
8:16.0,,,7-5,,E. Fournier misses 2-pt shot from 1 ft
8:14.0,,,7-5,,Offensive rebound by A. Gordon
8:14.0,,,7-7,2,A. Gordon makes 2-pt shot from 2 ft
7:58.0,D. Arthur makes 2-pt shot from 17 ft,2,9-7,,
7:43.0,,,9-7,,B. Biyombo misses 2-pt shot from 11 ft
7:40.0,Defensive rebound by E. Mudiay,,9-7,,
7:36.0,E. Mudiay misses 2-pt shot from 2 ft,,9-7,,
7:36.0,Offensive rebound by Team,,9-7,,
7:23.0,J. Nurkic makes 2-pt shot from 8 ft (assist by D. Gallinari),2,11-7,,
7:04.0,,,11-7,,S. Ibaka misses 2-pt shot from 11 ft
7:02.0,Defensive rebound by D. Gallinari,,11-7,,
6:55.0,J. Nurkic misses 2-pt shot from 6 ft,,11-7,,
6:54.0,,,11-7,,Defensive rebound by B. Biyombo
6:47.0,,,11-7,,Shooting foul by J. Nurkic (drawn by B. Biyombo)
6:47.0,,,11-7,,B. Biyombo misses free throw 1 of 2
6:47.0,,,11-7,,Offensive rebound by Team
6:47.0,,,11-8,1,B. Biyombo makes free throw 2 of 2
6:47.0,K. Faried enters the game for D. Arthur,,11-7,,
6:37.0,K. Faried makes 2-pt shot from 8 ft (assist by E. Mudiay),2,13-8,,
6:21.0,,,13-10,2,S. Ibaka makes 2-pt shot from 11 ft
6:01.0,Turnover by W. Barton (bad pass; steal by S. Ibaka),,13-10,,
5:44.0,,,13-12,2,A. Gordon makes 2-pt shot from 15 ft
5:34.0,W. Barton misses 2-pt shot from 7 ft,,13-12,,
5:32.0,Offensive rebound by W. Barton,,13-12,,
5:31.0,W. Barton misses 2-pt shot from 6 ft,,13-12,,
5:29.0,,,13-12,,Defensive rebound by A. Gordon
5:18.0,,,13-14,2,B. Biyombo makes 2-pt shot from 3 ft (assist by A. Gordon)
5:06.0,W. Barton makes 2-pt shot from 17 ft,2,15-14,,
