time,Boston,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. J. Okafor (N. Stauskas gains possession),,,,Jump ball: A. Johnson vs. J. Okafor (N. Stauskas gains possession)
11:39.0,,,0-0,,N. Stauskas misses 3-pt shot from 26 ft
11:36.0,Defensive rebound by A. Bradley,,0-0,,
11:14.0,A. Horford makes 2-pt shot from 6 ft,2,2-0,,
10:56.0,,,2-0,,E. Ilyasova misses 3-pt shot from 25 ft
10:55.0,Defensive rebound by A. Bradley,,2-0,,
10:41.0,A. Bradley misses 2-pt shot from 13 ft (block by N. Stauskas),,2-0,,
10:39.0,,,2-0,,Defensive rebound by E. Ilyasova
10:35.0,,,2-2,2,G. Henderson makes 2-pt shot from 1 ft (assist by S. Rodriguez)
10:26.0,I. Thomas misses 2-pt shot from 16 ft,,2-2,,
10:24.0,,,2-2,,Defensive rebound by Team
10:03.0,Shooting block foul by A. Johnson (drawn by J. Okafor),,2-2,,
10:03.0,,,2-3,1,J. Okafor makes free throw 1 of 2
10:03.0,,,2-3,,J. Okafor misses free throw 2 of 2
10:02.0,Defensive rebound by A. Horford,,2-3,,
9:50.0,A. Bradley makes 2-pt shot from 17 ft (assist by I. Thomas),2,4-3,,
9:30.0,,,4-6,3,G. Henderson makes 3-pt shot from 24 ft (assist by J. Okafor)
9:13.0,Turnover by A. Bradley (lost ball; steal by N. Stauskas),,4-6,,
9:07.0,,,4-9,3,N. Stauskas makes 3-pt shot from 25 ft (assist by S. Rodriguez)
9:07.0,Boston full timeout,,4-9,,
8:48.0,A. Horford makes 2-pt shot from 8 ft,2,6-9,,
8:35.0,,,6-9,,E. Ilyasova misses 2-pt shot from 1 ft (block by A. Johnson)
8:32.0,,,6-9,,Offensive rebound by S. Rodriguez
8:26.0,,,6-9,,E. Ilyasova misses 2-pt shot from 13 ft
8:25.0,Defensive rebound by A. Horford,,6-9,,
8:17.0,A. Johnson makes 2-pt shot from 2 ft (assist by I. Thomas),2,8-9,,
7:56.0,,,8-11,2,J. Okafor makes 2-pt shot from 6 ft
7:48.0,Shooting foul by S. Rodriguez (drawn by I. Thomas),,8-11,,
7:48.0,I. Thomas makes free throw 1 of 2,1,9-11,,
7:48.0,I. Thomas makes free throw 2 of 2,1,10-11,,
7:36.0,,,10-13,2,J. Okafor makes 2-pt shot from 13 ft
7:23.0,J. Crowder misses 2-pt shot from 1 ft,,10-13,,
7:20.0,,,10-13,,Defensive rebound by G. Henderson
7:13.0,,,10-16,3,S. Rodriguez makes 3-pt shot from 26 ft (assist by E. Ilyasova)
7:02.0,I. Thomas makes 2-pt shot from 11 ft (assist by J. Crowder),2,12-16,,
6:45.0,,,12-18,2,J. Okafor makes 2-pt shot from 1 ft
6:34.0,Turnover by I. Thomas (lost ball; steal by S. Rodriguez),,12-18,,
6:29.0,,,12-20,2,E. Ilyasova makes 2-pt shot from 1 ft (assist by S. Rodriguez)
6:15.0,I. Thomas misses 2-pt shot from 2 ft,,12-20,,
6:13.0,,,12-20,,Defensive rebound by J. Okafor
6:08.0,,,12-20,,S. Rodriguez misses 3-pt shot from 26 ft
6:04.0,Defensive rebound by A. Johnson,,12-20,,
5:45.0,A. Johnson misses 3-pt shot from 25 ft,,12-20,,
5:44.0,,,12-20,,Defensive rebound by E. Ilyasova
5:40.0,,,12-20,,Philadelphia full timeout
5:40.0,J. Brown enters the game for A. Johnson,,12-20,,
5:40.0,M. Smart enters the game for J. Crowder,,12-20,,
5:40.0,K. Olynyk enters the game for A. Horford,,12-20,,
5:40.0,,,12-20,,D. Saric enters the game for N. Stauskas
5:29.0,,,12-20,,E. Ilyasova misses 3-pt shot from 26 ft
5:27.0,Defensive rebound by A. Bradley,,12-20,,
5:11.0,A. Bradley makes 2-pt shot from 18 ft,2,14-20,,
4:55.0,Personal foul by K. Olynyk (drawn by J. Okafor),,14-20,,
