time,New York,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Noah vs. J. Valanciunas (D. Rose gains possession),,,,Jump ball: J. Noah vs. J. Valanciunas (D. Rose gains possession)
11:40.0,L. Thomas misses 2-pt shot from 22 ft,,0-0,,
11:40.0,,,0-0,,Defensive rebound by J. Valanciunas
11:27.0,,,0-0,,D. DeRozan misses 2-pt shot from 19 ft
11:26.0,Defensive rebound by C. Anthony,,0-0,,
11:14.0,D. Rose makes 2-pt shot from 16 ft,2,2-0,,
10:58.0,,,2-0,,D. Carroll misses 3-pt shot from 24 ft
10:58.0,Defensive rebound by D. Rose,,2-0,,
10:44.0,C. Lee misses 2-pt shot from 21 ft,,2-0,,
10:44.0,,,2-0,,Defensive rebound by J. Valanciunas
10:35.0,Personal foul by J. Noah (drawn by J. Valanciunas),,2-0,,
10:21.0,,,2-0,,J. Valanciunas misses 2-pt shot from 6 ft
10:20.0,,,2-0,,Offensive rebound by J. Valanciunas
10:18.0,,,2-0,,J. Valanciunas misses 2-pt shot from 1 ft
10:17.0,,,2-0,,Offensive rebound by J. Valanciunas
10:15.0,,,2-0,,J. Valanciunas misses 2-pt shot from 2 ft
10:14.0,,,2-0,,Offensive rebound by L. Nogueira
10:11.0,,,2-2,2,L. Nogueira makes 2-pt shot at rim
10:10.0,New York full timeout,,2-2,,
10:10.0,M. Kuzminskas enters the game for L. Thomas,,2-2,,
9:55.0,Shooting foul by J. Valanciunas (drawn by J. Noah),,2-2,,
9:55.0,J. Noah misses free throw 1 of 2,,2-2,,
9:55.0,Offensive rebound by Team,,2-2,,
9:55.0,J. Noah makes free throw 2 of 2,1,3-2,,
9:38.0,,,3-4,2,D. Carroll makes 2-pt shot from 3 ft (assist by J. Valanciunas)
9:25.0,Turnover by M. Kuzminskas (bad pass),,3-4,,
9:19.0,,,3-4,,Turnover by D. DeRozan (lost ball)
9:07.0,M. Kuzminskas misses 3-pt shot from 24 ft,,3-4,,
9:06.0,,,3-4,,Defensive rebound by K. Lowry
9:02.0,,,3-4,,K. Lowry misses 3-pt shot from 25 ft
9:01.0,,,3-4,,Offensive rebound by D. Carroll
8:58.0,,,3-4,,D. Carroll misses 2-pt shot from 2 ft
8:58.0,Defensive rebound by M. Kuzminskas,,3-4,,
8:49.0,C. Lee misses 3-pt shot from 25 ft,,3-4,,
8:49.0,Offensive rebound by M. Kuzminskas,,3-4,,
8:42.0,C. Lee misses 2-pt shot from 13 ft,,3-4,,
