time,Utah,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. Z. Pachulia (B. Diaw gains possession),,,,Jump ball: R. Gobert vs. Z. Pachulia (B. Diaw gains possession)
11:39.0,Shooting foul by P. McCaw (drawn by B. Diaw),,0-0,,
11:39.0,B. Diaw makes free throw 1 of 2,1,1-0,,
11:39.0,B. Diaw makes free throw 2 of 2,1,2-0,,
11:29.0,,,2-0,,Turnover by D. Green (bad pass; steal by B. Diaw)
11:16.0,,,2-0,,Violation by Z. Pachulia (def goaltending)
11:16.0,R. Gobert makes 2-pt shot from 3 ft (assist by G. Hill),2,4-0,,
11:04.0,,,4-2,2,K. Durant makes 2-pt shot from 20 ft (assist by S. Curry)
10:44.0,D. Exum misses 2-pt shot from 21 ft (block by D. Green),,4-2,,
10:42.0,Offensive rebound by D. Exum,,4-2,,
10:40.0,G. Hill makes 3-pt shot from 27 ft (assist by D. Exum),3,7-2,,
10:27.0,,,7-2,,S. Curry misses 2-pt shot from 15 ft
10:27.0,Defensive rebound by R. Gobert,,7-2,,
10:22.0,B. Diaw makes 2-pt shot from 3 ft (assist by G. Hill),2,9-2,,
10:10.0,,,9-4,2,Z. Pachulia makes 2-pt shot from 2 ft (assist by S. Curry)
9:59.0,G. Hill makes 2-pt shot from 2 ft (assist by J. Ingles),2,11-4,,
9:42.0,,,11-7,3,P. McCaw makes 3-pt shot from 25 ft (assist by D. Green)
9:23.0,Shooting foul by K. Durant (drawn by B. Diaw),,11-7,,
9:23.0,B. Diaw makes free throw 1 of 2,1,12-7,,
9:23.0,B. Diaw makes free throw 2 of 2,1,13-7,,
9:04.0,,,13-10,3,S. Curry makes 3-pt shot from 25 ft (assist by K. Durant)
8:42.0,J. Ingles makes 3-pt shot from 25 ft,3,16-10,,
8:29.0,,,16-13,3,D. Green makes 3-pt shot from 27 ft (assist by Z. Pachulia)
8:12.0,J. Ingles misses 3-pt shot from 26 ft (block by K. Durant),,16-13,,
8:11.0,Offensive rebound by R. Gobert,,16-13,,
8:09.0,J. Ingles misses 3-pt shot from 26 ft,,16-13,,
8:07.0,,,16-13,,Defensive rebound by Z. Pachulia
8:00.0,,,16-13,,Turnover by K. Durant (bad pass; steal by G. Hill)
7:53.0,G. Hill makes 2-pt shot from 2 ft,2,18-13,,
7:45.0,,,18-13,,Shooting foul by G. Hill (drawn by S. Curry)
7:45.0,,,18-14,1,S. Curry makes free throw 1 of 3
7:45.0,,,18-15,1,S. Curry makes free throw 2 of 3
7:45.0,,,18-15,,S. Curry misses free throw 3 of 3
7:44.0,Defensive rebound by R. Gobert,,18-15,,
7:24.0,G. Hill misses 3-pt shot from 25 ft,,18-15,,
7:24.0,,,18-15,,Defensive rebound by Z. Pachulia
7:19.0,,,18-15,,Offensive charge foul by Z. Pachulia
7:19.0,,,18-15,,Turnover by Z. Pachulia (offensive foul)
6:55.0,D. Exum misses 3-pt shot from 24 ft,,18-15,,
6:55.0,,,18-15,,Defensive rebound by Z. Pachulia
6:54.0,Personal foul by J. Ingles (drawn by S. Curry),,18-15,,
6:42.0,,,18-15,,P. McCaw misses 2-pt shot from 1 ft (block by R. Gobert)
6:41.0,Defensive rebound by G. Hill,,18-15,,
6:25.0,G. Hill makes 3-pt shot from 26 ft (assist by B. Diaw),3,21-15,,
6:25.0,,,21-15,,Golden State full timeout
6:25.0,S. Mack enters the game for G. Hill,,21-15,,
6:15.0,,,21-17,2,Z. Pachulia makes 2-pt shot from 2 ft (assist by K. Durant)
6:03.0,S. Mack misses 3-pt shot from 26 ft,,21-17,,
6:03.0,,,21-17,,Defensive rebound by D. Green
5:53.0,,,21-17,,K. Durant misses 3-pt shot from 25 ft
5:52.0,Defensive rebound by S. Mack,,21-17,,
5:31.0,S. Mack makes 2-pt shot from 11 ft,2,23-17,,
5:19.0,,,23-20,3,S. Curry makes 3-pt shot from 26 ft (assist by Z. Pachulia)
5:02.0,D. Exum misses 2-pt shot from 3 ft,,23-20,,
5:01.0,Offensive rebound by D. Exum,,23-20,,
4:52.0,D. Exum makes 2-pt shot at rim (assist by S. Mack),2,25-20,,
4:41.0,,,25-22,2,S. Curry makes 2-pt shot from 18 ft (assist by Z. Pachulia)
4:31.0,J. Johnson enters the game for B. Diaw,,25-22,,
4:31.0,,,25-22,,A. Iguodala enters the game for P. McCaw
4:31.0,,,25-22,,J. McGee enters the game for Z. Pachulia
4:28.0,Turnover by S. Mack (bad pass; steal by S. Curry),,25-22,,
4:23.0,,,25-24,2,D. Green makes 2-pt shot at rim (assist by K. Durant)
4:05.0,,,25-24,,Violation by J. McGee (def goaltending)
4:05.0,S. Mack makes 2-pt shot from 2 ft,2,27-24,,
3:55.0,,,27-26,2,J. McGee makes 2-pt shot at rim (assist by D. Green)
3:26.0,D. Exum misses 2-pt shot from 2 ft (block by J. McGee),,27-26,,
3:25.0,,,27-26,,Defensive rebound by K. Durant
3:23.0,Personal foul by S. Mack (drawn by K. Durant),,27-26,,
3:23.0,,,27-26,,S. Livingston enters the game for D. Green
3:23.0,A. Burks enters the game for D. Exum,,27-26,,
3:10.0,,,27-28,2,S. Curry makes 2-pt shot from 2 ft (assist by S. Livingston)
2:46.0,,,27-28,,Violation by J. McGee (def goaltending)
2:46.0,S. Mack makes 2-pt shot from 3 ft,2,29-28,,
2:25.0,,,29-28,,A. Iguodala misses 2-pt shot from 19 ft
2:24.0,Defensive rebound by J. Johnson,,29-28,,
2:14.0,J. Ingles misses 2-pt shot from 20 ft,,29-28,,
2:14.0,,,29-28,,Defensive rebound by S. Curry
2:08.0,,,29-28,,Turnover by S. Curry (bad pass)
2:08.0,Utah full timeout,,29-28,,
2:08.0,,,29-28,,I. Clark enters the game for K. Durant
2:08.0,G. Hill enters the game for J. Ingles,,29-28,,
2:08.0,J. Bolomboy enters the game for R. Gobert,,29-28,,
1:54.0,J. Johnson makes 3-pt shot from 26 ft (assist by G. Hill),3,32-28,,
1:37.0,,,32-31,3,S. Curry makes 3-pt shot from 25 ft (assist by S. Livingston)
1:14.0,S. Mack misses 2-pt shot from 9 ft,,32-31,,
1:14.0,,,32-31,,Defensive rebound by J. McGee
1:03.0,,,32-33,2,S. Livingston makes 2-pt shot from 14 ft
0:44.0,J. Johnson misses 2-pt shot from 11 ft,,32-33,,
0:43.0,,,32-33,,Defensive rebound by J. McGee
0:38.0,,,32-33,,Turnover by A. Iguodala (lost ball; steal by J. Johnson)
0:22.0,A. Burks misses 2-pt shot from 6 ft (block by A. Iguodala),,32-33,,
0:21.0,Offensive rebound by A. Burks,,32-33,,
0:21.0,Turnover by A. Burks (bad pass),,32-33,,
0:21.0,,,32-33,,K. Durant enters the game for S. Livingston
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,32-35,2,D. West makes 2-pt shot from 19 ft (assist by S. Livingston)
11:26.0,J. Johnson makes 3-pt shot from 27 ft (assist by G. Hill),3,35-35,,
11:13.0,,,35-35,,D. West misses 2-pt shot from 8 ft
11:12.0,Defensive rebound by J. Bolomboy,,35-35,,
11:03.0,G. Hill makes 3-pt shot from 28 ft,3,38-35,,
10:56.0,,,38-35,,Turnover by I. Clark (back court)
10:41.0,J. Johnson misses 2-pt shot from 17 ft,,38-35,,
10:41.0,,,38-35,,Defensive rebound by A. Iguodala
10:24.0,,,38-35,,D. Green misses 2-pt shot from 11 ft
10:24.0,Defensive rebound by A. Burks,,38-35,,
10:16.0,D. Exum misses 3-pt shot from 23 ft,,38-35,,
10:16.0,,,38-35,,Defensive rebound by D. West
10:07.0,,,38-35,,D. Green misses 3-pt shot from 26 ft
10:07.0,Defensive rebound by J. Johnson,,38-35,,
9:56.0,G. Hill makes 3-pt shot from 28 ft (assist by J. Johnson),3,41-35,,
9:37.0,,,41-35,,Turnover by D. West (bad pass; steal by D. Exum)
9:24.0,Turnover by D. Exum (bad pass),,41-35,,
9:06.0,,,41-35,,D. West misses 2-pt shot from 15 ft
9:06.0,Defensive rebound by A. Burks,,41-35,,
8:54.0,A. Burks misses 2-pt shot from 9 ft (block by A. Iguodala),,41-35,,
8:54.0,Offensive rebound by Team,,41-35,,
8:54.0,Official timeout,,41-35,,
8:54.0,S. Mack enters the game for G. Hill,,41-35,,
8:54.0,J. Ingles enters the game for A. Burks,,41-35,,
8:50.0,J. Bolomboy misses 3-pt shot from 27 ft,,41-35,,
8:50.0,,,41-35,,Defensive rebound by A. Iguodala
8:37.0,,,41-35,,I. Clark misses 3-pt shot from 26 ft
8:36.0,Defensive rebound by J. Bolomboy,,41-35,,
8:21.0,J. Ingles makes 2-pt shot from 1 ft (assist by S. Mack),2,43-35,,
8:04.0,,,43-35,,D. Green misses 3-pt shot from 25 ft
8:04.0,Defensive rebound by Team,,43-35,,
8:04.0,B. Diaw enters the game for J. Johnson,,43-35,,
7:48.0,B. Diaw misses 3-pt shot from 23 ft,,43-35,,
7:47.0,Offensive rebound by J. Bolomboy,,43-35,,
7:46.0,J. Bolomboy makes 2-pt shot at rim,2,45-35,,
7:34.0,,,45-37,2,D. West makes 2-pt shot from 5 ft (assist by S. Livingston)
7:20.0,,,45-37,,Personal foul by A. Iguodala (drawn by J. Ingles)
7:20.0,,,45-37,,K. Durant enters the game for A. Iguodala
7:20.0,,,45-37,,Z. Pachulia enters the game for D. Green
7:20.0,R. Gobert enters the game for J. Bolomboy,,45-37,,
7:08.0,Turnover by B. Diaw (bad pass; steal by I. Clark),,45-37,,
7:01.0,,,45-37,,K. Durant misses 3-pt shot from 27 ft
7:00.0,Defensive rebound by B. Diaw,,45-37,,
6:48.0,Offensive foul by J. Ingles,,45-37,,
6:48.0,Turnover by J. Ingles (offensive foul),,45-37,,
6:26.0,,,45-37,,D. West misses 2-pt shot from 20 ft
6:26.0,,,45-37,,Offensive rebound by Z. Pachulia
6:19.0,,,45-37,,I. Clark misses 2-pt shot from 18 ft
6:19.0,Defensive rebound by R. Gobert,,45-37,,
6:00.0,,,45-37,,Personal foul by I. Clark (drawn by J. Ingles)
5:57.0,Offensive foul by S. Mack,,45-37,,
5:57.0,Turnover by S. Mack (offensive foul),,45-37,,
5:57.0,,,45-37,,Golden State full timeout
5:57.0,,,45-37,,S. Curry enters the game for S. Livingston
5:57.0,,,45-37,,P. McCaw enters the game for I. Clark
5:41.0,,,45-37,,K. Durant misses 2-pt shot from 20 ft
5:41.0,,,45-37,,Offensive rebound by Z. Pachulia
5:26.0,,,45-37,,S. Curry misses 2-pt shot from 10 ft
5:25.0,,,45-37,,Offensive rebound by D. West
5:25.0,,,45-39,2,D. West makes 2-pt shot from 1 ft
5:07.0,D. Exum misses 3-pt shot from 23 ft,,45-39,,
5:07.0,,,45-39,,Defensive rebound by D. West
4:58.0,,,45-39,,P. McCaw misses 3-pt shot from 26 ft
4:58.0,Defensive rebound by R. Gobert,,45-39,,
4:41.0,B. Diaw misses 2-pt shot from 19 ft,,45-39,,
4:40.0,,,45-39,,Defensive rebound by K. Durant
4:30.0,,,45-42,3,S. Curry makes 3-pt shot from 26 ft (assist by K. Durant)
4:04.0,B. Diaw misses 2-pt shot from 1 ft,,45-42,,
4:03.0,,,45-42,,Defensive rebound by K. Durant
3:57.0,,,45-44,2,P. McCaw makes 2-pt shot from 1 ft (assist by K. Durant)
3:56.0,Utah full timeout,,45-44,,
3:56.0,G. Hill enters the game for B. Diaw,,45-44,,
3:56.0,J. Johnson enters the game for S. Mack,,45-44,,
3:44.0,R. Gobert makes 2-pt shot at rim (assist by J. Ingles),2,47-44,,
3:17.0,,,47-46,2,K. Durant makes 2-pt shot from 2 ft (assist by D. West)
2:58.0,J. Ingles misses 2-pt shot from 2 ft,,47-46,,
2:57.0,Offensive rebound by J. Ingles,,47-46,,
2:56.0,,,47-46,,D. Green enters the game for D. West
2:49.0,J. Ingles misses 3-pt shot from 24 ft,,47-46,,
2:48.0,,,47-46,,Defensive rebound by S. Curry
2:44.0,,,47-46,,S. Curry misses 3-pt shot from 27 ft
2:44.0,Defensive rebound by R. Gobert,,47-46,,
2:21.0,J. Johnson misses 3-pt shot from 26 ft,,47-46,,
2:21.0,,,47-46,,Defensive rebound by Team
2:07.0,,,47-46,,Z. Pachulia misses 2-pt shot from 13 ft
2:07.0,Defensive rebound by D. Exum,,47-46,,
1:52.0,R. Gobert misses 2-pt shot from 4 ft,,47-46,,
1:52.0,Offensive rebound by R. Gobert,,47-46,,
1:49.0,Turnover by R. Gobert (bad pass; steal by D. Green),,47-46,,
1:49.0,Personal foul by D. Exum (drawn by P. McCaw),,47-46,,
1:49.0,S. Mack enters the game for D. Exum,,47-46,,
