time,San Antonio,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Dedmon vs. A. Drummond (R. Jackson gains possession),,,,Jump ball: D. Dedmon vs. A. Drummond (R. Jackson gains possession)
11:43.0,,,0-0,,A. Drummond misses 2-pt shot from 10 ft
11:43.0,Defensive rebound by D. Dedmon,,0-0,,
11:27.0,L. Aldridge makes 2-pt shot from 16 ft (assist by T. Parker),2,2-0,,
11:04.0,,,2-0,,A. Drummond misses 2-pt shot from 6 ft
11:03.0,Defensive rebound by K. Leonard,,2-0,,
10:48.0,L. Aldridge misses 2-pt shot from 14 ft,,2-0,,
10:47.0,,,2-0,,Defensive rebound by A. Drummond
10:35.0,,,2-0,,A. Drummond misses 2-pt shot from 9 ft
10:35.0,Defensive rebound by D. Green,,2-0,,
10:22.0,D. Dedmon makes 2-pt shot from 6 ft (assist by T. Parker),2,4-0,,
10:08.0,,,4-0,,J. Leuer misses 2-pt shot from 9 ft
10:08.0,Defensive rebound by D. Dedmon,,4-0,,
10:00.0,L. Aldridge misses 2-pt shot from 18 ft,,4-0,,
9:59.0,Offensive rebound by D. Dedmon,,4-0,,
9:45.0,K. Leonard makes 2-pt shot from 12 ft,2,6-0,,
9:37.0,,,6-0,,Turnover by J. Leuer (bad pass)
9:27.0,Turnover by D. Dedmon (offensive foul),,6-0,,
9:27.0,Offensive foul by D. Dedmon,,6-0,,
9:09.0,,,6-2,2,K. Caldwell-Pope makes 2-pt shot from 18 ft (assist by J. Leuer)
8:58.0,L. Aldridge misses 2-pt shot from 1 ft,,6-2,,
8:57.0,,,6-2,,Defensive rebound by J. Leuer
8:49.0,,,6-2,,R. Jackson misses 2-pt shot from 1 ft
8:49.0,,,6-2,,Offensive rebound by A. Drummond
8:46.0,,,6-2,,A. Drummond misses 2-pt shot at rim
8:45.0,Defensive rebound by L. Aldridge,,6-2,,
8:34.0,K. Leonard misses 2-pt shot from 16 ft,,6-2,,
8:33.0,,,6-2,,Defensive rebound by A. Drummond
8:18.0,,,6-2,,K. Caldwell-Pope misses 2-pt shot at rim
8:18.0,Defensive rebound by D. Green,,6-2,,
8:03.0,L. Aldridge misses 2-pt shot from 6 ft,,6-2,,
8:03.0,,,6-2,,Defensive rebound by Team
7:49.0,,,6-4,2,R. Jackson makes 2-pt shot from 18 ft
7:32.0,D. Dedmon makes 2-pt shot at rim (assist by T. Parker),2,8-4,,
7:09.0,,,8-4,,R. Jackson misses 3-pt shot from 24 ft
7:09.0,Defensive rebound by D. Dedmon,,8-4,,
6:46.0,D. Dedmon misses 2-pt shot from 8 ft,,8-4,,
6:46.0,Offensive rebound by Team,,8-4,,
6:46.0,Turnover by Team (shot clock),,8-4,,
6:32.0,,,8-4,,M. Morris misses 2-pt shot from 7 ft
6:31.0,Defensive rebound by L. Aldridge,,8-4,,
6:17.0,Turnover by K. Leonard (bad pass),,8-4,,
5:59.0,,,8-4,,Turnover by R. Jackson (bad pass; steal by D. Dedmon)
5:55.0,San Antonio full timeout,,8-4,,
5:42.0,Turnover by L. Aldridge (bad pass; steal by M. Morris),,8-4,,
5:26.0,,,8-6,2,K. Caldwell-Pope makes 2-pt shot from 21 ft (assist by M. Morris)
5:09.0,D. Green misses 3-pt shot from 26 ft,,8-6,,
5:08.0,,,8-6,,Defensive rebound by R. Jackson
5:02.0,,,8-6,,Turnover by R. Jackson (bad pass)
5:02.0,P. Mills enters the game for T. Parker,,8-6,,
5:02.0,D. Lee enters the game for D. Dedmon,,8-6,,
4:46.0,D. Lee makes 2-pt shot from 1 ft (assist by K. Leonard),2,10-6,,
4:46.0,Shooting foul by A. Drummond (drawn by D. Lee),,10-6,,
4:46.0,D. Lee makes free throw 1 of 1,1,11-6,,
4:46.0,,,10-6,,T. Harris enters the game for J. Leuer
4:33.0,,,11-8,2,R. Jackson makes 2-pt shot from 22 ft
4:23.0,K. Leonard misses 3-pt shot from 27 ft,,11-8,,
4:22.0,,,11-8,,Defensive rebound by T. Harris
4:15.0,,,11-8,,A. Drummond misses 2-pt shot at rim
4:12.0,Defensive rebound by K. Leonard,,11-8,,
4:07.0,D. Green makes 3-pt shot from 26 ft (assist by K. Leonard),3,14-8,,
4:07.0,,,14-8,,Detroit full timeout
4:07.0,D. Dedmon enters the game for L. Aldridge,,14-8,,
4:07.0,M. Ginobili enters the game for D. Green,,14-8,,
3:52.0,,,14-10,2,T. Harris makes 2-pt shot from 1 ft (assist by R. Jackson)
3:39.0,D. Dedmon misses 2-pt shot from 1 ft,,14-10,,
3:38.0,Offensive rebound by D. Dedmon,,14-10,,
3:35.0,D. Dedmon makes 2-pt shot at rim,2,16-10,,
3:22.0,,,16-13,3,R. Jackson makes 3-pt shot from 26 ft
3:07.0,D. Dedmon makes 2-pt shot at rim (assist by K. Leonard),2,18-13,,
2:54.0,,,18-13,,M. Morris misses 3-pt shot from 25 ft
2:53.0,Defensive rebound by D. Dedmon,,18-13,,
2:36.0,K. Leonard makes 2-pt shot from 17 ft,2,20-13,,
2:20.0,,,20-13,,R. Jackson misses 2-pt shot from 6 ft
2:18.0,,,20-13,,Offensive rebound by A. Drummond
2:15.0,,,20-13,,A. Drummond misses 2-pt shot from 1 ft (block by D. Dedmon)
2:14.0,Defensive rebound by D. Lee,,20-13,,
2:12.0,,,20-13,,Personal foul by R. Jackson
2:12.0,,,20-13,,A. Baynes enters the game for A. Drummond
2:12.0,,,20-13,,I. Smith enters the game for R. Jackson
2:07.0,,,20-13,,Personal foul by M. Morris (drawn by K. Leonard)
1:55.0,K. Leonard misses 3-pt shot from 25 ft,,20-13,,
1:54.0,,,20-13,,Defensive rebound by K. Caldwell-Pope
1:45.0,,,20-15,2,I. Smith makes 2-pt shot from 19 ft
1:31.0,K. Leonard misses 2-pt shot from 9 ft,,20-15,,
1:30.0,Offensive rebound by D. Dedmon,,20-15,,
1:24.0,D. Dedmon makes 2-pt shot at rim (assist by P. Mills),2,22-15,,
1:08.0,,,22-17,2,K. Caldwell-Pope makes 2-pt shot from 14 ft
0:54.0,M. Ginobili misses 2-pt shot from 15 ft,,22-17,,
0:52.0,,,22-17,,Defensive rebound by K. Caldwell-Pope
0:43.0,,,22-17,,I. Smith misses 2-pt shot from 7 ft
0:41.0,Defensive rebound by D. Dedmon,,22-17,,
0:38.0,K. Leonard makes 3-pt shot from 26 ft (assist by P. Mills),3,25-17,,
0:28.0,Personal foul by M. Ginobili (drawn by K. Caldwell-Pope),,25-17,,
0:19.0,,,25-19,2,I. Smith makes 2-pt shot from 9 ft
0:03.0,K. Leonard misses 2-pt shot from 8 ft,,25-19,,
0:03.0,Offensive rebound by D. Lee,,25-19,,
0:02.0,D. Lee makes 2-pt shot at rim,2,27-19,,
0:01.0,,,27-19,,K. Caldwell-Pope misses 3-pt shot from 46 ft
0:00.0,,,27-19,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,Turnover by M. Ginobili (bad pass; steal by T. Harris),,27-19,,
11:31.0,,,27-19,,Turnover by I. Smith (lost ball; steal by L. Aldridge)
11:16.0,L. Aldridge makes 2-pt shot at rim (assist by J. Simmons),2,29-19,,
10:56.0,,,29-22,3,I. Smith makes 3-pt shot from 26 ft (assist by J. Leuer)
10:48.0,Turnover by P. Mills (traveling),,29-22,,
10:27.0,,,29-24,2,A. Baynes makes 2-pt shot from 4 ft (assist by S. Johnson)
10:15.0,L. Aldridge makes 2-pt shot from 20 ft (assist by P. Mills),2,31-24,,
10:00.0,Personal foul by D. Lee (drawn by A. Baynes),,31-24,,
10:00.0,D. Bertans enters the game for D. Lee,,31-24,,
9:48.0,,,31-26,2,I. Smith makes 2-pt shot from 13 ft
9:25.0,D. Bertans makes 3-pt shot from 27 ft (assist by P. Mills),3,34-26,,
9:04.0,,,34-26,,A. Baynes misses 2-pt shot from 2 ft (block by L. Aldridge)
9:02.0,,,34-26,,Offensive rebound by Team
9:02.0,,,34-26,,Detroit full timeout
9:02.0,,,34-26,,A. Drummond enters the game for A. Baynes
9:02.0,T. Parker enters the game for P. Mills,,34-26,,
8:58.0,,,34-26,,S. Johnson misses 2-pt shot from 1 ft (block by M. Ginobili)
8:58.0,,,34-26,,Offensive rebound by Team
8:45.0,,,34-26,,J. Leuer misses 2-pt shot from 1 ft (block by L. Aldridge)
8:45.0,Defensive rebound by L. Aldridge,,34-26,,
8:33.0,D. Bertans misses 3-pt shot from 23 ft,,34-26,,
8:32.0,,,34-26,,Defensive rebound by A. Drummond
8:25.0,,,34-26,,A. Drummond misses 2-pt shot from 6 ft
8:24.0,Defensive rebound by L. Aldridge,,34-26,,
8:11.0,L. Aldridge misses 2-pt shot from 17 ft,,34-26,,
8:10.0,,,34-26,,Defensive rebound by A. Drummond
8:01.0,,,34-28,2,I. Smith makes 2-pt shot from 17 ft
7:47.0,T. Parker makes 2-pt shot from 9 ft,2,36-28,,
7:32.0,,,36-28,,S. Johnson misses 3-pt shot from 24 ft
7:32.0,Defensive rebound by J. Simmons,,36-28,,
7:21.0,Turnover by L. Aldridge (3 sec),,36-28,,
7:21.0,D. Green enters the game for M. Ginobili,,36-28,,
7:21.0,D. Dedmon enters the game for L. Aldridge,,36-28,,
7:03.0,,,36-28,,T. Harris misses 2-pt shot from 7 ft
7:02.0,Defensive rebound by D. Green,,36-28,,
6:55.0,T. Parker misses 2-pt shot from 2 ft (block by I. Smith),,36-28,,
6:53.0,,,36-28,,Defensive rebound by I. Smith
6:44.0,,,36-28,,S. Johnson misses 3-pt shot from 25 ft
6:44.0,,,36-28,,Offensive rebound by Team
6:35.0,,,36-28,,T. Harris misses 2-pt shot from 13 ft
6:34.0,,,36-28,,Offensive rebound by A. Drummond
6:31.0,,,36-28,,A. Drummond misses 2-pt shot from 3 ft
6:31.0,Defensive rebound by T. Parker,,36-28,,
6:22.0,Turnover by D. Bertans (back court),,36-28,,
6:22.0,,,36-28,,M. Morris enters the game for J. Leuer
6:01.0,,,36-30,2,M. Morris makes 2-pt shot at rim (assist by I. Smith)
6:01.0,San Antonio full timeout,,36-30,,
6:01.0,K. Leonard enters the game for J. Simmons,,36-30,,
6:01.0,D. Lee enters the game for D. Bertans,,36-30,,
6:01.0,,,36-30,,R. Jackson enters the game for I. Smith
5:48.0,D. Lee makes 2-pt shot from 18 ft (assist by T. Parker),2,38-30,,
5:23.0,,,38-32,2,T. Harris makes 2-pt shot from 16 ft (assist by M. Morris)
5:10.0,D. Green makes 3-pt shot from 23 ft (assist by K. Leonard),3,41-32,,
4:58.0,,,41-35,3,R. Jackson makes 3-pt shot from 27 ft
4:42.0,K. Leonard makes 2-pt shot from 17 ft,2,43-35,,
4:42.0,Shooting foul by M. Morris (drawn by K. Leonard),,43-35,,
4:42.0,K. Leonard misses free throw 1 of 1,,43-35,,
4:42.0,,,43-35,,K. Caldwell-Pope enters the game for S. Johnson
4:41.0,,,43-35,,Defensive rebound by A. Drummond
4:26.0,,,43-35,,K. Caldwell-Pope misses 3-pt shot from 25 ft
4:26.0,Defensive rebound by K. Leonard,,43-35,,
4:19.0,T. Parker misses 2-pt shot from 15 ft,,43-35,,
4:18.0,Offensive rebound by D. Lee,,43-35,,
4:13.0,D. Green makes 3-pt shot from 25 ft (assist by D. Lee),3,46-35,,
3:53.0,,,46-37,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
3:30.0,D. Lee misses 2-pt shot from 4 ft (block by A. Drummond),,46-37,,
3:29.0,,,46-37,,Defensive rebound by A. Drummond
3:22.0,,,46-37,,T. Harris misses 3-pt shot from 26 ft
3:22.0,Defensive rebound by D. Lee,,46-37,,
3:09.0,D. Lee makes 2-pt shot at rim (assist by T. Parker),2,48-37,,
2:55.0,,,48-39,2,R. Jackson makes 2-pt shot at rim
2:37.0,D. Green makes 3-pt shot from 26 ft (assist by T. Parker),3,51-39,,
2:20.0,,,51-41,2,M. Morris makes 2-pt shot from 19 ft
1:56.0,K. Leonard makes 3-pt shot from 26 ft (assist by T. Parker),3,54-41,,
1:41.0,,,54-41,,R. Jackson misses 2-pt shot from 5 ft
1:39.0,Defensive rebound by K. Leonard,,54-41,,
1:32.0,K. Leonard misses 2-pt shot from 6 ft,,54-41,,
1:32.0,Offensive rebound by D. Dedmon,,54-41,,
1:32.0,D. Dedmon makes 2-pt shot from 1 ft,2,56-41,,
1:32.0,Shooting foul by A. Drummond (drawn by D. Dedmon),,56-41,,
1:32.0,,,56-41,,Technical foul by M. Morris
1:32.0,Official timeout,,56-41,,
1:32.0,K. Leonard makes technical free throw,1,57-41,,
1:32.0,D. Dedmon makes free throw 1 of 1,1,58-41,,
1:32.0,L. Aldridge enters the game for D. Lee,,56-41,,
1:32.0,,,57-41,,J. Leuer enters the game for M. Morris
1:32.0,,,57-41,,A. Baynes enters the game for A. Drummond
1:32.0,,,57-41,,S. Johnson enters the game for T. Harris
1:20.0,Personal foul by L. Aldridge (drawn by J. Leuer),,58-41,,
1:07.0,,,58-41,,Turnover by S. Johnson (bad pass)
0:46.0,Offensive foul by K. Leonard,,58-41,,
0:46.0,Turnover by K. Leonard (offensive foul),,58-41,,
0:32.0,,,58-41,,S. Johnson misses 2-pt shot from 10 ft
0:31.0,Defensive rebound by D. Dedmon,,58-41,,
0:13.0,K. Leonard makes 2-pt shot from 12 ft,2,60-41,,
0:05.0,,,60-41,,J. Leuer misses 2-pt shot from 1 ft
0:04.0,Defensive rebound by D. Dedmon,,60-41,,
0:02.0,Turnover by D. Dedmon (bad pass; steal by S. Johnson),,60-41,,
0:01.0,,,60-41,,Offensive foul by S. Johnson
0:01.0,,,60-41,,Turnover by S. Johnson (bad pass)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,L. Aldridge makes 2-pt shot from 9 ft,2,62-41,,
11:23.0,,,62-41,,M. Morris misses 2-pt shot from 14 ft
11:23.0,Defensive rebound by D. Green,,62-41,,
11:10.0,Turnover by K. Leonard (back court),,62-41,,
10:55.0,,,62-43,2,A. Drummond makes 2-pt shot from 1 ft (assist by M. Morris)
10:40.0,K. Leonard misses 3-pt shot from 26 ft,,62-43,,
10:40.0,,,62-43,,Defensive rebound by M. Morris
10:31.0,,,62-43,,A. Drummond misses 2-pt shot from 5 ft
10:29.0,Defensive rebound by D. Dedmon,,62-43,,
10:09.0,L. Aldridge misses 2-pt shot from 6 ft,,62-43,,
10:08.0,,,62-43,,Defensive rebound by A. Drummond
10:02.0,,,62-45,2,J. Leuer makes 2-pt shot from 15 ft (assist by R. Jackson)
9:49.0,Shooting foul by J. Leuer (drawn by K. Leonard),,62-45,,
9:49.0,K. Leonard makes free throw 1 of 2,1,63-45,,
9:49.0,K. Leonard makes free throw 2 of 2,1,64-45,,
9:41.0,,,64-45,,R. Jackson misses 2-pt shot from 1 ft
9:40.0,Defensive rebound by K. Leonard,,64-45,,
9:25.0,K. Leonard makes 2-pt shot from 12 ft (assist by T. Parker),2,66-45,,
9:15.0,,,66-45,,Turnover by J. Leuer (bad pass)
9:00.0,K. Leonard misses 2-pt shot from 17 ft,,66-45,,
8:59.0,,,66-45,,Defensive rebound by M. Morris
8:46.0,,,66-48,3,M. Morris makes 3-pt shot from 27 ft (assist by K. Caldwell-Pope)
8:32.0,L. Aldridge misses 2-pt shot from 20 ft,,66-48,,
8:32.0,,,66-48,,Defensive rebound by K. Caldwell-Pope
8:30.0,Personal foul by L. Aldridge (drawn by J. Leuer),,66-48,,
8:24.0,,,66-48,,J. Leuer misses 3-pt shot from 24 ft
8:21.0,,,66-48,,Offensive rebound by A. Drummond
8:21.0,,,66-50,2,A. Drummond makes 2-pt shot at rim
8:21.0,,,66-50,,Shooting foul by D. Dedmon (drawn by A. Drummond)
8:21.0,,,66-50,,A. Drummond misses free throw 1 of 1
8:19.0,Defensive rebound by L. Aldridge,,66-50,,
8:10.0,Offensive foul by L. Aldridge,,66-50,,
8:10.0,Turnover by L. Aldridge (offensive foul),,66-50,,
7:54.0,,,66-50,,K. Caldwell-Pope misses 2-pt shot from 15 ft
