time,Denver,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Jokic vs. T. Thompson (G. Harris gains possession),,,,Jump ball: N. Jokic vs. T. Thompson (G. Harris gains possession)
11:47.0,,,0-0,,Violation by D. Liggins (kicked ball)
11:37.0,Turnover by W. Chandler (lost ball; steal by L. James),,0-0,,
11:22.0,,,0-0,,D. Liggins misses 3-pt shot from 25 ft
11:21.0,Defensive rebound by Team,,0-0,,
11:05.0,D. Arthur misses 3-pt shot from 23 ft,,0-0,,
11:05.0,Offensive rebound by N. Jokic,,0-0,,
11:04.0,N. Jokic makes 2-pt shot from 1 ft,2,2-0,,
10:39.0,,,2-2,2,T. Thompson makes 2-pt shot from 1 ft (assist by L. James)
10:22.0,G. Harris misses 2-pt shot from 16 ft,,2-2,,
10:21.0,,,2-2,,Defensive rebound by T. Thompson
10:14.0,,,2-4,2,K. Love makes 2-pt shot from 7 ft (assist by L. James)
9:50.0,N. Jokic makes 2-pt shot from 12 ft,2,4-4,,
9:34.0,,,4-6,2,L. James makes 2-pt shot from 1 ft
9:23.0,G. Harris makes 3-pt shot from 25 ft (assist by N. Jokic),3,7-6,,
9:18.0,,,7-6,,Turnover by K. Love (bad pass; steal by J. Nelson)
9:12.0,Turnover by G. Harris (bad pass; steal by K. Irving),,7-6,,
9:05.0,,,7-9,3,K. Love makes 3-pt shot from 26 ft (assist by D. Liggins)
8:50.0,J. Nelson misses 3-pt shot from 28 ft,,7-9,,
8:49.0,,,7-9,,Defensive rebound by D. Liggins
8:45.0,,,7-11,2,K. Irving makes 2-pt shot from 1 ft (assist by D. Liggins)
8:24.0,G. Harris makes 3-pt shot from 24 ft (assist by J. Nelson),3,10-11,,
8:07.0,,,10-13,2,K. Irving makes 2-pt shot from 19 ft
7:51.0,G. Harris makes 2-pt shot from 14 ft (assist by D. Arthur),2,12-13,,
7:32.0,Personal foul by J. Nelson (drawn by K. Irving),,12-13,,
7:21.0,,,12-13,,K. Love misses 2-pt shot from 8 ft
7:20.0,,,12-13,,Offensive rebound by T. Thompson
7:19.0,,,12-15,2,T. Thompson makes 2-pt shot at rim
7:03.0,D. Arthur makes 3-pt shot from 24 ft (assist by J. Nelson),3,15-15,,
6:43.0,,,15-15,,T. Thompson misses 2-pt shot from 7 ft
6:41.0,Defensive rebound by N. Jokic,,15-15,,
6:40.0,Offensive charge foul by W. Chandler,,15-15,,
6:40.0,Turnover by W. Chandler (offensive foul),,15-15,,
6:25.0,,,15-17,2,L. James makes 2-pt shot from 3 ft
6:06.0,D. Arthur misses 3-pt shot from 24 ft,,15-17,,
6:06.0,,,15-17,,Defensive rebound by T. Thompson
5:47.0,,,15-17,,L. James misses 2-pt shot from 20 ft
5:46.0,,,15-17,,Offensive rebound by K. Love
5:43.0,,,15-17,,K. Love misses 2-pt shot from 2 ft (block by D. Arthur)
5:42.0,Defensive rebound by G. Harris,,15-17,,
5:36.0,W. Chandler misses 3-pt shot from 25 ft,,15-17,,
5:35.0,Offensive rebound by D. Arthur,,15-17,,
5:32.0,Shooting foul by K. Irving (drawn by N. Jokic),,15-17,,
5:32.0,,,15-17,,Cleveland full timeout
5:32.0,N. Jokic misses free throw 1 of 2,,15-17,,
5:32.0,Offensive rebound by Team,,15-17,,
5:32.0,N. Jokic makes free throw 2 of 2,1,16-17,,
5:14.0,,,16-19,2,L. James makes 2-pt shot from 7 ft
4:51.0,J. Nelson makes 3-pt shot from 26 ft (assist by W. Chandler),3,19-19,,
4:35.0,,,19-21,2,K. Irving makes 2-pt shot at rim
4:07.0,J. Nelson makes 2-pt shot from 8 ft,2,21-21,,
3:56.0,,,21-21,,K. Irving misses 3-pt shot from 25 ft
3:56.0,Defensive rebound by N. Jokic,,21-21,,
3:52.0,Turnover by N. Jokic (lost ball; steal by D. Liggins),,21-21,,
3:46.0,,,21-23,2,K. Irving makes 2-pt shot from 2 ft
3:25.0,W. Chandler makes 2-pt shot at rim (assist by N. Jokic),2,23-23,,
3:04.0,,,23-23,,T. Thompson misses 2-pt shot at rim (block by N. Jokic)
3:02.0,Defensive rebound by J. Nelson,,23-23,,
2:58.0,J. Nelson makes 3-pt shot from 25 ft,3,26-23,,
2:58.0,,,26-23,,Cleveland full timeout
2:58.0,Denver full timeout,,26-23,,
2:58.0,W. Barton enters the game for D. Arthur,,26-23,,
2:58.0,J. Hernangomez enters the game for G. Harris,,26-23,,
2:58.0,,,26-23,,K. Korver enters the game for L. James
2:58.0,,,26-23,,R. Jefferson enters the game for D. Liggins
2:39.0,,,26-23,,K. Love misses 2-pt shot from 10 ft
2:37.0,Defensive rebound by J. Nelson,,26-23,,
2:28.0,N. Jokic makes 2-pt shot from 1 ft (assist by J. Nelson),2,28-23,,
2:16.0,,,28-23,,Turnover by K. Irving (bad pass; steal by J. Hernangomez)
2:13.0,W. Chandler makes 2-pt shot at rim (assist by N. Jokic),2,30-23,,
2:13.0,Shooting foul by K. Korver (drawn by W. Chandler),,30-23,,
2:13.0,W. Chandler makes free throw 1 of 1,1,31-23,,
1:52.0,,,31-26,3,K. Irving makes 3-pt shot from 25 ft (assist by K. Korver)
