time,Chicago,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. R. Lopez (I. Thomas gains possession),,,,Jump ball: A. Horford vs. R. Lopez (I. Thomas gains possession)
11:43.0,,,0-0,,Shooting foul by N. Mirotic (drawn by I. Thomas)
11:43.0,,,0-1,1,I. Thomas makes free throw 1 of 2
11:43.0,,,0-2,1,I. Thomas makes free throw 2 of 2
11:23.0,Turnover by I. Canaan (lost ball; steal by I. Thomas),,0-2,,
11:17.0,,,0-2,,I. Thomas misses 3-pt shot from 25 ft
11:16.0,Defensive rebound by J. Butler,,0-2,,
11:05.0,D. Wade makes 3-pt shot from 25 ft (assist by J. Butler),3,3-2,,
10:45.0,,,3-2,,J. Crowder misses 3-pt shot from 25 ft
10:44.0,Defensive rebound by D. Wade,,3-2,,
10:31.0,N. Mirotic makes 3-pt shot from 23 ft (assist by D. Wade),3,6-2,,
10:04.0,,,6-4,2,G. Green makes 2-pt shot from 2 ft (assist by A. Horford)
9:53.0,D. Wade misses 3-pt shot from 25 ft,,6-4,,
9:51.0,,,6-4,,Defensive rebound by G. Green
9:44.0,,,6-4,,G. Green misses 3-pt shot from 25 ft
9:43.0,Defensive rebound by R. Lopez,,6-4,,
9:24.0,J. Butler misses 2-pt shot from 14 ft,,6-4,,
9:23.0,,,6-4,,Defensive rebound by J. Crowder
9:16.0,,,6-4,,G. Green misses 3-pt shot from 25 ft
9:15.0,Defensive rebound by I. Canaan,,6-4,,
8:55.0,R. Lopez makes 2-pt shot from 8 ft,2,8-4,,
8:38.0,,,8-4,,Turnover by I. Thomas (lost ball; steal by N. Mirotic)
8:34.0,,,8-4,,Shooting block foul by G. Green (drawn by N. Mirotic)
8:34.0,N. Mirotic misses free throw 1 of 2,,8-4,,
8:34.0,Offensive rebound by Team,,8-4,,
8:34.0,N. Mirotic misses free throw 2 of 2,,8-4,,
8:34.0,,,8-4,,Defensive rebound by A. Horford
8:09.0,,,8-4,,J. Crowder misses 3-pt shot from 23 ft
8:08.0,Defensive rebound by J. Butler,,8-4,,
7:50.0,D. Wade makes 2-pt shot from 3 ft (assist by N. Mirotic),2,10-4,,
7:33.0,,,10-4,,I. Thomas misses 3-pt shot from 25 ft
7:32.0,Defensive rebound by J. Butler,,10-4,,
7:27.0,Offensive foul by R. Lopez,,10-4,,
7:27.0,Turnover by R. Lopez (offensive foul),,10-4,,
7:27.0,,,10-4,,M. Smart enters the game for G. Green
7:16.0,,,10-4,,A. Horford misses 3-pt shot from 25 ft
7:15.0,Defensive rebound by D. Wade,,10-4,,
7:02.0,Shooting foul by J. Crowder (drawn by D. Wade),,10-4,,
7:02.0,D. Wade makes free throw 1 of 2,1,11-4,,
7:02.0,D. Wade makes free throw 2 of 2,1,12-4,,
6:46.0,,,12-4,,Turnover by I. Thomas (lost ball; steal by R. Lopez)
6:44.0,Turnover by I. Canaan (lost ball),,12-4,,
6:30.0,,,12-6,2,A. Bradley makes 2-pt shot at rim (assist by A. Horford)
