time,Cleveland,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. T. Thompson (C. Frye gains possession),,,,Jump ball: D. Jordan vs. T. Thompson (C. Frye gains possession)
11:40.0,J. Smith misses 3-pt shot from 24 ft,,0-0,,
11:40.0,Offensive rebound by T. Thompson,,0-0,,
11:32.0,Turnover by D. Williams (bad pass; steal by D. Jordan),,0-0,,
11:24.0,,,0-0,,B. Griffin misses 2-pt shot from 16 ft
11:23.0,Defensive rebound by I. Shumpert,,0-0,,
11:12.0,I. Shumpert makes 2-pt shot from 19 ft,2,2-0,,
10:51.0,,,2-0,,J. Redick misses 2-pt shot from 21 ft
10:48.0,Defensive rebound by I. Shumpert,,2-0,,
10:39.0,I. Shumpert makes 2-pt shot from 2 ft,2,4-0,,
10:22.0,,,4-2,2,B. Griffin makes 2-pt shot from 17 ft (assist by C. Paul)
10:11.0,,,4-2,,Personal foul by J. Redick (drawn by T. Thompson)
10:00.0,I. Shumpert misses 2-pt shot from 10 ft,,4-2,,
9:58.0,,,4-2,,Defensive rebound by D. Jordan
9:47.0,,,4-4,2,D. Jordan makes 2-pt shot from 2 ft (assist by C. Paul)
9:38.0,Turnover by D. Williams (lost ball; steal by L. Mbah a Moute),,4-4,,
9:32.0,,,4-6,2,D. Jordan makes 2-pt shot from 1 ft (assist by J. Redick)
9:07.0,I. Shumpert misses 3-pt shot from 24 ft,,4-6,,
9:06.0,,,4-6,,Defensive rebound by J. Redick
8:55.0,,,4-6,,C. Paul misses 3-pt shot from 25 ft
8:55.0,Defensive rebound by J. Smith,,4-6,,
8:46.0,J. Smith misses 2-pt shot from 20 ft,,4-6,,
8:45.0,,,4-6,,Defensive rebound by C. Paul
8:37.0,,,4-6,,B. Griffin misses 3-pt shot from 25 ft
8:36.0,,,4-6,,Offensive rebound by D. Jordan
8:36.0,,,4-6,,Shooting foul by T. Thompson (drawn by D. Jordan)
8:36.0,,,4-7,1,D. Jordan makes free throw 1 of 2
8:36.0,,,4-7,,D. Jordan misses free throw 2 of 2
8:35.0,Defensive rebound by T. Thompson,,4-7,,
8:09.0,J. Smith misses 3-pt shot from 24 ft,,4-7,,
8:08.0,,,4-7,,Defensive rebound by L. Mbah a Moute
8:02.0,,,4-10,3,J. Redick makes 3-pt shot from 25 ft
7:53.0,Cleveland full timeout,,4-10,,
7:42.0,J. Smith misses 3-pt shot from 25 ft,,4-10,,
7:41.0,,,4-10,,Defensive rebound by L. Mbah a Moute
7:33.0,Personal block foul by I. Shumpert (drawn by J. Redick),,4-10,,
7:29.0,,,4-12,2,J. Redick makes 2-pt shot from 22 ft (assist by C. Paul)
7:07.0,T. Thompson misses 2-pt shot from 7 ft,,4-12,,
7:04.0,,,4-12,,Defensive rebound by C. Paul
6:42.0,,,4-12,,C. Paul misses 3-pt shot from 25 ft
6:41.0,Defensive rebound by J. Smith,,4-12,,
6:16.0,C. Frye makes 2-pt shot from 14 ft (assist by D. Williams),2,6-12,,
5:55.0,,,6-12,,J. Redick misses 2-pt shot from 20 ft
5:55.0,Defensive rebound by D. Williams,,6-12,,
5:44.0,I. Shumpert misses 2-pt shot from 17 ft,,6-12,,
5:42.0,,,6-12,,Defensive rebound by D. Jordan
5:35.0,,,6-12,,Offensive foul by C. Paul
5:35.0,,,6-12,,Turnover by C. Paul (offensive foul)
