time,Denver,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Jokic vs. T. Mozgov (D. Russell gains possession),,,,Jump ball: N. Jokic vs. T. Mozgov (D. Russell gains possession)
11:45.0,,,0-0,,T. Mozgov misses 2-pt shot from 19 ft
11:44.0,Defensive rebound by E. Mudiay,,0-0,,
11:28.0,N. Jokic misses 2-pt shot from 8 ft,,0-0,,
11:25.0,,,0-0,,Defensive rebound by J. Randle
11:21.0,,,0-2,2,T. Mozgov makes 2-pt shot from 3 ft (assist by J. Randle)
11:04.0,E. Mudiay makes 3-pt shot from 26 ft (assist by D. Gallinari),3,3-2,,
10:49.0,,,3-4,2,N. Young makes 2-pt shot from 17 ft (assist by J. Randle)
10:32.0,K. Faried makes 2-pt shot from 1 ft (assist by E. Mudiay),2,5-4,,
10:20.0,,,5-4,,Turnover by J. Randle (bad pass; steal by E. Mudiay)
10:12.0,D. Gallinari makes 3-pt shot from 27 ft (assist by K. Faried),3,8-4,,
9:56.0,,,8-4,,D. Russell misses 2-pt shot from 4 ft
9:54.0,,,8-4,,Offensive rebound by T. Mozgov
9:45.0,,,8-7,3,B. Ingram makes 3-pt shot from 24 ft (assist by J. Randle)
9:24.0,Turnover by N. Jokic (bad pass; steal by B. Ingram),,8-7,,
9:15.0,,,8-10,3,N. Young makes 3-pt shot from 25 ft (assist by J. Randle)
9:02.0,,,8-10,,Personal foul by J. Randle (drawn by N. Jokic)
8:55.0,K. Faried makes 2-pt shot at rim (assist by W. Barton),2,10-10,,
8:42.0,,,10-10,,J. Randle misses 2-pt shot from 17 ft
8:39.0,Defensive rebound by N. Jokic,,10-10,,
8:34.0,Turnover by E. Mudiay (lost ball; steal by D. Russell),,10-10,,
8:28.0,,,10-12,2,T. Mozgov makes 2-pt shot at rim (assist by D. Russell)
8:11.0,N. Jokic makes 2-pt shot from 6 ft (assist by D. Gallinari),2,12-12,,
7:59.0,,,12-12,,D. Russell misses 2-pt shot from 19 ft
7:58.0,Defensive rebound by W. Barton,,12-12,,
7:51.0,N. Jokic makes 2-pt shot from 7 ft (assist by W. Barton),2,14-12,,
7:51.0,Shooting foul by N. Young (drawn by N. Jokic),,14-12,,
7:51.0,N. Jokic misses free throw 1 of 1,,14-12,,
7:49.0,,,14-12,,Defensive rebound by B. Ingram
7:36.0,,,14-12,,N. Young misses 3-pt shot from 25 ft
7:35.0,Defensive rebound by K. Faried,,14-12,,
7:28.0,K. Faried makes 2-pt shot at rim,2,16-12,,
7:07.0,,,16-12,,B. Ingram misses 3-pt shot from 26 ft
7:06.0,Defensive rebound by W. Barton,,16-12,,
7:00.0,D. Gallinari misses 2-pt shot from 20 ft,,16-12,,
6:57.0,,,16-12,,Defensive rebound by B. Ingram
6:47.0,,,16-14,2,B. Ingram makes 2-pt shot from 1 ft
6:47.0,,,16-14,,Violation by Team (jump ball)
6:30.0,E. Mudiay makes 3-pt shot from 26 ft (assist by W. Barton),3,19-14,,
6:12.0,,,19-14,,Turnover by T. Mozgov (traveling)
6:10.0,Shooting foul by T. Mozgov (drawn by K. Faried),,19-14,,
6:10.0,,,19-14,,LA Lakers full timeout
6:10.0,K. Faried makes free throw 1 of 2,1,20-14,,
6:10.0,K. Faried makes free throw 2 of 2,1,21-14,,
6:10.0,,,19-14,,J. Calderon enters the game for B. Ingram
6:10.0,,,19-14,,J. Clarkson enters the game for J. Randle
6:10.0,,,19-14,,L. Williams enters the game for T. Mozgov
6:10.0,,,19-14,,I. Zubac enters the game for N. Young
6:10.0,,,19-14,,T. Black enters the game for D. Russell
5:49.0,,,21-14,,J. Clarkson misses 2-pt shot from 2 ft
5:45.0,Defensive rebound by N. Jokic,,21-14,,
5:38.0,N. Jokic makes 2-pt shot from 13 ft (assist by E. Mudiay),2,23-14,,
5:17.0,,,23-14,,Shooting foul by W. Barton
5:17.0,,,23-15,1,L. Williams makes free throw 1 of 3
5:17.0,,,23-16,1,L. Williams makes free throw 2 of 3
5:17.0,,,23-17,1,L. Williams makes free throw 3 of 3
5:07.0,N. Jokic misses 2-pt shot from 4 ft (block by I. Zubac),,23-17,,
5:05.0,,,23-17,,Defensive rebound by J. Calderon
4:50.0,,,23-17,,J. Calderon misses 2-pt shot from 19 ft
4:47.0,,,23-17,,Offensive rebound by I. Zubac
4:47.0,,,23-17,,I. Zubac misses 2-pt shot from 2 ft (block by N. Jokic)
4:45.0,Defensive rebound by N. Jokic,,23-17,,
4:41.0,N. Jokic misses 2-pt shot from 1 ft,,23-17,,
4:40.0,,,23-17,,Defensive rebound by I. Zubac
4:32.0,,,23-19,2,L. Williams makes 2-pt shot from 8 ft
4:24.0,W. Barton makes 3-pt shot from 26 ft,3,26-19,,
4:08.0,,,26-21,2,I. Zubac makes 2-pt shot from 8 ft (assist by J. Calderon)
3:57.0,K. Faried makes 2-pt shot from 8 ft (assist by E. Mudiay),2,28-21,,
3:45.0,,,28-21,,Turnover by T. Black (lost ball; steal by K. Faried)
3:37.0,D. Gallinari makes 3-pt shot from 24 ft (assist by W. Barton),3,31-21,,
3:25.0,,,31-21,,Turnover by J. Calderon (step out of bounds)
3:25.0,J. Nelson enters the game for E. Mudiay,,31-21,,
3:25.0,W. Chandler enters the game for K. Faried,,31-21,,
3:13.0,W. Barton makes 3-pt shot from 27 ft,3,34-21,,
2:58.0,Denver full timeout,,34-21,,
2:58.0,,,34-21,,B. Ingram enters the game for T. Black
2:58.0,,,34-21,,J. Randle enters the game for J. Calderon
2:50.0,,,34-21,,L. Williams misses 2-pt shot from 3 ft (block by W. Chandler)
2:46.0,Defensive rebound by W. Chandler,,34-21,,
2:43.0,W. Barton misses 2-pt shot from 2 ft,,34-21,,
2:42.0,,,34-21,,Defensive rebound by I. Zubac
2:32.0,,,34-21,,Shooting foul by N. Jokic (drawn by J. Randle)
2:32.0,,,34-22,1,J. Randle makes free throw 1 of 2
2:32.0,,,34-23,1,J. Randle makes free throw 2 of 2
2:10.0,J. Nelson makes 2-pt shot from 8 ft (assist by W. Chandler),2,36-23,,
2:04.0,,,36-23,,J. Clarkson misses 2-pt shot from 18 ft
1:58.0,Defensive rebound by N. Jokic,,36-23,,
1:58.0,N. Jokic misses 3-pt shot from 26 ft,,36-23,,
1:54.0,,,36-23,,Defensive rebound by Team
1:54.0,J. Nurkic enters the game for N. Jokic,,36-23,,
1:35.0,,,36-23,,J. Randle misses 2-pt shot from 3 ft
1:32.0,,,36-23,,Offensive rebound by I. Zubac
1:32.0,,,36-23,,I. Zubac misses 2-pt shot from 1 ft
1:30.0,,,36-23,,Offensive rebound by I. Zubac
1:29.0,,,36-23,,I. Zubac misses 2-pt shot from 1 ft
1:28.0,Defensive rebound by J. Nurkic,,36-23,,
1:20.0,D. Gallinari misses 3-pt shot from 26 ft,,36-23,,
1:18.0,Offensive rebound by J. Nelson,,36-23,,
1:07.0,D. Gallinari makes 2-pt shot at rim,2,38-23,,
0:42.0,,,38-23,,B. Ingram misses 3-pt shot from 24 ft
0:41.0,Defensive rebound by D. Gallinari,,38-23,,
0:31.0,W. Chandler misses 2-pt shot from 18 ft,,38-23,,
0:28.0,,,38-23,,Defensive rebound by I. Zubac
0:08.0,,,38-25,2,J. Randle makes 2-pt shot from 2 ft (assist by J. Clarkson)
0:08.0,,,38-25,,Shooting foul by W. Chandler (drawn by J. Randle)
0:08.0,,,38-26,1,J. Randle makes free throw 1 of 1
0:08.0,J. Murray enters the game for W. Barton,,38-25,,
0:04.0,,,38-26,,Personal take foul by J. Clarkson (drawn by J. Nelson)
0:01.0,D. Gallinari makes 2-pt shot from 3 ft (assist by J. Nurkic),2,40-26,,
0:01.0,,,40-26,,Shooting block foul by J. Randle (drawn by D. Gallinari)
0:01.0,D. Gallinari misses free throw 1 of 1,,40-26,,
0:00.0,,,40-26,,Defensive rebound by J. Randle
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,J. Hernangomez misses 3-pt shot from 26 ft,,40-26,,
11:42.0,,,40-26,,Defensive rebound by L. Williams
11:37.0,,,40-26,,Shooting foul by J. Murray
11:37.0,,,40-28,2,L. Williams makes 2-pt shot from 2 ft
11:37.0,,,40-29,1,L. Williams makes free throw 1 of 1
11:25.0,J. Murray misses 3-pt shot from 26 ft,,40-29,,
11:24.0,,,40-29,,Defensive rebound by J. Randle
11:23.0,Personal take foul by J. Nelson (drawn by J. Randle),,40-29,,
11:14.0,,,40-31,2,J. Clarkson makes 2-pt shot from 17 ft (assist by B. Ingram)
11:05.0,Turnover by J. Nelson (bad pass),,40-31,,
10:53.0,,,40-33,2,J. Clarkson makes 2-pt shot from 1 ft
10:39.0,W. Chandler misses 3-pt shot from 25 ft,,40-33,,
