time,Dallas,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Nowitzki vs. M. Plumlee (D. Lillard gains possession),,,,Jump ball: D. Nowitzki vs. M. Plumlee (D. Lillard gains possession)
11:38.0,,,0-0,,M. Plumlee misses 2-pt shot from 7 ft
11:37.0,Defensive rebound by D. Nowitzki,,0-0,,
11:15.0,W. Matthews makes 2-pt shot from 11 ft,2,2-0,,
10:50.0,,,2-0,,C. McCollum misses 3-pt shot from 24 ft
10:50.0,Defensive rebound by W. Matthews,,2-0,,
10:42.0,D. Nowitzki makes 3-pt shot from 26 ft (assist by W. Matthews),3,5-0,,
10:25.0,,,5-2,2,C. McCollum makes 2-pt shot from 9 ft (assist by E. Turner)
10:04.0,Y. Ferrell makes 2-pt shot from 22 ft (assist by S. Curry),2,7-2,,
9:46.0,,,7-4,2,N. Vonleh makes 2-pt shot from 19 ft (assist by E. Turner)
9:28.0,H. Barnes makes 2-pt shot from 12 ft (assist by Y. Ferrell),2,9-4,,
9:14.0,,,9-4,,C. McCollum misses 3-pt shot from 25 ft
9:13.0,Defensive rebound by H. Barnes,,9-4,,
9:01.0,H. Barnes makes 3-pt shot from 24 ft,3,12-4,,
8:47.0,,,12-4,,E. Turner misses 3-pt shot from 23 ft
8:46.0,Defensive rebound by H. Barnes,,12-4,,
8:32.0,W. Matthews makes 2-pt shot from 10 ft,2,14-4,,
8:17.0,,,14-4,,Turnover by E. Turner (lost ball)
8:06.0,Y. Ferrell makes 3-pt shot from 25 ft (assist by D. Nowitzki),3,17-4,,
8:06.0,,,17-4,,Portland full timeout
7:53.0,,,17-4,,D. Lillard misses 2-pt shot from 15 ft
7:52.0,Defensive rebound by D. Nowitzki,,17-4,,
7:45.0,Turnover by W. Matthews (lost ball; steal by M. Plumlee),,17-4,,
7:30.0,,,17-4,,Turnover by M. Plumlee (3 sec)
7:16.0,H. Barnes misses 2-pt shot from 16 ft,,17-4,,
7:15.0,,,17-4,,Defensive rebound by D. Lillard
7:06.0,,,17-6,2,E. Turner makes 2-pt shot from 7 ft (assist by D. Lillard)
6:46.0,W. Matthews makes 3-pt shot from 24 ft,3,20-6,,
6:28.0,,,20-6,,D. Lillard misses 3-pt shot from 24 ft
6:26.0,,,20-6,,Offensive rebound by C. McCollum
6:15.0,,,20-8,2,E. Turner makes 2-pt shot from 5 ft (assist by C. McCollum)
5:58.0,S. Curry makes 2-pt shot from 17 ft,2,22-8,,
5:42.0,,,22-8,,C. McCollum misses 3-pt shot from 23 ft
5:41.0,,,22-8,,Offensive rebound by N. Vonleh
5:40.0,,,22-8,,N. Vonleh misses 2-pt shot from 1 ft
5:40.0,,,22-8,,Offensive rebound by N. Vonleh
5:40.0,,,22-8,,Shooting foul by S. Curry (drawn by N. Vonleh)
5:40.0,,,22-8,,N. Vonleh misses free throw 1 of 2
5:40.0,,,22-8,,Offensive rebound by Team
5:40.0,,,22-8,,N. Vonleh misses free throw 2 of 2
5:40.0,D. Finney-Smith enters the game for S. Curry,,22-8,,
5:40.0,S. Mejri enters the game for D. Nowitzki,,22-8,,
5:40.0,,,22-8,,A. Crabbe enters the game for C. McCollum
5:39.0,Defensive rebound by S. Mejri,,22-8,,
5:27.0,W. Matthews misses 3-pt shot from 23 ft,,22-8,,
