time,Chicago,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. R. Lopez (J. Leuer gains possession),,,,Jump ball: A. Drummond vs. R. Lopez (J. Leuer gains possession)
11:41.0,,,0-0,,R. Jackson misses 2-pt shot from 19 ft
11:40.0,Defensive rebound by B. Portis,,0-0,,
11:27.0,R. Lopez misses 2-pt shot from 5 ft,,0-0,,
11:27.0,,,0-0,,Defensive rebound by Team
11:16.0,,,0-0,,K. Caldwell-Pope misses 2-pt shot from 6 ft (block by R. Lopez)
11:16.0,Defensive rebound by Team,,0-0,,
11:01.0,J. Butler misses 3-pt shot from 26 ft,,0-0,,
11:01.0,,,0-0,,Defensive rebound by R. Jackson
10:53.0,,,0-0,,M. Morris misses 3-pt shot from 26 ft
10:53.0,,,0-0,,Offensive rebound by A. Drummond
10:41.0,,,0-2,2,M. Morris makes 2-pt shot from 1 ft (assist by R. Jackson)
10:20.0,R. Lopez misses 2-pt shot from 19 ft,,0-2,,
10:20.0,Offensive rebound by J. Butler,,0-2,,
10:07.0,B. Portis misses 2-pt shot from 17 ft,,0-2,,
10:07.0,Offensive rebound by B. Portis,,0-2,,
10:01.0,J. Butler makes 2-pt shot from 1 ft,2,2-2,,
10:01.0,Shooting foul by J. Leuer (drawn by J. Butler),,2-2,,
10:01.0,J. Butler misses free throw 1 of 1,,2-2,,
10:01.0,,,2-2,,Defensive rebound by A. Drummond
9:43.0,,,2-2,,R. Jackson misses 2-pt shot at rim
9:41.0,Defensive rebound by R. Lopez,,2-2,,
9:35.0,R. Lopez makes 2-pt shot from 1 ft (assist by J. Grant),2,4-2,,
9:34.0,,,4-2,,Detroit full timeout
9:17.0,,,4-2,,J. Leuer misses 3-pt shot from 27 ft
9:17.0,Defensive rebound by P. Zipser,,4-2,,
9:01.0,J. Butler misses 2-pt shot from 7 ft (block by M. Morris),,4-2,,
9:00.0,,,4-2,,Defensive rebound by A. Drummond
8:53.0,,,4-2,,K. Caldwell-Pope misses 2-pt shot from 9 ft
8:52.0,,,4-2,,Offensive rebound by K. Caldwell-Pope
8:48.0,,,4-2,,M. Morris misses 3-pt shot from 26 ft
8:48.0,Defensive rebound by B. Portis,,4-2,,
8:32.0,J. Butler misses 2-pt shot at rim,,4-2,,
8:30.0,,,4-2,,Defensive rebound by J. Leuer
8:12.0,,,4-4,2,A. Drummond makes 2-pt shot from 8 ft
7:55.0,J. Grant makes 3-pt shot from 26 ft (assist by J. Butler),3,7-4,,
7:32.0,,,7-4,,Turnover by M. Morris (bad pass; steal by R. Lopez)
7:30.0,Shooting foul by R. Jackson (drawn by B. Portis),,7-4,,
7:30.0,B. Portis makes free throw 1 of 2,1,8-4,,
7:30.0,B. Portis makes free throw 2 of 2,1,9-4,,
7:11.0,,,9-4,,J. Leuer misses 2-pt shot from 11 ft
7:11.0,Defensive rebound by J. Butler,,9-4,,
7:01.0,R. Lopez misses 2-pt shot from 22 ft,,9-4,,
6:59.0,,,9-4,,Defensive rebound by M. Morris
6:51.0,,,9-4,,A. Drummond misses 2-pt shot from 5 ft
6:49.0,Defensive rebound by J. Grant,,9-4,,
6:44.0,J. Grant makes 2-pt shot at rim,2,11-4,,
6:27.0,,,11-4,,K. Caldwell-Pope misses 3-pt shot from 27 ft
6:27.0,Defensive rebound by J. Butler,,11-4,,
6:23.0,Shooting foul by K. Caldwell-Pope (drawn by J. Butler),,11-4,,
6:23.0,J. Butler makes free throw 1 of 2,1,12-4,,
6:23.0,J. Butler makes free throw 2 of 2,1,13-4,,
6:23.0,,,12-4,,T. Harris enters the game for J. Leuer
6:23.0,,,12-4,,I. Smith enters the game for R. Jackson
6:00.0,,,13-6,2,M. Morris makes 2-pt shot from 17 ft
5:40.0,J. Grant misses 2-pt shot from 12 ft,,13-6,,
5:40.0,,,13-6,,Defensive rebound by T. Harris
5:32.0,,,13-9,3,M. Morris makes 3-pt shot from 26 ft (assist by I. Smith)
5:32.0,Chicago full timeout,,13-9,,
5:12.0,P. Zipser makes 2-pt shot from 18 ft (assist by J. Grant),2,15-9,,
4:55.0,,,15-9,,T. Harris misses 3-pt shot from 27 ft
4:54.0,Defensive rebound by J. Grant,,15-9,,
4:44.0,J. Butler makes 2-pt shot from 1 ft,2,17-9,,
4:35.0,,,17-9,,K. Caldwell-Pope misses 3-pt shot from 24 ft
4:33.0,Defensive rebound by J. Grant,,17-9,,
4:26.0,B. Portis makes 2-pt shot from 1 ft (assist by J. Grant),2,19-9,,
4:09.0,,,19-11,2,I. Smith makes 2-pt shot from 16 ft
3:45.0,R. Lopez misses 2-pt shot from 15 ft,,19-11,,
3:43.0,,,19-11,,Defensive rebound by T. Harris
3:34.0,,,19-11,,A. Drummond misses 2-pt shot from 6 ft
3:33.0,Defensive rebound by B. Portis,,19-11,,
3:12.0,R. Lopez makes 2-pt shot from 5 ft (assist by P. Zipser),2,21-11,,
2:58.0,,,21-11,,Shooting foul by P. Zipser (drawn by M. Morris)
2:58.0,,,21-11,,M. Morris misses free throw 1 of 2
2:58.0,,,21-11,,Offensive rebound by Team
2:58.0,,,21-12,1,M. Morris makes free throw 2 of 2
2:58.0,C. Payne enters the game for J. Grant,,21-11,,
2:58.0,N. Mirotic enters the game for B. Portis,,21-11,,
2:58.0,,,21-11,,A. Baynes enters the game for A. Drummond
2:42.0,N. Mirotic makes 3-pt shot from 24 ft (assist by C. Payne),3,24-12,,
2:23.0,,,24-12,,I. Smith misses 2-pt shot from 15 ft
2:23.0,Defensive rebound by R. Lopez,,24-12,,
2:11.0,R. Lopez makes 2-pt shot from 17 ft (assist by J. Butler),2,26-12,,
1:54.0,Violation by C. Payne (kicked ball),,26-12,,
1:54.0,C. Felicio enters the game for R. Lopez,,26-12,,
1:44.0,,,26-12,,I. Smith misses 2-pt shot from 6 ft
1:43.0,,,26-12,,Offensive rebound by I. Smith
1:40.0,,,26-14,2,A. Baynes makes 2-pt shot at rim (assist by I. Smith)
1:20.0,N. Mirotic misses 3-pt shot from 23 ft,,26-14,,
1:19.0,,,26-14,,Defensive rebound by A. Baynes
0:55.0,,,26-14,,M. Morris misses 2-pt shot from 5 ft
0:55.0,,,26-14,,Offensive rebound by Team
0:55.0,D. Valentine enters the game for P. Zipser,,26-14,,
0:45.0,,,26-14,,T. Harris misses 2-pt shot from 17 ft
0:44.0,Defensive rebound by D. Valentine,,26-14,,
0:25.0,C. Payne misses 2-pt shot from 18 ft,,26-14,,
0:25.0,,,26-14,,Defensive rebound by I. Smith
0:08.0,Personal foul by C. Payne (drawn by I. Smith),,26-14,,
0:02.0,,,26-14,,M. Morris misses 3-pt shot from 26 ft
0:00.0,,,26-14,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,C. Payne misses 2-pt shot from 18 ft,,26-14,,
11:42.0,,,26-14,,Defensive rebound by J. Leuer
11:34.0,,,26-16,2,R. Jackson makes 2-pt shot from 1 ft
11:16.0,N. Mirotic misses 3-pt shot from 26 ft,,26-16,,
11:15.0,,,26-16,,Defensive rebound by A. Baynes
11:05.0,,,26-18,2,A. Baynes makes 2-pt shot from 19 ft (assist by S. Johnson)
10:42.0,C. Felicio misses 2-pt shot from 7 ft (block by A. Baynes),,26-18,,
10:42.0,Offensive rebound by Team,,26-18,,
10:39.0,N. Mirotic makes 2-pt shot from 15 ft (assist by C. Payne),2,28-18,,
10:12.0,,,28-18,,R. Jackson misses 3-pt shot from 26 ft
10:12.0,Defensive rebound by Team,,28-18,,
9:52.0,D. Valentine misses 3-pt shot from 26 ft,,28-18,,
9:52.0,Offensive rebound by C. Felicio,,28-18,,
9:47.0,C. Felicio makes 2-pt shot at rim,2,30-18,,
9:40.0,,,30-18,,R. Jackson misses 2-pt shot from 10 ft
9:40.0,,,30-18,,Offensive rebound by A. Baynes
9:37.0,,,30-20,2,A. Baynes makes 2-pt shot at rim
9:28.0,C. Payne makes 3-pt shot from 26 ft,3,33-20,,
9:11.0,,,33-20,,Shooting foul by D. Valentine (drawn by J. Leuer)
9:11.0,,,33-21,1,J. Leuer makes free throw 1 of 2
9:11.0,,,33-22,1,J. Leuer makes free throw 2 of 2
8:57.0,D. Valentine misses 2-pt shot from 9 ft,,33-22,,
8:56.0,,,33-22,,Defensive rebound by T. Harris
8:46.0,,,33-22,,J. Leuer misses 2-pt shot from 2 ft
8:44.0,Defensive rebound by M. Carter-Williams,,33-22,,
8:38.0,Turnover by M. Carter-Williams (bad pass; steal by A. Baynes),,33-22,,
8:29.0,,,33-22,,R. Jackson misses 2-pt shot from 1 ft
8:29.0,Defensive rebound by C. Payne,,33-22,,
8:24.0,N. Mirotic misses 3-pt shot from 26 ft,,33-22,,
8:23.0,,,33-22,,Defensive rebound by S. Johnson
8:18.0,,,33-24,2,A. Baynes makes 2-pt shot at rim (assist by S. Johnson)
8:18.0,Chicago full timeout,,33-24,,
7:59.0,C. Payne makes 3-pt shot from 27 ft (assist by M. Carter-Williams),3,36-24,,
7:43.0,,,36-26,2,T. Harris makes 2-pt shot at rim (assist by A. Baynes)
7:26.0,C. Payne misses 3-pt shot from 27 ft,,36-26,,
7:26.0,,,36-26,,Defensive rebound by A. Baynes
7:10.0,,,36-28,2,J. Leuer makes 2-pt shot at rim (assist by T. Harris)
7:00.0,,,36-28,,Personal foul by S. Johnson (drawn by N. Mirotic)
7:00.0,J. Butler enters the game for D. Valentine,,36-28,,
6:52.0,C. Felicio makes 2-pt shot at rim (assist by N. Mirotic),2,38-28,,
6:40.0,Personal foul by M. Carter-Williams (drawn by T. Harris),,38-28,,
6:26.0,,,38-28,,S. Johnson misses 2-pt shot from 21 ft
6:26.0,,,38-28,,Offensive rebound by A. Baynes
6:21.0,,,38-30,2,A. Baynes makes 2-pt shot from 6 ft
5:59.0,N. Mirotic misses 3-pt shot from 27 ft,,38-30,,
5:58.0,,,38-30,,Defensive rebound by T. Harris
5:51.0,,,38-32,2,J. Leuer makes 2-pt shot at rim (assist by R. Jackson)
5:26.0,Shooting foul by A. Baynes (drawn by M. Carter-Williams),,38-32,,
5:26.0,Official timeout,,38-32,,
5:26.0,M. Carter-Williams makes free throw 1 of 2,1,39-32,,
5:26.0,M. Carter-Williams makes free throw 2 of 2,1,40-32,,
5:26.0,B. Portis enters the game for N. Mirotic,,38-32,,
5:26.0,R. Lopez enters the game for C. Felicio,,38-32,,
5:26.0,,,38-32,,I. Smith enters the game for R. Jackson
5:26.0,,,38-32,,K. Caldwell-Pope enters the game for T. Harris
5:16.0,,,40-32,,S. Johnson misses 2-pt shot from 11 ft
5:16.0,Defensive rebound by Team,,40-32,,
5:16.0,,,40-32,,Loose ball foul by A. Baynes (drawn by J. Butler)
5:16.0,,,40-32,,A. Drummond enters the game for A. Baynes
5:06.0,Shooting foul by S. Johnson (drawn by J. Butler),,40-32,,
5:06.0,J. Butler makes free throw 1 of 2,1,41-32,,
5:06.0,J. Butler makes free throw 2 of 2,1,42-32,,
5:06.0,,,41-32,,M. Morris enters the game for S. Johnson
5:06.0,P. Zipser enters the game for M. Carter-Williams,,41-32,,
4:54.0,,,42-32,,K. Caldwell-Pope misses 2-pt shot from 18 ft
4:53.0,,,42-32,,Offensive rebound by K. Caldwell-Pope
4:41.0,,,42-34,2,I. Smith makes 2-pt shot from 18 ft
4:16.0,R. Lopez misses 2-pt shot from 7 ft,,42-34,,
4:16.0,,,42-34,,Defensive rebound by A. Drummond
4:07.0,,,42-34,,I. Smith misses 2-pt shot from 19 ft
4:07.0,Defensive rebound by R. Lopez,,42-34,,
3:52.0,J. Butler makes 3-pt shot from 26 ft (assist by R. Lopez),3,45-34,,
3:35.0,,,45-37,3,K. Caldwell-Pope makes 3-pt shot from 27 ft (assist by I. Smith)
3:23.0,J. Butler misses 3-pt shot from 26 ft,,45-37,,
3:22.0,,,45-37,,Defensive rebound by A. Drummond
3:14.0,,,45-39,2,J. Leuer makes 2-pt shot at rim (assist by I. Smith)
3:14.0,Chicago full timeout,,45-39,,
3:14.0,J. Grant enters the game for C. Payne,,45-39,,
3:01.0,,,45-39,,Personal foul by M. Morris (drawn by J. Butler)
3:01.0,J. Butler makes free throw 1 of 2,1,46-39,,
3:01.0,J. Butler makes free throw 2 of 2,1,47-39,,
2:40.0,,,47-41,2,A. Drummond makes 2-pt shot from 9 ft (assist by J. Leuer)
2:27.0,B. Portis makes 2-pt shot from 18 ft (assist by J. Grant),2,49-41,,
2:15.0,,,49-41,,J. Leuer misses 3-pt shot from 26 ft
2:15.0,Defensive rebound by J. Butler,,49-41,,
2:03.0,B. Portis misses 2-pt shot from 8 ft,,49-41,,
2:02.0,Offensive rebound by B. Portis,,49-41,,
2:00.0,B. Portis makes 2-pt shot at rim,2,51-41,,
1:43.0,,,51-43,2,M. Morris makes 2-pt shot from 15 ft (assist by I. Smith)
1:34.0,Turnover by J. Butler (lost ball; steal by I. Smith),,51-43,,
1:25.0,,,51-45,2,I. Smith makes 2-pt shot at rim
1:13.0,R. Lopez makes 2-pt shot from 18 ft (assist by J. Grant),2,53-45,,
1:03.0,Personal foul by P. Zipser (drawn by M. Morris),,53-45,,
1:03.0,,,53-45,,Detroit full timeout
0:51.0,,,53-47,2,I. Smith makes 2-pt shot from 18 ft (assist by M. Morris)
0:44.0,,,53-47,,Personal foul by M. Morris (drawn by J. Butler)
0:44.0,J. Butler makes free throw 1 of 2,1,54-47,,
0:44.0,J. Butler makes free throw 2 of 2,1,55-47,,
0:44.0,,,54-47,,S. Johnson enters the game for M. Morris
0:44.0,D. Valentine enters the game for P. Zipser,,54-47,,
0:28.0,,,55-49,2,A. Drummond makes 2-pt shot from 7 ft (assist by S. Johnson)
0:12.0,Turnover by J. Butler (lost ball; steal by K. Caldwell-Pope),,55-49,,
0:07.0,,,55-49,,I. Smith misses 2-pt shot from 1 ft
0:07.0,,,55-49,,Offensive rebound by J. Leuer
0:07.0,,,55-51,2,J. Leuer makes 2-pt shot from 1 ft
0:02.0,J. Grant misses 2-pt shot from 6 ft,,55-51,,
0:00.0,,,55-51,,Defensive rebound by J. Leuer
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,R. Lopez misses 2-pt shot from 5 ft,,55-51,,
11:40.0,,,55-51,,Defensive rebound by M. Morris
11:32.0,,,55-53,2,R. Jackson makes 2-pt shot from 11 ft
11:15.0,J. Grant makes 2-pt shot from 15 ft,2,57-53,,
10:54.0,,,57-53,,M. Morris misses 2-pt shot from 6 ft (block by P. Zipser)
10:51.0,,,57-53,,Offensive rebound by Team
10:50.0,,,57-56,3,R. Jackson makes 3-pt shot from 24 ft (assist by M. Morris)
10:27.0,B. Portis makes 2-pt shot from 6 ft,2,59-56,,
10:11.0,,,59-59,3,R. Jackson makes 3-pt shot from 25 ft
9:44.0,J. Grant misses 3-pt shot from 26 ft,,59-59,,
9:43.0,,,59-59,,Defensive rebound by A. Drummond
9:27.0,,,59-61,2,A. Drummond makes 2-pt shot from 6 ft (assist by K. Caldwell-Pope)
9:16.0,B. Portis misses 3-pt shot from 26 ft,,59-61,,
9:16.0,,,59-61,,Defensive rebound by M. Morris
9:16.0,Loose ball foul by R. Lopez (drawn by M. Morris),,59-61,,
9:00.0,,,59-61,,J. Leuer misses 2-pt shot from 21 ft
9:00.0,Defensive rebound by P. Zipser,,59-61,,
8:51.0,Shooting foul by J. Leuer (drawn by R. Lopez),,59-61,,
8:51.0,R. Lopez makes free throw 1 of 2,1,60-61,,
8:51.0,R. Lopez makes free throw 2 of 2,1,61-61,,
8:37.0,,,61-61,,Turnover by M. Morris (lost ball)
8:20.0,J. Grant misses 3-pt shot from 25 ft,,61-61,,
8:20.0,Offensive rebound by J. Butler,,61-61,,
8:17.0,J. Butler makes 2-pt shot from 1 ft,2,63-61,,
8:11.0,,,63-61,,K. Caldwell-Pope misses 3-pt shot from 27 ft
8:11.0,Defensive rebound by B. Portis,,63-61,,
8:00.0,,,63-61,,Personal foul by A. Drummond (drawn by J. Butler)
7:58.0,,,63-61,,Personal foul by M. Morris (drawn by J. Butler)
7:49.0,R. Lopez makes 2-pt shot from 1 ft (assist by J. Butler),2,65-61,,
7:44.0,,,65-61,,Detroit full timeout
7:31.0,,,65-61,,Shooting foul by P. Zipser (drawn by M. Morris)
7:31.0,,,65-61,,M. Morris misses free throw 1 of 2
7:31.0,,,65-61,,Offensive rebound by Team
7:31.0,,,65-62,1,M. Morris makes free throw 2 of 2
7:14.0,R. Lopez makes 2-pt shot from 2 ft (assist by J. Grant),2,67-62,,
6:59.0,,,67-64,2,J. Leuer makes 2-pt shot from 22 ft (assist by R. Jackson)
6:32.0,R. Lopez makes 2-pt shot from 16 ft (assist by J. Grant),2,69-64,,
6:17.0,,,69-64,,A. Drummond misses 2-pt shot from 10 ft
6:16.0,Defensive rebound by Team,,69-64,,
5:50.0,J. Butler misses 2-pt shot at rim,,69-64,,
5:49.0,,,69-64,,Defensive rebound by A. Drummond
5:43.0,,,69-64,,M. Morris misses 3-pt shot from 26 ft
5:43.0,Defensive rebound by P. Zipser,,69-64,,
5:30.0,B. Portis misses 2-pt shot from 5 ft,,69-64,,
5:29.0,,,69-64,,Defensive rebound by M. Morris
5:18.0,,,69-66,2,R. Jackson makes 2-pt shot from 6 ft
5:02.0,,,69-66,,Personal foul by A. Drummond (drawn by J. Butler)
5:02.0,,,69-66,,T. Harris enters the game for J. Leuer
5:02.0,,,69-66,,I. Smith enters the game for R. Jackson
4:52.0,P. Zipser misses 2-pt shot from 12 ft,,69-66,,
4:52.0,,,69-66,,Defensive rebound by Team
4:52.0,Personal foul by P. Zipser (drawn by K. Caldwell-Pope),,69-66,,
4:52.0,N. Mirotic enters the game for B. Portis,,69-66,,
4:52.0,D. Valentine enters the game for P. Zipser,,69-66,,
4:52.0,C. Payne enters the game for J. Grant,,69-66,,
4:37.0,Personal foul by D. Valentine (drawn by K. Caldwell-Pope),,69-66,,
4:27.0,,,69-66,,M. Morris misses 2-pt shot from 1 ft
4:27.0,,,69-66,,Offensive rebound by M. Morris
4:24.0,,,69-68,2,M. Morris makes 2-pt shot from 1 ft
4:12.0,Shooting foul by I. Smith (drawn by J. Butler),,69-68,,
4:12.0,J. Butler makes free throw 1 of 2,1,70-68,,
4:12.0,J. Butler makes free throw 2 of 2,1,71-68,,
4:10.0,Personal take foul by D. Valentine (drawn by A. Drummond),,71-68,,
4:10.0,,,71-69,1,A. Drummond makes free throw 1 of 2
4:10.0,,,71-70,1,A. Drummond makes free throw 2 of 2
3:54.0,C. Payne misses 3-pt shot from 24 ft,,71-70,,
3:54.0,,,71-70,,Defensive rebound by K. Caldwell-Pope
3:52.0,Personal take foul by N. Mirotic (drawn by A. Drummond),,71-70,,
3:52.0,,,71-71,1,A. Drummond makes free throw 1 of 2
3:52.0,,,71-71,,A. Drummond misses free throw 2 of 2
3:51.0,Defensive rebound by R. Lopez,,71-71,,
3:27.0,C. Payne makes 3-pt shot from 26 ft (assist by D. Valentine),3,74-71,,
3:13.0,,,74-71,,T. Harris misses 2-pt shot at rim
3:13.0,Defensive rebound by C. Payne,,74-71,,
3:00.0,C. Payne misses 3-pt shot from 26 ft,,74-71,,
2:59.0,,,74-71,,Defensive rebound by Team
2:58.0,Chicago full timeout,,74-71,,
2:58.0,,,74-71,,S. Johnson enters the game for M. Morris
2:45.0,,,74-73,2,T. Harris makes 2-pt shot at rim (assist by I. Smith)
2:32.0,Turnover by D. Valentine (bad pass; steal by T. Harris),,74-73,,
2:24.0,,,74-73,,S. Johnson misses 3-pt shot from 23 ft
2:23.0,Defensive rebound by D. Valentine,,74-73,,
2:17.0,C. Payne makes 3-pt shot from 26 ft (assist by D. Valentine),3,77-73,,
2:10.0,Personal take foul by N. Mirotic (drawn by A. Drummond),,77-73,,
2:10.0,,,77-73,,A. Drummond misses free throw 1 of 2
2:10.0,,,77-73,,Offensive rebound by Team
2:10.0,,,77-73,,A. Drummond misses free throw 2 of 2
2:07.0,Defensive rebound by J. Butler,,77-73,,
1:53.0,Turnover by J. Butler (lost ball; steal by S. Johnson),,77-73,,
1:50.0,Personal foul by R. Lopez (drawn by A. Drummond),,77-73,,
1:50.0,,,77-73,,A. Drummond misses free throw 1 of 2
1:50.0,,,77-73,,Offensive rebound by Team
1:50.0,,,77-74,1,A. Drummond makes free throw 2 of 2
1:36.0,R. Lopez misses 2-pt shot from 17 ft,,77-74,,
1:31.0,,,77-74,,Defensive rebound by T. Harris
1:22.0,,,77-74,,Shooting foul by N. Mirotic (drawn by S. Johnson)
1:22.0,,,77-74,,S. Johnson misses free throw 1 of 2
1:22.0,,,77-74,,Offensive rebound by Team
1:22.0,,,77-75,1,S. Johnson makes free throw 2 of 2
1:22.0,,,77-74,,A. Baynes enters the game for A. Drummond
1:22.0,C. Felicio enters the game for R. Lopez,,77-74,,
1:06.0,C. Felicio misses 2-pt shot from 1 ft,,77-75,,
1:05.0,,,77-75,,Defensive rebound by K. Caldwell-Pope
1:00.0,,,77-77,2,T. Harris makes 2-pt shot at rim (assist by I. Smith)
0:41.0,C. Payne misses 3-pt shot from 26 ft,,77-77,,
0:38.0,,,77-77,,Defensive rebound by S. Johnson
0:33.0,Personal foul by C. Felicio (drawn by T. Harris),,77-77,,
0:33.0,,,77-78,1,T. Harris makes free throw 1 of 2
0:33.0,,,77-79,1,T. Harris makes free throw 2 of 2
0:25.0,Turnover by C. Payne (bad pass; steal by S. Johnson),,77-79,,
0:22.0,,,77-79,,Turnover by S. Johnson (traveling)
0:22.0,A. Morrow enters the game for C. Felicio,,77-79,,
0:22.0,,,77-79,,J. Leuer enters the game for A. Baynes
0:03.0,J. Butler makes 2-pt shot from 17 ft,2,79-79,,
0:00.0,,,79-79,,I. Smith misses 3-pt shot from 28 ft (block by J. Butler)
0:00.0,,,79-79,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,79-79,,S. Johnson misses 2-pt shot from 7 ft
11:47.0,,,79-79,,Offensive rebound by Team
11:47.0,Loose ball foul by C. Felicio (drawn by A. Baynes),,79-79,,
11:33.0,,,79-81,2,T. Harris makes 2-pt shot from 9 ft
11:24.0,,,79-81,,Personal foul by S. Johnson (drawn by C. Payne)
11:16.0,D. Valentine misses 3-pt shot from 26 ft,,79-81,,
11:16.0,,,79-81,,Defensive rebound by S. Johnson
11:01.0,,,79-81,,J. Leuer misses 2-pt shot from 1 ft (block by C. Felicio)
11:00.0,,,79-81,,Offensive rebound by T. Harris
10:44.0,,,79-81,,T. Harris misses 2-pt shot from 3 ft (block by M. Carter-Williams)
10:43.0,Defensive rebound by M. Carter-Williams,,79-81,,
10:33.0,Shooting foul by A. Baynes (drawn by N. Mirotic),,79-81,,
10:33.0,N. Mirotic misses free throw 1 of 2,,79-81,,
10:33.0,Offensive rebound by Team,,79-81,,
10:33.0,N. Mirotic makes free throw 2 of 2,1,80-81,,
10:26.0,,,80-81,,Offensive foul by A. Baynes
10:26.0,,,80-81,,Turnover by A. Baynes (offensive foul)
10:15.0,C. Payne misses 2-pt shot from 16 ft,,80-81,,
10:15.0,,,80-81,,Defensive rebound by R. Jackson
10:11.0,,,80-83,2,S. Johnson makes 2-pt shot at rim (assist by R. Jackson)
9:57.0,N. Mirotic misses 2-pt shot from 8 ft,,80-83,,
9:56.0,,,80-83,,Defensive rebound by A. Baynes
9:51.0,,,80-83,,S. Johnson misses 3-pt shot from 24 ft
9:50.0,Defensive rebound by C. Felicio,,80-83,,
9:38.0,C. Payne makes 2-pt shot from 10 ft,2,82-83,,
9:16.0,,,82-85,2,J. Leuer makes 2-pt shot from 6 ft (assist by T. Harris)
8:58.0,C. Payne misses 3-pt shot from 25 ft,,82-85,,
8:58.0,,,82-85,,Defensive rebound by J. Leuer
8:46.0,,,82-85,,A. Baynes misses 2-pt shot from 7 ft
8:46.0,Defensive rebound by M. Carter-Williams,,82-85,,
8:46.0,Turnover by M. Carter-Williams (step out of bounds),,82-85,,
8:46.0,Official timeout,,82-85,,
8:46.0,I. Canaan enters the game for C. Payne,,82-85,,
8:46.0,B. Portis enters the game for N. Mirotic,,82-85,,
8:46.0,P. Zipser enters the game for M. Carter-Williams,,82-85,,
8:32.0,,,82-87,2,A. Baynes makes 2-pt shot at rim (assist by T. Harris)
8:11.0,P. Zipser misses 2-pt shot from 16 ft,,82-87,,
8:10.0,,,82-87,,Defensive rebound by J. Leuer
8:01.0,Personal foul by D. Valentine (drawn by S. Johnson),,82-87,,
8:01.0,J. Butler enters the game for D. Valentine,,82-87,,
7:47.0,,,82-87,,T. Harris misses 2-pt shot from 18 ft
7:46.0,Defensive rebound by C. Felicio,,82-87,,
7:27.0,B. Portis misses 2-pt shot from 6 ft,,82-87,,
7:27.0,Offensive rebound by Team,,82-87,,
7:27.0,,,82-87,,Loose ball foul by A. Baynes (drawn by C. Felicio)
7:27.0,,,82-87,,A. Drummond enters the game for A. Baynes
7:27.0,R. Lopez enters the game for C. Felicio,,82-87,,
7:14.0,J. Butler misses 3-pt shot from 26 ft,,82-87,,
7:14.0,,,82-87,,Defensive rebound by S. Johnson
6:59.0,,,82-87,,Turnover by S. Johnson (bad pass; steal by J. Butler)
6:55.0,Turnover by J. Butler (lost ball),,82-87,,
6:40.0,,,82-89,2,R. Jackson makes 2-pt shot from 12 ft
6:40.0,Chicago full timeout,,82-89,,
6:40.0,J. Grant enters the game for I. Canaan,,82-89,,
6:40.0,,,82-89,,K. Caldwell-Pope enters the game for T. Harris
6:40.0,,,82-89,,M. Morris enters the game for S. Johnson
6:26.0,J. Butler misses 2-pt shot from 3 ft (block by A. Drummond),,82-89,,
6:25.0,Offensive rebound by J. Butler,,82-89,,
6:20.0,J. Grant misses 3-pt shot from 26 ft,,82-89,,
6:20.0,,,82-89,,Defensive rebound by A. Drummond
6:01.0,,,82-91,2,J. Leuer makes 2-pt shot from 7 ft (assist by M. Morris)
5:46.0,R. Lopez makes 2-pt shot at rim (assist by J. Butler),2,84-91,,
5:35.0,,,84-93,2,R. Jackson makes 2-pt shot at rim
5:35.0,,,84-93,,Shooting foul by R. Lopez (drawn by R. Jackson)
5:35.0,,,84-94,1,R. Jackson makes free throw 1 of 1
5:18.0,J. Butler makes 2-pt shot from 9 ft,2,86-94,,
5:02.0,,,86-97,3,K. Caldwell-Pope makes 3-pt shot from 26 ft (assist by R. Jackson)
4:42.0,Offensive foul by B. Portis,,86-97,,
4:42.0,Turnover by B. Portis (offensive foul),,86-97,,
4:42.0,A. Morrow enters the game for B. Portis,,86-97,,
4:42.0,,,86-97,,T. Harris enters the game for J. Leuer
4:32.0,,,86-97,,Turnover by R. Jackson (bad pass; steal by J. Grant)
4:26.0,P. Zipser makes 2-pt shot from 1 ft (assist by J. Grant),2,88-97,,
4:13.0,,,88-99,2,R. Jackson makes 2-pt shot from 1 ft
3:56.0,Turnover by J. Butler (lost ball; steal by A. Drummond),,88-99,,
3:48.0,,,88-99,,K. Caldwell-Pope misses 3-pt shot from 26 ft
3:47.0,Defensive rebound by J. Butler,,88-99,,
3:29.0,R. Lopez misses 2-pt shot from 17 ft,,88-99,,
3:29.0,,,88-99,,Defensive rebound by M. Morris
3:13.0,,,88-101,2,R. Jackson makes 2-pt shot from 17 ft
3:13.0,,,88-101,,Shooting foul by A. Morrow (drawn by R. Jackson)
