time,Washington,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. C. Zeller (O. Porter gains possession),,,,Jump ball: M. Gortat vs. C. Zeller (O. Porter gains possession)
11:36.0,M. Gortat misses 2-pt shot from 7 ft,,0-0,,
11:35.0,,,0-0,,Defensive rebound by N. Batum
11:24.0,,,0-2,2,C. Zeller makes 2-pt shot from 21 ft (assist by M. Kidd-Gilchrist)
11:11.0,M. Morris misses 2-pt shot from 21 ft,,0-2,,
11:11.0,Offensive rebound by Team,,0-2,,
11:02.0,J. Wall makes 2-pt shot from 16 ft,2,2-2,,
10:47.0,,,2-4,2,K. Walker makes 2-pt shot from 1 ft (assist by M. Williams)
10:35.0,B. Beal misses 3-pt shot from 25 ft,,2-4,,
10:34.0,,,2-4,,Defensive rebound by N. Batum
10:31.0,,,2-4,,Shooting foul by M. Gortat (drawn by M. Kidd-Gilchrist)
10:31.0,,,2-6,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by C. Zeller)
10:31.0,,,2-6,,M. Kidd-Gilchrist misses free throw 1 of 1
10:29.0,Defensive rebound by M. Gortat,,2-6,,
10:15.0,O. Porter makes 3-pt shot from 24 ft (assist by M. Gortat),3,5-6,,
9:59.0,,,5-6,,C. Zeller misses 2-pt shot from 18 ft
9:58.0,Defensive rebound by O. Porter,,5-6,,
9:50.0,J. Wall makes 2-pt shot from 18 ft,2,7-6,,
9:38.0,,,7-6,,K. Walker misses 3-pt shot from 25 ft
9:37.0,Defensive rebound by M. Morris,,7-6,,
9:20.0,M. Morris makes 2-pt shot from 12 ft,2,9-6,,
9:01.0,,,9-6,,M. Williams misses 3-pt shot from 28 ft
9:00.0,Defensive rebound by M. Morris,,9-6,,
8:49.0,O. Porter misses 3-pt shot from 25 ft,,9-6,,
8:48.0,,,9-6,,Defensive rebound by M. Kidd-Gilchrist
8:37.0,,,9-6,,Turnover by N. Batum (lost ball; steal by B. Beal)
8:26.0,O. Porter misses 3-pt shot from 24 ft,,9-6,,
8:25.0,,,9-6,,Defensive rebound by M. Kidd-Gilchrist
8:15.0,,,9-6,,Shooting foul by B. Beal (drawn by K. Walker)
8:15.0,,,9-7,1,K. Walker makes free throw 1 of 2
8:15.0,,,9-8,1,K. Walker makes free throw 2 of 2
8:01.0,B. Beal misses 2-pt shot from 2 ft,,9-8,,
8:00.0,Offensive rebound by O. Porter,,9-8,,
7:56.0,O. Porter makes 2-pt shot from 6 ft,2,11-8,,
7:45.0,Personal foul by B. Beal (drawn by N. Batum),,11-8,,
7:45.0,S. Mac enters the game for B. Beal,,11-8,,
7:35.0,,,11-10,2,M. Kidd-Gilchrist makes 2-pt shot at rim (assist by N. Batum)
7:22.0,O. Porter makes 2-pt shot from 19 ft (assist by J. Wall),2,13-10,,
7:05.0,,,13-10,,M. Kidd-Gilchrist misses 2-pt shot from 9 ft
7:03.0,Defensive rebound by O. Porter,,13-10,,
6:57.0,M. Gortat makes 2-pt shot from 2 ft (assist by J. Wall),2,15-10,,
6:57.0,,,15-10,,Charlotte full timeout
6:42.0,,,15-12,2,N. Batum makes 2-pt shot from 8 ft
6:27.0,O. Porter makes 2-pt shot at rim (assist by J. Wall),2,17-12,,
6:27.0,,,17-12,,Violation by N. Batum (def goaltending)
6:15.0,,,17-12,,K. Walker misses 2-pt shot from 19 ft
6:13.0,,,17-12,,Offensive rebound by C. Zeller
6:01.0,,,17-12,,K. Walker misses 2-pt shot from 1 ft
6:00.0,,,17-12,,Offensive rebound by C. Zeller
6:00.0,,,17-12,,C. Zeller misses 2-pt shot from 1 ft
5:58.0,Defensive rebound by J. Wall,,17-12,,
5:46.0,M. Morris misses 3-pt shot from 25 ft,,17-12,,
5:45.0,,,17-12,,Defensive rebound by K. Walker
5:34.0,,,17-12,,M. Kidd-Gilchrist misses 2-pt shot from 19 ft
5:33.0,Defensive rebound by M. Gortat,,17-12,,
5:23.0,O. Porter misses 3-pt shot from 23 ft,,17-12,,
5:22.0,,,17-12,,Defensive rebound by N. Batum
5:16.0,,,17-12,,M. Williams misses 3-pt shot from 22 ft
5:14.0,,,17-12,,Offensive rebound by C. Zeller
5:05.0,,,17-12,,N. Batum misses 2-pt shot from 2 ft
5:04.0,,,17-12,,Offensive rebound by M. Williams
4:56.0,,,17-12,,M. Kidd-Gilchrist misses 2-pt shot from 1 ft
4:55.0,Defensive rebound by M. Morris,,17-12,,
4:51.0,O. Porter misses 2-pt shot from 1 ft,,17-12,,
4:50.0,,,17-12,,Defensive rebound by M. Williams
4:42.0,,,17-14,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by M. Williams)
4:27.0,S. Mac misses 3-pt shot from 23 ft,,17-14,,
4:26.0,,,17-14,,Defensive rebound by C. Zeller
4:17.0,,,17-14,,Turnover by N. Batum (bad pass; steal by M. Gortat)
4:12.0,S. Mac misses 2-pt shot from 1 ft (block by M. Williams),,17-14,,
4:10.0,,,17-14,,Defensive rebound by C. Zeller
4:08.0,,,17-14,,Offensive charge foul by M. Kidd-Gilchrist
4:08.0,,,17-14,,Turnover by M. Kidd-Gilchrist (offensive foul)
4:08.0,Washington full timeout,,17-14,,
4:08.0,K. Oubre enters the game for M. Morris,,17-14,,
4:08.0,,,17-14,,M. Belinelli enters the game for M. Williams
4:08.0,,,17-14,,F. Kaminsky enters the game for N. Batum
3:56.0,J. Wall makes 2-pt shot from 19 ft,2,19-14,,
3:44.0,,,19-14,,K. Walker misses 3-pt shot from 26 ft
3:42.0,Defensive rebound by O. Porter,,19-14,,
3:27.0,J. Wall makes 2-pt shot from 15 ft,2,21-14,,
3:11.0,,,21-14,,M. Belinelli misses 3-pt shot from 25 ft
3:10.0,Defensive rebound by O. Porter,,21-14,,
2:58.0,Turnover by J. Wall (bad pass; steal by C. Zeller),,21-14,,
2:52.0,,,21-16,2,C. Zeller makes 2-pt shot from 1 ft (assist by K. Walker)
2:24.0,J. Wall makes 2-pt shot from 18 ft,2,23-16,,
2:02.0,,,23-19,3,F. Kaminsky makes 3-pt shot from 25 ft (assist by M. Belinelli)
1:46.0,M. Gortat makes 2-pt shot from 8 ft (assist by S. Mac),2,25-19,,
1:34.0,,,25-19,,Shooting foul by S. Mac (drawn by C. Zeller)
1:34.0,,,25-20,1,C. Zeller makes free throw 1 of 2
1:34.0,,,25-21,1,C. Zeller makes free throw 2 of 2
1:34.0,J. Smith enters the game for M. Gortat,,25-20,,
1:34.0,,,25-20,,R. Sessions enters the game for K. Walker
1:21.0,J. Wall misses 2-pt shot from 17 ft,,25-21,,
1:20.0,,,25-21,,Defensive rebound by M. Kidd-Gilchrist
1:13.0,,,25-21,,Shooting foul by S. Mac (drawn by M. Belinelli)
1:13.0,,,25-21,,M. Belinelli misses free throw 1 of 2
1:13.0,,,25-21,,Offensive rebound by Team
1:13.0,,,25-22,1,M. Belinelli makes free throw 2 of 2
1:13.0,,,25-21,,R. Hibbert enters the game for C. Zeller
