time,LA Clippers,pts.away,score,pts.home,Minnesota
4:06.0,,,83-97,1,R. Rubio makes technical free throw
3:55.0,,,83-97,,R. Rubio misses 3-pt shot from 24 ft
3:54.0,Defensive rebound by D. Jordan,,83-97,,
3:48.0,Violation by Team (delay of game),,83-97,,
3:48.0,Turnover by B. Griffin (lost ball; steal by G. Dieng),,83-97,,
3:48.0,Jump ball: G. Dieng vs. B. Griffin,,,,Jump ball: G. Dieng vs. B. Griffin
3:48.0,Loose ball foul by B. Griffin (drawn by G. Dieng),,83-97,,
3:48.0,,,83-98,1,G. Dieng makes free throw 1 of 2
3:48.0,,,83-98,,G. Dieng misses free throw 2 of 2
3:48.0,Defensive rebound by D. Jordan,,83-98,,
3:27.0,C. Paul misses 3-pt shot from 26 ft,,83-98,,
3:26.0,,,83-98,,Defensive rebound by T. Jones
3:06.0,,,83-100,2,T. Jones makes 2-pt shot from 7 ft (assist by K. Towns)
2:49.0,C. Paul makes 2-pt shot from 8 ft,2,85-100,,
2:25.0,,,85-103,3,T. Jones makes 3-pt shot from 25 ft (assist by R. Rubio)
2:24.0,LA Clippers full timeout,,85-103,,
2:24.0,A. Rivers enters the game for J. Redick,,85-103,,
2:24.0,R. Felton enters the game for C. Paul,,85-103,,
2:24.0,B. Bass enters the game for D. Jordan,,85-103,,
2:24.0,W. Johnson enters the game for B. Griffin,,85-103,,
2:05.0,R. Felton misses 2-pt shot from 20 ft,,85-103,,
2:04.0,,,85-103,,Defensive rebound by G. Dieng
1:49.0,,,85-105,2,A. Wiggins makes 2-pt shot at rim (assist by R. Rubio)
1:49.0,LA Clippers full timeout,,85-105,,
1:49.0,,,85-105,,N. Bjelica enters the game for K. Towns
1:49.0,,,85-105,,S. Muhammad enters the game for A. Wiggins
1:49.0,,,85-105,,K. Dunn enters the game for R. Rubio
1:33.0,A. Rivers makes 2-pt shot from 2 ft,2,87-105,,
1:33.0,Shooting foul by N. Bjelica (drawn by A. Rivers),,87-105,,
1:33.0,A. Rivers makes free throw 1 of 1,1,88-105,,
1:15.0,,,88-105,,K. Dunn misses 2-pt shot from 21 ft
1:14.0,Defensive rebound by W. Johnson,,88-105,,
1:08.0,Turnover by J. Crawford (lost ball),,88-105,,
0:50.0,,,88-105,,S. Muhammad misses 2-pt shot from 13 ft
0:48.0,Defensive rebound by B. Bass,,88-105,,
0:36.0,A. Rivers makes 3-pt shot from 26 ft,3,91-105,,
0:21.0,,,91-107,2,S. Muhammad makes 2-pt shot from 7 ft
0:13.0,Turnover by Team (turnover),,91-107,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
