time,LA Clippers,pts.away,score,pts.home,Minnesota
1:43.0,A. Rivers misses 2-pt shot from 1 ft,,12-27,,
1:42.0,,,12-27,,Defensive rebound by A. Wiggins
1:38.0,,,12-27,,Offensive charge foul by A. Wiggins
1:38.0,,,12-27,,Turnover by A. Wiggins (offensive foul)
1:29.0,,,12-27,,Personal foul by G. Dieng (drawn by B. Griffin)
1:21.0,M. Speights makes 3-pt shot from 25 ft (assist by A. Rivers),3,15-27,,
0:58.0,,,15-29,2,K. Dunn makes 2-pt shot from 7 ft
0:47.0,M. Speights misses 2-pt shot from 14 ft,,15-29,,
0:46.0,,,15-29,,Defensive rebound by K. Dunn
0:40.0,,,15-29,,K. Dunn misses 2-pt shot from 19 ft
0:39.0,Defensive rebound by B. Griffin,,15-29,,
0:29.0,M. Speights makes 2-pt shot at rim (assist by R. Felton),2,17-29,,
0:09.0,,,17-29,,Shooting foul by R. Felton (drawn by A. Wiggins)
0:09.0,,,17-29,,Technical foul by G. Dieng
0:09.0,Technical foul by B. Griffin,,17-29,,
0:09.0,,,17-30,1,A. Wiggins makes free throw 1 of 2
0:09.0,,,17-31,1,A. Wiggins makes free throw 2 of 2
0:01.0,Shooting foul by K. Dunn (drawn by B. Griffin),,17-31,,
0:01.0,B. Griffin makes free throw 1 of 2,1,18-31,,
0:01.0,B. Griffin makes free throw 2 of 2,1,19-31,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,,,19-31,,Turnover by T. Jones (bad pass; steal by R. Felton)
11:26.0,R. Felton makes 2-pt shot from 16 ft,2,21-31,,
11:10.0,,,21-31,,K. Towns misses 2-pt shot from 7 ft
11:09.0,,,21-31,,Offensive rebound by N. Bjelica
11:09.0,,,21-31,,N. Bjelica misses 2-pt shot from 1 ft
11:07.0,Defensive rebound by M. Speights,,21-31,,
11:02.0,Shooting foul by K. Dunn (drawn by J. Crawford),,21-31,,
11:02.0,,,21-31,,Technical foul by K. Dunn (drawn by J. Crawford)
11:02.0,J. Crawford makes technical free throw,1,22-31,,
11:02.0,J. Crawford makes free throw 1 of 2,1,23-31,,
11:02.0,J. Crawford makes free throw 2 of 2,1,24-31,,
10:52.0,,,24-31,,N. Bjelica misses 2-pt shot from 2 ft
10:51.0,Defensive rebound by M. Speights,,24-31,,
10:42.0,J. Crawford misses 3-pt shot from 26 ft,,24-31,,
10:41.0,,,24-31,,Defensive rebound by L. Stephenson
10:37.0,,,24-33,2,T. Jones makes 2-pt shot from 3 ft (assist by K. Dunn)
10:20.0,M. Speights makes 3-pt shot from 25 ft (assist by A. Rivers),3,27-33,,
10:00.0,,,27-33,,T. Jones misses 3-pt shot from 23 ft
9:59.0,,,27-33,,Offensive rebound by K. Towns
9:57.0,,,27-35,2,K. Towns makes 2-pt shot from 3 ft
9:41.0,Turnover by J. Crawford (step out of bounds),,27-35,,
9:20.0,,,27-38,3,K. Dunn makes 3-pt shot from 26 ft (assist by L. Stephenson)
9:00.0,M. Speights misses 3-pt shot from 26 ft,,27-38,,
9:00.0,,,27-38,,Defensive rebound by L. Stephenson
8:56.0,,,27-40,2,K. Towns makes 2-pt shot at rim (assist by L. Stephenson)
8:53.0,LA Clippers full timeout,,27-40,,
8:53.0,LA Clippers full timeout,,27-40,,
8:53.0,D. Jordan enters the game for M. Speights,,27-40,,
8:42.0,,,27-40,,Personal foul by K. Dunn (drawn by A. Rivers)
8:42.0,,,27-40,,R. Rubio enters the game for K. Dunn
8:32.0,A. Rivers misses 3-pt shot from 26 ft,,27-40,,
8:31.0,Offensive rebound by D. Jordan,,27-40,,
8:29.0,D. Jordan makes 2-pt shot from 3 ft,2,29-40,,
8:08.0,,,29-40,,Shooting foul by A. Rivers (drawn by R. Rubio)
8:08.0,,,29-41,1,R. Rubio makes free throw 1 of 2
8:08.0,,,29-42,1,R. Rubio makes free throw 2 of 2
7:56.0,J. Crawford misses 2-pt shot from 20 ft,,29-42,,
7:56.0,,,29-42,,Defensive rebound by T. Jones
7:52.0,,,29-44,2,L. Stephenson makes 2-pt shot from 1 ft (assist by T. Jones)
7:32.0,A. Rivers makes 3-pt shot from 25 ft,3,32-44,,
7:15.0,,,32-44,,N. Bjelica misses 3-pt shot from 27 ft
7:14.0,Defensive rebound by A. Rivers,,32-44,,
7:11.0,,,32-44,,Flagrant foul type 1 by T. Jones (drawn by A. Rivers)
7:11.0,A. Rivers misses flagrant free throw 1 of 2,,32-44,,
7:11.0,Offensive rebound by Team,,32-44,,
7:11.0,A. Rivers makes flagrant free throw 2 of 2,1,33-44,,
7:11.0,C. Paul enters the game for J. Crawford,,32-44,,
7:11.0,B. Griffin enters the game for W. Johnson,,32-44,,
6:58.0,R. Felton misses 2-pt shot from 8 ft,,33-44,,
6:57.0,,,33-44,,Defensive rebound by K. Towns
6:39.0,,,33-46,2,K. Towns makes 2-pt shot from 13 ft
6:34.0,,,33-46,,Personal foul by K. Towns (drawn by D. Jordan)
6:34.0,J. Redick enters the game for R. Felton,,33-46,,
6:25.0,B. Griffin misses 2-pt shot from 3 ft,,33-46,,
6:24.0,Offensive rebound by D. Jordan,,33-46,,
6:24.0,D. Jordan makes 2-pt shot from 1 ft,2,35-46,,
6:09.0,,,35-46,,K. Towns misses 3-pt shot from 25 ft
6:08.0,Defensive rebound by A. Rivers,,35-46,,
5:53.0,Shooting foul by K. Towns (drawn by B. Griffin),,35-46,,
5:53.0,,,35-46,,Minnesota full timeout
5:53.0,B. Griffin makes free throw 1 of 2,1,36-46,,
5:53.0,B. Griffin makes free throw 2 of 2,1,37-46,,
5:53.0,,,35-46,,G. Dieng enters the game for N. Bjelica
5:53.0,,,35-46,,A. Wiggins enters the game for T. Jones
5:38.0,,,37-46,,A. Wiggins misses 3-pt shot from 26 ft
5:36.0,Defensive rebound by D. Jordan,,37-46,,
5:26.0,J. Redick misses 3-pt shot from 26 ft,,37-46,,
5:25.0,,,37-46,,Defensive rebound by K. Towns
5:15.0,,,37-48,2,K. Towns makes 2-pt shot from 1 ft (assist by A. Wiggins)
5:04.0,A. Rivers misses 3-pt shot from 26 ft,,37-48,,
5:03.0,,,37-48,,Defensive rebound by R. Rubio
4:45.0,,,37-48,,R. Rubio misses 3-pt shot from 24 ft
4:44.0,Defensive rebound by Team,,37-48,,
4:36.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,39-48,,
4:22.0,Personal foul by D. Jordan (drawn by K. Towns),,39-48,,
4:09.0,,,39-50,2,G. Dieng makes 2-pt shot from 13 ft (assist by R. Rubio)
3:45.0,Turnover by B. Griffin (bad pass; steal by G. Dieng),,39-50,,
3:41.0,Shooting block foul by B. Griffin (drawn by A. Wiggins),,39-50,,
3:41.0,LA Clippers full timeout,,39-50,,
3:41.0,,,39-51,1,A. Wiggins makes free throw 1 of 2
3:41.0,,,39-52,1,A. Wiggins makes free throw 2 of 2
3:23.0,Shooting foul by G. Dieng (drawn by D. Jordan),,39-52,,
3:23.0,D. Jordan makes free throw 1 of 2,1,40-52,,
3:23.0,D. Jordan makes free throw 2 of 2,1,41-52,,
3:09.0,,,41-52,,A. Wiggins misses 2-pt shot from 12 ft
3:08.0,,,41-52,,Offensive rebound by K. Towns
3:08.0,,,41-54,2,K. Towns makes 2-pt shot at rim
2:57.0,J. Redick makes 3-pt shot from 24 ft (assist by C. Paul),3,44-54,,
2:37.0,,,44-54,,Offensive charge foul by K. Towns
2:37.0,,,44-54,,Turnover by K. Towns (offensive foul)
2:37.0,,,44-54,,C. Aldrich enters the game for K. Towns
2:25.0,C. Paul misses 3-pt shot from 26 ft,,44-54,,
2:24.0,Offensive rebound by Team,,44-54,,
2:24.0,,,44-54,,Loose ball foul by C. Aldrich (drawn by D. Jordan)
2:24.0,D. Jordan misses free throw 1 of 2,,44-54,,
2:24.0,Offensive rebound by Team,,44-54,,
2:24.0,D. Jordan misses free throw 2 of 2,,44-54,,
2:23.0,,,44-54,,Defensive rebound by R. Rubio
2:08.0,,,44-56,2,L. Stephenson makes 2-pt shot at rim (assist by G. Dieng)
1:53.0,B. Griffin makes 3-pt shot from 26 ft (assist by A. Rivers),3,47-56,,
1:36.0,,,47-56,,R. Rubio misses 3-pt shot from 24 ft
1:35.0,,,47-56,,Offensive rebound by A. Wiggins
1:33.0,,,47-56,,Shooting foul by A. Rivers (drawn by A. Wiggins)
1:33.0,,,47-57,1,A. Wiggins makes free throw 1 of 2
1:33.0,,,47-58,1,A. Wiggins makes free throw 2 of 2
1:24.0,D. Jordan makes 2-pt shot from 1 ft (assist by C. Paul),2,49-58,,
1:24.0,Shooting foul by R. Rubio (drawn by D. Jordan),,49-58,,
1:24.0,D. Jordan misses free throw 1 of 1,,49-58,,
1:24.0,L. Mbah a Moute enters the game for A. Rivers,,49-58,,
1:23.0,,,49-58,,Defensive rebound by R. Rubio
1:13.0,,,49-58,,L. Stephenson misses 3-pt shot from 25 ft
1:12.0,,,49-58,,Offensive rebound by C. Aldrich
1:01.0,,,49-58,,C. Aldrich misses 2-pt shot from 1 ft
1:00.0,Defensive rebound by D. Jordan,,49-58,,
0:54.0,J. Redick makes 3-pt shot from 26 ft (assist by C. Paul),3,52-58,,
0:39.0,,,52-58,,A. Wiggins misses 2-pt shot from 21 ft
0:38.0,Defensive rebound by C. Paul,,52-58,,
0:32.0,C. Paul misses 3-pt shot from 25 ft,,52-58,,
0:31.0,,,52-58,,Defensive rebound by C. Aldrich
0:08.0,,,52-58,,R. Rubio misses 2-pt shot from 22 ft
0:07.0,Defensive rebound by D. Jordan,,52-58,,
0:00.0,C. Paul makes 3-pt shot from 46 ft,3,55-58,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,Personal foul by D. Jordan (drawn by K. Towns),,55-58,,
11:38.0,,,55-58,,S. Muhammad misses 3-pt shot from 25 ft
11:36.0,,,55-58,,Offensive rebound by G. Dieng
11:33.0,,,55-58,,K. Towns misses 3-pt shot from 25 ft
11:32.0,Defensive rebound by D. Jordan,,55-58,,
11:13.0,J. Redick makes 2-pt shot from 19 ft (assist by D. Jordan),2,57-58,,
10:49.0,,,57-60,2,K. Towns makes 2-pt shot from 5 ft (assist by R. Rubio)
10:37.0,J. Redick misses 2-pt shot from 19 ft,,57-60,,
10:36.0,,,57-60,,Defensive rebound by K. Towns
10:26.0,,,57-60,,K. Towns misses 3-pt shot from 25 ft
10:25.0,,,57-60,,Offensive rebound by Team
10:25.0,Loose ball foul by B. Griffin (drawn by G. Dieng),,57-60,,
10:15.0,,,57-62,2,S. Muhammad makes 2-pt shot from 11 ft (assist by R. Rubio)
9:44.0,B. Griffin misses 2-pt shot from 21 ft,,57-62,,
9:43.0,Offensive rebound by D. Jordan,,57-62,,
9:43.0,D. Jordan makes 2-pt shot from 1 ft,2,59-62,,
9:23.0,,,59-64,2,A. Wiggins makes 2-pt shot from 1 ft
9:10.0,D. Jordan makes 2-pt shot from 1 ft (assist by C. Paul),2,61-64,,
8:54.0,,,61-64,,Turnover by S. Muhammad (lost ball; steal by J. Redick)
8:49.0,J. Redick misses 3-pt shot from 25 ft,,61-64,,
8:48.0,,,61-64,,Defensive rebound by K. Towns
8:32.0,,,61-64,,G. Dieng misses 2-pt shot from 16 ft
