time,Boston,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. J. Okafor (D. Saric gains possession),,,,Jump ball: A. Johnson vs. J. Okafor (D. Saric gains possession)
11:37.0,,,0-0,,T. Luwawu-Cabarrot misses 2-pt shot from 3 ft
11:37.0,Defensive rebound by Team,,0-0,,
11:18.0,M. Smart misses 2-pt shot from 2 ft,,0-0,,
11:16.0,,,0-0,,Defensive rebound by R. Covington
10:55.0,,,0-2,2,J. Okafor makes 2-pt shot from 4 ft (assist by D. Saric)
10:40.0,A. Horford makes 2-pt shot from 5 ft,2,2-2,,
10:21.0,,,2-2,,D. Saric misses 2-pt shot from 17 ft
10:20.0,Defensive rebound by J. Crowder,,2-2,,
10:11.0,A. Bradley misses 3-pt shot from 25 ft,,2-2,,
10:09.0,,,2-2,,Defensive rebound by R. Covington
10:04.0,,,2-2,,D. Saric misses 2-pt shot from 1 ft (block by A. Johnson)
10:02.0,,,2-2,,Offensive rebound by J. Okafor
10:01.0,,,2-4,2,J. Okafor makes 2-pt shot from 1 ft
9:45.0,A. Bradley misses 3-pt shot from 23 ft,,2-4,,
9:44.0,,,2-4,,Defensive rebound by R. Covington
9:38.0,,,2-6,2,D. Saric makes 2-pt shot at rim (assist by T. McConnell)
9:22.0,J. Crowder makes 2-pt shot from 15 ft (assist by A. Horford),2,4-6,,
9:06.0,,,4-6,,J. Okafor misses 2-pt shot from 4 ft
9:04.0,Defensive rebound by A. Horford,,4-6,,
8:56.0,Shooting foul by J. Okafor (drawn by J. Crowder),,4-6,,
8:56.0,J. Crowder misses free throw 1 of 2,,4-6,,
8:56.0,Offensive rebound by Team,,4-6,,
8:56.0,J. Crowder makes free throw 2 of 2,1,5-6,,
8:42.0,,,5-9,3,R. Covington makes 3-pt shot from 25 ft (assist by T. McConnell)
8:25.0,A. Horford makes 2-pt shot from 8 ft (assist by M. Smart),2,7-9,,
7:58.0,,,7-9,,T. McConnell misses 3-pt shot from 25 ft
7:58.0,,,7-9,,Offensive rebound by Team
7:58.0,,,7-9,,Turnover by Team (shot clock)
7:49.0,A. Bradley makes 2-pt shot from 19 ft (assist by M. Smart),2,9-9,,
7:48.0,,,9-9,,Philadelphia full timeout
7:27.0,,,9-9,,R. Covington misses 2-pt shot from 14 ft
7:26.0,Defensive rebound by J. Crowder,,9-9,,
7:12.0,A. Horford misses 2-pt shot from 18 ft,,9-9,,
7:11.0,Offensive rebound by M. Smart,,9-9,,
7:08.0,J. Crowder misses 3-pt shot from 26 ft,,9-9,,
7:07.0,,,9-9,,Defensive rebound by D. Saric
7:00.0,,,9-9,,D. Saric misses 2-pt shot from 3 ft
6:57.0,Defensive rebound by A. Horford,,9-9,,
6:57.0,,,9-9,,Personal foul by T. Luwawu-Cabarrot (drawn by M. Smart)
6:57.0,,,9-9,,G. Henderson enters the game for R. Covington
6:48.0,M. Smart misses 2-pt shot from 17 ft,,9-9,,
6:46.0,,,9-9,,Defensive rebound by D. Saric
6:29.0,,,9-9,,T. Luwawu-Cabarrot misses 3-pt shot from 26 ft
6:29.0,Defensive rebound by Team,,9-9,,
6:21.0,Shooting foul by G. Henderson (drawn by J. Crowder),,9-9,,
6:21.0,J. Crowder makes free throw 1 of 2,1,10-9,,
6:21.0,J. Crowder makes free throw 2 of 2,1,11-9,,
6:21.0,,,10-9,,R. Holmes enters the game for J. Okafor
6:08.0,,,11-9,,Shooting foul by A. Johnson (drawn by T. Luwawu-Cabarrot)
