time,New Orleans,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. A. Drummond (J. Holiday gains possession),,,,Jump ball: A. Davis vs. A. Drummond (J. Holiday gains possession)
11:42.0,B. Hield makes 2-pt shot at rim (assist by A. Davis),2,2-0,,
11:18.0,,,2-0,,R. Jackson misses 2-pt shot from 9 ft
11:17.0,Defensive rebound by J. Holiday,,2-0,,
11:15.0,Turnover by J. Holiday (bad pass; steal by K. Caldwell-Pope),,2-0,,
11:09.0,,,2-3,3,K. Caldwell-Pope makes 3-pt shot from 25 ft
10:59.0,B. Hield misses 3-pt shot from 27 ft,,2-3,,
10:59.0,,,2-3,,Defensive rebound by M. Morris
10:48.0,,,2-3,,M. Morris misses 2-pt shot from 13 ft
10:46.0,Defensive rebound by A. Davis,,2-3,,
10:30.0,A. Davis makes 2-pt shot from 6 ft,2,4-3,,
10:17.0,,,4-3,,R. Jackson misses 3-pt shot from 26 ft
10:17.0,Defensive rebound by B. Hield,,4-3,,
10:10.0,Turnover by B. Hield (bad pass; steal by A. Drummond),,4-3,,
10:04.0,,,4-5,2,K. Caldwell-Pope makes 2-pt shot at rim (assist by R. Jackson)
9:39.0,A. Davis makes 2-pt shot from 9 ft,2,6-5,,
9:27.0,,,6-5,,Turnover by K. Caldwell-Pope (lost ball; steal by B. Hield)
9:18.0,B. Hield misses 3-pt shot from 26 ft,,6-5,,
9:18.0,,,6-5,,Defensive rebound by J. Leuer
9:06.0,,,6-5,,J. Leuer misses 3-pt shot from 24 ft
9:06.0,Defensive rebound by B. Hield,,6-5,,
8:50.0,A. Davis makes 2-pt shot from 6 ft,2,8-5,,
8:40.0,,,8-5,,Shooting foul by B. Hield (drawn by K. Caldwell-Pope)
8:40.0,,,8-6,1,K. Caldwell-Pope makes free throw 1 of 3
8:40.0,,,8-7,1,K. Caldwell-Pope makes free throw 2 of 3
8:40.0,,,8-8,1,K. Caldwell-Pope makes free throw 3 of 3
8:23.0,Turnover by A. Davis (lost ball; steal by A. Drummond),,8-8,,
8:20.0,Personal foul by S. Hill (drawn by M. Morris),,8-8,,
8:08.0,,,8-8,,M. Morris misses 2-pt shot from 2 ft (block by A. Davis)
8:07.0,Defensive rebound by S. Hill,,8-8,,
8:01.0,J. Holiday misses 3-pt shot from 26 ft,,8-8,,
8:01.0,,,8-8,,Defensive rebound by J. Leuer
7:55.0,,,8-11,3,K. Caldwell-Pope makes 3-pt shot from 27 ft (assist by J. Leuer)
7:43.0,J. Holiday makes 2-pt shot from 1 ft,2,10-11,,
7:22.0,,,10-11,,J. Leuer misses 2-pt shot from 8 ft
7:22.0,Defensive rebound by B. Hield,,10-11,,
7:11.0,T. Jones makes 2-pt shot at rim (assist by A. Davis),2,12-11,,
7:05.0,,,12-11,,Detroit full timeout
6:55.0,,,12-11,,K. Caldwell-Pope misses 3-pt shot from 26 ft
6:55.0,,,12-11,,Offensive rebound by A. Drummond
6:45.0,,,12-11,,A. Drummond misses 2-pt shot from 6 ft
6:43.0,Defensive rebound by J. Holiday,,12-11,,
6:41.0,T. Jones makes 2-pt shot from 1 ft (assist by J. Holiday),2,14-11,,
6:41.0,Shooting foul by M. Morris (drawn by T. Jones),,14-11,,
6:41.0,T. Jones makes free throw 1 of 1,1,15-11,,
6:22.0,,,15-13,2,A. Drummond makes 2-pt shot from 7 ft
5:59.0,A. Davis misses 2-pt shot from 7 ft,,15-13,,
5:59.0,,,15-13,,Defensive rebound by Team
5:49.0,,,15-16,3,M. Morris makes 3-pt shot from 26 ft (assist by J. Leuer)
5:33.0,B. Hield misses 2-pt shot from 4 ft,,15-16,,
5:32.0,,,15-16,,Defensive rebound by K. Caldwell-Pope
5:25.0,,,15-18,2,J. Leuer makes 2-pt shot at rim (assist by K. Caldwell-Pope)
5:11.0,J. Holiday makes 2-pt shot at rim,2,17-18,,
4:53.0,,,17-18,,K. Caldwell-Pope misses 2-pt shot from 8 ft
4:53.0,,,17-18,,Offensive rebound by M. Morris
4:53.0,,,17-18,,Turnover by M. Morris (lost ball)
4:53.0,,,17-18,,T. Harris enters the game for J. Leuer
4:53.0,D. Motiejunas enters the game for S. Hill,,17-18,,
4:53.0,D. Cunningham enters the game for T. Jones,,17-18,,
4:37.0,A. Davis makes 2-pt shot at rim (assist by J. Holiday),2,19-18,,
4:27.0,,,19-18,,Turnover by A. Drummond (bad pass; steal by J. Holiday)
4:13.0,D. Cunningham misses 3-pt shot from 25 ft,,19-18,,
4:13.0,,,19-18,,Defensive rebound by T. Harris
4:02.0,,,19-20,2,R. Jackson makes 2-pt shot from 15 ft
3:45.0,,,19-20,,I. Smith enters the game for R. Jackson
3:45.0,E. Moore enters the game for B. Hield,,19-20,,
3:39.0,Shooting foul by A. Drummond (drawn by A. Davis),,19-20,,
3:39.0,A. Davis makes free throw 1 of 2,1,20-20,,
3:39.0,A. Davis makes free throw 2 of 2,1,21-20,,
3:19.0,,,21-22,2,A. Drummond makes 2-pt shot from 7 ft (assist by T. Harris)
