time,LA Clippers,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. D. Jordan (C. Paul gains possession),,,,Jump ball: A. Davis vs. D. Jordan (C. Paul gains possession)
11:43.0,B. Griffin misses 2-pt shot from 6 ft,,0-0,,
11:42.0,,,0-0,,Defensive rebound by O. Asik
11:19.0,,,0-0,,Violation by Team (jump ball)
11:14.0,,,0-0,,Turnover by Team (shot clock)
11:02.0,R. Felton misses 2-pt shot from 15 ft,,0-0,,
11:01.0,,,0-0,,Defensive rebound by O. Asik
10:54.0,,,0-2,2,T. Frazier makes 2-pt shot from 5 ft
10:46.0,B. Griffin makes 2-pt shot from 20 ft (assist by R. Felton),2,2-2,,
10:33.0,,,2-2,,A. Davis misses 2-pt shot from 8 ft
10:32.0,Defensive rebound by L. Mbah a Moute,,2-2,,
10:22.0,Shooting foul by T. Frazier (drawn by C. Paul),,2-2,,
10:22.0,C. Paul makes free throw 1 of 2,1,3-2,,
10:22.0,C. Paul makes free throw 2 of 2,1,4-2,,
10:06.0,,,4-2,,A. Davis misses 2-pt shot from 6 ft
10:06.0,,,4-2,,Offensive rebound by A. Davis
10:06.0,,,4-4,2,A. Davis makes 2-pt shot from 6 ft
10:06.0,,,4-4,,Violation by Team (jump ball)
9:44.0,D. Jordan makes 2-pt shot at rim (assist by B. Griffin),2,6-4,,
9:44.0,,,6-4,,Turnover by T. Frazier (bad pass)
9:30.0,B. Griffin misses 2-pt shot from 13 ft,,6-4,,
9:30.0,,,6-4,,Defensive rebound by S. Hill
9:15.0,,,6-4,,O. Asik misses 2-pt shot from 4 ft (block by B. Griffin)
9:11.0,Defensive rebound by B. Griffin,,6-4,,
8:59.0,R. Felton makes 2-pt shot from 20 ft,2,8-4,,
8:45.0,,,8-6,2,A. Davis makes 2-pt shot from 13 ft (assist by T. Frazier)
8:22.0,Turnover by R. Felton (lost ball; steal by J. Holiday),,8-6,,
8:17.0,,,8-6,,T. Frazier misses 2-pt shot from 2 ft
8:16.0,Defensive rebound by R. Felton,,8-6,,
8:04.0,L. Mbah a Moute misses 2-pt shot from 4 ft,,8-6,,
8:04.0,Offensive rebound by D. Jordan,,8-6,,
8:01.0,D. Jordan makes 2-pt shot from 2 ft,2,10-6,,
7:50.0,,,10-6,,Turnover by O. Asik (traveling)
7:42.0,C. Paul makes 2-pt shot from 17 ft,2,12-6,,
7:35.0,,,12-6,,New Orleans full timeout
7:25.0,,,12-9,3,J. Holiday makes 3-pt shot from 26 ft (assist by A. Davis)
7:05.0,C. Paul misses 3-pt shot from 26 ft,,12-9,,
7:05.0,,,12-9,,Defensive rebound by S. Hill
6:57.0,,,12-9,,T. Frazier misses 3-pt shot from 24 ft
6:57.0,Defensive rebound by C. Paul,,12-9,,
6:55.0,Offensive foul by B. Griffin,,12-9,,
6:55.0,Turnover by B. Griffin (offensive foul),,12-9,,
6:34.0,,,12-11,2,A. Davis makes 2-pt shot from 9 ft (assist by T. Frazier)
6:19.0,B. Griffin misses 2-pt shot from 17 ft,,12-11,,
6:18.0,,,12-11,,Defensive rebound by J. Holiday
6:16.0,,,12-11,,Offensive foul by A. Davis
6:16.0,,,12-11,,Turnover by A. Davis (offensive foul)
6:01.0,Turnover by R. Felton (lost ball; steal by T. Frazier),,12-11,,
5:46.0,,,12-11,,J. Holiday misses 2-pt shot from 20 ft
5:46.0,Defensive rebound by D. Jordan,,12-11,,
5:34.0,R. Felton misses 3-pt shot from 25 ft,,12-11,,
5:33.0,,,12-11,,Defensive rebound by O. Asik
5:28.0,,,12-11,,Shooting foul by R. Felton (drawn by T. Frazier)
5:28.0,,,12-12,1,T. Frazier makes free throw 1 of 2
5:28.0,,,12-12,,T. Frazier misses free throw 2 of 2
5:28.0,A. Rivers enters the game for R. Felton,,12-12,,
5:28.0,,,12-12,,E. Moore enters the game for J. Holiday
5:27.0,Defensive rebound by D. Jordan,,12-12,,
5:15.0,B. Griffin makes 2-pt shot from 21 ft (assist by C. Paul),2,14-12,,
5:03.0,,,14-12,,Turnover by S. Hill (step out of bounds)
4:50.0,B. Griffin misses 2-pt shot from 19 ft,,14-12,,
4:49.0,Offensive rebound by C. Paul,,14-12,,
4:42.0,B. Griffin misses 2-pt shot from 3 ft (block by O. Asik),,14-12,,
4:37.0,Offensive rebound by C. Paul,,14-12,,
4:30.0,L. Mbah a Moute makes 2-pt shot from 16 ft (assist by D. Jordan),2,16-12,,
4:21.0,,,16-12,,A. Davis misses 2-pt shot from 19 ft
4:20.0,,,16-12,,Offensive rebound by O. Asik
4:16.0,,,16-14,2,O. Asik makes 2-pt shot from 3 ft
4:16.0,LA Clippers full timeout,,16-14,,
4:16.0,,,16-14,,T. Jones enters the game for O. Asik
4:03.0,L. Mbah a Moute misses 3-pt shot from 24 ft,,16-14,,
4:03.0,,,16-14,,Defensive rebound by T. Jones
3:47.0,,,16-17,3,S. Hill makes 3-pt shot from 23 ft (assist by A. Davis)
3:18.0,A. Rivers misses 3-pt shot from 27 ft,,16-17,,
3:18.0,,,16-17,,Defensive rebound by T. Frazier
3:11.0,B. Griffin makes free throw 1 of 1,1,17-17,,
3:11.0,,,17-19,2,T. Jones makes 2-pt shot from 3 ft (assist by T. Frazier)
3:11.0,B. Griffin makes 2-pt shot at rim,2,19-19,,
3:11.0,Shooting foul by E. Moore (drawn by B. Griffin),,19-19,,
3:11.0,J. Crawford enters the game for L. Mbah a Moute,,16-17,,
2:47.0,,,19-21,2,A. Davis makes 2-pt shot from 3 ft (assist by T. Jones)
2:47.0,B. Griffin misses 2-pt shot from 11 ft,,19-21,,
2:47.0,,,19-21,,Defensive rebound by A. Davis
2:25.0,,,19-21,,Shooting foul by J. Crawford (drawn by T. Frazier)
2:25.0,,,19-22,1,T. Frazier makes free throw 1 of 2
2:25.0,,,19-23,1,T. Frazier makes free throw 2 of 2
2:25.0,M. Speights enters the game for D. Jordan,,19-22,,
2:08.0,C. Paul makes 2-pt shot from 15 ft,2,21-23,,
1:57.0,,,21-25,2,E. Moore makes 2-pt shot from 7 ft
1:40.0,M. Speights misses 2-pt shot from 17 ft,,21-25,,
1:39.0,,,21-25,,Defensive rebound by T. Jones
1:32.0,,,21-25,,Turnover by T. Frazier (lost ball; steal by M. Speights)
1:26.0,A. Rivers makes 2-pt shot at rim (assist by C. Paul),2,23-25,,
1:09.0,,,23-28,3,E. Moore makes 3-pt shot from 26 ft (assist by T. Frazier)
0:48.0,M. Speights misses 2-pt shot from 4 ft (block by A. Davis),,23-28,,
0:45.0,,,23-28,,Defensive rebound by A. Davis
0:40.0,,,23-28,,E. Moore misses 3-pt shot from 24 ft
0:40.0,,,23-28,,Offensive rebound by A. Davis
0:36.0,,,23-28,,A. Davis misses 2-pt shot from 18 ft
0:35.0,Defensive rebound by B. Griffin,,23-28,,
0:28.0,B. Griffin makes 2-pt shot at rim (assist by C. Paul),2,25-28,,
0:04.0,,,25-30,2,E. Moore makes 2-pt shot from 16 ft (assist by T. Frazier)
0:00.0,A. Rivers misses 3-pt shot from 24 ft (block by S. Hill),,25-30,,
0:00.0,Offensive rebound by Team,,25-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,,,25-32,2,A. Ajinca makes 2-pt shot from 1 ft (assist by L. Galloway)
11:23.0,Shooting foul by T. Jones (drawn by P. Pierce),,25-32,,
11:23.0,P. Pierce makes free throw 1 of 2,1,26-32,,
11:23.0,P. Pierce makes free throw 2 of 2,1,27-32,,
11:17.0,,,27-32,,Turnover by E. Moore (lost ball; steal by R. Felton)
11:11.0,R. Felton makes 2-pt shot from 3 ft,2,29-32,,
10:54.0,,,29-34,2,E. Moore makes 2-pt shot from 21 ft
10:36.0,R. Felton misses 2-pt shot from 5 ft (block by E. Moore),,29-34,,
10:36.0,Offensive rebound by Team,,29-34,,
10:28.0,Shooting foul by A. Ajinca (drawn by M. Speights),,29-34,,
10:28.0,M. Speights makes free throw 1 of 2,1,30-34,,
10:28.0,M. Speights misses free throw 2 of 2,,30-34,,
10:26.0,,,30-34,,Defensive rebound by A. Ajinca
10:19.0,,,30-34,,Shooting foul by P. Pierce (drawn by T. Jones)
10:19.0,,,30-35,1,T. Jones makes free throw 1 of 2
10:19.0,,,30-36,1,T. Jones makes free throw 2 of 2
10:13.0,,,30-36,,Personal foul by L. Galloway (drawn by R. Felton)
10:06.0,J. Crawford makes 2-pt shot from 15 ft (assist by R. Felton),2,32-36,,
9:48.0,,,32-36,,T. Jones misses 2-pt shot from 7 ft (block by P. Pierce)
9:46.0,Defensive rebound by M. Speights,,32-36,,
9:39.0,J. Crawford misses 2-pt shot from 21 ft,,32-36,,
9:38.0,,,32-36,,Defensive rebound by T. Jones
9:23.0,Personal foul by R. Felton (drawn by E. Moore),,32-36,,
9:11.0,,,32-36,,E. Moore misses 2-pt shot from 18 ft
9:10.0,,,32-36,,Offensive rebound by A. Brown
9:06.0,,,32-38,2,A. Brown makes 2-pt shot from 3 ft
8:58.0,P. Pierce makes 3-pt shot from 23 ft (assist by M. Speights),3,35-38,,
8:42.0,,,35-38,,L. Galloway misses 2-pt shot from 20 ft
8:42.0,Defensive rebound by M. Speights,,35-38,,
8:31.0,R. Felton misses 2-pt shot from 4 ft,,35-38,,
8:31.0,,,35-38,,Defensive rebound by A. Ajinca
8:25.0,,,35-38,,L. Galloway misses 3-pt shot from 24 ft
8:24.0,,,35-38,,Offensive rebound by T. Jones
8:22.0,Official timeout,,35-38,,
8:22.0,,,35-38,,J. Holiday enters the game for E. Moore
8:14.0,,,35-40,2,L. Galloway makes 2-pt shot from 18 ft
7:57.0,A. Rivers misses 2-pt shot from 20 ft,,35-40,,
7:56.0,,,35-40,,Defensive rebound by J. Holiday
7:51.0,,,35-42,2,A. Brown makes 2-pt shot from 5 ft (assist by J. Holiday)
7:26.0,P. Pierce misses 3-pt shot from 26 ft,,35-42,,
7:23.0,,,35-42,,Defensive rebound by L. Galloway
7:18.0,,,35-44,2,T. Jones makes 2-pt shot at rim (assist by A. Brown)
7:18.0,LA Clippers full timeout,,35-44,,
7:18.0,D. Jordan enters the game for R. Felton,,35-44,,
7:18.0,L. Mbah a Moute enters the game for A. Rivers,,35-44,,
7:18.0,C. Paul enters the game for M. Speights,,35-44,,
7:18.0,B. Griffin enters the game for P. Pierce,,35-44,,
7:09.0,,,35-44,,Personal foul by T. Jones (drawn by D. Jordan)
7:02.0,J. Crawford makes 2-pt shot from 19 ft (assist by C. Paul),2,37-44,,
6:46.0,,,37-44,,A. Ajinca misses 2-pt shot from 6 ft (block by B. Griffin)
6:44.0,Defensive rebound by B. Griffin,,37-44,,
6:44.0,,,37-44,,Personal foul by A. Brown (drawn by D. Jordan)
6:44.0,D. Jordan makes free throw 1 of 2,1,38-44,,
6:44.0,D. Jordan makes free throw 2 of 2,1,39-44,,
6:44.0,,,38-44,,S. Hill enters the game for T. Jones
6:44.0,,,38-44,,O. Asik enters the game for A. Ajinca
6:32.0,,,39-44,,L. Galloway misses 2-pt shot from 2 ft
6:31.0,,,39-44,,Offensive rebound by L. Galloway
6:26.0,,,39-44,,S. Hill misses 3-pt shot from 26 ft
6:25.0,Defensive rebound by D. Jordan,,39-44,,
