time,New York,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Koufos vs. J. Noah (K. Porzingis gains possession),,,,Jump ball: K. Koufos vs. J. Noah (K. Porzingis gains possession)
11:41.0,C. Anthony misses 3-pt shot from 25 ft,,0-0,,
11:40.0,,,0-0,,Defensive rebound by B. McLemore
11:26.0,,,0-0,,Shooting foul by C. Lee (drawn by D. Cousins)
11:26.0,,,0-1,1,D. Cousins makes free throw 1 of 2
11:26.0,,,0-2,1,D. Cousins makes free throw 2 of 2
11:14.0,C. Lee misses 2-pt shot from 17 ft,,0-2,,
11:14.0,,,0-2,,Defensive rebound by K. Koufos
11:01.0,,,0-2,,D. Cousins misses 2-pt shot from 9 ft (block by J. Noah)
11:00.0,Defensive rebound by K. Porzingis,,0-2,,
10:46.0,Turnover by B. Jennings (bad pass; steal by R. Gay),,0-2,,
10:39.0,,,0-4,2,B. McLemore makes 2-pt shot from 1 ft (assist by R. Gay)
10:22.0,B. Jennings makes 2-pt shot from 16 ft,2,2-4,,
10:08.0,,,2-6,2,K. Koufos makes 2-pt shot from 2 ft (assist by D. Collison)
9:53.0,Turnover by K. Porzingis (lost ball; steal by D. Cousins),,2-6,,
9:51.0,,,2-8,2,D. Cousins makes 2-pt shot at rim
9:37.0,J. Noah makes 2-pt shot from 2 ft (assist by B. Jennings),2,4-8,,
9:21.0,,,4-8,,R. Gay misses 2-pt shot from 15 ft
9:21.0,Defensive rebound by J. Noah,,4-8,,
9:11.0,B. Jennings makes 2-pt shot from 10 ft,2,6-8,,
8:45.0,,,6-8,,D. Cousins misses 3-pt shot from 23 ft
8:44.0,Defensive rebound by K. Porzingis,,6-8,,
8:32.0,K. Porzingis misses 2-pt shot from 16 ft,,6-8,,
8:32.0,,,6-8,,Defensive rebound by K. Koufos
8:23.0,,,6-8,,D. Collison misses 2-pt shot from 3 ft
8:21.0,Defensive rebound by C. Anthony,,6-8,,
8:16.0,B. Jennings makes 2-pt shot from 6 ft,2,8-8,,
7:54.0,,,8-8,,R. Gay misses 3-pt shot from 24 ft
7:53.0,Defensive rebound by J. Noah,,8-8,,
7:49.0,C. Anthony makes 2-pt shot from 3 ft (assist by B. Jennings),2,10-8,,
7:29.0,,,10-10,2,D. Collison makes 2-pt shot from 7 ft (assist by D. Cousins)
7:18.0,K. Porzingis makes 3-pt shot from 25 ft (assist by B. Jennings),3,13-10,,
6:56.0,,,13-12,2,K. Koufos makes 2-pt shot at rim (assist by D. Cousins)
6:39.0,K. Porzingis misses 2-pt shot from 8 ft,,13-12,,
6:39.0,,,13-12,,Defensive rebound by Team
6:39.0,Loose ball foul by J. Noah (drawn by K. Koufos),,13-12,,
6:24.0,,,13-12,,Turnover by D. Cousins (lost ball; steal by J. Noah)
6:14.0,C. Anthony makes 2-pt shot from 15 ft (assist by B. Jennings),2,15-12,,
5:59.0,,,15-14,2,D. Collison makes 2-pt shot from 3 ft (assist by K. Koufos)
5:51.0,B. Jennings misses 3-pt shot from 24 ft,,15-14,,
5:51.0,,,15-14,,Defensive rebound by R. Gay
5:38.0,,,15-17,3,B. McLemore makes 3-pt shot from 26 ft (assist by D. Cousins)
5:17.0,C. Anthony makes 2-pt shot from 6 ft,2,17-17,,
