time,Chicago,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. J. Noah (D. Rose gains possession),,,,Jump ball: R. Lopez vs. J. Noah (D. Rose gains possession)
11:42.0,,,0-2,2,J. Noah makes 2-pt shot at rim (assist by C. Lee)
11:16.0,T. Gibson misses 2-pt shot from 8 ft,,0-2,,
11:15.0,Offensive rebound by Team,,0-2,,
11:15.0,Turnover by Team (shot clock),,0-2,,
10:55.0,,,0-4,2,D. Rose makes 2-pt shot from 6 ft
10:37.0,D. Wade misses 2-pt shot from 15 ft,,0-4,,
10:34.0,Offensive rebound by R. Lopez,,0-4,,
10:34.0,R. Lopez misses 2-pt shot from 2 ft,,0-4,,
10:33.0,,,0-4,,Defensive rebound by C. Anthony
10:22.0,,,0-6,2,C. Anthony makes 2-pt shot from 19 ft
10:00.0,M. Carter-Williams misses 2-pt shot from 18 ft,,0-6,,
9:59.0,Offensive rebound by Team,,0-6,,
9:46.0,M. Carter-Williams misses 2-pt shot from 10 ft,,0-6,,
9:44.0,,,0-6,,Defensive rebound by J. Noah
9:36.0,,,0-6,,Shooting foul by M. Carter-Williams (drawn by D. Rose)
9:36.0,,,0-7,1,D. Rose makes free throw 1 of 2
9:36.0,,,0-8,1,D. Rose makes free throw 2 of 2
9:22.0,D. Wade makes 2-pt shot from 20 ft,2,2-8,,
9:08.0,,,2-8,,Turnover by J. Noah (bad pass; steal by D. Wade)
9:03.0,P. Zipser makes 2-pt shot from 1 ft (assist by D. Wade),2,4-8,,
8:50.0,,,4-10,2,C. Anthony makes 2-pt shot from 22 ft
8:31.0,R. Lopez makes 2-pt shot from 20 ft (assist by P. Zipser),2,6-10,,
8:22.0,Personal foul by M. Carter-Williams (drawn by D. Rose),,6-10,,
8:22.0,R. Rondo enters the game for M. Carter-Williams,,6-10,,
8:05.0,,,6-12,2,L. Thomas makes 2-pt shot from 19 ft (assist by D. Rose)
7:59.0,Offensive foul by R. Lopez,,6-12,,
7:59.0,Turnover by R. Lopez (offensive foul),,6-12,,
7:42.0,,,6-12,,C. Anthony misses 3-pt shot from 26 ft
7:40.0,Defensive rebound by R. Rondo,,6-12,,
7:34.0,T. Gibson makes 2-pt shot from 2 ft (assist by R. Rondo),2,8-12,,
7:19.0,,,8-12,,Turnover by J. Noah (bad pass; steal by D. Wade)
7:13.0,D. Wade misses 2-pt shot from 1 ft,,8-12,,
7:11.0,Offensive rebound by T. Gibson,,8-12,,
7:09.0,T. Gibson misses 2-pt shot from 3 ft,,8-12,,
7:08.0,,,8-12,,Defensive rebound by J. Noah
7:04.0,,,8-12,,D. Rose misses 2-pt shot from 16 ft
7:00.0,,,8-12,,Offensive rebound by J. Noah
6:58.0,Violation by P. Zipser (kicked ball),,8-12,,
6:50.0,,,8-12,,C. Lee misses 3-pt shot from 24 ft
6:48.0,Defensive rebound by P. Zipser,,8-12,,
6:34.0,D. Wade misses 2-pt shot from 3 ft,,8-12,,
6:32.0,,,8-12,,Defensive rebound by C. Anthony
6:25.0,,,8-12,,L. Thomas misses 2-pt shot from 12 ft
6:24.0,Defensive rebound by P. Zipser,,8-12,,
6:11.0,T. Gibson makes 2-pt shot from 2 ft,2,10-12,,
6:10.0,,,10-12,,New York full timeout
6:10.0,Technical foul by T. Gibson,,10-12,,
6:10.0,,,10-13,1,C. Anthony makes technical free throw
6:10.0,D. McDermott enters the game for D. Wade,,10-12,,
6:10.0,,,10-12,,K. O'Quinn enters the game for J. Noah
5:58.0,,,10-13,,Turnover by L. Thomas (bad pass)
5:54.0,Turnover by T. Gibson (bad pass),,10-13,,
5:33.0,,,10-13,,K. O'Quinn misses 2-pt shot from 5 ft
5:31.0,Defensive rebound by R. Rondo,,10-13,,
5:23.0,R. Lopez makes 2-pt shot from 18 ft (assist by P. Zipser),2,12-13,,
5:04.0,,,12-15,2,D. Rose makes 2-pt shot from 1 ft
4:54.0,Offensive foul by T. Gibson,,12-15,,
4:54.0,Turnover by T. Gibson (offensive foul),,12-15,,
4:54.0,,,12-15,,M. Kuzminskas enters the game for L. Thomas
4:38.0,,,12-15,,C. Anthony misses 2-pt shot from 10 ft
4:36.0,Defensive rebound by T. Gibson,,12-15,,
4:26.0,R. Rondo misses 2-pt shot from 2 ft,,12-15,,
4:25.0,,,12-15,,Defensive rebound by K. O'Quinn
4:14.0,,,12-17,2,D. Rose makes 2-pt shot from 17 ft (assist by C. Anthony)
3:54.0,R. Rondo misses 2-pt shot from 4 ft (block by K. O'Quinn),,12-17,,
3:51.0,,,12-17,,Defensive rebound by K. O'Quinn
3:40.0,,,12-17,,C. Anthony misses 3-pt shot from 26 ft
3:40.0,Defensive rebound by Team,,12-17,,
3:20.0,P. Zipser misses 2-pt shot from 18 ft,,12-17,,
3:18.0,,,12-17,,Defensive rebound by K. O'Quinn
3:09.0,,,12-19,2,K. O'Quinn makes 2-pt shot from 17 ft (assist by C. Lee)
3:08.0,Chicago full timeout,,12-19,,
3:08.0,J. Grant enters the game for P. Zipser,,12-19,,
3:08.0,,,12-19,,W. Hernangomez enters the game for C. Anthony
3:08.0,B. Portis enters the game for T. Gibson,,12-19,,
2:58.0,D. McDermott misses 2-pt shot from 20 ft,,12-19,,
2:56.0,,,12-19,,Defensive rebound by K. O'Quinn
2:41.0,,,12-19,,C. Lee misses 3-pt shot from 25 ft
2:39.0,Defensive rebound by R. Lopez,,12-19,,
2:19.0,R. Lopez makes 2-pt shot from 5 ft (assist by J. Grant),2,14-19,,
2:01.0,,,14-22,3,M. Kuzminskas makes 3-pt shot from 25 ft (assist by K. O'Quinn)
1:40.0,J. Grant makes 2-pt shot from 2 ft (assist by R. Rondo),2,16-22,,
1:40.0,Shooting foul by K. O'Quinn (drawn by J. Grant),,16-22,,
1:40.0,J. Grant makes free throw 1 of 1,1,17-22,,
1:40.0,C. Felicio enters the game for R. Lopez,,16-22,,
1:25.0,,,17-22,,Turnover by D. Rose (bad pass; steal by B. Portis)
1:19.0,C. Felicio makes 2-pt shot from 2 ft (assist by R. Rondo),2,19-22,,
1:04.0,,,19-22,,Turnover by W. Hernangomez (lost ball)
1:03.0,,,19-22,,Personal foul by W. Hernangomez (drawn by D. McDermott)
1:03.0,D. McDermott makes free throw 1 of 2,1,20-22,,
1:03.0,D. McDermott makes free throw 2 of 2,1,21-22,,
1:03.0,,,20-22,,J. Holiday enters the game for C. Lee
1:03.0,,,20-22,,B. Jennings enters the game for D. Rose
