time,Denver,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Faried vs. K. Koufos (D. Collison gains possession),,,,Jump ball: K. Faried vs. K. Koufos (D. Collison gains possession)
11:43.0,,,0-2,2,K. Koufos makes 2-pt shot from 6 ft (assist by T. Lawson)
11:31.0,D. Gallinari makes 2-pt shot from 7 ft,2,2-2,,
11:31.0,Shooting foul by B. McLemore (drawn by D. Gallinari),,2-2,,
11:31.0,D. Gallinari makes free throw 1 of 1,1,3-2,,
11:16.0,,,3-4,2,T. Lawson makes 2-pt shot from 19 ft (assist by D. Collison)
11:06.0,G. Harris misses 3-pt shot from 25 ft,,3-4,,
11:05.0,,,3-4,,Defensive rebound by B. McLemore
10:48.0,,,3-4,,K. Koufos misses 2-pt shot from 4 ft
10:47.0,Defensive rebound by G. Harris,,3-4,,
10:39.0,G. Harris makes 3-pt shot from 24 ft (assist by J. Nelson),3,6-4,,
10:20.0,,,6-4,,A. Tolliver misses 2-pt shot from 16 ft
10:19.0,Defensive rebound by D. Gallinari,,6-4,,
10:06.0,J. Nelson makes 3-pt shot from 23 ft (assist by D. Gallinari),3,9-4,,
9:40.0,,,9-4,,T. Lawson misses 2-pt shot from 17 ft
9:39.0,Defensive rebound by N. Jokic,,9-4,,
9:33.0,K. Faried misses 2-pt shot from 4 ft,,9-4,,
9:31.0,,,9-4,,Defensive rebound by A. Tolliver
9:25.0,,,9-6,2,K. Koufos makes 2-pt shot from 2 ft (assist by D. Collison)
9:04.0,D. Gallinari misses 2-pt shot from 3 ft,,9-6,,
9:03.0,,,9-6,,Defensive rebound by K. Koufos
8:55.0,,,9-6,,B. McLemore misses 2-pt shot from 17 ft
8:54.0,Defensive rebound by J. Nelson,,9-6,,
8:45.0,D. Gallinari makes 2-pt shot from 3 ft (assist by J. Nelson),2,11-6,,
8:31.0,,,11-6,,D. Collison misses 2-pt shot from 15 ft
8:30.0,Defensive rebound by N. Jokic,,11-6,,
8:21.0,J. Nelson misses 3-pt shot from 25 ft,,11-6,,
8:20.0,Offensive rebound by K. Faried,,11-6,,
8:16.0,K. Faried misses 2-pt shot from 2 ft,,11-6,,
8:15.0,,,11-6,,Defensive rebound by A. Tolliver
8:02.0,,,11-6,,A. Tolliver misses 3-pt shot from 23 ft
