time,Atlanta,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. J. Valanciunas (D. Schroder gains possession),,,,Jump ball: D. Howard vs. J. Valanciunas (D. Schroder gains possession)
11:44.0,P. Millsap makes 2-pt shot from 1 ft (assist by D. Schroder),2,2-0,,
11:27.0,,,2-0,,D. Carroll misses 2-pt shot from 20 ft
11:27.0,Defensive rebound by D. Howard,,2-0,,
11:07.0,D. Howard makes 2-pt shot from 4 ft (assist by T. Sefolosha),2,4-0,,
10:51.0,Personal foul by P. Millsap (drawn by D. DeRozan),,4-0,,
10:39.0,,,4-2,2,P. Siakam makes 2-pt shot from 4 ft (assist by D. Carroll)
10:15.0,P. Millsap misses 2-pt shot from 5 ft (block by P. Siakam),,4-2,,
10:14.0,,,4-2,,Defensive rebound by J. Valanciunas
10:08.0,,,4-5,3,K. Lowry makes 3-pt shot from 26 ft (assist by J. Valanciunas)
10:01.0,D. Howard misses 2-pt shot from 2 ft,,4-5,,
10:00.0,Offensive rebound by D. Howard,,4-5,,
10:00.0,D. Howard misses 2-pt shot from 4 ft (block by P. Siakam),,4-5,,
9:59.0,Offensive rebound by D. Schroder,,4-5,,
9:53.0,D. Schroder makes 3-pt shot from 25 ft,3,7-5,,
9:24.0,,,7-7,2,P. Siakam makes 2-pt shot from 18 ft
9:15.0,D. Howard makes 2-pt shot at rim (assist by D. Schroder),2,9-7,,
9:01.0,Personal foul by P. Millsap (drawn by J. Valanciunas),,9-7,,
8:49.0,,,9-9,2,J. Valanciunas makes 2-pt shot from 14 ft (assist by D. DeRozan)
8:28.0,P. Millsap makes 2-pt shot from 9 ft (assist by D. Schroder),2,11-9,,
8:18.0,,,11-11,2,K. Lowry makes 2-pt shot from 4 ft
8:18.0,,,11-11,,Shooting foul by D. Schroder (drawn by K. Lowry)
8:18.0,,,11-12,1,K. Lowry makes free throw 1 of 1
8:04.0,D. Howard makes 2-pt shot at rim (assist by T. Hardaway),2,13-12,,
7:50.0,,,13-14,2,D. DeRozan makes 2-pt shot from 18 ft
7:46.0,,,13-14,,Personal foul by J. Valanciunas (drawn by D. Howard)
7:46.0,M. Muscala enters the game for P. Millsap,,13-14,,
7:28.0,T. Sefolosha misses 2-pt shot from 15 ft,,13-14,,
7:28.0,Offensive rebound by M. Muscala,,13-14,,
7:18.0,D. Schroder makes 2-pt shot from 3 ft,2,15-14,,
7:18.0,Shooting foul by D. DeRozan (drawn by D. Schroder),,15-14,,
7:18.0,D. Schroder makes free throw 1 of 1,1,16-14,,
7:01.0,,,16-16,2,J. Valanciunas makes 2-pt shot from 16 ft
6:52.0,M. Muscala misses 2-pt shot from 5 ft (block by P. Siakam),,16-16,,
6:52.0,Offensive rebound by Team,,16-16,,
6:44.0,D. Schroder misses 3-pt shot from 25 ft,,16-16,,
6:43.0,Offensive rebound by D. Howard,,16-16,,
6:42.0,D. Howard makes 2-pt shot at rim,2,18-16,,
6:25.0,,,18-16,,D. DeRozan misses 2-pt shot from 18 ft
6:25.0,Defensive rebound by T. Sefolosha,,18-16,,
6:16.0,Turnover by T. Sefolosha (bad pass; steal by J. Valanciunas),,18-16,,
6:09.0,Personal foul by M. Muscala (drawn by D. DeRozan),,18-16,,
6:01.0,,,18-16,,P. Siakam misses 2-pt shot from 22 ft
6:00.0,Defensive rebound by D. Howard,,18-16,,
5:46.0,Shooting foul by D. Carroll (drawn by T. Hardaway),,18-16,,
5:46.0,,,18-16,,Toronto full timeout
5:46.0,T. Hardaway makes free throw 1 of 3,1,19-16,,
5:46.0,T. Hardaway makes free throw 2 of 3,1,20-16,,
5:46.0,T. Hardaway makes free throw 3 of 3,1,21-16,,
5:46.0,,,18-16,,P. Patterson enters the game for P. Siakam
5:29.0,,,21-16,,Shooting foul by D. Howard (drawn by K. Lowry)
5:29.0,,,21-17,1,K. Lowry makes free throw 1 of 2
5:29.0,,,21-18,1,K. Lowry makes free throw 2 of 2
5:17.0,Turnover by T. Sefolosha (bad pass; steal by P. Patterson),,21-18,,
5:04.0,,,21-21,3,P. Patterson makes 3-pt shot from 25 ft (assist by D. DeRozan)
4:45.0,T. Sefolosha misses 2-pt shot from 16 ft,,21-21,,
4:44.0,,,21-21,,Defensive rebound by P. Patterson
4:26.0,,,21-21,,D. Carroll misses 3-pt shot from 27 ft
4:25.0,Defensive rebound by D. Howard,,21-21,,
4:11.0,Offensive foul by D. Schroder,,21-21,,
4:11.0,Turnover by D. Schroder (offensive foul),,21-21,,
4:11.0,K. Korver enters the game for T. Sefolosha,,21-21,,
4:11.0,K. Bazemore enters the game for T. Hardaway,,21-21,,
4:11.0,,,21-21,,C. Joseph enters the game for K. Lowry
3:57.0,,,21-23,2,D. DeRozan makes 2-pt shot from 13 ft
3:50.0,Atlanta full timeout,,21-23,,
3:40.0,K. Korver makes 3-pt shot from 25 ft (assist by D. Schroder),3,24-23,,
3:12.0,,,24-23,,D. DeRozan misses 2-pt shot from 14 ft (block by K. Bazemore)
3:11.0,Defensive rebound by D. Schroder,,24-23,,
2:59.0,M. Muscala misses 2-pt shot from 18 ft,,24-23,,
2:59.0,Offensive rebound by Team,,24-23,,
2:59.0,,,24-23,,Loose ball foul by P. Patterson (drawn by D. Howard)
2:59.0,M. Delaney enters the game for D. Schroder,,24-23,,
2:58.0,Turnover by K. Korver (bad pass; steal by D. Carroll),,24-23,,
2:45.0,,,24-23,,P. Patterson misses 3-pt shot from 25 ft
2:44.0,Defensive rebound by D. Howard,,24-23,,
2:37.0,K. Bazemore makes 2-pt shot from 4 ft,2,26-23,,
2:20.0,,,26-25,2,D. DeRozan makes 2-pt shot from 4 ft
2:01.0,D. Howard misses 2-pt shot from 4 ft,,26-25,,
2:00.0,,,26-25,,Defensive rebound by J. Valanciunas
1:49.0,,,26-25,,C. Joseph misses 2-pt shot from 7 ft
1:49.0,Defensive rebound by K. Korver,,26-25,,
1:40.0,K. Korver makes 3-pt shot from 26 ft (assist by M. Muscala),3,29-25,,
1:23.0,,,29-25,,Turnover by J. Valanciunas (bad pass)
1:23.0,,,29-25,,T. Ross enters the game for D. Carroll
1:23.0,,,29-25,,L. Nogueira enters the game for J. Valanciunas
1:23.0,T. Hardaway enters the game for D. Howard,,29-25,,
1:12.0,M. Delaney makes 2-pt shot from 15 ft,2,31-25,,
0:58.0,,,31-25,,D. DeRozan misses 2-pt shot from 4 ft (block by M. Muscala)
0:58.0,,,31-25,,Offensive rebound by Team
0:52.0,,,31-27,2,D. DeRozan makes 2-pt shot from 2 ft (assist by L. Nogueira)
0:46.0,M. Muscala makes 2-pt shot from 18 ft (assist by M. Delaney),2,33-27,,
0:31.0,,,33-27,,L. Nogueira misses 2-pt shot from 5 ft
0:30.0,,,33-27,,Offensive rebound by P. Patterson
0:30.0,,,33-27,,P. Patterson misses 2-pt shot from 2 ft
0:29.0,Defensive rebound by M. Muscala,,33-27,,
0:10.0,M. Delaney makes 2-pt shot from 17 ft,2,35-27,,
0:03.0,,,35-27,,C. Joseph misses 2-pt shot from 4 ft
0:03.0,Defensive rebound by K. Bazemore,,35-27,,
0:00.0,T. Hardaway misses 3-pt shot from 70 ft,,35-27,,
0:00.0,Offensive rebound by Team,,35-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,35-27,,K. Lowry misses 2-pt shot from 4 ft
11:45.0,Defensive rebound by K. Korver,,35-27,,
11:32.0,T. Hardaway misses 2-pt shot from 4 ft (block by L. Nogueira),,35-27,,
11:31.0,,,35-27,,Defensive rebound by L. Nogueira
11:26.0,Violation by T. Hardaway (kicked ball),,35-27,,
11:14.0,,,35-27,,K. Lowry misses 2-pt shot from 14 ft
11:13.0,,,35-27,,Offensive rebound by Team
11:13.0,Loose ball foul by K. Korver (drawn by P. Patterson),,35-27,,
