time,Utah,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. K. Towns (D. Favors gains possession),,,,Jump ball: R. Gobert vs. K. Towns (D. Favors gains possession)
11:48.0,G. Hill makes 2-pt shot at rim (assist by R. Gobert),2,2-0,,
11:29.0,,,2-0,,Turnover by A. Wiggins (bad pass; steal by G. Hill)
11:22.0,G. Hayward makes 2-pt shot from 15 ft (assist by G. Hill),2,4-0,,
11:22.0,Shooting foul by R. Rubio (drawn by G. Hayward),,4-0,,
11:22.0,G. Hayward makes free throw 1 of 1,1,5-0,,
11:13.0,,,5-3,3,Z. LaVine makes 3-pt shot from 24 ft (assist by R. Rubio)
10:58.0,Offensive foul by G. Hayward,,5-3,,
10:58.0,Turnover by G. Hayward (offensive foul),,5-3,,
10:48.0,,,5-3,,G. Dieng misses 2-pt shot from 6 ft
10:46.0,Defensive rebound by R. Hood,,5-3,,
10:38.0,Turnover by G. Hill (bad pass),,5-3,,
10:26.0,,,5-5,2,Z. LaVine makes 2-pt shot from 2 ft (assist by G. Dieng)
10:26.0,,,5-5,,Shooting foul by R. Hood (drawn by Z. LaVine)
10:26.0,,,5-6,1,Z. LaVine makes free throw 1 of 1
10:07.0,D. Favors makes 2-pt shot at rim (assist by R. Hood),2,7-6,,
9:52.0,,,7-6,,A. Wiggins misses 2-pt shot from 17 ft
9:51.0,Defensive rebound by R. Gobert,,7-6,,
9:42.0,G. Hill misses 2-pt shot from 15 ft,,7-6,,
9:40.0,Offensive rebound by R. Gobert,,7-6,,
9:21.0,D. Favors misses 2-pt shot from 16 ft,,7-6,,
9:20.0,,,7-6,,Defensive rebound by G. Dieng
9:07.0,,,7-6,,K. Towns misses 2-pt shot from 1 ft (block by D. Favors)
9:06.0,Defensive rebound by D. Favors,,7-6,,
8:53.0,Shooting foul by R. Rubio (drawn by G. Hayward),,7-6,,
8:53.0,G. Hayward makes free throw 1 of 2,1,8-6,,
8:53.0,G. Hayward makes free throw 2 of 2,1,9-6,,
8:49.0,,,9-8,2,A. Wiggins makes 2-pt shot from 1 ft (assist by R. Rubio)
8:49.0,,,9-8,,Shooting foul by R. Hood (drawn by A. Wiggins)
8:49.0,,,9-9,1,A. Wiggins makes free throw 1 of 1
8:49.0,J. Ingles enters the game for R. Hood,,9-8,,
8:27.0,Turnover by J. Ingles (traveling),,9-9,,
8:17.0,,,9-9,,Z. LaVine misses 3-pt shot from 25 ft
8:16.0,Defensive rebound by G. Hill,,9-9,,
8:05.0,G. Hayward misses 2-pt shot from 21 ft,,9-9,,
8:02.0,Offensive rebound by G. Hill,,9-9,,
7:56.0,G. Hayward misses 3-pt shot from 23 ft,,9-9,,
7:54.0,Offensive rebound by G. Hill,,9-9,,
7:47.0,G. Hill misses 3-pt shot from 25 ft,,9-9,,
7:46.0,,,9-9,,Defensive rebound by Z. LaVine
7:39.0,Violation by J. Ingles (kicked ball),,9-9,,
7:26.0,,,9-9,,K. Towns misses 2-pt shot from 8 ft (block by R. Gobert)
7:24.0,Defensive rebound by G. Hayward,,9-9,,
7:07.0,R. Gobert makes 2-pt shot at rim (assist by G. Hill),2,11-9,,
6:47.0,,,11-11,2,A. Wiggins makes 2-pt shot from 1 ft
6:23.0,Shooting foul by Z. LaVine (drawn by J. Ingles),,11-11,,
6:23.0,J. Ingles makes free throw 1 of 2,1,12-11,,
6:23.0,J. Ingles makes free throw 2 of 2,1,13-11,,
6:23.0,S. Mack enters the game for G. Hill,,12-11,,
6:16.0,,,13-11,,A. Wiggins misses 3-pt shot from 25 ft
6:15.0,,,13-11,,Offensive rebound by Z. LaVine
5:57.0,,,13-13,2,R. Rubio makes 2-pt shot from 16 ft (assist by Z. LaVine)
5:38.0,J. Ingles misses 3-pt shot from 25 ft,,13-13,,
5:37.0,,,13-13,,Defensive rebound by G. Dieng
