time,Golden State,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. J. McGee (V. Oladipo gains possession),,,,Jump ball: S. Adams vs. J. McGee (V. Oladipo gains possession)
11:43.0,,,0-2,2,S. Adams makes 2-pt shot from 5 ft (assist by V. Oladipo)
11:24.0,K. Durant makes 2-pt shot from 12 ft (assist by D. Green),2,2-2,,
11:05.0,,,2-4,2,D. Sabonis makes 2-pt shot from 6 ft (assist by V. Oladipo)
10:44.0,K. Durant misses 2-pt shot from 11 ft,,2-4,,
10:43.0,,,2-4,,Defensive rebound by R. Westbrook
10:39.0,,,2-4,,Shooting foul by D. Green (drawn by D. Sabonis)
10:39.0,,,2-5,1,D. Sabonis makes free throw 1 of 2
10:39.0,,,2-5,,D. Sabonis misses free throw 2 of 2
10:38.0,Defensive rebound by D. Green,,2-5,,
10:18.0,Turnover by K. Thompson (lost ball; steal by V. Oladipo),,2-5,,
10:13.0,,,2-5,,R. Westbrook misses 2-pt shot from 2 ft
10:12.0,Defensive rebound by S. Curry,,2-5,,
10:08.0,J. McGee makes 2-pt shot at rim (assist by S. Curry),2,4-5,,
9:55.0,,,4-7,2,R. Westbrook makes 2-pt shot from 18 ft
9:46.0,S. Curry makes 2-pt shot from 16 ft,2,6-7,,
9:34.0,,,6-9,2,V. Oladipo makes 2-pt shot from 1 ft (assist by R. Westbrook)
9:16.0,D. Green misses 3-pt shot from 25 ft,,6-9,,
9:15.0,,,6-9,,Defensive rebound by D. Sabonis
9:09.0,,,6-9,,V. Oladipo misses 3-pt shot from 23 ft
9:08.0,Defensive rebound by K. Durant,,6-9,,
9:04.0,Turnover by K. Durant (lost ball; steal by S. Adams),,6-9,,
9:00.0,,,6-9,,R. Westbrook misses 3-pt shot from 25 ft
9:00.0,Defensive rebound by S. Curry,,6-9,,
8:53.0,K. Thompson misses 2-pt shot from 1 ft,,6-9,,
8:53.0,,,6-9,,Defensive rebound by R. Westbrook
8:47.0,,,6-9,,A. Roberson misses 3-pt shot from 25 ft
8:46.0,Defensive rebound by D. Green,,6-9,,
8:32.0,K. Thompson misses 3-pt shot from 26 ft,,6-9,,
8:32.0,,,6-9,,Defensive rebound by A. Roberson
8:31.0,,,6-9,,Shooting foul by K. Thompson (drawn by D. Sabonis)
8:31.0,,,6-10,1,D. Sabonis makes free throw 1 of 2
8:31.0,,,6-11,1,D. Sabonis makes free throw 2 of 2
8:13.0,S. Curry misses 3-pt shot from 24 ft,,6-11,,
8:12.0,,,6-11,,Defensive rebound by A. Roberson
8:02.0,,,6-11,,Turnover by R. Westbrook (bad pass)
