time,Memphis,pts.away,score,pts.home,Phoenix
4:53.0,Turnover by M. Gasol (bad pass; steal by T. Warren),,21-15,,
4:45.0,,,21-15,,Shooting foul by J. Ennis (drawn by D. Booker)
4:45.0,,,21-16,1,D. Booker makes free throw 1 of 2
4:45.0,,,21-17,1,D. Booker makes free throw 2 of 2
4:45.0,V. Carter enters the game for T. Allen,,21-16,,
4:32.0,Shooting foul by T. Warren (drawn by M. Gasol),,21-17,,
4:32.0,M. Gasol makes free throw 1 of 2,1,22-17,,
4:32.0,M. Gasol makes free throw 2 of 2,1,23-17,,
4:32.0,,,22-17,,P. Tucker enters the game for T. Warren
4:14.0,,,23-19,2,E. Bledsoe makes 2-pt shot from 2 ft
4:05.0,M. Gasol misses 3-pt shot from 26 ft,,23-19,,
4:04.0,,,23-19,,Defensive rebound by E. Bledsoe
3:56.0,,,23-19,,D. Booker misses 2-pt shot from 18 ft
3:55.0,,,23-19,,Offensive rebound by M. Chriss
3:52.0,,,23-19,,M. Chriss misses 2-pt shot from 1 ft
3:51.0,Defensive rebound by Z. Randolph,,23-19,,
3:37.0,Turnover by V. Carter (bad pass; steal by A. Len),,23-19,,
3:29.0,,,23-19,,E. Bledsoe misses 3-pt shot from 26 ft
3:27.0,,,23-19,,Offensive rebound by A. Len
3:27.0,,,23-21,2,A. Len makes 2-pt shot from 2 ft
3:00.0,M. Gasol misses 2-pt shot from 6 ft,,23-21,,
3:00.0,,,23-21,,Defensive rebound by D. Booker
2:52.0,J. Green enters the game for M. Gasol,,23-21,,
2:50.0,,,23-21,,Turnover by E. Bledsoe (bad pass; steal by V. Carter)
2:49.0,,,23-21,,Personal foul by A. Len (drawn by V. Carter)
2:49.0,V. Carter makes free throw 1 of 2,1,24-21,,
2:49.0,V. Carter makes free throw 2 of 2,1,25-21,,
2:40.0,,,25-24,3,P. Tucker makes 3-pt shot from 24 ft (assist by E. Bledsoe)
2:21.0,V. Carter misses 3-pt shot from 27 ft,,25-24,,
2:21.0,,,25-24,,Defensive rebound by D. Booker
2:19.0,,,25-24,,Turnover by D. Booker (bad pass; steal by V. Carter)
2:08.0,Z. Randolph makes 2-pt shot at rim (assist by V. Carter),2,27-24,,
